item,n_personnes,n_changeurs,auc_alea_moyenne,auc_alea_p2_5,auc_alea_p97_5
abpoor,2887,544,0.49941342013758133,0.4716562437234817,0.5275768441979864
abrape,2887,349,0.49691670561618134,0.46574994185797086,0.5301725802190657
absingle,2915,529,0.4985952832924257,0.4689366690065077,0.5245935252425538
abany,2897,547,0.5008798397448365,0.47996540122136216,0.5231723909914816
letdie1,2242,444,0.5014695632785177,0.4736761128481095,0.5265697183557306
suicide1,2900,563,0.49967418112060896,0.4723192468673308,0.5219461842884298
suicide2,3025,362,0.5021781762769112,0.4693883129358116,0.5316767737960137
suicide3,3013,340,0.4992039842873176,0.46613427301335797,0.5263887238397043
suicide4,2968,466,0.5016164536182213,0.47150487764295,0.531258748366114
pornlaw,3136,782,0.49937216567761894,0.4749758396764934,0.5201334399520217
fair,3141,1029,0.5002732845031953,0.48171169374134937,0.5226448730195541
helpful,3144,1111,0.49953078436225323,0.478422677486637,0.5231820882530949
trust,3375,917,0.49892566324724286,0.47874047354331395,0.5213562661879888
tax,2971,886,0.500447602189129,0.4796038699514429,0.5207059318685007
news,3096,1581,0.49991824533497,0.481758151147183,0.5195300108758505
attend,4615,2812,0.5009032638032551,0.4860597390235493,0.516120496974775
pray,4620,2212,0.5006455576048494,0.4836792893489454,0.5159923615825489
postlife,3906,410,0.5003750383713792,0.469791905034325,0.5268804068761511
bible,4577,1324,0.5006475140771753,0.485050988258108,0.5175239240004347
reborn,4576,678,0.49926759770913454,0.4728315405676612,0.5193940977976755
savesoul,4655,784,0.5001110412196395,0.4776194995887789,0.5245286856346776
income,3920,1138,0.4989619118132003,0.4808578386160593,0.5157843654095687
health,3092,1303,0.49949445254040314,0.4832238412709716,0.5241382594322687
xmovie,3147,550,0.49957070745965626,0.47534237056743794,0.526012987012987
life,3045,950,0.5001276598417285,0.47787613365155135,0.5266419922120337
richwork,1720,445,0.5003160167437761,0.47300502313284865,0.5271827274730116
