condition,axe_transport,variante,jeu_items,mesure,lambda_median,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_total,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee,un_dans_ic_inter
agents composite,political_ideology,naive,149 items,entropie,0.70,0.9871,0.9357,1.0395,0.8885,0.8826,0.8944,0.8930,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390,oui
agents composite,political_ideology,naive,149 items,gini_simpson,0.70,1.0532,0.9992,1.1155,0.9009,0.8942,0.9074,0.9085,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390,oui
agents composite,political_ideology,naive,70 items ordinaux,entropie,0.70,1.1480,1.0756,1.2280,0.8800,0.8730,0.8869,0.8917,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390,non
agents composite,political_ideology,naive,70 items ordinaux,gini_simpson,0.70,1.2565,1.1739,1.3523,0.8947,0.8872,0.9015,0.9105,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390,non
agents composite,political_ideology,naive,70 items ordinaux,variance_ordinale,0.70,1.1539,1.0669,1.2322,0.8717,0.8568,0.8869,0.8967,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390,non
agents composite,profil croise,dilatation,149 items,entropie,0.80,0.9725,0.8969,1.0466,1.0292,1.0193,1.0391,1.0262,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674,oui
agents composite,profil croise,dilatation,149 items,gini_simpson,0.80,1.2147,1.1333,1.2894,1.0181,1.0076,1.0294,1.0288,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674,non
agents composite,profil croise,dilatation,70 items ordinaux,entropie,0.80,1.1625,1.0600,1.2536,0.9879,0.9772,0.9971,0.9960,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674,non
agents composite,profil croise,dilatation,70 items ordinaux,gini_simpson,0.80,1.4812,1.3678,1.5850,0.9701,0.9592,0.9798,0.9927,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674,non
agents composite,profil croise,dilatation,70 items ordinaux,variance_ordinale,0.80,1.3795,1.2539,1.4872,1.0032,0.9829,1.0251,1.0389,0.6543,0.6500,0.6584,-0.0297,-0.0315,-0.0280,1.0263,0.4780,0.0674,non
agents composite,profil croise,informee,149 items,entropie,0.70,0.9486,0.8832,1.0156,0.8910,0.8833,0.8985,0.8940,0.6735,0.6695,0.6777,-0.0104,-0.0116,-0.0093,0.8939,0.5382,0.0409,oui
agents composite,profil croise,informee,149 items,gini_simpson,0.70,1.0351,0.9554,1.1133,0.9031,0.8946,0.9119,0.9103,0.6735,0.6695,0.6777,-0.0104,-0.0116,-0.0093,0.8939,0.5382,0.0409,oui
agents composite,profil croise,informee,70 items ordinaux,entropie,0.70,1.0956,1.0089,1.1741,0.8822,0.8733,0.8900,0.8921,0.6735,0.6695,0.6777,-0.0104,-0.0116,-0.0093,0.8939,0.5382,0.0409,non
agents composite,profil croise,informee,70 items ordinaux,gini_simpson,0.70,1.2434,1.1377,1.3420,0.8962,0.8863,0.9049,0.9115,0.6735,0.6695,0.6777,-0.0104,-0.0116,-0.0093,0.8939,0.5382,0.0409,non
agents composite,profil croise,informee,70 items ordinaux,variance_ordinale,0.70,1.1407,1.0315,1.2335,0.8743,0.8557,0.8922,0.8996,0.6735,0.6695,0.6777,-0.0104,-0.0116,-0.0093,0.8939,0.5382,0.0409,non
agents composite,profil croise,naive,149 items,entropie,0.70,0.9486,0.9038,0.9913,0.8910,0.8850,0.8975,0.8940,0.6649,0.6611,0.6688,-0.0190,-0.0202,-0.0179,0.8939,0.5382,0.0409,non
agents composite,profil croise,naive,149 items,gini_simpson,0.70,1.0351,0.9839,1.0888,0.9031,0.8969,0.9097,0.9103,0.6649,0.6611,0.6688,-0.0190,-0.0202,-0.0179,0.8939,0.5382,0.0409,oui
agents composite,profil croise,naive,70 items ordinaux,entropie,0.70,1.0956,1.0347,1.1604,0.8822,0.8748,0.8891,0.8921,0.6649,0.6611,0.6688,-0.0190,-0.0202,-0.0179,0.8939,0.5382,0.0409,non
agents composite,profil croise,naive,70 items ordinaux,gini_simpson,0.70,1.2434,1.1742,1.3249,0.8962,0.8876,0.9035,0.9115,0.6649,0.6611,0.6688,-0.0190,-0.0202,-0.0179,0.8939,0.5382,0.0409,non
agents composite,profil croise,naive,70 items ordinaux,variance_ordinale,0.70,1.1407,1.0614,1.2135,0.8743,0.8585,0.8904,0.8996,0.6649,0.6611,0.6688,-0.0190,-0.0202,-0.0179,0.8939,0.5382,0.0409,non
agents demographiques (v8),political_ideology,dilatation,149 items,entropie,0.60,2.2882,2.0720,2.5091,0.9827,0.9705,0.9952,1.0428,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977,non
agents demographiques (v8),political_ideology,dilatation,149 items,gini_simpson,0.60,2.6840,2.4189,2.9560,0.9943,0.9800,1.0074,1.0787,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977,non
agents demographiques (v8),political_ideology,dilatation,70 items ordinaux,entropie,0.60,2.8901,2.6102,3.1826,0.9246,0.9122,0.9374,1.0108,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977,non
agents demographiques (v8),political_ideology,dilatation,70 items ordinaux,gini_simpson,0.60,3.4640,3.1095,3.8450,0.9137,0.8991,0.9276,1.0251,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977,non
agents demographiques (v8),political_ideology,dilatation,70 items ordinaux,variance_ordinale,0.60,2.6346,2.3355,2.9311,0.9857,0.9609,1.0116,1.1319,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977,non
