perimetre,condition,controle,hypothese,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation
150,agents v8,M1 attitudes seules,K1 distance,0.322533,-0.293444,0.750220,16,0.215978
150,agents v8,M1 attitudes seules,K2 dispersion,0.261765,-0.314478,0.788391,16,0.323768
150,agents v8,M1 sans les items de depense,K1 distance,,,,5,
150,agents v8,M1 sans les items de depense,K2 dispersion,,,,5,
150,humains vague 2,"conception seule, MR141",K1 distance,-0.141278,-0.617834,0.368838,17,0.589041
150,humains vague 2,"conception seule, MR141",K2 dispersion,-0.038013,-0.527997,0.478486,17,0.886311
150,humains vague 2,M1 attitudes seules,K1 distance,-0.181152,-0.693869,0.489601,16,0.498250
150,humains vague 2,M1 attitudes seules,K2 dispersion,-0.205882,-0.666704,0.408494,16,0.439656
150,humains vague 2,M1 sans les items de depense,K1 distance,,,,5,
150,humains vague 2,M1 sans les items de depense,K2 dispersion,,,,5,
