item,panel,paire,ecart_annees,n_personnes,n_changeurs,taux_changement,derive_nette_tv,part_dirigee,n_monotone,n_contraire,n_indetermine,part_monotone_du_changement,part_contraire_du_changement,perimetre
colrac,2006-2010,2006-2010,4,838,291,0.34725536992840095,0.034606205250596656,0.09965635738831614,160,131,0,0.5498281786941581,0.45017182130584193,4 ans
librac/y,2006-2010,2006-2010,4,844,232,0.27488151658767773,0.02843601895734596,0.10344827586206892,128,104,0,0.5517241379310345,0.4482758620689655,4 ans
spkcom/y,2006-2010,2006-2010,4,848,159,0.1875,0.03183962264150941,0.16981132075471686,93,66,0,0.5849056603773585,0.41509433962264153,4 ans
colcom/y,2006-2010,2006-2010,4,813,228,0.28044280442804426,0.019680196801968003,0.07017543859649117,122,106,0,0.5350877192982456,0.4649122807017544,4 ans
libcom/y,2006-2010,2006-2010,4,846,199,0.23522458628841608,0.02009456264775414,0.08542713567839197,108,91,0,0.542713567839196,0.457286432160804,4 ans
spkhomo/y,2006-2010,2006-2010,4,845,131,0.15502958579881657,0.03195266272189347,0.20610687022900748,79,52,0,0.6030534351145038,0.3969465648854962,4 ans
colhomo,2006-2010,2006-2010,4,835,137,0.16407185628742516,0.0323353293413174,0.19708029197080312,82,55,0,0.5985401459854015,0.40145985401459855,4 ans
libhomo/y,2006-2010,2006-2010,4,848,186,0.21933962264150944,0.004716981132075498,0.02150537634408614,95,91,0,0.510752688172043,0.489247311827957,4 ans
cappun,2006-2010,2006-2010,4,1143,184,0.1609798775153106,0.01924759405074364,0.11956521739130423,103,81,0,0.5597826086956522,0.44021739130434784,4 ans
polhitok/y,2006-2010,2006-2010,4,776,155,0.19974226804123713,0.01932989690721651,0.09677419354838716,85,70,0,0.5483870967741935,0.45161290322580644,4 ans
polabuse/y,2006-2010,2006-2010,4,804,77,0.09577114427860696,0.0037313432835821246,0.03896103896103933,40,37,0,0.5194805194805194,0.4805194805194805,4 ans
polattak/y,2006-2010,2006-2010,4,809,92,0.11372064276885044,0.002472187886279349,0.02173913043478254,47,45,0,0.5108695652173914,0.4891304347826087,4 ans
grass,2006-2010,2006-2010,4,736,144,0.1956521739130435,0.059782608695652134,0.30555555555555536,94,50,0,0.6527777777777778,0.3472222222222222,4 ans
gunlaw,2006-2010,2006-2010,4,843,155,0.18386714116251482,0.04389086595492288,0.23870967741935475,96,59,0,0.6193548387096774,0.38064516129032255,4 ans
owngun,2006-2010,2006-2010,4,869,118,0.13578826237054084,0.013808975834292275,0.10169491525423718,61,49,8,0.5169491525423728,0.4152542372881356,4 ans
class,2006-2010,2006-2010,4,1261,394,0.31245043616177637,0.014274385408406006,0.04568527918781719,59,41,294,0.14974619289340102,0.10406091370558376,4 ans
satfin,2006-2010,2006-2010,4,1270,581,0.4574803149606299,0.024409448818897617,0.05335628227194488,186,155,240,0.32013769363166955,0.2667814113597246,4 ans
finalter,2006-2010,2006-2010,4,1269,707,0.5571315996847912,0.1418439716312057,0.2545968882602547,323,143,241,0.45685997171145687,0.20226308345120225,4 ans
finrela,2006-2010,2006-2010,4,1257,556,0.4423229912490056,0.03500397772474146,0.07913669064748204,134,142,280,0.24100719424460432,0.25539568345323743,4 ans
racdif1,2006-2010,2006-2010,4,779,205,0.2631578947368421,0.07317073170731711,0.278048780487805,131,74,0,0.6390243902439025,0.36097560975609755,4 ans
racdif2,2006-2010,2006-2010,4,807,85,0.10532837670384139,0.011152416356877345,0.10588235294117668,47,38,0,0.5529411764705883,0.4470588235294118,4 ans
racdif3,2006-2010,2006-2010,4,803,237,0.29514321295143214,0.04358655043586554,0.14767932489451488,136,101,0,0.5738396624472574,0.42616033755274263,4 ans
racdif4,2006-2010,2006-2010,4,771,219,0.2840466926070039,0.011673151750972749,0.04109589041095886,114,105,0,0.5205479452054794,0.4794520547945205,4 ans
wlthwhts,2006-2010,2006-2010,4,808,454,0.5618811881188119,0.09158415841584158,0.16299559471365638,200,128,126,0.44052863436123346,0.28193832599118945,4 ans
wlthblks,2006-2010,2006-2010,4,801,479,0.5980024968789014,0.054931335830212244,0.09185803757828812,130,130,219,0.27139874739039666,0.27139874739039666,4 ans
racwork,2006-2010,2006-2010,4,411,192,0.46715328467153283,0.060827250608272494,0.13020833333333331,48,73,71,0.25,0.3802083333333333,4 ans
getahead,2006-2010,2006-2010,4,865,339,0.3919075144508671,0.009248554913294793,0.023598820058997036,88,80,171,0.25958702064896755,0.2359882005899705,4 ans
aged,2006-2010,2006-2010,4,828,388,0.46859903381642515,0.08333333333333333,0.17783505154639173,189,120,79,0.48711340206185566,0.30927835051546393,4 ans
parsol,2006-2010,2006-2010,4,827,447,0.5405078597339782,0.04594921402660221,0.08501118568232668,103,90,254,0.23042505592841164,0.20134228187919462,4 ans
kidssol,2006-2010,2006-2010,4,806,466,0.5781637717121588,0.07196029776674936,0.1244635193133047,134,110,222,0.2875536480686695,0.23605150214592274,4 ans
spanking,2006-2010,2006-2010,4,825,389,0.4715151515151515,0.046060606060606066,0.09768637532133677,12,87,290,0.030848329048843187,0.2236503856041131,4 ans
divlaw,2006-2010,2006-2010,4,774,265,0.3423772609819121,0.07105943152454779,0.2075471698113207,121,66,78,0.45660377358490567,0.2490566037735849,4 ans
sexeduc,2006-2010,2006-2010,4,813,59,0.07257072570725707,0.011070110701106993,0.15254237288135566,34,25,0,0.576271186440678,0.423728813559322,4 ans
pillok,2006-2010,2006-2010,4,819,460,0.5616605616605617,0.05738705738705738,0.10217391304347824,112,152,196,0.24347826086956523,0.33043478260869563,4 ans
xmarsex,2006-2010,2006-2010,4,850,189,0.2223529411764706,0.021176470588235248,0.09523809523809502,48,30,111,0.25396825396825395,0.15873015873015872,4 ans
homosex,2006-2010,2006-2010,4,795,205,0.2578616352201258,0.035220125786163514,0.13658536585365852,74,46,85,0.36097560975609755,0.22439024390243903,4 ans
discaff,2006-2010,2006-2010,4,827,430,0.5199516324062878,0.04353083434099153,0.08372093023255812,143,168,119,0.3325581395348837,0.39069767441860465,4 ans
abdefect,2006-2010,2006-2010,4,811,108,0.13316892725030827,0.002466091245376084,0.018518518518518556,55,53,0,0.5092592592592593,0.49074074074074076,4 ans
abnomore,2006-2010,2006-2010,4,824,158,0.19174757281553398,0.0,0.0,0,158,0,0.0,1.0,4 ans
abhlth,2006-2010,2006-2010,4,802,69,0.08603491271820449,0.003740648379052386,0.04347826086956541,36,33,0,0.5217391304347826,0.4782608695652174,4 ans
abpoor,2006-2010,2006-2010,4,818,166,0.20293398533007334,0.002444987775061108,0.012048192771084256,84,82,0,0.5060240963855421,0.4939759036144578,4 ans
abrape,2006-2010,2006-2010,4,805,122,0.1515527950310559,0.004968944099378869,0.03278688524590156,63,59,0,0.5163934426229508,0.48360655737704916,4 ans
absingle,2006-2010,2006-2010,4,826,152,0.18401937046004843,0.00484261501210656,0.026315789473684334,78,74,0,0.5131578947368421,0.4868421052631579,4 ans
abany,2006-2010,2006-2010,4,824,144,0.17475728155339806,0.0024271844660194164,0.013888888888888883,73,71,0,0.5069444444444444,0.4930555555555556,4 ans
