temoin,jeu,candidat,attaque,mesure,valeur,ic_bas,ic_haut,tirages_min,tirages_max,tirages_ecart_type,k_items,n_tirages_items,n_attaques,n_pool,baseline_top1,note,top1_k12,top1_k60,tirage_items,candidat_top1,baseline_ic_bas,baseline_ic_haut,hasard,top1_naif,top1_fort,twin_top1,twin_baseline_top1,twin_rapport,argyle_top1,argyle_baseline_top1,argyle_rapport,contraste_twin_sur_argyle
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",naif (Hamming),auc_monde_ouvert,0.0005396731271391863,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",naif (Hamming),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",naif (Hamming),tpr_a_fpr_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),A-LLR (hors pli),top1,0.0023277467411545625,0.0004655493482309125,0.004655493482309125,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),A-LLR (hors pli),top10,0.007914338919925512,0.004643854748603353,0.012104283054003724,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),A-LLR (hors pli),auc_monde_ouvert,0.0013412719467071703,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),A-LLR (hors pli),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),A-LLR (hors pli),tpr_a_fpr_1pct,0.0004655493482309125,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),A-LLR (hors pli),top1,0.00013966480446927373,0.0,0.00041899441340782117,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),A-LLR (hors pli),top10,0.013175046554934823,0.008519553072625698,0.01815875232774673,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),A-LLR (hors pli),auc_monde_ouvert,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),A-LLR (hors pli),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),A-LLR (hors pli),tpr_a_fpr_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),A-LLR (hors pli),top1,0.0013966480446927375,0.0,0.0032588454376163874,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),A-LLR (hors pli),top10,0.010707635009310988,0.006517690875232775,0.015363128491620111,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),A-LLR (hors pli),auc_monde_ouvert,0.0003619494467158398,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
