config_x,config_y,n_attaques,n_pool,n_items,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,hasard_top1,hasard_top10,top1_controle,top1_controle_bas,top1_controle_haut,top10_controle,n_controle
JSON Persona - GPT4.1,Text Persona (Reasoning) - GPT4.1-mini,2058,2058,60,0.32684645286686104,0.3078231292517007,0.3449738824101069,0.5836491739552965,0.5623177842565598,0.6040093537414966,5.15,0.00048590864917395527,0.004859086491739553,0.0004861448711716091,0.0,0.0014584346135148275,0.006757413709285368,2057
JSON Persona - GPT4.1,Text Persona (Repeating Questions) - GPT4.1-mini,2058,2058,60,0.30908649173955294,0.2904233479105929,0.32798955296404275,0.6034985422740525,0.5839844509232264,0.6236424927113703,5.074999999999999,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.0015799708313077297,2057
JSON Persona - GPT4.1,Text Persona - GPT4.1-mini,2058,2058,60,0.3729348882410107,0.35250000000000004,0.39257045675413027,0.6669096209912536,0.6483436588921282,0.6872971331389699,3.025,0.00048590864917395527,0.004859086491739553,0.0004861448711716091,0.0,0.0014584346135148275,0.003597472046669908,2057
JSON Persona - GPT4.1,Text Persona - Gemini-Flash2.5,2058,2058,60,0.3559523809523809,0.3367808551992226,0.37594752186588926,0.6519679300291545,0.6321896258503402,0.6712645772594753,3.475,0.00048590864917395527,0.004859086491739553,0.00019445794846864367,0.0,0.000583373845405931,0.004326689353427321,2057
JSON Persona - GPT4.1-mini,Demographics Only - GPT4.1-mini,1000,2058,19,0.0006,5e-05,0.0015,0.008,0.0042987500000000005,0.0127,647.475,0.00048590864917395527,0.004859086491739553,0.0008008008008008007,0.0,0.0018518518518518517,0.006406406406406406,999
JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,1000,2058,19,0.0033,0.00075,0.0066,0.0188,0.012150000000000001,0.0257,358.55,0.00048590864917395527,0.004859086491739553,0.00025025025025025025,0.0,0.0007007007007007007,0.004304304304304305,999
JSON Persona - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,1000,2058,19,0.0026999999999999997,0.0004,0.0058,0.016399999999999998,0.009899999999999999,0.023399999999999997,397.575,0.00048590864917395527,0.004859086491739553,0.0014514514514514516,0.0002489989989989991,0.003003003003003003,0.009459459459459458,999
JSON Persona - GPT4.1-mini,Text Persona (Reasoning) - GPT4.1-mini,1000,2058,19,0.0038,0.00079875,0.007651249999999994,0.023299999999999998,0.014798750000000001,0.03160125,376.275,0.00048590864917395527,0.004859086491739553,0.002002002002002002,0.0,0.005005005005005005,0.004354354354354355,999
JSON Persona - GPT4.1-mini,Text Persona (Repeating Questions) - GPT4.1-mini,1000,2058,19,0.00325,0.00085,0.006601249999999994,0.021200000000000004,0.013800000000000002,0.029602499999999986,373.1,0.00048590864917395527,0.004859086491739553,0.0008508508508508509,0.00015015015015015014,0.001851851851851852,0.006456456456456457,999
JSON Persona - GPT4.1-mini,Text Persona - GPT4.1-mini,1000,2058,19,0.00275,0.0007000000000000001,0.0057,0.020399999999999998,0.013,0.0289,371.05,0.00048590864917395527,0.004859086491739553,5.005005005005005e-05,0.0,0.00015015015015015017,0.0039039039039039042,999
JSON Persona - GPT4.1-mini,Text Persona - Gemini-Flash2.5,1000,2058,19,0.00065,0.0,0.0019500000000000001,0.0055,0.00215,0.009751249999999993,482.29999999999995,0.00048590864917395527,0.004859086491739553,0.00015015015015015014,0.0,0.0004504504504504504,0.0016016016016016017,999
Text Persona (Default Temperature) - GPT4.1-mini,Demographics Only - GPT4.1-mini,2058,2058,60,0.062050534499514094,0.0517966472303207,0.07174501943634597,0.18547133138969873,0.17009171525753156,0.20218719630709425,130.675,0.00048590864917395527,0.004859086491739553,0.0007292173067574137,0.0,0.0019445794846864365,0.005614973262032086,2057
Text Persona (Default Temperature) - GPT4.1-mini,JSON Persona - GPT4.1,2058,2058,60,0.2527453838678328,0.23546404275996113,0.27038386783284746,0.5019436345966958,0.481678814382896,0.5233971088435373,10.95,0.00048590864917395527,0.004859086491739553,0.0001701507049100632,0.0,0.0005104521147301895,0.004691298006806027,2057
Text Persona (Default Temperature) - GPT4.1-mini,JSON Persona - GPT4.1-mini,1000,1000,19,0.006900000000000001,0.003,0.01175,0.053700000000000005,0.042,0.06660124999999999,167.02499999999998,0.001,0.01,0.00030060120240480966,0.0,0.0008016032064128256,0.007014028056112225,998
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona (Reasoning) - GPT4.1-mini,2058,2058,60,0.2675413022351798,0.24883321185617105,0.2861285228377065,0.4997813411078718,0.4803419582118562,0.5199508017492711,10.825,0.00048590864917395527,0.004859086491739553,0.00019445794846864367,0.0,0.000583373845405931,0.006028196402527952,2057
