famille,n_items,condition,cousins_vus_par_C3,cellules,exactitude,ic_bas,ic_haut,raretes_osees,fausses_raretes,taux_fausses_raretes
avortement (ab*),7,humains vague 2,4.857143,420,0.914286,0.864286,0.957143,4,2,0.500000
libertes civiles (spk/col/lib),11,C3F,8.181818,660,0.754545,0.713636,0.792424,11,9,0.818182
libertes civiles (spk/col/lib),11,C3,8.181818,660,0.810606,0.768182,0.848485,9,5,0.555556
libertes civiles (spk/col/lib),11,C2,8.181818,660,0.769697,0.728788,0.812121,7,5,0.714286
libertes civiles (spk/col/lib),11,agents composite,8.181818,660,0.783333,0.739394,0.825758,10,7,0.700000
libertes civiles (spk/col/lib),11,agents enquete,8.181818,660,0.769697,0.721212,0.813636,15,10,0.666667
libertes civiles (spk/col/lib),11,agents entretien (v3),8.181818,660,0.780303,0.736364,0.821212,11,6,0.545455
libertes civiles (spk/col/lib),11,agents demographiques (v6),8.181818,660,0.757576,0.718182,0.796970,4,2,0.500000
libertes civiles (spk/col/lib),11,agents v7,8.181818,660,0.778788,0.737879,0.818182,3,3,1.000000
libertes civiles (spk/col/lib),11,agents v8,8.181818,660,0.709091,0.642424,0.771212,24,19,0.791667
libertes civiles (spk/col/lib),11,B0 mode,8.181818,660,0.786364,0.743939,0.825758,0,0,
libertes civiles (spk/col/lib),11,B0 tirage,8.181818,660,0.660606,0.621212,0.700000,8,8,1.000000
libertes civiles (spk/col/lib),11,B1 argmax,8.181818,660,0.772727,0.734811,0.807614,0,0,
libertes civiles (spk/col/lib),11,B2 argmax,8.181818,660,0.813636,0.775758,0.850000,0,0,
libertes civiles (spk/col/lib),11,B2 famille retiree,8.181818,660,0.795455,0.748485,0.839394,0,0,
libertes civiles (spk/col/lib),11,B3 foret,8.181818,660,0.795455,0.757576,0.831818,0,0,
libertes civiles (spk/col/lib),11,humains vague 2,8.181818,660,0.845455,0.803030,0.884848,4,2,0.500000
fin de vie (suicide/letdie),5,C3F,3.200000,300,0.686667,0.620000,0.753333,0,0,
fin de vie (suicide/letdie),5,C3,3.200000,300,0.766667,0.720000,0.810000,0,0,
fin de vie (suicide/letdie),5,C2,3.200000,300,0.706667,0.660000,0.753333,0,0,
fin de vie (suicide/letdie),5,agents composite,3.200000,300,0.783333,0.743333,0.823333,0,0,
fin de vie (suicide/letdie),5,agents enquete,3.200000,300,0.776667,0.726667,0.826667,0,0,
fin de vie (suicide/letdie),5,agents entretien (v3),3.200000,300,0.716667,0.650000,0.780000,0,0,
fin de vie (suicide/letdie),5,agents demographiques (v6),3.200000,300,0.706667,0.646667,0.766667,0,0,
fin de vie (suicide/letdie),5,agents v7,3.200000,300,0.726667,0.670000,0.783333,0,0,
fin de vie (suicide/letdie),5,agents v8,3.200000,298,0.694631,0.634228,0.755034,0,0,
fin de vie (suicide/letdie),5,B0 mode,3.200000,300,0.720000,0.656667,0.783333,0,0,
fin de vie (suicide/letdie),5,B0 tirage,3.200000,300,0.623333,0.570000,0.676750,0,0,
fin de vie (suicide/letdie),5,B1 argmax,3.200000,300,0.760000,0.703333,0.816667,0,0,
fin de vie (suicide/letdie),5,B2 argmax,3.200000,300,0.850000,0.803333,0.893333,0,0,
fin de vie (suicide/letdie),5,B2 famille retiree,3.200000,300,0.763333,0.710000,0.820000,0,0,
fin de vie (suicide/letdie),5,B3 foret,3.200000,300,0.726667,0.673333,0.780083,0,0,
fin de vie (suicide/letdie),5,humains vague 2,3.200000,300,0.880000,0.830000,0.926667,0,0,
roles de genre (fe*),5,C3F,3.600000,300,0.453333,0.400000,0.506667,40,30,0.750000
roles de genre (fe*),5,C3,3.600000,300,0.473333,0.416667,0.530000,28,23,0.821429
roles de genre (fe*),5,C2,3.600000,300,0.423333,0.370000,0.480000,18,12,0.666667
roles de genre (fe*),5,agents composite,3.600000,300,0.530000,0.466667,0.590000,5,1,0.200000
roles de genre (fe*),5,agents enquete,3.600000,300,0.493333,0.430000,0.553333,14,10,0.714286
roles de genre (fe*),5,agents entretien (v3),3.600000,300,0.490000,0.420000,0.560000,12,5,0.416667
roles de genre (fe*),5,agents demographiques (v6),3.600000,300,0.453333,0.393250,0.520000,2,2,1.000000
roles de genre (fe*),5,agents v7,3.600000,300,0.423333,0.363333,0.486667,0,0,
roles de genre (fe*),5,agents v8,3.600000,300,0.493333,0.436667,0.550000,28,21,0.750000
roles de genre (fe*),5,B0 mode,3.600000,300,0.476667,0.413333,0.543333,0,0,
roles de genre (fe*),5,B0 tirage,3.600000,300,0.380000,0.326667,0.433333,14,13,0.928571
roles de genre (fe*),5,B1 argmax,3.600000,300,0.476667,0.426667,0.533333,4,3,0.750000
roles de genre (fe*),5,B2 argmax,3.600000,300,0.540000,0.476667,0.603333,3,2,0.666667
roles de genre (fe*),5,B2 famille retiree,3.600000,300,0.490000,0.430000,0.550000,3,2,0.666667
roles de genre (fe*),5,B3 foret,3.600000,300,0.496667,0.430000,0.566667,4,3,0.750000
roles de genre (fe*),5,humains vague 2,3.600000,300,0.656667,0.593333,0.716667,8,3,0.375000
