condition_llm,definition_raretes,personnes,famille,hypothese,adversaire,quantite,difference_llm_moins_adversaire,ic_bas,ic_haut,p_bootstrap,signe_attendu,p_holm,p_bh
C3F gpt-oss-20b,population,150,F3 tertiaire,H3a,"IM m=10 mode, famille retiree",exactitude par personne,-0.118948,-0.132759,-0.105057,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F3 tertiaire,H3a,B2 famille retiree (argmax),exactitude par personne,-0.126827,-0.140690,-0.112989,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F3 tertiaire,H3a,B2 famille retiree (tirage),exactitude par personne,-0.046715,-0.061264,-0.032644,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F4 quaternaire,H4a,E2 famille retiree (tirage),diversite conservee,-0.552258,-0.584479,-0.519072,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F4 quaternaire,H4a,PMM k=10 famille retiree,diversite conservee,-0.539801,-0.568632,-0.510091,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F4 quaternaire,H4a,B2 famille retiree (tirage),diversite conservee,-0.511769,-0.547742,-0.474731,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F4 quaternaire,H4b,E2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.558748,0.516159,0.595182,0.000250,"bilateral, negatif = plus proche de 1",,
C3F gpt-oss-20b,population,150,F4 quaternaire,H4b,PMM k=10 famille retiree,ecart absolu a 1 du ratio intra,0.532985,0.499216,0.565614,0.000250,"bilateral, negatif = plus proche de 1",,
C3F gpt-oss-20b,population,150,F4 quaternaire,H4b,B2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.528756,0.484274,0.573268,0.000250,"bilateral, negatif = plus proche de 1",,
C3 gpt-oss-20b,perimetre,105,F1 primaire,H1a,plancher de segment,"exces de rappel, stables",0.349132,0.236790,0.466478,0.000250,positif,0.001750,0.000438
C3 gpt-oss-20b,perimetre,105,F1 primaire,H1b,E1 famille retiree (argmax),"rappel, raretes stables",0.298851,0.178207,0.415591,0.000250,positif,0.001750,0.000438
C3 gpt-oss-20b,perimetre,105,F1 primaire,H1b,E2 famille retiree (tirage),"rappel, raretes stables",0.241379,0.100000,0.373139,0.002500,positif,0.006000,0.002917
C3 gpt-oss-20b,perimetre,105,F1 primaire,H1b,PMM k=10 famille retiree,"rappel, raretes stables",0.172414,0.051276,0.303797,0.008000,positif,0.008000,0.008000
C3 gpt-oss-20b,perimetre,105,F1 primaire,H1b,"IM m=10 mode, famille retiree","rappel, raretes stables",0.241379,0.100000,0.382025,0.002000,positif,0.006000,0.002800
C3 gpt-oss-20b,perimetre,105,F1 primaire,H1b,B2 famille retiree (argmax),"rappel, raretes stables",0.425287,0.281250,0.532609,0.000250,positif,0.001750,0.000438
C3 gpt-oss-20b,perimetre,105,F1 primaire,H1b,B2 famille retiree (tirage),"rappel, raretes stables",0.287356,0.149421,0.409091,0.000250,positif,0.001750,0.000438
C3 gpt-oss-20b,perimetre,105,F2 secondaire,H2a,plancher de segment sur les cellules osees,"precision, raretes stables",-0.310378,-0.439088,-0.188754,0.000250,positif,0.001750,0.001750
C3 gpt-oss-20b,perimetre,105,F2 secondaire,H2b,E1 famille retiree (argmax),"precision, raretes stables",-0.189204,-0.313250,-0.066081,0.006000,positif,0.030000,0.014000
C3 gpt-oss-20b,perimetre,105,F2 secondaire,H2b,E2 famille retiree (tirage),"precision, raretes stables",0.056990,-0.008495,0.127642,0.086000,positif,0.258000,0.120400
C3 gpt-oss-20b,perimetre,105,F2 secondaire,H2b,PMM k=10 famille retiree,"precision, raretes stables",-0.028947,-0.112341,0.046881,0.508000,positif,0.508000,0.508000
C3 gpt-oss-20b,perimetre,105,F2 secondaire,H2b,"IM m=10 mode, famille retiree","precision, raretes stables",-0.117657,-0.232969,-0.000712,0.049000,positif,0.196000,0.085750
C3 gpt-oss-20b,perimetre,105,F2 secondaire,H2b,B2 famille retiree (argmax),"precision, raretes stables",-0.195614,-0.484710,0.132126,0.231500,positif,0.463000,0.270083
C3 gpt-oss-20b,perimetre,105,F2 secondaire,H2b,B2 famille retiree (tirage),"precision, raretes stables",0.093233,0.027207,0.163101,0.004500,positif,0.027000,0.014000
C3 gpt-oss-20b,perimetre,105,F3 tertiaire,H3a,E1 famille retiree (argmax),exactitude par personne,-0.071166,-0.088013,-0.054516,0.000250,bilateral,0.001500,0.000375
C3 gpt-oss-20b,perimetre,105,F3 tertiaire,H3a,E2 famille retiree (tirage),exactitude par personne,-0.002738,-0.019869,0.014286,0.769500,bilateral,0.769500,0.769500
C3 gpt-oss-20b,perimetre,105,F3 tertiaire,H3a,PMM k=10 famille retiree,exactitude par personne,-0.037389,-0.053863,-0.021511,0.000250,bilateral,0.001500,0.000375
C3 gpt-oss-20b,perimetre,105,F3 tertiaire,H3a,"IM m=10 mode, famille retiree",exactitude par personne,-0.054590,-0.070936,-0.038752,0.000250,bilateral,0.001500,0.000375
C3 gpt-oss-20b,perimetre,105,F3 tertiaire,H3a,B2 famille retiree (argmax),exactitude par personne,-0.061078,-0.079310,-0.043021,0.000250,bilateral,0.001500,0.000375
C3 gpt-oss-20b,perimetre,105,F3 tertiaire,H3a,B2 famille retiree (tirage),exactitude par personne,0.017774,-0.000497,0.035304,0.055500,bilateral,0.111000,0.066600
C3 gpt-oss-20b,perimetre,105,F4 quaternaire,H4a,E2 famille retiree (tirage),diversite conservee,-0.324081,-0.367263,-0.283211,0.000250,bilateral,0.001500,0.000250
C3 gpt-oss-20b,perimetre,105,F4 quaternaire,H4a,PMM k=10 famille retiree,diversite conservee,-0.308431,-0.349913,-0.269025,0.000250,bilateral,0.001500,0.000250
C3 gpt-oss-20b,perimetre,105,F4 quaternaire,H4a,B2 famille retiree (tirage),diversite conservee,-0.277513,-0.323569,-0.232743,0.000250,bilateral,0.001500,0.000250
C3 gpt-oss-20b,perimetre,105,F4 quaternaire,H4b,E2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.300903,0.250060,0.344323,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3 gpt-oss-20b,perimetre,105,F4 quaternaire,H4b,PMM k=10 famille retiree,ecart absolu a 1 du ratio intra,0.297688,0.254455,0.342451,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3 gpt-oss-20b,perimetre,105,F4 quaternaire,H4b,B2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.290743,0.237196,0.340433,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3 gpt-oss-20b,population,105,F1 primaire,H1a,plancher de segment,"exces de rappel, stables",0.232511,0.092351,0.371727,0.001000,positif,,
C3 gpt-oss-20b,population,105,F1 primaire,H1b,E1 famille retiree (argmax),"rappel, raretes stables",0.200000,0.056604,0.345455,0.010000,positif,,
C3 gpt-oss-20b,population,105,F1 primaire,H1b,E2 famille retiree (tirage),"rappel, raretes stables",0.184615,0.019598,0.333333,0.036000,positif,,
C3 gpt-oss-20b,population,105,F1 primaire,H1b,PMM k=10 famille retiree,"rappel, raretes stables",0.076923,-0.086226,0.250099,0.408500,positif,,
C3 gpt-oss-20b,population,105,F1 primaire,H1b,"IM m=10 mode, famille retiree","rappel, raretes stables",0.169231,0.015385,0.326098,0.045500,positif,,
C3 gpt-oss-20b,population,105,F1 primaire,H1b,B2 famille retiree (argmax),"rappel, raretes stables",0.307692,0.180320,0.419759,0.000250,positif,,
C3 gpt-oss-20b,population,105,F1 primaire,H1b,B2 famille retiree (tirage),"rappel, raretes stables",0.153846,0.000000,0.289723,0.053000,positif,,
C3 gpt-oss-20b,population,105,F2 secondaire,H2a,plancher de segment sur les cellules osees,"precision, raretes stables",-0.396786,-0.540467,-0.249773,0.000250,positif,,
C3 gpt-oss-20b,population,105,F2 secondaire,H2b,E1 famille retiree (argmax),"precision, raretes stables",-0.235938,-0.476047,-0.011176,0.039000,positif,,
C3 gpt-oss-20b,population,105,F2 secondaire,H2b,E2 famille retiree (tirage),"precision, raretes stables",0.051562,-0.042401,0.139988,0.293000,positif,,
C3 gpt-oss-20b,population,105,F2 secondaire,H2b,PMM k=10 famille retiree,"precision, raretes stables",-0.043730,-0.160625,0.060934,0.526000,positif,,
C3 gpt-oss-20b,population,105,F2 secondaire,H2b,"IM m=10 mode, famille retiree","precision, raretes stables",-0.130055,-0.307460,0.023602,0.117500,positif,,
C3 gpt-oss-20b,population,105,F2 secondaire,H2b,B2 famille retiree (argmax),"precision, raretes stables",-0.169271,-0.859472,0.223040,0.722120,positif,,
C3 gpt-oss-20b,population,105,F2 secondaire,H2b,B2 famille retiree (tirage),"precision, raretes stables",0.050660,-0.024666,0.130013,0.201500,positif,,
C3 gpt-oss-20b,population,105,F3 tertiaire,H3a,E1 famille retiree (argmax),exactitude par personne,-0.071166,-0.088013,-0.054516,0.000250,bilateral,,
C3 gpt-oss-20b,population,105,F3 tertiaire,H3a,E2 famille retiree (tirage),exactitude par personne,-0.002738,-0.019869,0.014286,0.769500,bilateral,,
C3 gpt-oss-20b,population,105,F3 tertiaire,H3a,PMM k=10 famille retiree,exactitude par personne,-0.037389,-0.053863,-0.021511,0.000250,bilateral,,
C3 gpt-oss-20b,population,105,F3 tertiaire,H3a,"IM m=10 mode, famille retiree",exactitude par personne,-0.054590,-0.070936,-0.038752,0.000250,bilateral,,
C3 gpt-oss-20b,population,105,F3 tertiaire,H3a,B2 famille retiree (argmax),exactitude par personne,-0.061078,-0.079310,-0.043021,0.000250,bilateral,,
C3 gpt-oss-20b,population,105,F3 tertiaire,H3a,B2 famille retiree (tirage),exactitude par personne,0.017774,-0.000497,0.035304,0.055500,bilateral,,
C3 gpt-oss-20b,population,105,F4 quaternaire,H4a,E2 famille retiree (tirage),diversite conservee,-0.324081,-0.367263,-0.283211,0.000250,bilateral,,
C3 gpt-oss-20b,population,105,F4 quaternaire,H4a,PMM k=10 famille retiree,diversite conservee,-0.308431,-0.349913,-0.269025,0.000250,bilateral,,
C3 gpt-oss-20b,population,105,F4 quaternaire,H4a,B2 famille retiree (tirage),diversite conservee,-0.277513,-0.323569,-0.232743,0.000250,bilateral,,
C3 gpt-oss-20b,population,105,F4 quaternaire,H4b,E2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.300903,0.250060,0.344323,0.000250,"bilateral, negatif = plus proche de 1",,
C3 gpt-oss-20b,population,105,F4 quaternaire,H4b,PMM k=10 famille retiree,ecart absolu a 1 du ratio intra,0.297688,0.254455,0.342451,0.000250,"bilateral, negatif = plus proche de 1",,
C3 gpt-oss-20b,population,105,F4 quaternaire,H4b,B2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.290743,0.237196,0.340433,0.000250,"bilateral, negatif = plus proche de 1",,
C3F Qwen3-4B,perimetre,60,F1 primaire,H1a,plancher de segment,"exces de rappel, stables",0.124549,-0.051094,0.371345,0.197000,positif,0.591000,0.238000
C3F Qwen3-4B,perimetre,60,F1 primaire,H1b,E1 famille retiree (argmax),"rappel, raretes stables",0.161290,0.000000,0.375000,0.065000,positif,0.390000,0.152833
C3F Qwen3-4B,perimetre,60,F1 primaire,H1b,E2 famille retiree (tirage),"rappel, raretes stables",0.032258,-0.138889,0.230769,0.811500,positif,0.811500,0.811500
C3F Qwen3-4B,perimetre,60,F1 primaire,H1b,PMM k=10 famille retiree,"rappel, raretes stables",0.129032,-0.040020,0.375000,0.204000,positif,0.591000,0.238000
C3F Qwen3-4B,perimetre,60,F1 primaire,H1b,"IM m=10 mode, famille retiree","rappel, raretes stables",0.161290,0.000000,0.333333,0.065500,positif,0.390000,0.152833
C3F Qwen3-4B,perimetre,60,F1 primaire,H1b,B2 famille retiree (argmax),"rappel, raretes stables",0.225806,0.043433,0.444518,0.028500,positif,0.199500,0.152833
C3F Qwen3-4B,perimetre,60,F1 primaire,H1b,B2 famille retiree (tirage),"rappel, raretes stables",0.129032,-0.022727,0.321429,0.127500,positif,0.510000,0.223125
C3F Qwen3-4B,perimetre,60,F2 secondaire,H2a,plancher de segment sur les cellules osees,"precision, raretes stables",-0.500583,-0.583534,-0.407307,0.000250,positif,0.001750,0.001750
C3F Qwen3-4B,perimetre,60,F2 secondaire,H2b,E1 famille retiree (argmax),"precision, raretes stables",-0.114773,-0.245098,0.050002,0.156000,positif,0.780000,0.364000
C3F Qwen3-4B,perimetre,60,F2 secondaire,H2b,E2 famille retiree (tirage),"precision, raretes stables",-0.061888,-0.143955,0.012545,0.103500,positif,0.621000,0.362250
C3F Qwen3-4B,perimetre,60,F2 secondaire,H2b,PMM k=10 famille retiree,"precision, raretes stables",-0.018182,-0.111279,0.063045,0.768500,positif,1.000000,0.873000
C3F Qwen3-4B,perimetre,60,F2 secondaire,H2b,"IM m=10 mode, famille retiree","precision, raretes stables",-0.042657,-0.161308,0.056818,0.479000,positif,1.000000,0.838250
C3F Qwen3-4B,perimetre,60,F2 secondaire,H2b,B2 famille retiree (argmax),"precision, raretes stables",-0.127273,-0.396552,0.111111,0.711348,positif,1.000000,0.873000
C3F Qwen3-4B,perimetre,60,F2 secondaire,H2b,B2 famille retiree (tirage),"precision, raretes stables",-0.005704,-0.072479,0.050102,0.873000,positif,1.000000,0.873000
C3F Qwen3-4B,perimetre,60,F3 tertiaire,H3a,E1 famille retiree (argmax),exactitude par personne,-0.134348,-0.155747,-0.112644,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F3 tertiaire,H3a,E2 famille retiree (tirage),exactitude par personne,-0.064347,-0.085920,-0.041667,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F3 tertiaire,H3a,PMM k=10 famille retiree,exactitude par personne,-0.097985,-0.121264,-0.073851,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F3 tertiaire,H3a,"IM m=10 mode, famille retiree",exactitude par personne,-0.110713,-0.129023,-0.092234,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F3 tertiaire,H3a,B2 famille retiree (argmax),exactitude par personne,-0.125042,-0.147989,-0.102292,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F3 tertiaire,H3a,B2 famille retiree (tirage),exactitude par personne,-0.043498,-0.064943,-0.021552,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F4 quaternaire,H4a,E2 famille retiree (tirage),diversite conservee,-0.405030,-0.466151,-0.349299,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F4 quaternaire,H4a,PMM k=10 famille retiree,diversite conservee,-0.389892,-0.450295,-0.333898,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F4 quaternaire,H4a,B2 famille retiree (tirage),diversite conservee,-0.346699,-0.408836,-0.290414,0.000250,bilateral,0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F4 quaternaire,H4b,E2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.302090,0.182895,0.413051,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F4 quaternaire,H4b,PMM k=10 famille retiree,ecart absolu a 1 du ratio intra,0.323023,0.243544,0.404757,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3F Qwen3-4B,perimetre,60,F4 quaternaire,H4b,B2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.317745,0.234590,0.404316,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3F Qwen3-4B,population,60,F1 primaire,H1a,plancher de segment,"exces de rappel, stables",0.094135,-0.032781,0.295174,0.165000,positif,,
C3F Qwen3-4B,population,60,F1 primaire,H1b,E1 famille retiree (argmax),"rappel, raretes stables",0.066667,-0.086957,0.275022,0.530500,positif,,
C3F Qwen3-4B,population,60,F1 primaire,H1b,E2 famille retiree (tirage),"rappel, raretes stables",0.033333,-0.107143,0.217425,0.819500,positif,,
C3F Qwen3-4B,population,60,F1 primaire,H1b,PMM k=10 famille retiree,"rappel, raretes stables",0.033333,-0.133333,0.296296,0.834500,positif,,
C3F Qwen3-4B,population,60,F1 primaire,H1b,"IM m=10 mode, famille retiree","rappel, raretes stables",0.066667,-0.086957,0.275022,0.530500,positif,,
C3F Qwen3-4B,population,60,F1 primaire,H1b,B2 famille retiree (argmax),"rappel, raretes stables",0.166667,0.045455,0.333333,0.011500,positif,,
C3F Qwen3-4B,population,60,F1 primaire,H1b,B2 famille retiree (tirage),"rappel, raretes stables",0.000000,-0.160000,0.200000,1.000000,positif,,
C3F Qwen3-4B,population,60,F2 secondaire,H2a,plancher de segment sur les cellules osees,"precision, raretes stables",-0.529395,-0.600754,-0.449595,0.000250,positif,,
C3F Qwen3-4B,population,60,F2 secondaire,H2b,E1 famille retiree (argmax),"precision, raretes stables",-0.281250,-0.539272,0.039274,0.087109,positif,,
C3F Qwen3-4B,population,60,F2 secondaire,H2b,E2 famille retiree (tirage),"precision, raretes stables",-0.053180,-0.155505,0.030052,0.242000,positif,,
C3F Qwen3-4B,population,60,F2 secondaire,H2b,PMM k=10 famille retiree,"precision, raretes stables",-0.069129,-0.215905,0.061224,0.463500,positif,,
C3F Qwen3-4B,population,60,F2 secondaire,H2b,"IM m=10 mode, famille retiree","precision, raretes stables",-0.147917,-0.371257,0.040015,0.115000,positif,,
C3F Qwen3-4B,population,60,F2 secondaire,H2b,B2 famille retiree (argmax),"precision, raretes stables",0.052083,0.011111,0.098901,0.012048,positif,,
C3F Qwen3-4B,population,60,F2 secondaire,H2b,B2 famille retiree (tirage),"precision, raretes stables",-0.054300,-0.146638,0.025512,0.202000,positif,,
C3F Qwen3-4B,population,60,F3 tertiaire,H3a,E1 famille retiree (argmax),exactitude par personne,-0.134348,-0.155747,-0.112644,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F3 tertiaire,H3a,E2 famille retiree (tirage),exactitude par personne,-0.064347,-0.085920,-0.041667,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F3 tertiaire,H3a,PMM k=10 famille retiree,exactitude par personne,-0.097985,-0.121264,-0.073851,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F3 tertiaire,H3a,"IM m=10 mode, famille retiree",exactitude par personne,-0.110713,-0.129023,-0.092234,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F3 tertiaire,H3a,B2 famille retiree (argmax),exactitude par personne,-0.125042,-0.147989,-0.102292,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F3 tertiaire,H3a,B2 famille retiree (tirage),exactitude par personne,-0.043498,-0.064943,-0.021552,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F4 quaternaire,H4a,E2 famille retiree (tirage),diversite conservee,-0.405030,-0.466151,-0.349299,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F4 quaternaire,H4a,PMM k=10 famille retiree,diversite conservee,-0.389892,-0.450295,-0.333898,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F4 quaternaire,H4a,B2 famille retiree (tirage),diversite conservee,-0.346699,-0.408836,-0.290414,0.000250,bilateral,,
C3F Qwen3-4B,population,60,F4 quaternaire,H4b,E2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.302090,0.182895,0.413051,0.000250,"bilateral, negatif = plus proche de 1",,
C3F Qwen3-4B,population,60,F4 quaternaire,H4b,PMM k=10 famille retiree,ecart absolu a 1 du ratio intra,0.323023,0.243544,0.404757,0.000250,"bilateral, negatif = plus proche de 1",,
C3F Qwen3-4B,population,60,F4 quaternaire,H4b,B2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.317745,0.234590,0.404316,0.000250,"bilateral, negatif = plus proche de 1",,
