perimetre,definition,tranche,rang,condition,exactitude
150,ordinale extremes,ensemble,2,agents composite,0.792426
150,ordinale extremes,ensemble,3,B2 argmax,0.789941
150,ordinale extremes,ensemble,4,B3 foret,0.769526
150,ordinale extremes,ensemble,5,agents entretien (v3),0.769269
150,ordinale extremes,ensemble,6,agents enquete,0.765443
150,ordinale extremes,ensemble,7,B1 argmax,0.760947
150,ordinale extremes,ensemble,8,B0 mode,0.750923
150,ordinale extremes,ensemble,9,agents demographiques (v6),0.733977
150,ordinale extremes,ensemble,10,agents v7,0.724953
150,ordinale extremes,ensemble,11,agents v8,0.720121
150,ordinale extremes,ensemble,12,C3,0.716478
150,ordinale extremes,ensemble,13,C2,0.706741
150,ordinale extremes,ensemble,14,B0 tirage,0.672083
150,ordinale extremes,ensemble,15,B0 uniforme,0.587817
150,ordinale extremes,haut,1,humains vague 2,0.848796
150,ordinale extremes,haut,2,agents composite,0.798086
150,ordinale extremes,haut,3,agents entretien (v3),0.794797
150,ordinale extremes,haut,4,B2 argmax,0.727449
150,ordinale extremes,haut,5,agents enquete,0.719872
150,ordinale extremes,haut,6,B1 argmax,0.692414
150,ordinale extremes,haut,7,B3 foret,0.690137
150,ordinale extremes,haut,8,agents v8,0.659901
150,ordinale extremes,haut,9,C3,0.649216
150,ordinale extremes,haut,10,agents demographiques (v6),0.642074
150,ordinale extremes,haut,11,C2,0.614110
150,ordinale extremes,haut,12,B0 mode,0.613547
150,ordinale extremes,haut,13,agents v7,0.602383
150,ordinale extremes,haut,14,B0 tirage,0.561573
150,ordinale extremes,haut,15,B0 uniforme,0.504347
150,ordinale extremes,milieu,1,humains vague 2,0.878099
150,ordinale extremes,milieu,2,B0 mode,0.824611
150,ordinale extremes,milieu,3,B2 argmax,0.822969
150,ordinale extremes,milieu,4,agents composite,0.813479
150,ordinale extremes,milieu,5,B3 foret,0.810697
150,ordinale extremes,milieu,6,agents demographiques (v6),0.805027
150,ordinale extremes,milieu,7,C2,0.794737
150,ordinale extremes,milieu,8,B1 argmax,0.792376
150,ordinale extremes,milieu,9,agents enquete,0.790509
150,ordinale extremes,milieu,10,agents v7,0.784931
150,ordinale extremes,milieu,11,agents entretien (v3),0.784299
150,ordinale extremes,milieu,12,agents v8,0.774812
150,ordinale extremes,milieu,13,C3,0.754147
150,ordinale extremes,milieu,14,B0 tirage,0.739092
150,ordinale extremes,milieu,15,B0 uniforme,0.667995
150,rarete,bas,1,humains vague 2,0.405738
150,rarete,bas,2,B0 uniforme,0.221311
150,rarete,bas,3,C3,0.184426
150,rarete,bas,4,agents composite,0.176230
150,rarete,bas,5,agents demographiques (v6),0.159836
150,rarete,bas,6,agents entretien (v3),0.151639
150,rarete,bas,7,C2,0.139344
150,rarete,bas,8,agents enquete,0.122951
150,rarete,bas,9,agents v8,0.065574
150,rarete,bas,10,agents v7,0.049180
150,rarete,bas,11,B0 tirage,0.049180
150,rarete,bas,12,B1 argmax,0.008197
150,rarete,bas,13,B0 mode,0.000000
150,rarete,bas,14,B2 argmax,0.000000
150,rarete,bas,15,B3 foret,0.000000
150,rarete,ensemble,1,humains vague 2,0.791499
150,rarete,ensemble,2,agents composite,0.682461
150,rarete,ensemble,3,B2 argmax,0.669754
150,rarete,ensemble,4,agents entretien (v3),0.654228
150,rarete,ensemble,5,agents enquete,0.645817
150,rarete,ensemble,6,B3 foret,0.636913
150,rarete,ensemble,7,B1 argmax,0.628098
150,rarete,ensemble,8,B0 mode,0.595615
150,rarete,ensemble,9,agents demographiques (v6),0.588680
150,rarete,ensemble,10,C3,0.581700
150,rarete,ensemble,11,agents v7,0.568054
150,rarete,ensemble,12,agents v8,0.565056
150,rarete,ensemble,13,C2,0.526309
150,rarete,ensemble,14,B0 tirage,0.494004
150,rarete,ensemble,15,B0 uniforme,0.350962
150,rarete,haut,1,B0 mode,1.000000
150,rarete,haut,2,B2 argmax,1.000000
150,rarete,haut,3,B3 foret,1.000000
150,rarete,haut,4,B1 argmax,0.998045
150,rarete,haut,5,agents demographiques (v6),0.992180
150,rarete,haut,6,C3,0.981427
150,rarete,haut,7,humains vague 2,0.981427
150,rarete,haut,8,agents composite,0.978495
150,rarete,haut,9,B0 tirage,0.973607
150,rarete,haut,10,agents v8,0.972630
150,rarete,haut,11,agents entretien (v3),0.958944
150,rarete,haut,12,agents v7,0.940371
150,rarete,haut,13,agents enquete,0.890518
150,rarete,haut,14,C2,0.879765
150,rarete,haut,15,B0 uniforme,0.367546
150,rarete,milieu,1,humains vague 2,0.786748
150,rarete,milieu,2,agents composite,0.673955
150,rarete,milieu,3,B2 argmax,0.661481
150,rarete,milieu,4,agents entretien (v3),0.645259
150,rarete,milieu,5,agents enquete,0.639994
150,rarete,milieu,6,B3 foret,0.626666
150,rarete,milieu,7,B1 argmax,0.617322
150,rarete,milieu,8,B0 mode,0.582887
150,rarete,milieu,9,agents demographiques (v6),0.574064
150,rarete,milieu,10,C3,0.566902
150,rarete,milieu,11,agents v7,0.555993
150,rarete,milieu,12,agents v8,0.551060
150,rarete,milieu,13,C2,0.513637
150,rarete,milieu,14,B0 tirage,0.475881
150,rarete,milieu,15,B0 uniforme,0.351658
