variable,regle_choc,mois_choc,cible,predicteur,description,n_menages,taux_de_base,auc,auc_permutee,chute,chute_ic_bas,chute_ic_haut,p_permutation_normal,p_permutation_empirique,p_holm,retenu_holm
infl3,"primaire, saut de moyenne",2025-06,Y_dir,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1038,0.4055876685934489,0.6765380721212518,0.5034303214157848,0.173107750705467,0.114582582189475,0.2103812992689507,2.3736997679066306e-21,0.0049751243781094,3.5368126541808797e-19,True
infl3,"primaire, saut de moyenne",2025-06,Y_dir,D,demographies seules,1038,0.4055876685934489,0.4870301859045184,0.5461573797818731,-0.0591271938773546,-0.0933057920982267,-0.01985992810418,2.5676846792432024e-07,0.0049751243781094,2.310916211318882e-05,True
infl3,"primaire, saut de moyenne",2025-06,Y_dir,H,historique du menage,1038,0.4055876685934489,0.6651389567942346,0.5110341395997028,0.1541048171945318,0.1037525587701627,0.1954437049110749,2.493901026502793e-19,0.0049751243781094,3.566278467898994e-17,True
infl3,"primaire, saut de moyenne",2025-06,Y_dir,HD,historique et demographies,1038,0.4055876685934489,0.664644263677206,0.5215684851611313,0.1430757785160746,0.0959400605668238,0.1836241874709206,7.949430644281028e-16,0.0049751243781094,1.0413754144008146e-13,True
infl3,"primaire, saut de moyenne",2025-06,Y_dir,T0b,temoin constant,1038,0.4055876685934489,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
infl3,"secondaire, saut d'IQR",2025-04,Y_rev,V,volatilite passee du menage seule,1013,0.4995064165844027,0.6324266591825121,0.5092084921767196,0.1232181670057924,0.0673827648098422,0.1623845794662529,3.439825647701376e-11,0.0049751243781094,3.887002981902555e-09,True
infl3,"secondaire, saut d'IQR",2025-04,Y_rev,N,"ecart au niveau moyen avant le choc, seul",1013,0.4995064165844027,0.6396730359941062,0.5177384892142417,0.1219345467798644,0.0694656076294148,0.1635805667829288,3.274862670909215e-15,0.0049751243781094,4.126326965345611e-13,True
infl3,"secondaire, saut d'IQR",2025-04,Y_rev,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1013,0.4995064165844027,0.3801560758082497,0.499445548876987,-0.1192894730687372,-0.1673127024044154,-0.06966553199731,7.030924699180325e-12,0.0049751243781094,8.155872651049177e-10,True
infl3,"secondaire, saut d'IQR",2025-04,Y_rev,D,demographies seules,1013,0.4995064165844027,0.5527983721963655,0.5643140109611682,-0.0115156387648026,-0.0463874393113329,0.0211056456146,0.3434840657603955,0.3781094527363184,1.0,False
infl3,"secondaire, saut d'IQR",2025-04,Y_rev,H,historique du menage,1013,0.4995064165844027,0.7758573644861271,0.5211713773962938,0.2546859870898332,0.206802951058715,0.2892471608202435,1.002204079681848e-46,0.0049751243781094,1.984364077770059e-44,True
