item,panel,variables_gss,vagues_trouvees,colonnes
aged,2008-2012,aged,3,aged_1;aged_2;aged_3
parsol,2008-2012,parsol,3,parsol_1;parsol_2;parsol_3
kidssol,2008-2012,kidssol,3,kidssol_1;kidssol_2;kidssol_3
spanking,2008-2012,spanking,3,spanking_1;spanking_2;spanking_3
divlaw,2008-2012,divlaw,3,divlaw_1;divlaw_2;divlaw_3
sexeduc,2008-2012,sexeduc,3,sexeduc_1;sexeduc_2;sexeduc_3
pillok,2008-2012,pillok,3,pillok_1;pillok_2;pillok_3
xmarsex,2008-2012,xmarsex,3,xmarsex_1;xmarsex_2;xmarsex_3
homosex,2008-2012,homosex,3,homosex_1;homosex_2;homosex_3
marhomo,2008-2012,marhomo,3,marhomo_1;marhomo_2;marhomo_3
discaff,2008-2012,discaff,3,discaff_1;discaff_2;discaff_3
abdefect,2008-2012,abdefect,3,abdefect_1;abdefect_2;abdefect_3
abnomore,2008-2012,abnomore,3,abnomore_1;abnomore_2;abnomore_3
abhlth,2008-2012,abhlth,3,abhlth_1;abhlth_2;abhlth_3
abpoor,2008-2012,abpoor,3,abpoor_1;abpoor_2;abpoor_3
abrape,2008-2012,abrape,3,abrape_1;abrape_2;abrape_3
absingle,2008-2012,absingle,3,absingle_1;absingle_2;absingle_3
abany,2008-2012,abany,3,abany_1;abany_2;abany_3
letdie1,2008-2012,letdie1,3,letdie1_1;letdie1_2;letdie1_3
suicide1,2008-2012,suicide1,3,suicide1_1;suicide1_2;suicide1_3
suicide2,2008-2012,suicide2,3,suicide2_1;suicide2_2;suicide2_3
suicide3,2008-2012,suicide3,3,suicide3_1;suicide3_2;suicide3_3
suicide4,2008-2012,suicide4,3,suicide4_1;suicide4_2;suicide4_3
pornlaw,2008-2012,pornlaw,3,pornlaw_1;pornlaw_2;pornlaw_3
fair,2008-2012,fair,3,fair_1;fair_2;fair_3
helpful,2008-2012,helpful,3,helpful_1;helpful_2;helpful_3
trust,2008-2012,trust,3,trust_1;trust_2;trust_3
tax,2008-2012,tax,3,tax_1;tax_2;tax_3
vote16,2008-2012,vote16,0,;;
pres16,2008-2012,pres16,0,;;
if16who,2008-2012,if16who,0,;;
news,2008-2012,news,3,news_1;news_2;news_3
jew,2008-2012,jew,3,jew_1;jew_2;jew_3
relig16*,2008-2012,relig16,3,relig16_1;relig16_2;relig16_3
jew16*,2008-2012,jew16,3,jew16_1;jew16_2;jew16_3
attend,2008-2012,attend,3,attend_1;attend_2;attend_3
pray,2008-2012,pray,3,pray_1;pray_2;pray_3
postlife,2008-2012,postlife,3,postlife_1;postlife_2;postlife_3
bible,2008-2012,bible,3,bible_1;bible_2;bible_3
reborn,2008-2012,reborn,3,reborn_1;reborn_2;reborn_3
savesoul,2008-2012,savesoul,3,savesoul_1;savesoul_2;savesoul_3
granborn,2008-2012,granborn,3,granborn_1;granborn_2;granborn_3
uscitzn*,2008-2012,uscitzn,3,uscitzn_1;uscitzn_2;uscitzn_3
fucitzn,2008-2012,fucitzn,3,fucitzn_1;fucitzn_2;fucitzn_3
mnthsusa,2008-2012,mnthsusa,0,;;
income,2008-2012,income,3,income_1;income_2;income_3
othlang,2008-2012,othlang,3,othlang_1;othlang_2;othlang_3
health,2008-2012,health,3,health_1;health_2;health_3
compuse*,2008-2012,compuse,0,;;
webmob,2008-2012,webmob,0,;;
xmovie,2008-2012,xmovie,3,xmovie_1;xmovie_2;xmovie_3
usewww*,2008-2012,usewww,0,;;
life,2008-2012,life,3,life_1;life_2;life_3
richwork,2008-2012,richwork,3,richwork_1;richwork_2;richwork_3
natspac/y,2010-2014,natspac+natspacy,3,natspac_1|natspacy_1;natspac_2|natspacy_2;natspac_3|natspacy_3
natenvir/y,2010-2014,natenvir+natenviry,3,natenvir_1;natenvir_2;natenvir_3
natheal/y,2010-2014,natheal+nathealy,3,natheal_1|nathealy_1;natheal_2|nathealy_2;natheal_3|nathealy_3
natcity/y,2010-2014,natcity+natcityy,3,natcity_1|natcityy_1;natcity_2|natcityy_2;natcity_3|natcityy_3
natdrug/y,2010-2014,natdrug+natdrugy,3,natdrug_1|natdrugy_1;natdrug_2|natdrugy_2;natdrug_3|natdrugy_3
nateduc/y,2010-2014,nateduc+nateducy,3,nateduc_1|nateducy_1;nateduc_2|nateducy_2;nateduc_3|nateducy_3
natrace/y,2010-2014,natrace+natracey,3,natrace_1|natracey_1;natrace_2|natracey_2;natrace_3|natracey_3
natarms/y,2010-2014,natarms+natarmsy,3,natarms_1|natarmsy_1;natarms_2|natarmsy_2;natarms_3|natarmsy_3
nataid/y,2010-2014,nataid+nataidy,3,nataid_1|nataidy_1;nataid_2|nataidy_2;nataid_3|nataidy_3
natfare/y,2010-2014,natfare+natfarey,3,natfare_1|natfarey_1;natfare_2|natfarey_2;natfare_3|natfarey_3
natroad,2010-2014,natroad,3,natroad_1;natroad_2;natroad_3
natsoc,2010-2014,natsoc,3,natsoc_1;natsoc_2;natsoc_3
natmass,2010-2014,natmass,3,natmass_1;natmass_2;natmass_3
natpark,2010-2014,natpark,3,natpark_1;natpark_2;natpark_3
natchld,2010-2014,natchld,3,natchld_1;natchld_2;natchld_3
natsci,2010-2014,natsci,3,natsci_1;natsci_2;natsci_3
natenrgy,2010-2014,natenrgy,3,natenrgy_1;natenrgy_2;natenrgy_3
uswary,2010-2014,uswary,3,uswary_1;uswary_2;uswary_3
prayer,2010-2014,prayer,3,prayer_1;prayer_2;prayer_3
courts,2010-2014,courts,3,courts_1;courts_2;courts_3
discaffw,2010-2014,discaffw,3,discaffw_1;discaffw_2;discaffw_3
discaffm,2010-2014,discaffm,3,discaffm_1;discaffm_2;discaffm_3
fehire,2010-2014,fehire,3,fehire_1;fehire_2;fehire_3
fechld,2010-2014,fechld,3,fechld_1;fechld_2;fechld_3
fepresch,2010-2014,fepresch,3,fepresch_1;fepresch_2;fepresch_3
fefam,2010-2014,fefam,3,fefam_1;fefam_2;fefam_3
fepol,2010-2014,fepol,3,fepol_1;fepol_2;fepol_3
mobile16,2010-2014,mobile16,3,mobile16_1;mobile16_2;mobile16_3
incom16,2010-2014,incom16,3,incom16_1;incom16_2;incom16_3
dwelown16,2010-2014,dwelown16,0,;;
divorced,2010-2014,divorced,0,;;
posslq/y,2010-2014,posslq+posslqy,3,posslq_1;posslq_2;posslq_3
wrkstat,2010-2014,wrkstat,3,wrkstat_1;wrkstat_2;wrkstat_3
evwork,2010-2014,evwork,3,evwork_1;evwork_2;evwork_3
wrkgovt1,2010-2014,wrkgovt1,0,;;
wrkgovt2,2010-2014,wrkgovt2,0,;;
partfull,2010-2014,partfull,3,partfull_1;partfull_2;partfull_3
wksub1,2010-2014,wksub1,0,;;
wksup1,2010-2014,wksup1,0,;;
conarmy,2010-2014,conarmy,3,conarmy_1;conarmy_2;conarmy_3
conbus,2010-2014,conbus,3,conbus_1;conbus_2;conbus_3
conclerg,2010-2014,conclerg,3,conclerg_1;conclerg_2;conclerg_3
coneduc,2010-2014,coneduc,3,coneduc_1;coneduc_2;coneduc_3
confed,2010-2014,confed,3,confed_1;confed_2;confed_3
confinan,2010-2014,confinan,3,confinan_1;confinan_2;confinan_3
conjudge,2010-2014,conjudge,3,conjudge_1;conjudge_2;conjudge_3
conlabor,2010-2014,conlabor,3,conlabor_1;conlabor_2;conlabor_3
conlegis,2010-2014,conlegis,3,conlegis_1;conlegis_2;conlegis_3
conmedic,2010-2014,conmedic,3,conmedic_1;conmedic_2;conmedic_3
conpress,2010-2014,conpress,3,conpress_1;conpress_2;conpress_3
consci,2010-2014,consci,3,consci_1;consci_2;consci_3
contv,2010-2014,contv,3,contv_1;contv_2;contv_3
joblose,2010-2014,joblose,3,joblose_1;joblose_2;joblose_3
jobfind,2010-2014,jobfind,3,jobfind_1;jobfind_2;jobfind_3
happy,2010-2014,happy,3,happy_1;happy_2;happy_3
hapmar,2010-2014,hapmar,3,hapmar_1;hapmar_2;hapmar_3
satjob,2010-2014,satjob,3,satjob_1;satjob_2;satjob_3
spdeg*,2010-2014,spdeg,3,spdeg_1;spdeg_2;spdeg_3
spjew,2010-2014,spjew,3,spjew_1;spjew_2;spjew_3
spfund,2010-2014,spfund,3,spfund_1;spfund_2;spfund_3
unemp,2010-2014,unemp,3,unemp_1;unemp_2;unemp_3
union1,2010-2014,union1,0,;;
spkath/y,2010-2014,spkath+spkathy,3,spkath_1;spkath_2;spkath_3
colath,2010-2014,colath,3,colath_1;colath_2;colath_3
spkrac/y,2010-2014,spkrac+spkracy,3,spkrac_1;spkrac_2;spkrac_3
colrac,2010-2014,colrac,3,colrac_1;colrac_2;colrac_3
librac/y,2010-2014,librac+libracy,3,librac_1;librac_2;librac_3
spkcom/y,2010-2014,spkcom+spkcomy,3,spkcom_1;spkcom_2;spkcom_3
colcom/y,2010-2014,colcom+colcomy,3,colcom_1;colcom_2;colcom_3
libcom/y,2010-2014,libcom+libcomy,3,libcom_1;libcom_2;libcom_3
spkhomo/y,2010-2014,spkhomo+spkhomoy,3,spkhomo_1;spkhomo_2;spkhomo_3
colhomo,2010-2014,colhomo,3,colhomo_1;colhomo_2;colhomo_3
libhomo/y,2010-2014,libhomo+libhomoy,3,libhomo_1;libhomo_2;libhomo_3
cappun,2010-2014,cappun,3,cappun_1;cappun_2;cappun_3
polhitok/y,2010-2014,polhitok+polhitoky,3,polhitok_1;polhitok_2;polhitok_3
polabuse/y,2010-2014,polabuse+polabusey,3,polabuse_1;polabuse_2;polabuse_3
polattak/y,2010-2014,polattak+polattaky,3,polattak_1;polattak_2;polattak_3
grass,2010-2014,grass,3,grass_1;grass_2;grass_3
gunlaw,2010-2014,gunlaw,3,gunlaw_1;gunlaw_2;gunlaw_3
