jeu_de_donnees,condition,quantite,valeur_gauche,valeur_droite,contraste,ic_bas,ic_haut,p,n_unites,unite,p_holm
panel 2008-2012,P1 bloc3 2008,Q2,-8.355556,-3.455556,4.900000,3.755278,6.144444,0.000999,90,tirage,0.002997
panel 2008-2012,P1 bloc3 2008,Q3,0.526619,0.566594,0.039975,0.037288,0.042839,0.000999,50,tirage,0.002997
panel 2008-2012,P0 bloc3 2008,Q1,-0.063963,-0.053379,0.010584,-0.004260,0.029721,0.307692,30,item,0.307692
panel 2008-2012,P0 bloc3 2008,Q2,-0.660000,-1.130000,-0.470000,-0.830000,-0.150000,0.015984,100,tirage,0.031968
panel 2008-2012,P0 bloc3 2008,Q3,0.671964,0.695965,0.024000,0.020641,0.027184,0.000999,50,tirage,0.002997
panel 2008-2012,P1 plancher 2012,Q1,-0.048112,-0.058320,-0.010208,-0.027198,0.008080,0.283716,43,item,0.283716
panel 2010-2014,P1 bloc3 2010,Q1,-0.038607,-0.045988,-0.007381,-0.020316,0.007169,0.328671,43,item,0.328671
panel 2010-2014,P1 bloc3 2010,Q2,-6.850000,-3.620000,3.230000,2.090000,4.430000,0.000999,100,tirage,0.002997
panel 2010-2014,P1 bloc3 2010,Q3,0.471367,0.520848,0.049482,0.047562,0.051408,0.000999,50,tirage,0.002997
panel 2010-2014,P0 bloc3 2010,Q1,-0.058178,-0.052474,0.005705,-0.009731,0.027918,0.714286,30,item,1.000000
panel 2010-2014,P0 bloc3 2010,Q2,-0.900000,-1.066667,-0.166667,-0.722222,0.366667,0.547453,90,tirage,1.000000
panel 2010-2014,P0 bloc3 2010,Q3,0.657125,0.687815,0.030690,0.027723,0.033746,0.000999,50,tirage,0.002997
panel 2010-2014,P1 plancher 2014,Q1,-0.051686,-0.056047,-0.004361,-0.020776,0.013783,0.618382,43,item,0.618382
panel 2016-2020,P1 bloc3 2016,Q1,-0.039910,-0.049718,-0.009809,-0.027032,0.008563,0.293706,43,item,0.293706
panel 2016-2020,P1 bloc3 2016,Q2,-11.200000,-5.540000,5.660000,4.089500,7.210000,0.000999,100,tirage,0.002997
panel 2016-2020,P1 bloc3 2016,Q3,0.433785,0.555690,0.121905,0.119720,0.123961,0.000999,50,tirage,0.002997
panel 2016-2020,P0 bloc3 2016,Q1,-0.058642,-0.060957,-0.002315,-0.020171,0.015647,0.819181,30,item,0.819181
panel 2016-2020,P0 bloc3 2016,Q2,-1.466667,-2.388889,-0.922222,-1.656111,-0.144444,0.026973,90,tirage,0.053946
panel 2016-2020,P0 bloc3 2016,Q3,0.639222,0.714450,0.075228,0.073229,0.077443,0.000999,50,tirage,0.002997
panel 2016-2020,P1 plancher 2020,Q1,-0.035975,-0.061425,-0.025450,-0.049090,-0.001750,0.057942,42,item,0.057942
