condition,n_attaques,n_pool,n_items,exactitude,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top1_intra_segment,top1_intra_segment_bas,top1_intra_segment_haut,rang_intra_segment_median,hasard_intra_segment,auc_intra_segment,auc_intra_segment_bas,auc_intra_segment_haut,n_avec_rival,taille_segment_mediane,bloc_items,segmentation,n_questions_demographiques,n_cellules_demographiques_distinctes,partage_demographique_median,part_vecteurs_distincts,hamming_moyen_meme_segment,hamming_moyen_autre_segment,part_personne_echelle_taux,part_segment_echelle_taux,part_population_echelle_taux,bits_total,bits_segment,bits_personne,part_personne_echelle_bits,part_segment_echelle_bits,niveau_segment_utilise,controle_statut,controle_detail
N1b vecteur humain reel d'une autre personne (population),2058.0,2058.0,20.0,0.28085519922254615,0.0,0.0,0.0,0.0052721088435374154,0.0026475947521865887,0.008357628765792031,1018.5,0.00048590864917395527,0.01669907632474477,0.012056392805055906,0.02221682061254254,42.2,0.018959649975692754,0.502947162157591,0.49083134621742963,0.5154479987149567,2057.0,124.0,items hors achat,S_gra,,,,,,,,,,,,,,,,,
N2a vecteur humain reel d'une autre personne du meme segment,2058.0,2058.0,20.0,0.2848153547133139,0.0014577259475218659,0.0,0.003401360544217687,0.006754130223517979,0.003498542274052478,0.010399052478134106,997.325,0.00048590864917395527,0.0009722897423432182,0.0,0.0024307243558580457,44.35,0.018959649975692754,0.4840552462983993,0.4718003391891948,0.49637705685255273,2057.0,124.0,items hors achat,S_gra,,,,,,,,,,,,,,,,,
N2b jumeau Demographics Only (segment seul),2058.0,2058.0,20.0,0.30587949465500486,2.4295432458697766e-05,0.0,9.718172983479106e-05,0.00456754130223518,0.0021137026239067052,0.007240646258503399,930.0,0.00048590864917395527,0.020709771511910547,0.015313563441905688,0.02639766650461838,40.7,0.018959649975692754,0.5306935859768236,0.5180968474383477,0.5434752983875403,2057.0,124.0,items hors achat,S_gra,,,,,,,,,,,,,,,,,
N3 jumeau JSON Persona - GPT4.1 (persona individuelle),2058.0,2058.0,20.0,0.3379980563654033,0.002551020408163265,0.0007288629737609329,0.004664723032069972,0.013289601554907677,0.00894011175898931,0.017735665694849367,668.8,0.00048590864917395527,0.039474963539134655,0.03184127369956247,0.04730250364608653,29.0,0.018959649975692754,0.6147080058971456,0.6014038405568094,0.62651240481908,2057.0,124.0,items hors achat,S_gra,,,,,,,,,,,,,,,,,
plafond : retest humain vagues 1-3,2058.0,2058.0,20.0,0.5561710398445092,0.15490767735665695,0.14120262390670554,0.1685131195335277,0.3789115646258503,0.3583327259475218,0.39917517006802716,25.3,0.00048590864917395527,0.4071220223626641,0.3882097715119105,0.4279545454545454,2.3,0.018959649975692754,0.9272299748591648,0.9208248476559862,0.9333829202630435,2057.0,124.0,items hors achat,S_gra,,,,,,,,,,,,,,,,,
N2b jumeau Demographics Only (segment seul),2058.0,2058.0,60.0,,,,,,,,,,,,,,0.011661807580174927,0.7363669252138267,0.7240224882459845,0.748614435565682,2058.0,108.0,tous,S_fin,,,,,,,,,,,,,,,,,
N3 jumeau JSON Persona - GPT4.1 (persona individuelle),2058.0,2058.0,60.0,,,,,,,,,,,,,,0.011661807580174927,0.8948459343605811,0.8864197670389954,0.9034470960681701,2058.0,108.0,tous,S_fin,,,,,,,,,,,,,,,,,
ecart apparie AUC intra-segment (persona moins segment-seul),,,,,,,,,,,,,,,,,,0.15663518541147767,0.14336411926411746,0.169933250102885,2057.0,,tous,S_gra,,,,,,,,,,,,,,,,,
ecart apparie AUC intra-segment (persona moins segment-seul),,,,,,,,,,,,,,,,,,0.14835291717001103,0.13435599571698018,0.162099656796575,2057.0,,items d'achat,S_gra,,,,,,,,,,,,,,,,,
ecart apparie AUC intra-segment (persona moins segment-seul),,,,,,,,,,,,,,,,,,0.08401441992032191,0.07085126285621887,0.09795884815778243,2057.0,,items hors achat,S_gra,,,,,,,,,,,,,,,,,
diagnostic du bloc Demographics,2058.0,,,,,,,,,,,,,,,,,,,,,,rival_demographique,demographies,14.0,2055.0,11.0,,,,,,,,,,,,,,
