axe,condition,item,n_cellules,gs_intra_humain,gs_total_humain,part_expliquee_humaine,nmi_humaine,gs_intra_methode,ratio_intra,item_retenu,perimetre
gender,agents enquete,if16who,150,0.628120,0.630604,0.003939,0.001521,0.559827,0.891274,True,150
gender,agents enquete,news,150,0.722867,0.739239,0.022148,0.025017,0.552047,0.763691,True,150
gender,agents enquete,jew,150,0.465053,0.463445,-0.003469,0.000290,0.065819,0.141530,True,150
gender,agents enquete,relig16*,150,0.748671,0.747293,-0.001844,0.001924,0.648393,0.866059,True,150
gender,agents enquete,jew16*,150,0.433065,0.431499,-0.003630,0.008685,0.232324,0.536464,True,150
gender,agents enquete,attend,150,0.749724,0.749172,-0.000736,0.012192,0.661163,0.881875,True,150
gender,agents enquete,pray,150,0.784759,0.783893,-0.001105,-0.002423,0.701118,0.893419,True,150
gender,agents enquete,postlife,150,0.417681,0.417360,-0.000768,-0.000514,0.491349,1.176375,True,150
gender,agents enquete,bible,149,0.658207,0.654765,-0.005257,-0.004976,0.567078,0.861549,True,150
gender,agents enquete,reborn,150,0.668194,0.665503,-0.004043,-0.003607,0.613860,0.918685,True,150
gender,agents enquete,savesoul,150,0.450071,0.447427,-0.005909,-0.004574,0.253504,0.563253,True,150
gender,agents enquete,granborn,150,0.624287,0.622371,-0.003077,0.003514,0.616895,0.988159,True,150
gender,agents enquete,uscitzn*,150,0.026345,0.026488,0.005373,0.105223,0.422426,,False,150
gender,agents enquete,fucitzn,150,0.052851,0.052707,-0.002741,0.028303,0.480912,9.099322,True,150
gender,agents enquete,mnthsusa,150,0.026345,0.026488,0.005373,0.105223,0.149150,,False,150
gender,agents enquete,income,147,0.734821,0.740492,0.007658,0.009624,0.746922,1.016468,True,150
gender,agents enquete,othlang,150,0.388802,0.387383,-0.003664,-0.003040,0.402197,1.034452,True,150
gender,agents enquete,health,150,0.646228,0.645817,-0.000637,-0.002410,0.363102,0.561879,True,150
gender,agents enquete,compuse*,150,0.052602,0.052260,-0.006550,-0.024821,0.000000,0.000000,True,150
gender,agents enquete,webmob,150,0.076787,0.077315,0.006833,0.021584,0.052602,0.685034,True,150
gender,agents enquete,xmovie,146,0.465634,0.480447,0.030833,0.022886,0.496832,1.067002,True,150
gender,agents enquete,usewww*,150,0.026345,0.026488,0.005373,0.105223,0.039590,,False,150
gender,agents enquete,life,147,0.496287,0.513020,0.032618,0.022940,0.566552,1.141583,True,150
gender,agents enquete,richwork,150,0.496064,0.496107,0.000087,0.000086,0.444659,0.896373,True,150
