source,taux,tirage,n_remplacees,polarisation,A,B,C,C_exces,C5,C5_exces,patrons,patrons_nul,q5,q5_nul,q4,conc_nul,n_lignes_patrons,n_paires,patrons_nul_et,q5_nul_et,conc_nul_et,replis_segment
IM m=10 mode des m,0.5,5,526,0.48684329995527953,-0.09919237937461178,0.04961244648300139,0.03978136882129277,0.009600760456273755,0.13940114068441067,0.015723621673003826,609.0,676.0600000000001,0.07441567806334115,0.02480323158033976,0.10479615655237716,0.030180608365019013,1052.0,11026,3.725022801513423,0.00014928776986414776,0.0007908490960806542,0.0
IM m=10 mode des m,0.5,6,526,0.4897537659325234,-0.10541863962089904,0.05031638997376929,0.039258555133079846,0.009660171102661597,0.13692965779467683,0.01583174904942969,609.05,680.82125,0.07505171070809512,0.024735320734325827,0.10575973357317557,0.02959838403041825,1052.0,11026,3.7344701937765046,0.000255942735570647,0.0007194986582931299,0.0
IM m=10 mode des m,0.5,7,526,0.4841472035992403,-0.10350263018017192,0.049385063782286714,0.03906844106463879,0.009111216730038028,0.13826045627376427,0.016638545627376433,611.4,681.9875,0.07409214686275396,0.02470708308046725,0.10405485202636743,0.02995722433460076,1052.0,11026,3.68062755936663,0.0002065118588736096,0.0007119277377549088,0.0
IM m=10 mode des m,0.5,8,526,0.4816615832073868,-0.10394317617140691,0.05058812020637067,0.03816539923954373,0.008557509505703425,0.13417300380228137,0.01301449619771862,613.1,684.22,0.0753128084473601,0.02472468824098943,0.10552877331938901,0.029607889733840303,1052.0,11026,3.2309957185569433,0.0001827334652201228,0.0009800294057276387,0.0
IM m=10 mode des m,0.5,9,526,0.4905814986372727,-0.10192518379437165,0.04924790110994825,0.03821292775665399,0.007913498098859315,0.1365019011406844,0.013411359315589316,608.65,677.7275,0.0739074459986394,0.024659544888691147,0.10440065586793129,0.030299429657794676,1052.0,11026,3.315541298576166,0.0002583398126989957,0.0005386923695844369,0.0
IM m=10 mode des m,0.5,10,526,0.4849642509513846,-0.0961946002328562,0.049893565350923645,0.03849809885931559,0.008856939163498105,0.13569391634980987,0.013998336501901118,615.2,680.6775,0.0744744759585414,0.024580910607617752,0.10450131686470449,0.029641159695817487,1052.0,11026,3.6561846093210133,0.00022650249489939735,0.0006734934027042597,0.0
IM m=10 mode des m,0.5,11,526,0.48524541766494594,-0.09576496107732346,0.04929908662360197,0.038878326996197726,0.009176568441064646,0.13417300380228137,0.011956986692015198,610.7,675.3775,0.07404943874645849,0.024750352122856516,0.10405260072034973,0.02970175855513308,1052.0,11026,3.5360225010886355,0.00015470574170592676,0.0005840290389035845,0.0
IM m=10 mode des m,0.5,12,526,0.4850152720072258,-0.10484175362908155,0.0499724663183363,0.03921102661596959,0.009536596958174916,0.1352661596958175,0.015235266159695823,613.65,685.52125,0.07473137983634402,0.02475891351800772,0.10478100825024422,0.029674429657794675,1052.0,11026,3.925294166667226,0.0002011693656283603,0.0007322500982403621,0.0
IM m=10 mode des m,0.5,13,526,0.4877232781838895,-0.1044754261613261,0.05034411786529741,0.03868821292775665,0.009025665399239536,0.13555133079847909,0.014033982889733843,611.5,682.8399999999999,0.0751526010227811,0.02480848315748369,0.10540513852819551,0.029662547528517113,1052.0,11026,3.8140126255286946,0.00021603769058866856,0.0007563933092103913,0.0
IM m=10 mode des m,0.5,14,526,0.4887048356775219,-0.10257728929117205,0.04957795423773617,0.03854562737642585,0.008563450570342197,0.13840304182509505,0.014712452471482881,610.75,680.5600000000001,0.07434775111027432,0.024769796872538146,0.10533317548414103,0.02998217680608365,1052.0,11026,3.8694430792543946,0.00022832451812612,0.0005699244005252432,0.0
IM m=10 mode des m,0.5,15,526,0.48630447999742515,-0.10043206842672803,0.05029745966960518,0.0383555133079848,0.008860503802281379,0.134458174904943,0.014334600760456284,613.15,681.6049999999999,0.07504938550490522,0.02475192583530005,0.10461525797288186,0.02949500950570342,1052.0,11026,3.8164925500537072,0.00017181088676880826,0.0006879026920079545,0.0
