perimetre,definition,condition,famille_condition,tranche,exactitude,ic_bas,ic_haut,n_cellules,n_personnes,taux_refus
150,rarete,B0 uniforme,aveugle,ensemble,0.350962,0.344786,0.357181,22350,150,0.000000
150,ordinale,B0 uniforme,aveugle,bas,0.533680,0.500698,0.566462,568,150,0.000000
150,ordinale,B0 uniforme,aveugle,milieu,0.595616,0.589158,0.602268,9514,150,0.000000
150,ordinale,B0 uniforme,aveugle,haut,0.511305,0.478521,0.544899,568,150,0.000000
150,ordinale,B0 uniforme,aveugle,ensemble,0.587817,0.581557,0.594063,10650,150,0.000000
150,ordinale extremes,B0 uniforme,aveugle,bas,0.504134,0.490452,0.517686,3002,150,0.000000
150,ordinale extremes,B0 uniforme,aveugle,milieu,0.667995,0.662151,0.673759,5436,150,0.000000
150,ordinale extremes,B0 uniforme,aveugle,haut,0.504347,0.488705,0.520924,2212,150,0.000000
150,ordinale extremes,B0 uniforme,aveugle,ensemble,0.587817,0.581557,0.594063,10650,150,0.000000
150,rarete,B0 mode,aveugle,bas,0.000000,0.000000,0.000000,244,150,0.000000
150,rarete,B0 mode,aveugle,milieu,0.582887,0.570696,0.595145,21083,150,0.000000
150,rarete,B0 mode,aveugle,haut,1.000000,1.000000,1.000000,1023,150,0.000000
150,rarete,B0 mode,aveugle,ensemble,0.595615,0.583666,0.607475,22350,150,0.000000
150,ordinale,B0 mode,aveugle,bas,0.570836,0.543591,0.598877,568,150,0.000000
150,ordinale,B0 mode,aveugle,milieu,0.778801,0.771147,0.786244,9514,150,0.000000
150,ordinale,B0 mode,aveugle,haut,0.464055,0.435354,0.494353,568,150,0.000000
150,ordinale,B0 mode,aveugle,ensemble,0.750923,0.741721,0.760199,10650,150,0.000000
150,ordinale extremes,B0 mode,aveugle,bas,0.718715,0.705069,0.732568,3002,150,0.000000
150,ordinale extremes,B0 mode,aveugle,milieu,0.824611,0.818098,0.830837,5436,150,0.000000
150,ordinale extremes,B0 mode,aveugle,haut,0.613547,0.597222,0.631061,2212,150,0.000000
150,ordinale extremes,B0 mode,aveugle,ensemble,0.750923,0.741721,0.760199,10650,150,0.000000
150,rarete,B0 tirage,aveugle,bas,0.049180,0.023077,0.077824,244,150,0.000000
150,rarete,B0 tirage,aveugle,milieu,0.475881,0.467596,0.483976,21083,150,0.000000
150,rarete,B0 tirage,aveugle,haut,0.973607,0.963142,0.983317,1023,150,0.000000
150,rarete,B0 tirage,aveugle,ensemble,0.494004,0.485996,0.502058,22350,150,0.000000
150,ordinale,B0 tirage,aveugle,bas,0.553880,0.519872,0.587761,568,150,0.000000
150,ordinale,B0 tirage,aveugle,milieu,0.691715,0.685371,0.698158,9514,150,0.000000
150,ordinale,B0 tirage,aveugle,haut,0.461444,0.433322,0.490894,568,150,0.000000
150,ordinale,B0 tirage,aveugle,ensemble,0.672083,0.664983,0.679091,10650,150,0.000000
150,ordinale extremes,B0 tirage,aveugle,bas,0.632170,0.618537,0.645931,3002,150,0.000000
150,ordinale extremes,B0 tirage,aveugle,milieu,0.739092,0.733019,0.745219,5436,150,0.000000
150,ordinale extremes,B0 tirage,aveugle,haut,0.561573,0.547293,0.576568,2212,150,0.000000
150,ordinale extremes,B0 tirage,aveugle,ensemble,0.672083,0.664983,0.679091,10650,150,0.000000
150,rarete,B1 argmax,statistique,bas,0.008197,0.000000,0.020923,244,150,0.000000
150,rarete,B1 argmax,statistique,milieu,0.617322,0.605528,0.629453,21083,150,0.000000
150,rarete,B1 argmax,statistique,haut,0.998045,0.995098,1.000000,1023,150,0.000000
150,rarete,B1 argmax,statistique,ensemble,0.628098,0.616600,0.639821,22350,150,0.000000
150,ordinale,B1 argmax,statistique,bas,0.646336,0.616737,0.675143,568,150,0.000000
150,ordinale,B1 argmax,statistique,milieu,0.779206,0.771767,0.786427,9514,150,0.000000
150,ordinale,B1 argmax,statistique,haut,0.569722,0.536903,0.604322,568,150,0.000000
150,ordinale,B1 argmax,statistique,ensemble,0.760947,0.752720,0.769063,10650,150,0.000000
150,ordinale extremes,B1 argmax,statistique,bas,0.754533,0.739034,0.770342,3002,150,0.000000
