perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,precision,f1,plancher_item,exces_item,plancher_segment,exces_segment,plancher_humains vague 2,exces_humains vague 2,rappel_ic_bas,rappel_ic_haut,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
1052,0.100000,P_C partition aleatoire,T1 non deductible,agents v7,1956,1003,0.058282,0.113659,0.077053,0.038907,0.019375,0.051547,0.004767,0.505112,-0.446830,0.046499,0.070344,-0.007359,0.017445,0.460500
1052,0.100000,P_C partition aleatoire,T2 intermediaire,agents v7,2112,1193,0.059659,0.105616,0.076248,0.069160,-0.009501,0.103552,-0.047707,0.558239,-0.498580,0.047618,0.072185,-0.059527,-0.035624,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,agents v7,1641,743,0.087751,0.193809,0.120805,0.081222,0.006529,0.128550,-0.041050,0.586837,-0.499086,0.071554,0.105062,-0.057892,-0.023734,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,agents v7,5709,2939,0.067262,0.130657,0.088807,0.062262,0.005000,0.092714,-0.027794,0.548257,-0.480995,0.058009,0.076677,-0.036812,-0.019146,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,agents v8,1904,1781,0.095588,0.102190,0.098779,0.040197,0.055391,0.056979,0.028422,0.500000,-0.404412,0.080366,0.110994,0.015167,0.042210,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,agents v8,1937,2529,0.194115,0.148675,0.168383,0.067497,0.126618,0.096547,0.070511,0.570470,-0.376355,0.169534,0.218831,0.049868,0.091178,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,agents v8,1868,2299,0.225910,0.183558,0.202544,0.079324,0.146586,0.125677,0.080748,0.574411,-0.348501,0.200320,0.252070,0.057667,0.105075,0.000250
1052,0.100000,P_B division de recensement,ensemble,agents v8,5709,6609,0.171659,0.148283,0.159117,0.062262,0.109397,0.092714,0.059613,0.548257,-0.376598,0.155230,0.188575,0.045990,0.074380,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,agents v8,1956,1590,0.099693,0.122642,0.109983,0.038907,0.060786,0.051547,0.029795,0.505112,-0.405419,0.083945,0.116090,0.016544,0.043128,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,agents v8,2112,2918,0.177083,0.128170,0.148708,0.069160,0.107923,0.103552,0.060853,0.558239,-0.381155,0.156217,0.198203,0.042122,0.080328,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,agents v8,1641,2101,0.250457,0.195621,0.219669,0.081222,0.169235,0.128550,0.094367,0.586837,-0.336380,0.221110,0.279908,0.069441,0.120288,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,agents v8,5709,6609,0.171659,0.148283,0.159117,0.062262,0.109397,0.092714,0.059613,0.548257,-0.376598,0.155230,0.188575,0.045990,0.074380,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,PMM k=5,1904,1005,0.110294,0.208955,0.144380,0.040197,0.070097,0.056979,0.052080,0.500000,-0.389706,0.093361,0.127132,0.035455,0.068764,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,PMM k=5,1937,1473,0.240062,0.315682,0.272727,0.067497,0.172565,0.096547,0.127570,0.570470,-0.330408,0.217078,0.263217,0.105608,0.150671,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,PMM k=5,1868,1690,0.291756,0.322485,0.306352,0.079324,0.212432,0.125677,0.155703,0.574411,-0.282655,0.266666,0.318233,0.130856,0.180925,0.000250
1052,0.100000,P_B division de recensement,ensemble,PMM k=5,5709,4168,0.213698,0.292706,0.247039,0.062262,0.151436,0.092714,0.111236,0.548257,-0.334559,0.198552,0.229304,0.097107,0.126192,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,PMM k=5,1956,964,0.118609,0.240664,0.158904,0.038907,0.079703,0.051547,0.059374,0.505112,-0.386503,0.101757,0.134428,0.043581,0.075292,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,PMM k=5,2112,1805,0.235795,0.275900,0.254276,0.069160,0.166635,0.103552,0.123483,0.558239,-0.322443,0.215512,0.256927,0.103393,0.145351,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,PMM k=5,1641,1399,0.298598,0.350250,0.322368,0.081222,0.217376,0.128550,0.158255,0.586837,-0.288239,0.272326,0.325199,0.131906,0.185263,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,PMM k=5,5709,4168,0.213698,0.292706,0.247039,0.062262,0.151436,0.092714,0.111236,0.548257,-0.334559,0.198552,0.229304,0.097107,0.126192,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,PMM k=10,1904,956,0.100315,0.199791,0.133566,0.040197,0.060118,0.056979,0.041117,0.500000,-0.399685,0.085541,0.115178,0.026733,0.055647,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,PMM k=10,1937,1483,0.240062,0.313554,0.271930,0.067497,0.172565,0.096547,0.129335,0.570470,-0.330408,0.217786,0.263268,0.106153,0.153044,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,PMM k=10,1868,1682,0.298715,0.331748,0.314366,0.079324,0.219391,0.125677,0.164031,0.574411,-0.275696,0.272873,0.326339,0.138672,0.190465,0.000250
1052,0.100000,P_B division de recensement,ensemble,PMM k=10,5709,4121,0.212647,0.294589,0.246999,0.062262,0.150385,0.092714,0.110845,0.548257,-0.335610,0.198563,0.227643,0.097444,0.125083,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,PMM k=10,1956,954,0.111963,0.229560,0.150515,0.038907,0.073056,0.051547,0.053686,0.505112,-0.393149,0.095904,0.127895,0.038251,0.069028,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,PMM k=10,2112,1740,0.238163,0.289080,0.261163,0.069160,0.169003,0.103552,0.128180,0.558239,-0.320076,0.216512,0.260933,0.106950,0.150268,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,PMM k=10,1641,1427,0.299817,0.344779,0.320730,0.081222,0.218595,0.128550,0.157561,0.586837,-0.287020,0.275105,0.326140,0.131833,0.184361,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,PMM k=10,5709,4121,0.212647,0.294589,0.246999,0.062262,0.150385,0.092714,0.110845,0.548257,-0.335610,0.198563,0.227643,0.097444,0.125083,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,IM m=10 mode des m,1904,310,0.043067,0.264516,0.074074,0.040197,0.002870,0.056979,-0.014856,0.500000,-0.456933,0.034332,0.052329,-0.023835,-0.005770,0.002000
1052,0.100000,P_B division de recensement,T2 intermediaire,IM m=10 mode des m,1937,714,0.138358,0.375350,0.202188,0.067497,0.070862,0.096547,0.029335,0.570470,-0.432112,0.120104,0.156590,0.011833,0.046953,0.002000
1052,0.100000,P_B division de recensement,T3 deductible,IM m=10 mode des m,1868,1015,0.201285,0.370443,0.260839,0.079324,0.121960,0.125677,0.066470,0.574411,-0.373126,0.179805,0.223807,0.044395,0.088825,0.000250
1052,0.100000,P_B division de recensement,ensemble,IM m=10 mode des m,5709,2039,0.127168,0.356057,0.187403,0.062262,0.064906,0.092714,0.026567,0.548257,-0.421090,0.115868,0.138657,0.015982,0.037432,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,IM m=10 mode des m,1956,312,0.053681,0.336538,0.092593,0.038907,0.014774,0.051547,-0.001490,0.505112,-0.451431,0.043478,0.064484,-0.011723,0.009128,0.750000
1052,0.100000,P_C partition aleatoire,T2 intermediaire,IM m=10 mode des m,2112,885,0.142045,0.338983,0.200200,0.069160,0.072885,0.103552,0.033191,0.558239,-0.416193,0.124879,0.159604,0.015991,0.051049,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,IM m=10 mode des m,1641,842,0.195612,0.381235,0.258558,0.081222,0.114390,0.128550,0.052005,0.586837,-0.391225,0.174411,0.217476,0.030381,0.074468,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,IM m=10 mode des m,5709,2039,0.127168,0.356057,0.187403,0.062262,0.064906,0.092714,0.026567,0.548257,-0.421090,0.115868,0.138657,0.015982,0.037432,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,B2 argmax,1904,30,0.007353,0.466667,0.014478,0.040197,-0.032844,0.056979,-0.050632,0.500000,-0.492647,0.003625,0.011525,-0.056455,-0.045104,0.000250
