volet,jeu,condition,attaque,mesure,valeur,ic_bas,ic_haut,n_attaques,n_pool,n_items,hasard,fpr_cible,n_permutations,temoin_min,temoin_max,note,ecart_points,ecart_bas,ecart_haut,cible_top1,cible_ic_bas,cible_ic_haut,comparateur_top1,comparateur_ic_bas,comparateur_ic_haut,controle_interpretabilite_passe,cible_tpr,comparateur_tpr,k_items,n_tirages_items,n_axes_demographiques,modalites_par_axe,n_personnes,taille_cellule_min,taille_cellule_max,p_value,temoin_groupes_aleatoires_meme_taille,n_axes,axes,modalites,plafond_bloc_complet,n_cellules,plafond,attribut_retire,chute_points,temoin_aleatoire,n_modalites
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_1pct_fpr_atteint,0.009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_1pct_fp_absolus,10.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_1pct_vraies_detections_absolues,212.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),top1_ferme_uniforme_PUBLIE,0.9039923954372624,0.8859315589353612,0.9211264258555132,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),top1_ferme_borne_en_faveur,0.9039923954372624,0.8868821292775665,0.9220532319391636,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),top1_ferme_borne_contre,0.9039923954372624,0.8859077946768061,0.9220532319391636,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),top1_ferme_mc20_raccordement,0.9039923954372624,0.8868821292775665,0.9220532319391636,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),classe_tete_taille_mediane,1.0,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),classe_tete_part_singletons,1.0,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),auc_monde_ouvert,0.8479272687186457,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_0_1pct_np_interp,0.44372243346007606,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_0_1pct_tpr_escalier,0.5019011406844106,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_0_1pct_fpr_atteint,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_0_1pct_fp_absolus,1.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_0_1pct_vraies_detections_absolues,528.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_0_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_1pct_np_interp,0.6017110266159695,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_1pct_tpr_escalier,0.6017110266159695,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_1pct_fpr_atteint,0.009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_1pct_fp_absolus,10.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_1pct_vraies_detections_absolues,633.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),tpr_a_fpr_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),A-LLR (hors pli),temoin_permutation_top1_ferme,0.0011406844106463879,,,,1052,,0.0009505703422053232,,5.0,0.0,0.0019011406844106464,"tirages d'une LOI NULLE, PAS un intervalle de confiance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),top1_ferme_uniforme_PUBLIE,0.02249683143219265,0.01417934093789607,0.031606463878326996,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),top1_ferme_borne_en_faveur,0.027566539923954372,0.01806083650190114,0.03802281368821293,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),top1_ferme_borne_contre,0.019011406844106463,0.011406844106463879,0.027566539923954372,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),top1_ferme_mc20_raccordement,0.02243346007604563,0.014686311787072243,0.031512595057034215,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),classe_tete_taille_mediane,1.0,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),classe_tete_part_singletons,0.8136882129277566,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),auc_monde_ouvert,0.012703035319290432,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_0_1pct_np_interp,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_0_1pct_tpr_escalier,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_0_1pct_fpr_atteint,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_0_1pct_fp_absolus,1.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_0_1pct_vraies_detections_absolues,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_0_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_1pct_np_interp,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_1pct_tpr_escalier,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_1pct_fpr_atteint,0.009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_1pct_fp_absolus,10.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_1pct_vraies_detections_absolues,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,naif (Hamming),tpr_a_fpr_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),top1_ferme_uniforme_PUBLIE,0.8517110266159695,0.8288973384030418,0.8726235741444867,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),top1_ferme_borne_en_faveur,0.8517110266159695,0.8298241444866921,0.873574144486692,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),top1_ferme_borne_contre,0.8517110266159695,0.8298479087452472,0.8726235741444867,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),top1_ferme_mc20_raccordement,0.8517110266159695,0.8298479087452472,0.873574144486692,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),classe_tete_taille_mediane,1.0,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),classe_tete_part_singletons,1.0,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),auc_monde_ouvert,0.7393661719845596,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_0_1pct_np_interp,0.16404182509505705,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_0_1pct_tpr_escalier,0.17015209125475286,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_0_1pct_fpr_atteint,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_0_1pct_fp_absolus,1.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_0_1pct_vraies_detections_absolues,179.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_0_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_1pct_np_interp,0.29060836501901144,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_1pct_tpr_escalier,0.2908745247148289,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_1pct_fpr_atteint,0.009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_1pct_fp_absolus,10.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_1pct_vraies_detections_absolues,306.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),tpr_a_fpr_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,comparateur demographique,A-LLR (hors pli),temoin_permutation_top1_ferme,0.0009505703422053232,,,,1052,,0.0009505703422053232,,5.0,0.0,0.0019011406844106464,"tirages d'une LOI NULLE, PAS un intervalle de confiance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 rapport et controle,Park GSS,cible : meilleur agent (composite) vs comparateur demographique,naif (Hamming),rapport_top1_ferme,29.158450704225352,20.673248730964467,46.25420716754809,,1052,,,,,,,"bootstrap APPARIE sur les personnes ; controle = regle de c7_controle_interpretabilite (IC disjoints), les deux conditions sous la MEME attaque et le MEME bassin",0.6334759188846643,0.6051944708491761,0.662080164765526,0.6559727503168569,0.6269645120405577,0.6834640367553866,0.02249683143219265,0.01417934093789607,0.031606463878326996,1.0,,,,,,,,,,,,,,,,,,,,,
3 rapport et controle,Park GSS,cible : meilleur agent (composite) vs comparateur demographique,naif (Hamming),rapport_tpr_a_fpr_1pct_escalier,inf,,,,1052,,,,,,,,,,,,,,,,,,0.20152091254752852,0.0,,,,,,,,,,,,,,,,,,,
3 rapport et controle,Park GSS,cible : meilleur agent (composite) vs comparateur demographique,A-LLR (hors pli),rapport_top1_ferme,1.0613839285714286,1.0303578814973713,1.096775112058197,,1052,,,,,,,"bootstrap APPARIE sur les personnes ; controle = regle de c7_controle_interpretabilite (IC disjoints), les deux conditions sous la MEME attaque et le MEME bassin",0.05228136882129286,0.026592205323193816,0.08079847908745252,0.9039923954372624,0.8859315589353612,0.9211264258555132,0.8517110266159695,0.8288973384030418,0.8726235741444867,1.0,,,,,,,,,,,,,,,,,,,,,
3 rapport et controle,Park GSS,cible : meilleur agent (composite) vs comparateur demographique,A-LLR (hors pli),rapport_tpr_a_fpr_1pct_escalier,2.068627450980392,,,,1052,,,,,,,,,,,,,,,,,,0.6017110266159695,0.2908745247148289,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),top1_ferme_uniforme_PUBLIE,0.005703422053231939,0.0019011406844106464,0.010456273764258554,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),top1_ferme_borne_en_faveur,0.005703422053231939,0.0019011406844106464,0.010456273764258554,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),top1_ferme_borne_contre,0.005703422053231939,0.0019011406844106464,0.010456273764258554,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),top1_ferme_mc20_raccordement,0.005703422053231939,0.0019011406844106464,0.010456273764258554,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),classe_tete_taille_mediane,1.0,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),classe_tete_part_singletons,0.8060836501901141,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),auc_monde_ouvert,0.002204293108184302,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_0_1pct_np_interp,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_0_1pct_tpr_escalier,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_0_1pct_fpr_atteint,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_0_1pct_fp_absolus,1.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_0_1pct_vraies_detections_absolues,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_0_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_1pct_np_interp,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_1pct_tpr_escalier,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_1pct_fpr_atteint,0.006653992395437262,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_1pct_fp_absolus,7.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_1pct_vraies_detections_absolues,0.0,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,naif (Hamming),tpr_a_fpr_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,A-LLR (hors pli),top1_ferme_uniforme_PUBLIE,0.010456273764258554,0.004752851711026616,0.017110266159695818,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,A-LLR (hors pli),top1_ferme_borne_en_faveur,0.010456273764258554,0.004752851711026616,0.017110266159695818,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,PMM k=10,A-LLR (hors pli),top1_ferme_borne_contre,0.010456273764258554,0.004752851711026616,0.017110266159695818,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
