variable,libelle,predicteur,description,n_couples,n_menages,rho,rho_ic_bas,rho_ic_haut,rho_permute,chute,chute_ic_bas,chute_ic_haut,p_permutation_empirique,p_permutation_normal,p_holm,p_bh,retenu_holm
infl3,"inflation a trois ans, moyenne de la densite",T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",66301,9010,0.1580869752706822,0.1432090435037519,0.1723649616898609,0.1580869752706822,2.7755575615628914e-17,0.0,0.0,1.0,0.3185233937032804,,,False
revenu,croissance attendue du revenu du menage,P,"persistance seule, x(i, t)",67667,9096,0.6118189434804344,0.6021060990086138,0.6205945675642078,0.0528158778257489,0.5590030656546855,0.5310539908676193,0.5558385536811464,0.0049751243781094,0.0,0.0,0.0,True
revenu,croissance attendue du revenu du menage,D,"demographies seules, ridge",67667,9096,0.149639070371862,0.1310466387032817,0.1659974149219658,0.1417865195178271,0.0078525508540348,0.0030534510396797,0.0124613731620401,0.0049751243781094,2.784594250752392e-12,1.1138377003009567e-11,2.9834938400918485e-12,True
revenu,croissance attendue du revenu du menage,H,"historique du menage, ridge",67667,9096,0.6260274483368191,0.6160018868011805,0.6347188844659536,0.0573268835761092,0.56870056476071,0.5407359049916708,0.5665908606592608,0.0049751243781094,0.0,0.0,0.0,True
revenu,croissance attendue du revenu du menage,HD,"historique et demographies, ridge",67667,9096,0.6212426211744926,0.6108942502272215,0.6298549371096052,0.0760616819775864,0.5451809391969061,0.5170153114973232,0.5441297934268996,0.0049751243781094,0.0,0.0,0.0,True
revenu,croissance attendue du revenu du menage,F,foret sur historique et demographies,67667,9096,0.6300127435127636,0.6200597367378516,0.6386379947345138,0.0684558714691036,0.5615568720436599,0.5337763904575143,0.5600506225267938,0.0049751243781094,0.0,0.0,0.0,True
revenu,croissance attendue du revenu du menage,T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",67667,9096,0.0888359046290789,0.074053755167174,0.1030110821205667,0.1717821353609384,-0.0829462307318595,-0.0861849162849499,-0.0742156705173282,0.0049751243781094,0.0,,,False
revenu,croissance attendue du revenu du menage,T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",67667,9096,0.1998926092703651,0.1845190981576557,0.212710742157138,0.1998926092703651,0.0,0.0,0.0,1.0,1.0,,,False
depense,croissance attendue de la depense du menage,P,"persistance seule, x(i, t)",67718,9100,0.5127836182221643,0.5012927574348133,0.5229064756442019,0.0237466047821746,0.4890370134399897,0.4627549136526521,0.48734766947025,0.0049751243781094,0.0,0.0,0.0,True
depense,croissance attendue de la depense du menage,D,"demographies seules, ridge",67718,9100,0.0797933459651808,0.0651926561832924,0.0955422319122781,0.0374128904907032,0.0423804554744775,0.0332831213634865,0.0489418162595611,0.0049751243781094,4.238198861943425e-62,2.1190994309717123e-61,4.6516816777427835e-62,True
depense,croissance attendue de la depense du menage,H,"historique du menage, ridge",67718,9100,0.5456776948096983,0.5350601160884363,0.555772376558776,0.0256763436795486,0.5200013511301497,0.4929683687798919,0.5177424187036456,0.0049751243781094,0.0,0.0,0.0,True
depense,croissance attendue de la depense du menage,HD,"historique et demographies, ridge",67718,9100,0.5439186818042887,0.5333008853763289,0.5538010642903956,0.028660443158794,0.5152582386454947,0.4888855130882439,0.5130925503212032,0.0049751243781094,0.0,0.0,0.0,True
depense,croissance attendue de la depense du menage,F,foret sur historique et demographies,67718,9100,0.5538397383026021,0.5434860106078722,0.5629377477747721,0.0279712128127422,0.5258685254898599,0.4997757162433721,0.523773688663279,0.0049751243781094,0.0,0.0,0.0,True
depense,croissance attendue de la depense du menage,T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",67718,9100,0.0164427999938832,0.0046993184653857,0.0281485851875448,0.1273642385228912,-0.110921438529008,-0.1143018766092538,-0.1015833461568066,0.0049751243781094,0.0,,,False
depense,croissance attendue de la depense du menage,T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",67718,9100,0.1584037983866342,0.1459703055692741,0.1704836427951634,0.1584037983866342,2.7755575615628914e-17,0.0,0.0,1.0,0.3185233937032804,,,False
logement,variation attendue du prix du logement,P,"persistance seule, x(i, t)",67698,9101,0.5924010723463471,0.5818522710215713,0.6019562719417606,0.0588386210691142,0.5335624512772328,0.5053075554941732,0.5303117499385898,0.0049751243781094,0.0,0.0,0.0,True
logement,variation attendue du prix du logement,D,"demographies seules, ridge",67698,9101,0.1791006393656418,0.1623243985715171,0.1968114786276737,0.1378580238632839,0.0412426155023579,0.0299397417085118,0.0502298800252294,0.0049751243781094,7.63469435546309e-91,4.580816613277854e-90,8.589031149895976e-91,True
logement,variation attendue du prix du logement,H,"historique du menage, ridge",67698,9101,0.6224176057047286,0.6121073921592615,0.6321322311216114,0.0675180450449928,0.5548995606597358,0.5265991497654384,0.5502010454460067,0.0049751243781094,0.0,0.0,0.0,True
logement,variation attendue du prix du logement,HD,"historique et demographies, ridge",67698,9101,0.6200510806686318,0.6096810133575848,0.6297137114030129,0.0806994489097436,0.5393516317588881,0.5119409855396533,0.5358980584643154,0.0049751243781094,0.0,0.0,0.0,True
logement,variation attendue du prix du logement,F,foret sur historique et demographies,67698,9101,0.6240716264097416,0.6137855949189785,0.6334714810947649,0.0745899631984705,0.549481663211271,0.5210081233066607,0.5453150963955671,0.0049751243781094,0.0,0.0,0.0,True
logement,variation attendue du prix du logement,T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",67698,9101,0.1284264842419599,0.1142034233037426,0.1427347924365793,0.2135603486483215,-0.0851338644063616,-0.0873034263794487,-0.0769165083865543,0.0049751243781094,0.0,,,False
logement,variation attendue du prix du logement,T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",67698,9101,0.242048919408592,0.2275597962402587,0.2557709030074537,0.242048919408592,2.7755575615628914e-17,0.0,0.0,1.0,0.3185233937032804,,,False
perte_emploi,probabilite de perdre son emploi,P,"persistance seule, x(i, t)",40037,5873,0.73540886701037,0.7237765794250463,0.7454275569666436,0.0468798791361073,0.6885289878742626,0.6430208160749223,0.6749587903887645,0.0049751243781094,0.0,0.0,0.0,True
perte_emploi,probabilite de perdre son emploi,D,"demographies seules, ridge",40037,5873,0.0677608627918075,0.0462542498575467,0.0910460426128923,0.049121556895579,0.0186393058962284,0.0024824508428073,0.0315863687508231,0.0049751243781094,1.8742320943772854e-10,5.622696283131857e-10,1.9614056801622752e-10,True
perte_emploi,probabilite de perdre son emploi,H,"historique du menage, ridge",40037,5873,0.7555353679549226,0.7443581150905151,0.7638642165613567,0.0481300147863472,0.7074053531685753,0.6601597582665973,0.6930171377864639,0.0049751243781094,0.0,0.0,0.0,True
perte_emploi,probabilite de perdre son emploi,HD,"historique et demographies, ridge",40037,5873,0.7509579307555951,0.7397898687398515,0.7592299876891732,0.0504800555352445,0.7004778752203507,0.6538675258450392,0.6862802795842469,0.0049751243781094,0.0,0.0,0.0,True
perte_emploi,probabilite de perdre son emploi,F,foret sur historique et demographies,40037,5873,0.7439642564145071,0.7329797941370669,0.7521350406217544,0.049420628877391,0.6945436275371162,0.649743774752488,0.6824808378042144,0.0049751243781094,0.0,0.0,0.0,True
perte_emploi,probabilite de perdre son emploi,T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",40037,5873,0.0068584050671768,-0.008776360008505,0.0239200930958038,0.1255861217328761,-0.1187277166656992,-0.1215119472447859,-0.1025964225620112,0.0049751243781094,0.0,,,False
perte_emploi,probabilite de perdre son emploi,T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",40037,5873,0.1721226706194647,0.1547830837245936,0.1873134618508526,0.1721226706194647,0.0,0.0,0.0,1.0,1.0,,,False
chomage,probabilite que le chomage augmente,P,"persistance seule, x(i, t)",67826,9105,0.5960426746897003,0.5866775099079118,0.6038269152778363,0.0429560419934832,0.553086632696217,0.5240834325581224,0.5486557312085575,0.0049751243781094,0.0,0.0,0.0,True
chomage,probabilite que le chomage augmente,D,"demographies seules, ridge",67826,9105,0.1401201232063197,0.1247562559271104,0.1566840956244377,0.0638135103589992,0.0763066128473205,0.062691881933881,0.0866797739810733,0.0049751243781094,6.480008219092203e-188,5.184006575273762e-187,7.67369394366182e-188,True
chomage,probabilite que le chomage augmente,H,"historique du menage, ridge",67826,9105,0.6392754181026347,0.6308471288376561,0.6470133277536705,0.0455989254027621,0.5936764926998725,0.5647074139009415,0.5878564786746328,0.0049751243781094,0.0,0.0,0.0,True
