perimetre,camp,item,desirabilite_humaine,n_personnes,pole_endogroupe
150,tous,marhomo,0.708333,150,droite_bas
150,tous,pornlaw,0.563333,150,
150,tous,vote16,0.633333,150,
150,tous,news,0.376667,150,
150,tous,attend,0.273333,150,
150,tous,pray,0.460000,150,
150,tous,reborn,0.427184,150,
150,tous,savesoul,0.333333,150,
150,tous,income,0.800000,150,
150,tous,health,0.575556,150,
150,tous,xmovie,0.606667,150,
150,tous,life,0.630000,150,
150,tous,richwork,0.440000,150,
1052,gauche,natspac/y,0.473621,417,droite_bas
1052,gauche,natenvir/y,0.919664,417,droite_bas
1052,gauche,natheal/y,0.892086,417,droite_bas
1052,gauche,natcity/y,0.581535,417,droite_bas
1052,gauche,natdrug/y,0.814149,417,droite_bas
1052,gauche,nateduc/y,0.886091,417,droite_bas
1052,gauche,natrace/y,0.773381,417,droite_bas
1052,gauche,natarms/y,0.244604,417,
1052,gauche,nataid/y,0.290168,417,
1052,gauche,natfare/y,0.906475,417,droite_bas
1052,gauche,natroad,0.736211,417,droite_bas
1052,gauche,natsoc,0.844125,417,droite_bas
1052,gauche,natmass,0.780576,417,droite_bas
1052,gauche,natpark,0.653477,417,droite_bas
1052,gauche,natchld,0.838129,417,droite_bas
1052,gauche,natsci,0.700240,417,droite_bas
1052,gauche,natenrgy,0.816547,417,droite_bas
1052,gauche,fechld,0.788969,417,droite_bas
1052,gauche,fepresch,0.726619,417,droite_bas
1052,gauche,fefam,0.769784,417,droite_bas
1052,gauche,fepol,0.913669,417,droite_bas
1052,gauche,incom16,0.459233,417,
1052,gauche,divorced,0.769784,417,
1052,gauche,conarmy,0.627098,417,
1052,gauche,conbus,0.346523,417,
1052,gauche,conclerg,0.231415,417,
1052,gauche,coneduc,0.630695,417,
1052,gauche,confed,0.448441,417,
1052,gauche,confinan,0.430456,417,
1052,gauche,conjudge,0.245803,417,
1052,gauche,conlabor,0.633094,417,
1052,gauche,conlegis,0.280576,417,
1052,gauche,conmedic,0.774580,417,
1052,gauche,conpress,0.452038,417,
1052,gauche,consci,0.859712,417,
1052,gauche,contv,0.386091,417,
1052,gauche,happy,0.444844,417,
1052,gauche,hapmar,0.712838,417,
1052,gauche,satjob,0.673203,417,
1052,gauche,unemp,0.539568,417,
1052,gauche,spkath/y,0.870504,417,
1052,gauche,colath,0.824940,417,
1052,gauche,spkcom/y,0.762590,417,
1052,gauche,colcom/y,0.762590,417,
1052,gauche,libcom/y,0.812950,417,
1052,gauche,spkhomo/y,0.976019,417,droite_bas
1052,gauche,colhomo,0.971223,417,droite_bas
1052,gauche,libhomo/y,0.956835,417,droite_bas
1052,gauche,polhitok/y,0.393285,417,
1052,gauche,polabuse/y,0.961631,417,
1052,gauche,satfin,0.476019,417,
1052,gauche,finalter,0.507194,417,
1052,gauche,finrela,0.410072,417,
1052,gauche,racdif1,0.810552,417,droite_bas
1052,gauche,racdif2,0.942446,417,droite_bas
1052,gauche,racdif3,0.719424,417,droite_bas
1052,gauche,racdif4,0.880096,417,droite_bas
1052,gauche,letin1a,0.550360,417,droite_bas
1052,gauche,parsol,0.507794,417,
1052,gauche,spanking,0.683453,417,
1052,gauche,sexeduc,0.954436,417,
1052,gauche,xmarsex,0.666667,417,
1052,gauche,homosex,0.876898,417,droite_bas
1052,gauche,marhomo,0.898082,417,droite_bas
1052,gauche,pornlaw,0.513189,417,
1052,gauche,vote16,0.707434,417,
1052,gauche,news,0.411871,417,
1052,gauche,attend,0.195444,417,
1052,gauche,pray,0.338609,417,
1052,gauche,reborn,0.306034,417,
1052,gauche,savesoul,0.199041,417,
1052,gauche,income,0.797035,417,
1052,gauche,health,0.571543,417,
1052,gauche,xmovie,0.563549,417,
1052,gauche,life,0.611511,417,
1052,gauche,richwork,0.362110,417,
1052,centre,natspac/y,0.447195,303,droite_bas
1052,centre,natenvir/y,0.823432,303,droite_bas
1052,centre,natheal/y,0.836634,303,droite_bas
1052,centre,natcity/y,0.491749,303,droite_bas
1052,centre,natdrug/y,0.747525,303,droite_bas
1052,centre,nateduc/y,0.813531,303,droite_bas
1052,centre,natrace/y,0.570957,303,droite_bas
1052,centre,natarms/y,0.447195,303,
1052,centre,nataid/y,0.141914,303,
1052,centre,natfare/y,0.843234,303,droite_bas
1052,centre,natroad,0.668317,303,droite_bas
1052,centre,natsoc,0.818482,303,droite_bas
1052,centre,natmass,0.610561,303,droite_bas
1052,centre,natpark,0.584158,303,droite_bas
1052,centre,natchld,0.724422,303,droite_bas
1052,centre,natsci,0.620462,303,droite_bas
1052,centre,natenrgy,0.691419,303,droite_bas
1052,centre,fechld,0.707371,303,droite_bas
1052,centre,fepresch,0.656766,303,droite_bas
1052,centre,fefam,0.629263,303,droite_bas
1052,centre,fepol,0.759076,303,droite_bas
1052,centre,incom16,0.433993,303,
1052,centre,divorced,0.712871,303,
1052,centre,conarmy,0.683168,303,
1052,centre,conbus,0.412541,303,
1052,centre,conclerg,0.290429,303,
1052,centre,coneduc,0.536304,303,
1052,centre,confed,0.353135,303,
1052,centre,confinan,0.483498,303,
1052,centre,conjudge,0.420792,303,
1052,centre,conlabor,0.493399,303,
1052,centre,conlegis,0.310231,303,
1052,centre,conmedic,0.620462,303,
1052,centre,conpress,0.313531,303,
1052,centre,consci,0.669967,303,
1052,centre,contv,0.326733,303,
1052,centre,happy,0.486799,303,
1052,centre,hapmar,0.657480,303,
1052,centre,satjob,0.715976,303,
1052,centre,unemp,0.603960,303,
1052,centre,spkath/y,0.768977,303,
1052,centre,colath,0.732673,303,
1052,centre,spkcom/y,0.656766,303,
1052,centre,colcom/y,0.646865,303,
