perimetre,condition,support_minimal,cellules_minoritaires,rappel,plancher_segment,exces_segment,avantage_sur_B1,avantage_ic_bas,avantage_ic_haut,avantage_p,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
150,humains vague 2,10,181,1.000000,0.128996,0.871004,0.895028,0.831630,0.952381,0.000250,0.831537,0.908502,0.000250
150,humains vague 2,20,0,,,,,,,1.000000,,,1.000000
150,agents composite,0,354,0.341808,0.099378,0.230811,0.271186,0.212119,0.329273,0.000250,0.171478,0.290903,0.000250
150,agents composite,5,320,0.346875,0.107580,0.226915,0.268750,0.207197,0.329734,0.000250,0.166803,0.289043,0.000250
150,agents composite,10,181,0.364641,0.128996,0.229028,0.259669,0.174193,0.343892,0.000250,0.147997,0.309287,0.000250
150,agents composite,20,0,,,,,,,1.000000,,,1.000000
150,agents entretien (v3),0,354,0.324859,0.099378,0.221377,0.254237,0.191175,0.314138,0.000250,0.162446,0.280970,0.000250
150,agents entretien (v3),5,320,0.328125,0.107580,0.216462,0.250000,0.184049,0.314027,0.000250,0.153844,0.279713,0.000250
150,agents entretien (v3),10,181,0.364641,0.128996,0.241374,0.259669,0.155338,0.364131,0.000250,0.154318,0.330098,0.000250
150,agents entretien (v3),20,0,,,,,,,1.000000,,,1.000000
150,agents enquete,0,354,0.234463,0.099378,0.142760,0.163842,0.106778,0.220516,0.000250,0.084631,0.200824,0.000250
150,agents enquete,5,320,0.240625,0.107580,0.143291,0.162500,0.101972,0.223225,0.000250,0.081495,0.207367,0.000250
150,agents enquete,10,181,0.314917,0.128996,0.204337,0.209945,0.116564,0.305699,0.000250,0.116244,0.294546,0.000250
150,agents enquete,20,0,,,,,,,1.000000,,,1.000000
150,agents demographiques (v6),0,354,0.138418,0.099378,0.042131,0.067797,0.013733,0.122341,0.019000,-0.009105,0.095686,0.098500
150,agents demographiques (v6),5,320,0.128125,0.107580,0.021340,0.050000,-0.008622,0.107263,0.101000,-0.030442,0.076319,0.401000
150,agents demographiques (v6),10,181,0.132597,0.128996,0.000633,0.027624,-0.056606,0.113208,0.532000,-0.071841,0.080708,0.929000
150,agents demographiques (v6),20,0,,,,,,,1.000000,,,1.000000
150,agents v7,0,354,0.059322,0.099378,-0.042774,-0.011299,-0.056659,0.033336,0.670500,-0.080619,-0.002221,0.042000
150,agents v7,5,320,0.065625,0.107580,-0.044862,-0.012500,-0.062305,0.036430,0.670500,-0.086589,0.000067,0.050500
150,agents v7,10,181,0.066298,0.128996,-0.067268,-0.038674,-0.111777,0.036462,0.371500,-0.119547,-0.009328,0.022000
150,agents v7,20,0,,,,,,,1.000000,,,1.000000
150,agents v8,0,354,0.172316,0.099378,0.064144,0.101695,0.050988,0.151284,0.000250,0.016723,0.113365,0.004500
150,agents v8,5,320,0.181250,0.107580,0.066636,0.103125,0.047455,0.156720,0.000250,0.015117,0.119787,0.007500
