perimetre,seuil,partition,tercile,condition,rappel,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
1052,0.200000,D_seg segment,T1 non deductible,agents v7,0.089888,0.025439,0.096124,0.089888,0.064449
1052,0.200000,D_seg segment,T2 intermediaire,agents v7,0.127631,0.142424,0.132788,0.127631,-0.014793
1052,0.200000,D_seg segment,T3 deductible,agents v7,0.180118,0.334445,0.152986,0.180118,-0.154327
1052,0.200000,D_seg segment,ensemble,agents v7,0.133127,0.162376,0.126562,0.131160,-0.031216
1052,0.200000,D_logit regression,T1 non deductible,agents v7,0.083265,0.081391,0.095269,0.081318,-0.000073
1052,0.200000,D_logit regression,T2 intermediaire,agents v7,0.134431,0.159325,0.136034,0.134035,-0.025290
1052,0.200000,D_logit regression,T3 deductible,agents v7,0.181685,0.250066,0.148384,0.180153,-0.069913
1052,0.200000,D_logit regression,ensemble,agents v7,0.133127,0.162376,0.126562,0.131160,-0.031216
1052,0.200000,D_seg segment,T1 non deductible,agents v8,0.092968,0.025439,0.096124,0.092968,0.067530
1052,0.200000,D_seg segment,T2 intermediaire,agents v8,0.181175,0.142424,0.132788,0.181175,0.038751
1052,0.200000,D_seg segment,T3 deductible,agents v8,0.360827,0.334445,0.152986,0.360827,0.026381
1052,0.200000,D_seg segment,ensemble,agents v8,0.223073,0.162376,0.126562,0.206930,0.044554
1052,0.200000,D_logit regression,T1 non deductible,agents v8,0.094183,0.081391,0.095269,0.087050,0.005659
1052,0.200000,D_logit regression,T2 intermediaire,agents v8,0.197328,0.159325,0.136034,0.189898,0.030573
1052,0.200000,D_logit regression,T3 deductible,agents v8,0.377709,0.250066,0.148384,0.349841,0.099775
1052,0.200000,D_logit regression,ensemble,agents v8,0.223073,0.162376,0.126562,0.206930,0.044554
1052,0.200000,D_seg segment,T1 non deductible,B0 mode,0.000000,0.025439,0.096124,0.000000,-0.025439
1052,0.200000,D_seg segment,T2 intermediaire,B0 mode,0.000000,0.142424,0.132788,0.000000,-0.142424
1052,0.200000,D_seg segment,T3 deductible,B0 mode,0.000000,0.334445,0.152986,0.000000,-0.334445
1052,0.200000,D_seg segment,ensemble,B0 mode,0.000000,0.162376,0.126562,0.000000,-0.162376
1052,0.200000,D_logit regression,T1 non deductible,B0 mode,0.000000,0.081391,0.095269,0.000000,-0.081391
1052,0.200000,D_logit regression,T2 intermediaire,B0 mode,0.000000,0.159325,0.136034,0.000000,-0.159325
1052,0.200000,D_logit regression,T3 deductible,B0 mode,0.000000,0.250066,0.148384,0.000000,-0.250066
1052,0.200000,D_logit regression,ensemble,B0 mode,0.000000,0.162376,0.126562,0.000000,-0.162376
1052,0.200000,D_seg segment,T1 non deductible,B0 tirage,0.088619,0.025439,0.096124,0.088619,0.063180
1052,0.200000,D_seg segment,T2 intermediaire,B0 tirage,0.135376,0.142424,0.132788,0.135376,-0.007048
1052,0.200000,D_seg segment,T3 deductible,B0 tirage,0.154134,0.334445,0.152986,0.154134,-0.180312
1052,0.200000,D_seg segment,ensemble,B0 tirage,0.125251,0.162376,0.126562,0.125537,-0.036839
1052,0.200000,D_logit regression,T1 non deductible,B0 tirage,0.093368,0.081391,0.095269,0.092961,0.011569
1052,0.200000,D_logit regression,T2 intermediaire,B0 tirage,0.134431,0.159325,0.136034,0.135642,-0.023684
1052,0.200000,D_logit regression,T3 deductible,B0 tirage,0.147955,0.250066,0.148384,0.148944,-0.101122
1052,0.200000,D_logit regression,ensemble,B0 tirage,0.125251,0.162376,0.126562,0.125537,-0.036839
1052,0.200000,D_seg segment,T1 non deductible,B1 argmax,0.031714,0.025439,0.096124,0.031714,0.006275
1052,0.200000,D_seg segment,T2 intermediaire,B1 argmax,0.096649,0.142424,0.132788,0.096649,-0.045775
1052,0.200000,D_seg segment,T3 deductible,B1 argmax,0.248031,0.334445,0.152986,0.248031,-0.086414
1052,0.200000,D_seg segment,ensemble,B1 argmax,0.129868,0.162376,0.126562,0.121485,-0.040891
1052,0.200000,D_logit regression,T1 non deductible,B1 argmax,0.000000,0.081391,0.095269,0.000000,-0.081391
1052,0.200000,D_logit regression,T2 intermediaire,B1 argmax,0.000652,0.159325,0.136034,0.000714,-0.158612
1052,0.200000,D_logit regression,T3 deductible,B1 argmax,0.388952,0.250066,0.148384,0.374696,0.124630
1052,0.200000,D_logit regression,ensemble,B1 argmax,0.129868,0.162376,0.126562,0.121485,-0.040891
1052,0.200000,D_seg segment,T1 non deductible,B2 argmax,0.039507,0.025439,0.096124,0.039507,0.014068
1052,0.200000,D_seg segment,T2 intermediaire,B2 argmax,0.075265,0.142424,0.132788,0.075265,-0.067159
1052,0.200000,D_seg segment,T3 deductible,B2 argmax,0.157480,0.334445,0.152986,0.157480,-0.176965
1052,0.200000,D_seg segment,ensemble,B2 argmax,0.094020,0.162376,0.126562,0.088589,-0.073787
1052,0.200000,D_logit regression,T1 non deductible,B2 argmax,0.031449,0.081391,0.095269,0.032241,-0.049151
1052,0.200000,D_logit regression,T2 intermediaire,B2 argmax,0.076748,0.159325,0.136034,0.077280,-0.082045
1052,0.200000,D_logit regression,T3 deductible,B2 argmax,0.173863,0.250066,0.148384,0.159223,-0.090844
1052,0.200000,D_logit regression,ensemble,B2 argmax,0.094020,0.162376,0.126562,0.088589,-0.073787
1052,0.200000,D_seg segment,T1 non deductible,B3 foret,0.005799,0.025439,0.096124,0.005799,-0.019640
1052,0.200000,D_seg segment,T2 intermediaire,B3 foret,0.024247,0.142424,0.132788,0.024247,-0.118178
1052,0.200000,D_seg segment,T3 deductible,B3 foret,0.109843,0.334445,0.152986,0.109843,-0.224603
1052,0.200000,D_seg segment,ensemble,B3 foret,0.049481,0.162376,0.126562,0.044385,-0.117991
1052,0.200000,D_logit regression,T1 non deductible,B3 foret,0.000489,0.081391,0.095269,0.000537,-0.080854
1052,0.200000,D_logit regression,T2 intermediaire,B3 foret,0.006192,0.159325,0.136034,0.005533,-0.153793
1052,0.200000,D_logit regression,T3 deductible,B3 foret,0.141763,0.250066,0.148384,0.130817,-0.119250
1052,0.200000,D_logit regression,ensemble,B3 foret,0.049481,0.162376,0.126562,0.044385,-0.117991
1052,0.200000,D_seg segment,T1 non deductible,humains vague 2,0.531352,0.025439,0.096124,0.531352,0.505913
1052,0.200000,D_seg segment,T2 intermediaire,humains vague 2,0.599259,0.142424,0.132788,0.599259,0.456835
1052,0.200000,D_seg segment,T3 deductible,humains vague 2,0.681102,0.334445,0.152986,0.681102,0.346657
1052,0.200000,D_seg segment,ensemble,humains vague 2,0.605779,0.162376,0.126562,0.601742,0.439365
1052,0.200000,D_logit regression,T1 non deductible,humains vague 2,0.511325,0.081391,0.095269,0.512449,0.431057
1052,0.200000,D_logit regression,T2 intermediaire,humains vague 2,0.607626,0.159325,0.136034,0.603605,0.444280
1052,0.200000,D_logit regression,T3 deductible,humains vague 2,0.698387,0.250066,0.148384,0.692955,0.442888
1052,0.200000,D_logit regression,ensemble,humains vague 2,0.605779,0.162376,0.126562,0.601742,0.439365
150,0.100000,D_seg segment,T1 non deductible,agents composite,0.183824,0.000000,0.052426,0.183824,0.183824
150,0.100000,D_seg segment,T2 intermediaire,agents composite,0.279762,0.060854,0.064304,0.279762,0.218908
150,0.100000,D_seg segment,T3 deductible,agents composite,0.327014,0.202519,0.079338,0.327014,0.124495
150,0.100000,D_seg segment,ensemble,agents composite,0.254351,0.081344,0.064179,0.254992,0.173648
150,0.100000,D_logit regression,T1 non deductible,agents composite,0.168675,0.031699,0.046974,0.170507,0.138808
150,0.100000,D_logit regression,T2 intermediaire,agents composite,0.232932,0.064680,0.066301,0.227907,0.163227
150,0.100000,D_logit regression,T3 deductible,agents composite,0.361446,0.146896,0.079263,0.365297,0.218400
150,0.100000,D_logit regression,ensemble,agents composite,0.254351,0.081344,0.064179,0.254992,0.173648
150,0.100000,D_seg segment,T1 non deductible,agents entretien (v3),0.161765,0.000000,0.052426,0.161765,0.161765
150,0.100000,D_seg segment,T2 intermediaire,agents entretien (v3),0.273810,0.060854,0.064304,0.273810,0.212956
150,0.100000,D_seg segment,T3 deductible,agents entretien (v3),0.355450,0.202519,0.079338,0.355450,0.152931
150,0.100000,D_seg segment,ensemble,agents entretien (v3),0.255689,0.081344,0.064179,0.253456,0.172112
150,0.100000,D_logit regression,T1 non deductible,agents entretien (v3),0.156627,0.031699,0.046974,0.156682,0.124983
150,0.100000,D_logit regression,T2 intermediaire,agents entretien (v3),0.228916,0.064680,0.066301,0.227907,0.163227
150,0.100000,D_logit regression,T3 deductible,agents entretien (v3),0.381526,0.146896,0.079263,0.374429,0.227533
150,0.100000,D_logit regression,ensemble,agents entretien (v3),0.255689,0.081344,0.064179,0.253456,0.172112
150,0.100000,D_seg segment,T1 non deductible,agents enquete,0.136029,0.000000,0.052426,0.136029,0.136029
