modele,cle_modele,camp,identite,item,famille,n_modalites,rejet,n_tentatives,motif_rejet,gs_decrit,gs_reel_w1,gs_reel_w1_sans_biais,gs_reel_w2,tv_decrit_reel,tv_plancher_w1_w2,pos_decrit,pos_reel_w1,pos_reel_w2
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wksup1,hors famille,3,False,1,,0.5049999999999999,0.6245248405592073,0.626026102195167,0.6403395269395994,0.47973621103117503,0.03597122302158269,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conarmy,confiance dans les institutions (con*),3,False,1,,0.635,0.6127932186624802,0.614266279284265,0.6213849064633186,0.10323741007194248,0.016786570743405282,0.625,0.6270983213429255,0.6211031175059952
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conbus,confiance dans les institutions (con*),3,False,1,,0.635,0.581980458798429,0.5833794502859253,0.5539050773769474,0.34928057553956837,0.03836930455635501,0.625,0.34652278177458024,0.33453237410071934
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conclerg,confiance dans les institutions (con*),3,False,1,,0.635,0.5201824152189041,0.5214328537170265,0.5075306661145904,0.4211031175059953,0.01438848920863308,0.625,0.2314148681055155,0.2194244604316546
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,coneduc,confiance dans les institutions (con*),3,False,1,,0.635,0.518422671934395,0.5196688802803912,0.5549977284359562,0.2591127098321343,0.04316546762589924,0.375,0.36930455635491605,0.3764988009592326
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,confed,confiance dans les institutions (con*),3,False,1,,0.635,0.589916555963862,0.591334624608006,0.5908481847615433,0.2773381294964029,0.019184652278177505,0.375,0.5515587529976018,0.5671462829736211
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,confinan,confiance dans les institutions (con*),3,False,1,,0.635,0.5961274146150706,0.5975604132078953,0.586259050313706,0.2869304556354916,0.02398081534772184,0.625,0.4304556354916067,0.408872901678657
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conjudge,confiance dans les institutions (con*),3,False,1,,0.635,0.5352264950629425,0.5365130972145362,0.49493642496075085,0.39004796163069544,0.07434052757793763,0.625,0.2458033573141486,0.20863309352517978
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conlabor,confiance dans les institutions (con*),3,False,1,,0.635,0.5598053930955955,0.5611510791366907,0.5629108224211997,0.20155875299760198,0.004796163069544376,0.375,0.3669064748201439,0.3669064748201439
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conlegis,confiance dans les institutions (con*),3,False,1,,0.635,0.5403447026551421,0.5416436081903708,0.5380903909965553,0.4068345323741007,0.014388489208633053,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conmedic,confiance dans les institutions (con*),3,False,1,,0.635,0.5148341758248078,0.5160717579782329,0.5250475878290173,0.15443645083932855,0.03117505995203836,0.375,0.22541966426858506,0.23860911270983207
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,conpress,confiance dans les institutions (con*),3,False,1,,0.635,0.5499600319744204,0.5512820512820513,0.5556648206614565,0.3013189448441247,0.014388489208633129,0.375,0.5479616306954437,0.5575539568345323
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,consci,confiance dans les institutions (con*),3,False,1,,0.635,0.38800614184911064,0.38893884892086333,0.3802425685351001,0.3005995203836931,0.007194244604316544,0.375,0.1402877697841726,0.13669064748201432
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,contv,confiance dans les institutions (con*),3,False,1,,0.635,0.5456124309185745,0.5469239992621288,0.5260137213969831,0.356474820143885,0.01918465227817747,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,joblose,hors famille,5,False,1,,0.775,0.6475280207488686,0.6490845784910535,0.6898538722978452,0.515347721822542,0.07913669064748197,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,jobfind,hors famille,4,False,1,,0.6499999999999999,0.6994922047973132,0.7011736764434607,0.7035522661007885,0.4163069544364508,0.062350119904076726,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,happy,hors famille,3,False,1,,0.615,0.5672814266572354,0.5686450839328537,0.568661617468615,0.2965227817745804,0.019184652278177478,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,hapmar,hors famille,4,False,1,,0.625,0.5296597254570445,0.5309329459509318,0.5666373376119249,0.5950839328537171,0.04076738609112707,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,satjob,hors famille,5,False,1,,0.7249999999999999,0.7208851623736983,0.7226180593986351,0.7313056029996148,0.3384892086330936,0.023980815347721795,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spdeg*,hors famille,6,False,1,,0.75,0.6193491250165336,0.6208379450285927,0.6192686138858698,0.557074340527578,0.019184652278177425,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spjew,hors famille,5,False,1,,0.775,0.3590451379903271,0.35990822726434235,0.3552151084887486,0.7020383693045564,0.011990407673860878,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spfund,hors famille,4,False,1,,0.7,0.40653520349188277,0.40751245157719984,0.40483296815784775,0.648201438848921,0.009592326139088697,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,unemp,hors famille,2,False,1,,0.21120000000000005,0.4968686920966824,0.4980630879911456,0.4999281150619074,0.340431654676259,0.03357314148681054,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,union1,hors famille,4,False,1,,0.695,0.1864292738471095,0.1868774211400112,0.21067462576701224,0.6992805755395683,0.014388489208633056,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spkath/y,libertes civiles (spk/col/lib),2,False,1,,0.4351999999999999,0.2254541690388696,0.2259961261759823,0.2254541690388696,0.19050359712230217,0.0,0.32,0.1294964028776978,0.1294964028776978
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,colath,libertes civiles (spk/col/lib),2,False,1,,0.47119999999999995,0.28882793046138633,0.2895222283711493,0.2980752088976302,0.20494004796163068,0.007194244604316502,0.38,0.1750599520383693,0.1822541966426858
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spkrac/y,libertes civiles (spk/col/lib),2,False,1,,0.1472,0.4729453846994347,0.4740822726434238,0.4863102323896278,0.5363069544364509,0.03357314148681059,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,colrac,libertes civiles (spk/col/lib),2,False,1,,0.17999999999999994,0.33299403642553593,0.3337945028592512,0.3274042636394483,0.11103117505995204,0.0047961630695443624,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,librac/y,libertes civiles (spk/col/lib),2,False,1,,0.17999999999999994,0.48858754722840436,0.4897620365246265,0.4878514454623353,0.3244604316546763,0.002398081534772223,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spkcom/y,libertes civiles (spk/col/lib),2,False,1,,0.34319999999999995,0.3620930593654572,0.3629634753735473,0.3245748724761197,0.017410071942446023,0.03357314148681054,0.22,0.237410071942446,0.2038369304556355
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,colcom/y,libertes civiles (spk/col/lib),2,False,1,,0.45499999999999996,0.3620930593654572,0.3629634753735473,0.3274042636394483,0.11258992805755397,0.031175059952038342,0.35,0.237410071942446,0.2062350119904076
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,libcom/y,libertes civiles (spk/col/lib),2,False,1,,0.45499999999999996,0.30412504528751083,0.30485611510791355,0.2793736234034354,0.16294964028776981,0.019184652278177464,0.35,0.1870503597122302,0.1678657074340527
