perimetre,bande_part_reelle,n_modalites,part_reelle_moyenne,part_decrite_moyenne,rapport_decrit_sur_reel,ecart_en_points,part_decrite_mediane
Qwen3-4B-Instruct-2507,[0.30 ; 0.40[,353,0.3495560682555986,0.3462633130003042,0.9905801799644723,-0.32927552552943773,0.35
Qwen3-4B-Instruct-2507,[0.40 ; 0.50[,264,0.443151843679644,0.3392085326953748,0.765445382961308,-10.394331098426917,0.35
Qwen3-4B-Instruct-2507,[0.50 ; 0.60[,194,0.5467738378795125,0.38624533748722206,0.7064078614023508,-16.052850039229043,0.35
Qwen3-4B-Instruct-2507,[0.60 ; 0.75[,218,0.6654556846606411,0.43839539485518975,0.6587897661115569,-22.706028980545135,0.45
Qwen3-4B-Instruct-2507,[0.75 ; 1.01[,214,0.8733260357925874,0.5906542056074766,0.6763272608395651,-28.267183018511076,0.65
gpt-oss-20b,[0.00 ; 0.01[,128,0.0034857827384757764,0.08343137254901963,23.934759796734077,7.994558981054385,0.05
gpt-oss-20b,[0.01 ; 0.02[,106,0.01631449899173746,0.16915094339622644,10.368135943487665,15.2836444404489,0.08
gpt-oss-20b,[0.02 ; 0.05[,286,0.0346079915397144,0.13230632112985055,3.822999117935591,9.769832959013614,0.1
gpt-oss-20b,[0.05 ; 0.10[,262,0.07270801723851167,0.18945666816344858,2.6057190851726046,11.674865092493691,0.15
gpt-oss-20b,[0.10 ; 0.20[,494,0.14972006580969074,0.22879137889973805,1.5281276939228365,7.907131309004731,0.2
gpt-oss-20b,[0.20 ; 0.30[,414,0.2519170113412837,0.3048067632850242,1.2099491084867162,5.288975194374052,0.3
gpt-oss-20b,[0.30 ; 0.40[,356,0.34954674665708085,0.33146067415730335,0.9482585014086238,-1.8086072499777506,0.31
gpt-oss-20b,[0.40 ; 0.50[,266,0.4432814992880975,0.34710747456877494,0.7830407430182031,-9.617402471932257,0.35
gpt-oss-20b,[0.50 ; 0.60[,202,0.546084703356612,0.43485148514851485,0.7963077567923413,-11.123321820809712,0.45
gpt-oss-20b,[0.60 ; 0.75[,218,0.6654556846606411,0.46779816513761463,0.7029741813328639,-19.765751952302647,0.45
gpt-oss-20b,[0.75 ; 1.01[,214,0.8733260357925874,0.6474299065420561,0.7413381486496974,-22.589612925053125,0.75
