perimetre,condition,groupe,metrique,moyenne,ic_bas,ic_haut
1052,agents entretien (v3),sensible,exactitude,0.623732,0.615338,0.631805
1052,agents entretien (v3),sensible,distance,0.155420,0.149525,0.161742
1052,agents entretien (v3),sensible,ecart_desirabilite,-0.041035,-0.047095,-0.034647
1052,agents entretien (v3),investiguer,exactitude,0.632292,0.623742,0.641155
1052,agents entretien (v3),investiguer,distance,0.065373,0.059813,0.072266
1052,agents entretien (v3),investiguer,ecart_desirabilite,-0.043416,-0.053833,-0.032367
1052,agents entretien (v3),temoin,exactitude,0.663779,0.658713,0.668657
1052,agents entretien (v3),temoin,distance,0.086416,0.083182,0.089369
1052,agents entretien (v3),temoin,ecart_desirabilite,-0.045998,-0.052359,-0.039689
1052,agents entretien (v3),sensible+investiguer,exactitude,0.628183,0.621960,0.634595
1052,agents entretien (v3),sensible+investiguer,distance,0.108595,0.104442,0.113096
1052,agents entretien (v3),sensible+investiguer,ecart_desirabilite,-0.042015,-0.047928,-0.035620
1052,agents entretien (v3),sensible moins temoin,exactitude,-0.040047,-0.049074,-0.030926
1052,agents entretien (v3),sensible+investiguer moins temoin,exactitude,-0.035595,-0.041506,-0.029226
1052,agents entretien (v3),sensible moins temoin,distance,0.069004,0.062898,0.075531
1052,agents entretien (v3),sensible+investiguer moins temoin,distance,0.022179,0.017319,0.027076
1052,agents entretien (v3),sensible moins temoin,ecart_desirabilite,0.004962,-0.001457,0.011833
1052,agents entretien (v3),sensible+investiguer moins temoin,ecart_desirabilite,0.003982,-0.002523,0.011379
1052,agents enquete,sensible,exactitude,0.650716,0.642615,0.658616
1052,agents enquete,sensible,distance,0.124720,0.119308,0.130451
1052,agents enquete,sensible,ecart_desirabilite,0.004440,-0.001410,0.010085
1052,agents enquete,investiguer,exactitude,0.634215,0.625446,0.643049
1052,agents enquete,investiguer,distance,0.105046,0.099523,0.111122
1052,agents enquete,investiguer,ecart_desirabilite,-0.062778,-0.072702,-0.052823
1052,agents enquete,temoin,exactitude,0.666020,0.661413,0.670899
1052,agents enquete,temoin,distance,0.086070,0.083294,0.088874
1052,agents enquete,temoin,ecart_desirabilite,0.004968,0.001079,0.008981
1052,agents enquete,sensible+investiguer,exactitude,0.642135,0.636167,0.648125
1052,agents enquete,sensible+investiguer,distance,0.114489,0.110259,0.118541
1052,agents enquete,sensible+investiguer,ecart_desirabilite,-0.023238,-0.029062,-0.017898
1052,agents enquete,sensible moins temoin,exactitude,-0.015304,-0.023787,-0.007469
1052,agents enquete,sensible+investiguer moins temoin,exactitude,-0.023885,-0.029786,-0.017491
1052,agents enquete,sensible moins temoin,distance,0.038650,0.033060,0.044959
1052,agents enquete,sensible+investiguer moins temoin,distance,0.028419,0.024091,0.032979
1052,agents enquete,sensible moins temoin,ecart_desirabilite,-0.000527,-0.007065,0.006143
1052,agents enquete,sensible+investiguer moins temoin,ecart_desirabilite,-0.028205,-0.034344,-0.021897
1052,agents demographiques (v6),sensible,exactitude,0.553095,0.543773,0.561692
1052,agents demographiques (v6),sensible,distance,0.189510,0.183217,0.196485
1052,agents demographiques (v6),sensible,ecart_desirabilite,0.021249,0.013127,0.029565
1052,agents demographiques (v6),investiguer,exactitude,0.534622,0.523927,0.546249
1052,agents demographiques (v6),investiguer,distance,0.142080,0.131449,0.153855
1052,agents demographiques (v6),investiguer,ecart_desirabilite,-0.083140,-0.095358,-0.070723
1052,agents demographiques (v6),temoin,exactitude,0.573536,0.568043,0.578447
1052,agents demographiques (v6),temoin,distance,0.157267,0.153353,0.161569
1052,agents demographiques (v6),temoin,ecart_desirabilite,0.029755,0.023237,0.036141
1052,agents demographiques (v6),sensible+investiguer,exactitude,0.543489,0.536414,0.551091
1052,agents demographiques (v6),sensible+investiguer,distance,0.164847,0.158588,0.171361
1052,agents demographiques (v6),sensible+investiguer,ecart_desirabilite,-0.021735,-0.029531,-0.013690
1052,agents demographiques (v6),sensible moins temoin,exactitude,-0.020440,-0.029620,-0.011243
1052,agents demographiques (v6),sensible+investiguer moins temoin,exactitude,-0.030046,-0.036515,-0.023069
1052,agents demographiques (v6),sensible moins temoin,distance,0.032243,0.025354,0.039581
1052,agents demographiques (v6),sensible+investiguer moins temoin,distance,0.007579,0.001427,0.013660
1052,agents demographiques (v6),sensible moins temoin,ecart_desirabilite,-0.008507,-0.016373,-0.000706
1052,agents demographiques (v6),sensible+investiguer moins temoin,ecart_desirabilite,-0.051490,-0.060012,-0.043671
1052,agents v7,sensible,exactitude,0.550963,0.541280,0.559937
1052,agents v7,sensible,distance,0.187355,0.180135,0.195252
1052,agents v7,sensible,ecart_desirabilite,0.033656,0.024544,0.042006
1052,agents v7,investiguer,exactitude,0.521940,0.510584,0.533592
1052,agents v7,investiguer,distance,0.193067,0.179968,0.205255
1052,agents v7,investiguer,ecart_desirabilite,-0.070385,-0.083051,-0.058205
1052,agents v7,temoin,exactitude,0.564615,0.558523,0.570437
1052,agents v7,temoin,distance,0.171576,0.164583,0.179173
1052,agents v7,temoin,ecart_desirabilite,0.097820,0.090378,0.105521
1052,agents v7,sensible+investiguer,exactitude,0.535871,0.528183,0.543684
1052,agents v7,sensible+investiguer,distance,0.190325,0.181241,0.198214
1052,agents v7,sensible+investiguer,ecart_desirabilite,-0.009184,-0.017549,-0.000976
1052,agents v7,sensible moins temoin,exactitude,-0.013652,-0.023244,-0.003414
1052,agents v7,sensible+investiguer moins temoin,exactitude,-0.028744,-0.035224,-0.022157
1052,agents v7,sensible moins temoin,distance,0.015779,0.007261,0.024205
1052,agents v7,sensible+investiguer moins temoin,distance,0.018749,0.012835,0.024875
1052,agents v7,sensible moins temoin,ecart_desirabilite,-0.064164,-0.072642,-0.055791
1052,agents v7,sensible+investiguer moins temoin,ecart_desirabilite,-0.107005,-0.116190,-0.098477
1052,agents v8,sensible,exactitude,0.554290,0.545047,0.563080
1052,agents v8,sensible,distance,0.163573,0.157325,0.170093
1052,agents v8,sensible,ecart_desirabilite,-0.028824,-0.036562,-0.020942
1052,agents v8,investiguer,exactitude,0.549976,0.539747,0.559818
1052,agents v8,investiguer,distance,0.095474,0.087720,0.103926
1052,agents v8,investiguer,ecart_desirabilite,-0.032584,-0.044116,-0.020144
1052,agents v8,temoin,exactitude,0.565323,0.558922,0.571447
1052,agents v8,temoin,distance,0.125538,0.121312,0.130185
1052,agents v8,temoin,ecart_desirabilite,0.010006,0.001318,0.018563
1052,agents v8,sensible+investiguer,exactitude,0.552046,0.544278,0.559710
1052,agents v8,sensible+investiguer,distance,0.128161,0.123619,0.133187
1052,agents v8,sensible+investiguer,ecart_desirabilite,-0.030372,-0.037446,-0.023090
1052,agents v8,sensible moins temoin,exactitude,-0.011033,-0.019427,-0.002082
1052,agents v8,sensible+investiguer moins temoin,exactitude,-0.013276,-0.019757,-0.006515
1052,agents v8,sensible moins temoin,distance,0.038035,0.031895,0.044888
1052,agents v8,sensible+investiguer moins temoin,distance,0.002623,-0.003631,0.009937
1052,agents v8,sensible moins temoin,ecart_desirabilite,-0.038831,-0.047431,-0.030259
1052,agents v8,sensible+investiguer moins temoin,ecart_desirabilite,-0.040379,-0.050088,-0.030818
1052,B0 mode,sensible,exactitude,0.566150,0.557424,0.574384
1052,B0 mode,sensible,distance,0.254511,0.248388,0.260687
1052,B0 mode,sensible,ecart_desirabilite,0.054163,0.046324,0.061395
1052,B0 mode,investiguer,exactitude,0.527471,0.515062,0.539488
1052,B0 mode,investiguer,distance,0.329596,0.319038,0.340495
1052,B0 mode,investiguer,ecart_desirabilite,-0.172629,-0.183578,-0.162001
1052,B0 mode,temoin,exactitude,0.586688,0.581120,0.591703
1052,B0 mode,temoin,distance,0.281780,0.277360,0.286586
1052,B0 mode,temoin,ecart_desirabilite,0.069448,0.063473,0.075686
1052,B0 mode,sensible+investiguer,exactitude,0.546037,0.538248,0.553577
1052,B0 mode,sensible+investiguer,distance,0.293555,0.286981,0.299950
1052,B0 mode,sensible+investiguer,ecart_desirabilite,-0.039222,-0.046231,-0.031769
1052,B0 mode,sensible moins temoin,exactitude,-0.020538,-0.029578,-0.011092
1052,B0 mode,sensible+investiguer moins temoin,exactitude,-0.040651,-0.047411,-0.034082
1052,B0 mode,sensible moins temoin,distance,-0.027269,-0.034259,-0.020324
1052,B0 mode,sensible+investiguer moins temoin,distance,0.011775,0.006965,0.016488
1052,B0 mode,sensible moins temoin,ecart_desirabilite,-0.015285,-0.022895,-0.008392
1052,B0 mode,sensible+investiguer moins temoin,ecart_desirabilite,-0.108670,-0.116820,-0.101410
1052,B0 tirage,sensible,exactitude,0.473894,0.465618,0.482497
1052,B0 tirage,sensible,distance,0.016226,0.011281,0.022031
1052,B0 tirage,sensible,ecart_desirabilite,-0.001833,-0.012477,0.008298
1052,B0 tirage,investiguer,exactitude,0.428216,0.419932,0.436311
1052,B0 tirage,investiguer,distance,0.019941,0.013370,0.027746
1052,B0 tirage,investiguer,ecart_desirabilite,-0.001717,-0.015505,0.011666
1052,B0 tirage,temoin,exactitude,0.481522,0.477725,0.485463
1052,B0 tirage,temoin,distance,0.019204,0.016374,0.022262
1052,B0 tirage,temoin,ecart_desirabilite,0.000942,-0.005612,0.007708
1052,B0 tirage,sensible+investiguer,exactitude,0.450141,0.444068,0.455781
1052,B0 tirage,sensible+investiguer,distance,0.018158,0.013965,0.022945
1052,B0 tirage,sensible+investiguer,ecart_desirabilite,-0.001785,-0.011113,0.007039
1052,B0 tirage,sensible moins temoin,exactitude,-0.007628,-0.016266,0.000777
1052,B0 tirage,sensible+investiguer moins temoin,exactitude,-0.031381,-0.037790,-0.024849
1052,B0 tirage,sensible moins temoin,distance,-0.002978,-0.008368,0.003320
1052,B0 tirage,sensible+investiguer moins temoin,distance,-0.001046,-0.005952,0.004319
1052,B0 tirage,sensible moins temoin,ecart_desirabilite,-0.002775,-0.013157,0.007398
1052,B0 tirage,sensible+investiguer moins temoin,ecart_desirabilite,-0.002728,-0.012664,0.006767
1052,B1 argmax,sensible,exactitude,0.592600,0.583410,0.601871
1052,B1 argmax,sensible,distance,0.093074,0.086118,0.100657
1052,B1 argmax,sensible,ecart_desirabilite,0.026593,0.018987,0.034084
1052,B1 argmax,investiguer,exactitude,0.589969,0.579919,0.599884
1052,B1 argmax,investiguer,distance,0.074136,0.064739,0.083942
1052,B1 argmax,investiguer,ecart_desirabilite,-0.027029,-0.039546,-0.014126
1052,B1 argmax,temoin,exactitude,0.619806,0.614579,0.624904
1052,B1 argmax,temoin,distance,0.093970,0.089735,0.098330
1052,B1 argmax,temoin,ecart_desirabilite,0.024741,0.019447,0.030299
1052,B1 argmax,sensible+investiguer,exactitude,0.591232,0.583948,0.598707
1052,B1 argmax,sensible+investiguer,distance,0.083226,0.076996,0.089591
1052,B1 argmax,sensible+investiguer,ecart_desirabilite,0.004513,-0.003243,0.012805
1052,B1 argmax,sensible moins temoin,exactitude,-0.027206,-0.036487,-0.018067
1052,B1 argmax,sensible+investiguer moins temoin,exactitude,-0.028574,-0.035531,-0.021794
1052,B1 argmax,sensible moins temoin,distance,-0.000896,-0.007786,0.006409
1052,B1 argmax,sensible+investiguer moins temoin,distance,-0.010744,-0.016173,-0.004670
1052,B1 argmax,sensible moins temoin,ecart_desirabilite,0.001852,-0.005930,0.009479
1052,B1 argmax,sensible+investiguer moins temoin,ecart_desirabilite,-0.020228,-0.027874,-0.012302
1052,B2 argmax,sensible,exactitude,0.637299,0.628326,0.645676
1052,B2 argmax,sensible,distance,0.140623,0.133224,0.147704
1052,B2 argmax,sensible,ecart_desirabilite,0.061935,0.055532,0.068206
1052,B2 argmax,investiguer,exactitude,0.651845,0.643316,0.660363
1052,B2 argmax,investiguer,distance,0.128089,0.121155,0.134982
1052,B2 argmax,investiguer,ecart_desirabilite,-0.065127,-0.076403,-0.054453
1052,B2 argmax,temoin,exactitude,0.671615,0.666653,0.676061
1052,B2 argmax,temoin,distance,0.137396,0.133802,0.140945
1052,B2 argmax,temoin,ecart_desirabilite,0.037164,0.033222,0.041244
1052,B2 argmax,sensible+investiguer,exactitude,0.644862,0.638212,0.651521
1052,B2 argmax,sensible+investiguer,distance,0.134105,0.128751,0.139475
1052,B2 argmax,sensible+investiguer,ecart_desirabilite,0.009616,0.003826,0.015665
1052,B2 argmax,sensible moins temoin,exactitude,-0.034317,-0.043756,-0.025885
1052,B2 argmax,sensible+investiguer moins temoin,exactitude,-0.026753,-0.033545,-0.019923
1052,B2 argmax,sensible moins temoin,distance,0.003227,-0.003631,0.010435
1052,B2 argmax,sensible+investiguer moins temoin,distance,-0.003291,-0.008828,0.002202
1052,B2 argmax,sensible moins temoin,ecart_desirabilite,0.024772,0.017741,0.031643
1052,B2 argmax,sensible+investiguer moins temoin,ecart_desirabilite,-0.027548,-0.034999,-0.020673
150,humains vague 2,sensible,exactitude,0.773493,0.750556,0.797792
150,humains vague 2,sensible,distance,0.032227,0.022267,0.044308
150,humains vague 2,sensible,ecart_desirabilite,-0.000012,-0.015197,0.013120
150,humains vague 2,investiguer,exactitude,0.795367,0.772821,0.817436
150,humains vague 2,investiguer,distance,0.027800,0.019724,0.036906
150,humains vague 2,investiguer,ecart_desirabilite,-0.001732,-0.018150,0.015243
150,humains vague 2,temoin,exactitude,0.791107,0.775074,0.806982
150,humains vague 2,temoin,distance,0.036088,0.030786,0.042446
150,humains vague 2,temoin,ecart_desirabilite,-0.005245,-0.014082,0.003613
150,humains vague 2,sensible+investiguer,exactitude,0.784867,0.766127,0.804807
150,humains vague 2,sensible+investiguer,distance,0.029925,0.023583,0.037696
150,humains vague 2,sensible+investiguer,ecart_desirabilite,-0.000720,-0.012310,0.010477
150,humains vague 2,sensible moins temoin,exactitude,-0.017614,-0.038873,0.002756
150,humains vague 2,sensible+investiguer moins temoin,exactitude,-0.006239,-0.022586,0.011098
150,humains vague 2,sensible moins temoin,distance,-0.003861,-0.014747,0.008287
150,humains vague 2,sensible+investiguer moins temoin,distance,-0.006163,-0.014909,0.002365
150,humains vague 2,sensible moins temoin,ecart_desirabilite,0.005233,-0.010584,0.019437
150,humains vague 2,sensible+investiguer moins temoin,ecart_desirabilite,0.004525,-0.009053,0.017719
150,agents composite,sensible,exactitude,0.612531,0.588889,0.634459
150,agents composite,sensible,distance,0.135049,0.119511,0.152801
150,agents composite,sensible,ecart_desirabilite,-0.044098,-0.063431,-0.026692
150,agents composite,investiguer,exactitude,0.671526,0.647692,0.694359
150,agents composite,investiguer,distance,0.072299,0.060256,0.086031
150,agents composite,investiguer,ecart_desirabilite,-0.025113,-0.052976,0.001634
150,agents composite,temoin,exactitude,0.694778,0.680308,0.708926
150,agents composite,temoin,distance,0.080275,0.073162,0.087658
150,agents composite,temoin,ecart_desirabilite,-0.022461,-0.033470,-0.011260
150,agents composite,sensible+investiguer,exactitude,0.643209,0.625067,0.660000
150,agents composite,sensible+investiguer,distance,0.102419,0.092150,0.113244
150,agents composite,sensible+investiguer,ecart_desirabilite,-0.036281,-0.052679,-0.020037
150,agents composite,sensible moins temoin,exactitude,-0.082246,-0.102678,-0.061716
150,agents composite,sensible+investiguer moins temoin,exactitude,-0.051569,-0.066977,-0.034994
150,agents composite,sensible moins temoin,distance,0.054773,0.037332,0.073366
150,agents composite,sensible+investiguer moins temoin,distance,0.022143,0.009748,0.035099
150,agents composite,sensible moins temoin,ecart_desirabilite,-0.021637,-0.039064,-0.005458
150,agents composite,sensible+investiguer moins temoin,ecart_desirabilite,-0.013820,-0.029453,0.001321
150,agents entretien (v3),sensible,exactitude,0.606706,0.583723,0.630285
150,agents entretien (v3),sensible,distance,0.167659,0.150869,0.183777
150,agents entretien (v3),sensible,ecart_desirabilite,-0.037777,-0.056578,-0.017851
150,agents entretien (v3),investiguer,exactitude,0.635743,0.614359,0.658974
150,agents entretien (v3),investiguer,distance,0.081453,0.065173,0.098628
150,agents entretien (v3),investiguer,ecart_desirabilite,-0.030181,-0.057564,-0.002834
150,agents entretien (v3),temoin,exactitude,0.666380,0.653136,0.679940
150,agents entretien (v3),temoin,distance,0.095543,0.088822,0.103176
150,agents entretien (v3),temoin,ecart_desirabilite,-0.039894,-0.054401,-0.025515
150,agents entretien (v3),sensible+investiguer,exactitude,0.621805,0.604489,0.640007
150,agents entretien (v3),sensible+investiguer,distance,0.122832,0.111283,0.135553
150,agents entretien (v3),sensible+investiguer,ecart_desirabilite,-0.034649,-0.052503,-0.017503
150,agents entretien (v3),sensible moins temoin,exactitude,-0.059674,-0.084722,-0.035817
150,agents entretien (v3),sensible+investiguer moins temoin,exactitude,-0.044575,-0.061343,-0.028056
150,agents entretien (v3),sensible moins temoin,distance,0.072116,0.055124,0.087806
150,agents entretien (v3),sensible+investiguer moins temoin,distance,0.027289,0.015364,0.039242
150,agents entretien (v3),sensible moins temoin,ecart_desirabilite,0.002117,-0.017728,0.020890
150,agents entretien (v3),sensible+investiguer moins temoin,ecart_desirabilite,0.005245,-0.012711,0.023096
150,agents enquete,sensible,exactitude,0.635184,0.613889,0.655570
150,agents enquete,sensible,distance,0.146800,0.132475,0.162735
150,agents enquete,sensible,ecart_desirabilite,-0.003001,-0.019121,0.013560
150,agents enquete,investiguer,exactitude,0.637217,0.614645,0.659931
150,agents enquete,investiguer,distance,0.112416,0.095162,0.130821
150,agents enquete,investiguer,ecart_desirabilite,-0.045379,-0.076415,-0.018967
150,agents enquete,temoin,exactitude,0.660159,0.645697,0.674652
150,agents enquete,temoin,distance,0.099034,0.091343,0.107172
150,agents enquete,temoin,ecart_desirabilite,0.008532,-0.001718,0.018483
150,agents enquete,sensible+investiguer,exactitude,0.636241,0.620670,0.652003
150,agents enquete,sensible+investiguer,distance,0.128920,0.118562,0.139104
150,agents enquete,sensible+investiguer,ecart_desirabilite,-0.020451,-0.035891,-0.005802
150,agents enquete,sensible moins temoin,exactitude,-0.024975,-0.047529,-0.003082
150,agents enquete,sensible+investiguer moins temoin,exactitude,-0.023917,-0.039522,-0.008288
150,agents enquete,sensible moins temoin,distance,0.047766,0.032455,0.065105
150,agents enquete,sensible+investiguer moins temoin,distance,0.029886,0.017230,0.042863
150,agents enquete,sensible moins temoin,ecart_desirabilite,-0.011533,-0.029982,0.007103
150,agents enquete,sensible+investiguer moins temoin,ecart_desirabilite,-0.028983,-0.044945,-0.012475
150,agents demographiques (v6),sensible,exactitude,0.541085,0.516853,0.564360
150,agents demographiques (v6),sensible,distance,0.198611,0.181413,0.216020
150,agents demographiques (v6),sensible,ecart_desirabilite,0.010607,-0.012308,0.033834
150,agents demographiques (v6),investiguer,exactitude,0.550270,0.518975,0.581551
150,agents demographiques (v6),investiguer,distance,0.140839,0.116239,0.172075
150,agents demographiques (v6),investiguer,ecart_desirabilite,-0.064757,-0.102023,-0.030254
150,agents demographiques (v6),temoin,exactitude,0.583645,0.569012,0.598878
150,agents demographiques (v6),temoin,distance,0.154292,0.142498,0.165532
150,agents demographiques (v6),temoin,ecart_desirabilite,0.032639,0.017495,0.048309
150,agents demographiques (v6),sensible+investiguer,exactitude,0.545861,0.524673,0.567412
150,agents demographiques (v6),sensible+investiguer,distance,0.168569,0.152876,0.185133
150,agents demographiques (v6),sensible+investiguer,ecart_desirabilite,-0.020425,-0.040657,0.001348
150,agents demographiques (v6),sensible moins temoin,exactitude,-0.042561,-0.067108,-0.017931
150,agents demographiques (v6),sensible+investiguer moins temoin,exactitude,-0.037784,-0.055288,-0.019647
150,agents demographiques (v6),sensible moins temoin,distance,0.044319,0.025466,0.064045
150,agents demographiques (v6),sensible+investiguer moins temoin,distance,0.014277,0.000861,0.029025
150,agents demographiques (v6),sensible moins temoin,ecart_desirabilite,-0.022032,-0.042666,0.001436
150,agents demographiques (v6),sensible+investiguer moins temoin,ecart_desirabilite,-0.053065,-0.076282,-0.028156
150,agents v7,sensible,exactitude,0.544022,0.520743,0.568862
150,agents v7,sensible,distance,0.203798,0.183516,0.223576
150,agents v7,sensible,ecart_desirabilite,0.028359,0.004187,0.054682
150,agents v7,investiguer,exactitude,0.532501,0.504608,0.561478
150,agents v7,investiguer,distance,0.199261,0.169012,0.231685
150,agents v7,investiguer,ecart_desirabilite,-0.076388,-0.111328,-0.043743
150,agents v7,temoin,exactitude,0.574504,0.558061,0.591535
150,agents v7,temoin,distance,0.167773,0.151287,0.186238
150,agents v7,temoin,ecart_desirabilite,0.100396,0.082525,0.118623
150,agents v7,sensible+investiguer,exactitude,0.538031,0.519716,0.558096
150,agents v7,sensible+investiguer,distance,0.201439,0.181765,0.222606
150,agents v7,sensible+investiguer,ecart_desirabilite,-0.014772,-0.036575,0.008422
150,agents v7,sensible moins temoin,exactitude,-0.030482,-0.055743,-0.004968
150,agents v7,sensible+investiguer moins temoin,exactitude,-0.036473,-0.053297,-0.019002
150,agents v7,sensible moins temoin,distance,0.036026,0.014909,0.057280
150,agents v7,sensible+investiguer moins temoin,distance,0.033666,0.018438,0.048223
150,agents v7,sensible moins temoin,ecart_desirabilite,-0.072037,-0.093865,-0.049286
150,agents v7,sensible+investiguer moins temoin,ecart_desirabilite,-0.115168,-0.136779,-0.092052
150,agents v8,sensible,exactitude,0.536420,0.511666,0.560116
150,agents v8,sensible,distance,0.179861,0.163950,0.194682
150,agents v8,sensible,ecart_desirabilite,-0.031325,-0.051281,-0.009078
150,agents v8,investiguer,exactitude,0.559155,0.531274,0.585448
150,agents v8,investiguer,distance,0.117416,0.094293,0.142334
150,agents v8,investiguer,ecart_desirabilite,-0.045523,-0.079423,-0.013412
150,agents v8,temoin,exactitude,0.577850,0.561742,0.595117
150,agents v8,temoin,distance,0.123415,0.114224,0.132975
150,agents v8,temoin,ecart_desirabilite,0.022354,0.003966,0.041116
150,agents v8,sensible+investiguer,exactitude,0.548242,0.529596,0.568426
150,agents v8,sensible+investiguer,distance,0.147390,0.133651,0.163356
150,agents v8,sensible+investiguer,ecart_desirabilite,-0.037171,-0.055088,-0.016903
150,agents v8,sensible moins temoin,exactitude,-0.041429,-0.066329,-0.018202
150,agents v8,sensible+investiguer moins temoin,exactitude,-0.029607,-0.045788,-0.012102
150,agents v8,sensible moins temoin,distance,0.056447,0.038683,0.071442
150,agents v8,sensible+investiguer moins temoin,distance,0.023975,0.007068,0.038453
150,agents v8,sensible moins temoin,ecart_desirabilite,-0.053680,-0.075247,-0.030628
150,agents v8,sensible+investiguer moins temoin,ecart_desirabilite,-0.059526,-0.085092,-0.031442
150,B0 mode,sensible,exactitude,0.562269,0.538889,0.585570
150,B0 mode,sensible,distance,0.263929,0.245619,0.282385
150,B0 mode,sensible,ecart_desirabilite,0.047335,0.027633,0.068362
150,B0 mode,investiguer,exactitude,0.532088,0.498949,0.562564
150,B0 mode,investiguer,distance,0.326977,0.298243,0.357339
150,B0 mode,investiguer,ecart_desirabilite,-0.172000,-0.204637,-0.140844
150,B0 mode,temoin,exactitude,0.583309,0.568103,0.598872
150,B0 mode,temoin,distance,0.283962,0.271151,0.296574
150,B0 mode,temoin,ecart_desirabilite,0.067836,0.051923,0.083091
150,B0 mode,sensible+investiguer,exactitude,0.546575,0.525593,0.567480
150,B0 mode,sensible+investiguer,distance,0.296714,0.279051,0.316369
150,B0 mode,sensible+investiguer,ecart_desirabilite,-0.042979,-0.063473,-0.021707
150,B0 mode,sensible moins temoin,exactitude,-0.021040,-0.046861,0.003788
150,B0 mode,sensible+investiguer moins temoin,exactitude,-0.036734,-0.052299,-0.019830
150,B0 mode,sensible moins temoin,distance,-0.020034,-0.039705,-0.000494
150,B0 mode,sensible+investiguer moins temoin,distance,0.012752,0.000712,0.025377
150,B0 mode,sensible moins temoin,ecart_desirabilite,-0.020501,-0.039318,-0.000820
150,B0 mode,sensible+investiguer moins temoin,ecart_desirabilite,-0.110816,-0.133466,-0.089123
150,B0 tirage,sensible,exactitude,0.477677,0.457208,0.498333
150,B0 tirage,sensible,distance,0.053699,0.037590,0.071204
150,B0 tirage,sensible,ecart_desirabilite,-0.006417,-0.033779,0.022199
150,B0 tirage,investiguer,exactitude,0.422907,0.401026,0.446180
150,B0 tirage,investiguer,distance,0.049785,0.034171,0.070010
150,B0 tirage,investiguer,ecart_desirabilite,-0.006218,-0.040872,0.028891
150,B0 tirage,temoin,exactitude,0.486553,0.475487,0.498154
150,B0 tirage,temoin,distance,0.061075,0.053282,0.070829
150,B0 tirage,temoin,ecart_desirabilite,0.005242,-0.010720,0.021867
150,B0 tirage,sensible+investiguer,exactitude,0.449197,0.433053,0.466133
150,B0 tirage,sensible+investiguer,distance,0.051663,0.040668,0.064937
150,B0 tirage,sensible+investiguer,ecart_desirabilite,-0.006335,-0.029237,0.015654
150,B0 tirage,sensible moins temoin,exactitude,-0.008875,-0.029411,0.011155
150,B0 tirage,sensible+investiguer moins temoin,exactitude,-0.037356,-0.054095,-0.019849
150,B0 tirage,sensible moins temoin,distance,-0.007376,-0.024869,0.011273
150,B0 tirage,sensible+investiguer moins temoin,distance,-0.009411,-0.022433,0.004773
150,B0 tirage,sensible moins temoin,ecart_desirabilite,-0.011658,-0.038264,0.016464
