modele,cle_modele,identite,item,tv_camps_decrit,tv_camps_reel_w1,tv_camps_reel_w2,gap_signe_decrit,gap_signe_reel_w1,gap_signe_reel_w2
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,natsci,0.08000000000000002,0.2291756955881079,0.2663748519256884,0.03999999999999998,0.1851795671896218,0.20227312126202657
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,natenrgy,0.030000000000000027,0.3714859437751004,0.4124266851578979,0.015000000000000013,0.3195588107826992,0.3517414983675712
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,uswary,0.06999999999999998,0.15279824333304443,0.1768368437779897,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,prayer,0.08999999999999998,0.36810551558753,0.34819132645690676,0.09,0.36810551558753,0.34819132645690676
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,courts,0.020000000000000018,0.4459420415474849,0.47846060500996795,0.010000000000000009,0.3348646384097541,0.34816965704544806
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,discaffw,0.13,0.3582459333737829,0.3811143855999538,0.07000000000000006,0.23629530110851082,0.2334879084684059
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,discaffm,0.08000000000000002,0.28265580306838867,0.333362225881945,-0.036666666666666625,0.2008850750724721,0.23907620891238812
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,fechld,0.25,0.16881916153823928,0.2203490219872296,0.0033333333333334103,0.12230215827338128,0.15476293663864102
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,fepresch,0.05000000000000002,0.25253532114067784,0.20858253156510947,0.03333333333333327,0.1613576608592644,0.12750281702348976
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,fefam,0.009999999999999988,0.3687772673427523,0.3496504001617983,-0.006666666666666654,0.2808283493686978,0.27727938131422586
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,fepol,0.66,0.3323437635433822,0.3704458120250787,0.66,0.33234376354338224,0.37044581202507876
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,mobile16,0.0,0.08628037329172802,0.09408858455404351,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,dwelown16,0.13,0.04864782872497184,0.055842073329288366,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,divorced,0.0,0.1402661003727139,0.12581982606685738,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,posslq/y,0.09999999999999998,0.1423969258328277,0.13163445147496464,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,evwork,0.010000000000000009,0.030943919563144632,0.03451214931669116,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,wrkgovt1,0.0,0.007389269307445573,0.02200167576781946,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,wrkgovt2,0.07000000000000003,0.020455924417092777,0.026480020802634993,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,partfull,0.07000000000000002,0.07113345468203754,0.05597208979804104,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,wksub1,0.09999999999999998,0.03940221316922374,0.06533327554823609,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,wksup1,0.0,0.050850885556614905,0.05581318078067668,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conarmy,0.17,0.114580624656901,0.11519459131489995,0.12499999999999994,0.10031131721129127,0.09576435237352288
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conbus,0.04999999999999999,0.19080639103175295,0.1565037126924966,-0.014999999999999902,0.11733263991216664,0.11878087891132882
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conclerg,0.13000000000000003,0.31086215365057346,0.3144303834041201,-0.11000000000000004,0.22039236081014704,0.22635867209846589
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,coneduc,0.17,0.2274204732599463,0.2528603623125596,0.125,0.18943038340412016,0.21988674120944207
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,confed,0.17,0.30253387651324726,0.30744560977723845,0.12,0.20295931929155475,0.20092600618300538
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,confinan,0.17,0.07926670711623474,0.07736702204501467,-0.11999999999999994,0.04996605125538123,0.05498252000809001
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conjudge,0.0,0.37858628759642887,0.44087862240328224,0.0,0.32949784750512845,0.35311389442662744
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conlabor,0.16999999999999998,0.30646326312444017,0.2859928924330416,0.08499999999999996,0.2806838866256392,0.2475513565051573
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conlegis,0.17,0.08927797521019337,0.11571465718991074,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conmedic,0.17,0.26942301580422406,0.27377856750743984,0.125,0.20229117910490885,0.20717401982028835
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,conpress,0.13000000000000003,0.43310652682673134,0.445826471353038,0.11000000000000004,0.2758335500274479,0.2782894166594435
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,consci,0.17,0.4765031348415244,0.4836973794458409,0.12,0.3356158446736587,0.31662260553003385
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,contv,0.13000000000000003,0.23588599000317828,0.25793100459391527,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,joblose,0.039999999999999994,0.025562682384213165,0.058969691716506255,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,jobfind,0.26,0.06482043281037828,0.04854670480483083,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,happy,0.0,0.06640229984686954,0.04200976568143086,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,hapmar,0.07999999999999999,0.17219236658865683,0.14224523995261623,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,spjew,0.35,0.18103348646384101,0.16050533067521883,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,spfund,0.14,0.2817529109242727,0.31845367079830117,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,unemp,0.19000000000000003,0.1351304498569819,0.11448672387391295,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,spkath/y,0.0,0.09038311519459129,0.08435901880904913,0.0,0.09038311519459127,0.08435901880904909
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,colath,0.0,0.15927739735922103,0.12798676721273589,0.0,0.159277397359221,0.1279867672127359
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,spkrac/y,0.04999999999999997,0.1163069544364509,0.142974776805062,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,colrac,0.04999999999999997,0.17149894542197566,0.19436739764814653,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,librac/y,0.04999999999999997,0.032894166594435365,0.04254427783074746,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,spkcom/y,0.71,0.1330718557683974,0.11242812978532837,0.7100000000000001,0.13307185576839736,0.11242812978532829
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,colcom/y,0.05999999999999997,0.13909595215393952,0.17930715668429115,-0.06,0.1390959521539395,0.1793071566842912
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,libcom/y,0.71,0.13825084510704694,0.12731501545751353,-0.71,0.1382508451070469,0.1273150154575135
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,spkhomo/y,0.8,0.06638063043541068,0.05266389298199991,0.8,0.0663806304354107,0.0526638929819999
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,colhomo,0.71,0.07363266013695069,0.05389182629799781,0.7100000000000001,0.07363266013695069,0.053891826297997804
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,libhomo/y,0.25,0.1977983877957875,0.20510820259455093,0.25,0.19779838779578748,0.20510820259455087
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,cappun,0.66,0.39537285833983415,0.39543064343705764,0.66,0.39537285833983415,0.39543064343705764
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,polhitok/y,0.0,0.16738175724480656,0.20703678021438268,0.0,0.16738175724480653,0.20703678021438265
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,polabuse/y,0.0,0.05199214122677762,0.06693681199618608,0.0,0.0519921412267776,0.0669368119961862
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,polattak/y,0.0,0.0537690329663979,0.06833087746670136,0.0,0.0537690329663979,0.0683308774667013
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,grass,0.4,0.21030886134465926,0.22174308745774463,0.4,0.2103088613446593,0.2217430874577446
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,gunlaw,0.0,0.3200860997948629,0.28332755482361105,0.0,0.32008609979486297,0.283327554823611
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,owngun,0.09999999999999998,0.2093698535147786,0.21366762012077084,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,hunt1,0.24,0.1424113721071335,0.12384068648695494,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,class,0.16000000000000003,0.03620958654762935,0.04241426136199466,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,satfin,0.009999999999999995,0.05671607292479264,0.056759411747710306,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,finalter,0.0,0.11467452543988899,0.13765854786050674,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,finrela,0.0,0.02301291496922946,0.026855623934587226,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,racdif1,0.22999999999999998,0.6027202334517927,0.5877755626823842,0.22999999999999993,0.6027202334517928,0.5877755626823842
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,racdif2,0.0,0.014735199791973689,0.04184363352691342,0.0,0.014735199791973692,0.0418436335269134
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,racdif3,0.16999999999999996,0.4573762676605703,0.46764034555488143,0.16999999999999993,0.4573762676605703,0.46764034555488143
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,racdif4,0.0,0.36202363410476435,0.36091127098321346,0.0,0.3620236341047644,0.3609112709832135
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,wlthhsps,0.23,0.12014244026465574,0.13458871457051227,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,letin1a,0.09,0.5739432550345265,0.6063462483025628,0.06000000000000005,0.3771669411458785,0.38591054866949814
