source,famille,statistique,taux,valeur_moyenne,ecart_a_la_reference,z,p_bilateral,puissance_empirique,n_tirages,taux_detectable_alpha5,taux_detectable_holm27,courbe_a,courbe_b,courbe_r2,p_holm
IM m=10 mode des m,imputation par esperance,A,0.5,-0.10238609718968598,-0.03382433589664717,-11.586647624584012,4.8161587670866865e-31,1.0,20,0.10595,0.15175,-0.07979149934742415,0.024382697100095864,0.9999292795289363,
IM m=10 mode des m,imputation par esperance,B,0.05,0.042865969707911844,0.0006499075493099499,0.754498965118308,0.45054966654926515,0.0,20,0.1635,0.22890000000000002,0.01445614656269184,0.001869183521427021,0.999892312049903,1.0
IM m=10 mode des m,imputation par esperance,B,0.1,0.04366021351923279,0.0014441513606308978,1.6765626252951227,0.09362804041517445,0.2,20,0.1635,0.22890000000000002,0.01445614656269184,0.001869183521427021,0.999892312049903,
IM m=10 mode des m,imputation par esperance,B,0.25,0.04598774823865583,0.003771686080053939,4.37867393165894,1.19403625034574e-05,1.0,20,0.1635,0.22890000000000002,0.01445614656269184,0.001869183521427021,0.999892312049903,
IM m=10 mode des m,imputation par esperance,B,0.5,0.049902806885592,0.007686744726990109,8.923793773130523,4.505824668595319e-19,1.0,20,0.1635,0.22890000000000002,0.01445614656269184,0.001869183521427021,0.999892312049903,
IM m=10 mode des m,imputation par esperance,C,0.05,0.028329372623574146,0.0010955323193916344,1.7330090682653716,0.08309405701594454,0.45,20,0.079,0.1114,0.0223661839046322,0.0007217408883138323,0.9999466332628338,1.0
IM m=10 mode des m,imputation par esperance,C,0.1,0.02955798479087453,0.0023241444866920202,3.676535507079258,0.00023642296080563665,0.95,20,0.079,0.1114,0.0223661839046322,0.0007217408883138323,0.9999466332628338,
IM m=10 mode des m,imputation par esperance,C,0.25,0.03282794676806083,0.005594106463878316,8.849248040556787,8.811094690113738e-19,1.0,20,0.079,0.1114,0.0223661839046322,0.0007217408883138323,0.9999466332628338,
IM m=10 mode des m,imputation par esperance,C,0.5,0.03860503802281369,0.011371197718631178,17.987957465617804,2.421189419359895e-72,1.0,20,0.079,0.1114,0.0223661839046322,0.0007217408883138323,0.9999466332628338,
PMM k=10,imputation par tirage,A,0.05,-0.07070767697206447,-0.0021459156790256534,-0.7350911154889758,0.4622840048067169,0.0,20,0.24095000000000003,0.3603,-0.037797671567257767,0.015974294646409492,0.9996858183036563,1.0
