condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement
B0 mode,natenrgy,1052,0.320342,1.423550,0.000000,0.000000,0.320342,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B0 tirage,natenrgy,1052,0.008555,1.423550,1.414769,0.993831,0.008555,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B1 argmax,natenrgy,1052,0.054658,1.423550,1.311374,0.921200,0.054658,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B2 argmax,natenrgy,1052,0.108365,1.423550,1.200689,0.843447,0.108365,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B3 foret,natenrgy,1052,0.137833,1.423550,1.075839,0.755744,0.137833,1052,tous,1052,temoin,ordinal 3 et plus,attitude
humains vague 2,natenrgy,1052,0.001901,1.423550,1.425041,1.001047,-0.001901,1052,tous,1052,temoin,ordinal 3 et plus,attitude
agents composite,uswary,1052,0.432510,0.997670,0.469078,0.470174,,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),uswary,1050,0.449462,0.997670,0.412854,0.413819,,1052,tous,1052,non teste,binaire,attitude
agents enquete,uswary,1051,0.433366,0.997670,0.466355,0.467445,,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),uswary,1051,0.518047,0.997670,0.108626,0.108880,,1052,tous,1052,non teste,binaire,attitude
agents v7,uswary,1052,0.461977,0.997670,0.367885,0.368744,,1052,tous,1052,non teste,binaire,attitude
agents v8,uswary,1051,0.417191,0.997670,0.515880,0.517085,,1052,tous,1052,non teste,binaire,attitude
B0 mode,uswary,1052,0.467681,0.997670,0.000000,0.000000,,1052,tous,1052,non teste,binaire,attitude
B0 tirage,uswary,1052,0.009506,0.997670,0.999183,1.001517,,1052,tous,1052,non teste,binaire,attitude
B1 argmax,uswary,1052,0.074144,0.997670,0.967729,0.969990,,1052,tous,1052,non teste,binaire,attitude
B2 argmax,uswary,1052,0.034221,0.997670,1.000675,1.003013,,1052,tous,1052,non teste,binaire,attitude
B3 foret,uswary,1052,0.101711,0.997670,0.948213,0.950428,,1052,tous,1052,non teste,binaire,attitude
humains vague 2,uswary,1052,0.006654,0.997670,0.996299,0.998626,,1052,tous,1052,non teste,binaire,attitude
agents composite,prayer,1052,0.111217,0.899141,0.729405,0.811224,,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),prayer,1050,0.029877,0.899141,0.862545,0.959299,,1052,tous,1052,non teste,binaire,attitude
agents enquete,prayer,1051,0.114829,0.899141,0.722234,0.803248,,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),prayer,1051,0.175723,0.899141,0.582077,0.647370,,1052,tous,1052,non teste,binaire,attitude
agents v7,prayer,1052,0.196768,0.899141,0.523895,0.582661,,1052,tous,1052,non teste,binaire,attitude
agents v8,prayer,1051,0.001251,0.899141,0.900542,1.001557,,1052,tous,1052,non teste,binaire,attitude
B0 mode,prayer,1052,0.314639,0.899141,0.000000,0.000000,,1052,tous,1052,non teste,binaire,attitude
B0 tirage,prayer,1052,0.008555,0.899141,0.889287,0.989040,,1052,tous,1052,non teste,binaire,attitude
B1 argmax,prayer,1052,0.099810,0.899141,0.751298,0.835572,,1052,tous,1052,non teste,binaire,attitude
B2 argmax,prayer,1052,0.132129,0.899141,0.686222,0.763197,,1052,tous,1052,non teste,binaire,attitude
B3 foret,prayer,1052,0.182510,0.899141,0.563935,0.627192,,1052,tous,1052,non teste,binaire,attitude
humains vague 2,prayer,1052,0.005703,0.899141,0.892626,0.992754,,1052,tous,1052,non teste,binaire,attitude
agents composite,courts,1052,0.034696,1.481771,1.481271,0.999662,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents entretien (v3),courts,1051,0.109749,1.481771,1.566125,1.056928,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents enquete,courts,1052,0.116920,1.481771,1.523498,1.028160,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),courts,1051,0.158093,1.481771,1.322659,0.892620,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v7,courts,1052,0.223384,1.481771,1.477194,0.996911,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v8,courts,1051,0.161128,1.481771,1.579666,1.066066,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 mode,courts,1052,0.346008,1.481771,0.000000,0.000000,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 tirage,courts,1052,0.005228,1.481771,1.474389,0.995018,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B1 argmax,courts,1052,0.085076,1.481771,1.322891,0.892777,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B2 argmax,courts,1052,0.051806,1.481771,1.346731,0.908865,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B3 foret,courts,1052,0.171578,1.481771,1.081632,0.729959,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
humains vague 2,courts,1052,0.008080,1.481771,1.469601,0.991787,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents composite,discaffw,1052,0.122624,1.867731,1.338737,0.716772,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents entretien (v3),discaffw,1050,0.070664,1.867731,1.526105,0.817090,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents enquete,discaffw,1051,0.148841,1.867731,0.966484,0.517464,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),discaffw,1051,0.213542,1.867731,0.365620,0.195756,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v7,discaffw,1052,0.214829,1.867731,0.376489,0.201576,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v8,discaffw,1051,0.052108,1.867731,1.667881,0.892999,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 mode,discaffw,1052,0.234474,1.867731,0.000000,0.000000,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 tirage,discaffw,1052,0.017110,1.867731,1.902083,1.018392,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B1 argmax,discaffw,1052,0.075412,1.867731,1.541819,0.825504,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B2 argmax,discaffw,1052,0.159379,1.867731,0.950914,0.509128,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B3 foret,discaffw,1052,0.155260,1.867731,0.924051,0.494745,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
humains vague 2,discaffw,1052,0.007288,1.867731,1.853795,0.992538,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents composite,discaffm,1052,0.107731,1.806434,1.574611,0.871668,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents entretien (v3),discaffm,1050,0.042485,1.806434,1.759077,0.973784,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents enquete,discaffm,1051,0.131963,1.806434,1.648846,0.912763,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),discaffm,1051,0.180890,1.806434,0.582576,0.322501,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v7,discaffm,1052,0.181876,1.806434,0.593840,0.328736,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v8,discaffm,1051,0.042841,1.806434,1.885513,1.043776,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 mode,discaffm,1052,0.218314,1.806434,0.000000,0.000000,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 tirage,discaffm,1052,0.007605,1.806434,1.793607,0.992899,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B1 argmax,discaffm,1052,0.058935,1.806434,1.569085,0.868609,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B2 argmax,discaffm,1052,0.128961,1.806434,1.125282,0.622930,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B3 foret,discaffm,1052,0.142586,1.806434,0.969118,0.536481,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
humains vague 2,discaffm,1052,0.023447,1.806434,1.838163,1.017565,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents composite,fehire,1052,0.071530,2.178317,2.078654,0.954248,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents entretien (v3),fehire,1052,0.096483,2.178317,2.131116,0.978331,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents enquete,fehire,1050,0.091324,2.178317,1.831940,0.840989,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),fehire,1051,0.147715,2.178317,1.170940,0.537544,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v7,fehire,1050,0.164759,2.178317,1.253129,0.575274,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents v8,fehire,1051,0.118684,2.178317,2.005072,0.920468,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 mode,fehire,1052,0.137120,2.178317,0.971747,0.446100,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B0 tirage,fehire,1052,0.008317,2.178317,2.175286,0.998609,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B1 argmax,fehire,1052,0.039924,2.178317,1.981590,0.909689,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B2 argmax,fehire,1052,0.098146,2.178317,1.607237,0.737834,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
B3 foret,fehire,1052,0.091730,2.178317,1.516747,0.696293,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
humains vague 2,fehire,1052,0.012120,2.178317,2.208517,1.013864,,1052,tous,1052,non teste,ordinal 3 et plus,attitude
agents composite,fechld,1052,0.025349,1.595212,1.619177,1.015023,-0.025349,1052,tous,1052,temoin,ordinal 3 et plus,attitude
agents entretien (v3),fechld,1051,0.021414,1.595212,1.591399,0.997610,0.011158,1052,tous,1052,temoin,ordinal 3 et plus,attitude
agents enquete,fechld,1050,0.028937,1.595212,1.674285,1.049569,-0.010044,1052,tous,1052,temoin,ordinal 3 et plus,attitude
agents demographiques (v6),fechld,1051,0.078473,1.595212,1.228821,0.770318,-0.015801,1052,tous,1052,temoin,ordinal 3 et plus,attitude
agents v7,fechld,1050,0.082337,1.595212,1.249089,0.783024,0.082337,1052,tous,1052,temoin,ordinal 3 et plus,attitude
agents v8,fechld,1051,0.041730,1.595212,1.770356,1.109793,-0.038319,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B0 mode,fechld,1052,0.192015,1.595212,0.000000,0.000000,-0.060203,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B0 tirage,fechld,1052,0.009823,1.595212,1.563577,0.980168,-0.000317,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B1 argmax,fechld,1052,0.050380,1.595212,1.227644,0.769580,0.044677,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B2 argmax,fechld,1052,0.072243,1.595212,0.973893,0.610510,0.057034,1052,tous,1052,temoin,ordinal 3 et plus,attitude
B3 foret,fechld,1052,0.093156,1.595212,0.877753,0.550242,0.038657,1052,tous,1052,temoin,ordinal 3 et plus,attitude
humains vague 2,fechld,1052,0.019011,1.595212,1.637895,1.026757,0.004436,1052,tous,1052,temoin,ordinal 3 et plus,attitude
agents composite,fepresch,1052,0.011724,1.680295,1.686926,1.003947,-0.006654,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents entretien (v3),fepresch,1052,0.041508,1.680295,1.678177,0.998740,0.041508,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents enquete,fepresch,1050,0.029823,1.680295,1.743073,1.037361,0.004741,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents demographiques (v6),fepresch,1051,0.087994,1.680295,1.146932,0.682578,-0.017137,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents v7,fepresch,1050,0.078060,1.680295,1.203989,0.716535,0.055534,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents v8,fepresch,1051,0.048067,1.680295,1.818304,1.082134,-0.002231,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B0 mode,fepresch,1052,0.185361,1.680295,0.000000,0.000000,0.011090,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B0 tirage,fepresch,1052,0.007921,1.680295,1.711013,1.018281,-0.001584,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B1 argmax,fepresch,1052,0.085868,1.680295,1.207124,0.718400,0.014259,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B2 argmax,fepresch,1052,0.101711,1.680295,1.028435,0.612056,0.051014,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B3 foret,fepresch,1052,0.158112,1.680295,0.491145,0.292297,0.012991,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
humains vague 2,fepresch,1052,0.006337,1.680295,1.703204,1.013634,-0.001901,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents composite,fefam,1052,0.019645,1.823435,1.747826,0.958535,0.019645,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents entretien (v3),fefam,1052,0.063688,1.823435,1.842240,1.010313,0.031369,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents enquete,fefam,1050,0.088371,1.823435,1.856485,1.018126,0.011697,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents demographiques (v6),fefam,1051,0.049260,1.823435,1.638445,0.898549,0.025348,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents v7,fefam,1050,0.134554,1.823435,1.426966,0.782570,0.134554,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents v8,fefam,1051,0.071261,1.823435,1.900901,1.042484,-0.020323,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B0 mode,fefam,1052,0.228137,1.823435,0.000000,0.000000,0.025982,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B0 tirage,fefam,1052,0.009189,1.823435,1.841753,1.010046,-0.009189,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B1 argmax,fefam,1052,0.044043,1.823435,1.655716,0.908020,0.038973,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B2 argmax,fefam,1052,0.118188,1.823435,1.481683,0.812578,0.118188,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
B3 foret,fefam,1052,0.103929,1.823435,1.318906,0.723309,0.067807,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
humains vague 2,fefam,1052,0.013625,1.823435,1.848479,1.013735,-0.013625,1052,tous,1052,investiguer,ordinal 3 et plus,attitude
agents composite,fepol,1052,0.038973,0.788572,0.716103,0.908100,0.038973,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),fepol,1052,0.144487,0.788572,0.441330,0.559657,0.144487,1052,tous,1052,non teste,binaire,attitude
agents enquete,fepol,1052,0.028517,0.788572,0.736829,0.934384,0.028517,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),fepol,1048,0.219520,0.788572,0.120352,0.152620,0.219520,1052,tous,1052,non teste,binaire,attitude
agents v7,fepol,1050,0.210980,0.788572,0.168088,0.213155,0.210980,1052,tous,1052,non teste,binaire,attitude
agents v8,fepol,1052,0.067490,0.788572,0.654374,0.829821,0.067490,1052,tous,1052,non teste,binaire,attitude
B0 mode,fepol,1052,0.235741,0.788572,0.000000,0.000000,0.235741,1052,tous,1052,non teste,binaire,attitude
B0 tirage,fepol,1052,0.012357,0.788572,0.766984,0.972624,0.012357,1052,tous,1052,non teste,binaire,attitude
B1 argmax,fepol,1052,0.096958,0.788572,0.581729,0.737699,0.096958,1052,tous,1052,non teste,binaire,attitude
B2 argmax,fepol,1052,0.183460,0.788572,0.296696,0.376244,0.183460,1052,tous,1052,non teste,binaire,attitude
B3 foret,fepol,1052,0.171103,0.788572,0.346276,0.439118,0.171103,1052,tous,1052,non teste,binaire,attitude
humains vague 2,fepol,1052,0.049430,0.788572,0.863087,1.094494,-0.049430,1052,tous,1052,non teste,binaire,attitude
agents composite,mobile16,1052,0.073194,1.576312,1.581562,1.003331,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
agents entretien (v3),mobile16,1052,0.115019,1.576312,1.550782,0.983804,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
agents enquete,mobile16,1048,0.298486,1.576312,1.287511,0.816787,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
agents demographiques (v6),mobile16,1042,0.452528,1.576312,0.743689,0.471790,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
agents v7,mobile16,1050,0.224197,1.576312,1.446371,0.917566,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
agents v8,mobile16,1050,0.336578,1.576312,1.192149,0.756290,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
B0 mode,mobile16,1052,0.453422,1.576312,0.000000,0.000000,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
B0 tirage,mobile16,1052,0.007605,1.576312,1.572450,0.997550,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
B1 argmax,mobile16,1052,0.037072,1.576312,1.550623,0.983703,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
B2 argmax,mobile16,1052,0.032795,1.576312,1.558862,0.988930,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
B3 foret,mobile16,1052,0.091730,1.576312,1.477898,0.937567,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
humains vague 2,mobile16,1052,0.006654,1.576312,1.578567,1.001431,,1052,tous,1052,non teste,ordinal 3 et plus,comportement
agents composite,incom16,1052,0.026854,1.794118,1.594625,0.888807,-0.002139,1052,tous,1052,temoin,ordinal 3 et plus,comportement
agents entretien (v3),incom16,1052,0.014496,1.794118,1.778219,0.991138,0.014496,1052,tous,1052,temoin,ordinal 3 et plus,comportement
agents enquete,incom16,1048,0.035841,1.794118,1.676788,0.934603,-0.032166,1052,tous,1052,temoin,ordinal 3 et plus,comportement
agents demographiques (v6),incom16,1048,0.050483,1.794118,1.327209,0.739755,-0.005926,1052,tous,1052,temoin,ordinal 3 et plus,comportement
agents v7,incom16,1050,0.102336,1.794118,0.857716,0.478071,0.069662,1052,tous,1052,temoin,ordinal 3 et plus,comportement
agents v8,incom16,1051,0.116738,1.794118,1.012050,0.564093,0.111035,1052,tous,1052,temoin,ordinal 3 et plus,comportement
B0 mode,incom16,1052,0.148527,1.794118,0.000000,0.000000,0.052519,1052,tous,1052,temoin,ordinal 3 et plus,comportement
B0 tirage,incom16,1052,0.009981,1.794118,1.805989,1.006617,0.006654,1052,tous,1052,temoin,ordinal 3 et plus,comportement
B1 argmax,incom16,1052,0.080086,1.794118,1.139550,0.635159,0.021625,1052,tous,1052,temoin,ordinal 3 et plus,comportement
B2 argmax,incom16,1052,0.121673,1.794118,0.542906,0.302603,0.030894,1052,tous,1052,temoin,ordinal 3 et plus,comportement
B3 foret,incom16,1052,0.140922,1.794118,0.203959,0.113682,0.045390,1052,tous,1052,temoin,ordinal 3 et plus,comportement
humains vague 2,incom16,1052,0.008317,1.794118,1.801308,1.004007,-0.007367,1052,tous,1052,temoin,ordinal 3 et plus,comportement
agents composite,dwelown16,1052,0.072243,1.003762,1.179864,1.175442,,1052,tous,1052,non teste,nominal,comportement
agents entretien (v3),dwelown16,1046,0.037427,1.003762,1.147653,1.143352,,1052,tous,1052,non teste,nominal,comportement
agents enquete,dwelown16,1050,0.180521,1.003762,1.053202,1.049255,,1052,tous,1052,non teste,nominal,comportement
agents demographiques (v6),dwelown16,1049,0.136150,1.003762,0.977143,0.973481,,1052,tous,1052,non teste,nominal,comportement
agents v7,dwelown16,1050,0.065146,1.003762,0.818687,0.815619,,1052,tous,1052,non teste,nominal,comportement
agents v8,dwelown16,1051,0.129117,1.003762,0.672670,0.670149,,1052,tous,1052,non teste,nominal,comportement
B0 mode,dwelown16,1052,0.298479,1.003762,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
B0 tirage,dwelown16,1052,0.005703,1.003762,1.013881,1.010081,,1052,tous,1052,non teste,nominal,comportement
B1 argmax,dwelown16,1052,0.139734,1.003762,0.641057,0.638654,,1052,tous,1052,non teste,nominal,comportement
B2 argmax,dwelown16,1052,0.287072,1.003762,0.090667,0.090328,,1052,tous,1052,non teste,nominal,comportement
B3 foret,dwelown16,1052,0.198669,1.003762,0.469078,0.467320,,1052,tous,1052,non teste,nominal,comportement
humains vague 2,dwelown16,1052,0.011407,1.003762,1.034866,1.030988,,1052,tous,1052,non teste,nominal,comportement
agents composite,divorced,1052,0.017110,0.870534,0.847500,0.973541,0.017110,1052,tous,1052,temoin,binaire,comportement
agents entretien (v3),divorced,1051,0.014947,0.870534,0.850529,0.977020,0.014947,1052,tous,1052,temoin,binaire,comportement
agents enquete,divorced,1050,0.087065,0.870534,0.730169,0.838760,0.087065,1052,tous,1052,temoin,binaire,comportement
agents demographiques (v6),divorced,1049,0.001075,0.870534,0.869150,0.998410,0.001075,1052,tous,1052,temoin,binaire,comportement
agents v7,divorced,1052,0.132129,0.870534,0.631985,0.725974,0.132129,1052,tous,1052,temoin,binaire,comportement
agents v8,divorced,1051,0.016452,0.870534,0.890749,1.023222,-0.016452,1052,tous,1052,temoin,binaire,comportement
B0 mode,divorced,1052,0.290875,0.870534,0.000000,0.000000,0.290875,1052,tous,1052,temoin,binaire,comportement
B0 tirage,divorced,1052,0.001901,0.870534,0.872966,1.002793,-0.001901,1052,tous,1052,temoin,binaire,comportement
B1 argmax,divorced,1052,0.099810,0.870534,0.704379,0.809134,0.099810,1052,tous,1052,temoin,binaire,comportement
B2 argmax,divorced,1052,0.241445,0.870534,0.284655,0.326989,0.241445,1052,tous,1052,temoin,binaire,comportement
B3 foret,divorced,1052,0.220532,0.870534,0.367885,0.422597,0.220532,1052,tous,1052,temoin,binaire,comportement
humains vague 2,divorced,1052,0.001901,0.870534,0.868077,0.997178,0.001901,1052,tous,1052,temoin,binaire,comportement
agents composite,posslq/y,1052,0.019011,1.738695,1.779485,1.023460,,1052,tous,1052,temoin,nominal,comportement
agents entretien (v3),posslq/y,1049,0.015457,1.738695,1.771798,1.019039,,1052,tous,1052,temoin,nominal,comportement
agents enquete,posslq/y,1050,0.209102,1.738695,1.029899,0.592340,,1052,tous,1052,temoin,nominal,comportement
agents demographiques (v6),posslq/y,1049,0.001207,1.738695,1.740900,1.001268,,1052,tous,1052,temoin,nominal,comportement
agents v7,posslq/y,1051,0.260160,1.738695,1.058391,0.608727,,1052,tous,1052,temoin,nominal,comportement
agents v8,posslq/y,1051,0.220531,1.738695,0.993256,0.571265,,1052,tous,1052,temoin,nominal,comportement
B0 mode,posslq/y,1052,0.572243,1.738695,0.000000,0.000000,,1052,tous,1052,temoin,nominal,comportement
B0 tirage,posslq/y,1052,0.023764,1.738695,1.753794,1.008684,,1052,tous,1052,temoin,nominal,comportement
B1 argmax,posslq/y,1052,0.151141,1.738695,1.328176,0.763893,,1052,tous,1052,temoin,nominal,comportement
B2 argmax,posslq/y,1052,0.255703,1.738695,0.972796,0.559498,,1052,tous,1052,temoin,nominal,comportement
B3 foret,posslq/y,1052,0.219582,1.738695,0.992581,0.570877,,1052,tous,1052,temoin,nominal,comportement
humains vague 2,posslq/y,1052,0.016160,1.738695,1.711974,0.984631,,1052,tous,1052,temoin,nominal,comportement
agents composite,wrkstat,1051,0.073573,2.546828,2.598909,1.020449,,1052,tous,1052,temoin,nominal,comportement
agents entretien (v3),wrkstat,1051,0.076586,2.546828,2.592840,1.018066,,1052,tous,1052,temoin,nominal,comportement
agents enquete,wrkstat,1049,0.201357,2.546828,2.319118,0.910591,,1052,tous,1052,temoin,nominal,comportement
agents demographiques (v6),wrkstat,1047,0.239786,2.546828,2.276363,0.893803,,1052,tous,1052,temoin,nominal,comportement
agents v7,wrkstat,1052,0.154943,2.546828,2.358665,0.926119,,1052,tous,1052,temoin,nominal,comportement
agents v8,wrkstat,1051,0.404928,2.546828,1.495324,0.587132,,1052,tous,1052,temoin,nominal,comportement
B0 mode,wrkstat,1052,0.622624,2.546828,0.000000,0.000000,,1052,tous,1052,temoin,nominal,comportement
B0 tirage,wrkstat,1052,0.030418,2.546828,2.512302,0.986443,,1052,tous,1052,temoin,nominal,comportement
B1 argmax,wrkstat,1052,0.185361,2.546828,2.031384,0.797613,,1052,tous,1052,temoin,nominal,comportement
B2 argmax,wrkstat,1052,0.308935,2.546828,1.673741,0.657186,,1052,tous,1052,temoin,nominal,comportement
B3 foret,wrkstat,1052,0.365970,2.546828,1.278642,0.502053,,1052,tous,1052,temoin,nominal,comportement
humains vague 2,wrkstat,1052,0.037072,2.546828,2.509237,0.985240,,1052,tous,1052,temoin,nominal,comportement
agents composite,evwork,1052,0.002852,0.398968,0.388776,0.974454,,1052,tous,1052,temoin,binaire,comportement
agents entretien (v3),evwork,1052,0.021863,0.398968,0.316243,0.792654,,1052,tous,1052,temoin,binaire,comportement
agents enquete,evwork,1052,0.066540,0.398968,0.096730,0.242451,,1052,tous,1052,temoin,binaire,comportement
agents demographiques (v6),evwork,1052,0.067490,0.398968,0.090667,0.227255,,1052,tous,1052,temoin,binaire,comportement
agents v7,evwork,1052,0.031369,0.398968,0.276490,0.693013,,1052,tous,1052,temoin,binaire,comportement
agents v8,evwork,1051,0.057965,0.398968,0.147331,0.369280,,1052,tous,1052,temoin,binaire,comportement
B0 mode,evwork,1052,0.078897,0.398968,0.000000,0.000000,,1052,tous,1052,temoin,binaire,comportement
B0 tirage,evwork,1052,0.000000,0.398968,0.398968,1.000000,,1052,tous,1052,temoin,binaire,comportement
B1 argmax,evwork,1052,0.052281,0.398968,0.177812,0.445680,,1052,tous,1052,temoin,binaire,comportement
B2 argmax,evwork,1052,0.078897,0.398968,0.000000,0.000000,,1052,tous,1052,temoin,binaire,comportement
B3 foret,evwork,1052,0.078897,0.398968,0.000000,0.000000,,1052,tous,1052,temoin,binaire,comportement
humains vague 2,evwork,1052,0.007605,0.398968,0.425370,1.066177,,1052,tous,1052,temoin,binaire,comportement
agents composite,wrkgovt1,1052,0.017110,0.631985,0.671612,1.062702,,1052,tous,1052,non teste,binaire,comportement
agents entretien (v3),wrkgovt1,1052,0.002852,0.631985,0.625080,0.989074,,1052,tous,1052,non teste,binaire,comportement
agents enquete,wrkgovt1,1052,0.143536,0.631985,0.114307,0.180869,,1052,tous,1052,non teste,binaire,comportement
agents demographiques (v6),wrkgovt1,1052,0.158745,0.631985,0.000000,0.000000,,1052,tous,1052,non teste,binaire,comportement
agents v7,wrkgovt1,1052,0.106464,0.631985,0.296696,0.469467,,1052,tous,1052,non teste,binaire,comportement
agents v8,wrkgovt1,1051,0.139716,0.631985,0.136643,0.216212,,1052,tous,1052,non teste,binaire,comportement
B0 mode,wrkgovt1,1052,0.158745,0.631985,0.000000,0.000000,,1052,tous,1052,non teste,binaire,comportement
B0 tirage,wrkgovt1,1052,0.012357,0.631985,0.660907,1.045763,,1052,tous,1052,non teste,binaire,comportement
B1 argmax,wrkgovt1,1052,0.128327,0.631985,0.197171,0.311986,,1052,tous,1052,non teste,binaire,comportement
B2 argmax,wrkgovt1,1052,0.158745,0.631985,0.000000,0.000000,,1052,tous,1052,non teste,binaire,comportement
B3 foret,wrkgovt1,1052,0.154943,0.631985,0.036727,0.058114,,1052,tous,1052,non teste,binaire,comportement
humains vague 2,wrkgovt1,1052,0.009506,0.631985,0.654374,1.035426,,1052,tous,1052,non teste,binaire,comportement
agents composite,wrkgovt2,1052,0.021863,0.882441,0.854108,0.967893,,1052,tous,1052,non teste,binaire,comportement
agents entretien (v3),wrkgovt2,1052,0.169202,0.882441,0.561348,0.636131,,1052,tous,1052,non teste,binaire,comportement
agents enquete,wrkgovt2,1052,0.287072,0.882441,0.102686,0.116366,,1052,tous,1052,non teste,binaire,comportement
