jeu,predicteur,item,mi_bits,entropie_humaine_bits
Twin-2K-500,B1 argmax,54,0.006740289130549026,0.9898499326590742
Twin-2K-500,B1 argmax,55,0.0009286684934930443,0.9845528988319523
Twin-2K-500,B1 argmax,56,0.004790176619961616,0.9906815461789256
Twin-2K-500,B1 argmax,57,0.00033567519333388293,0.9891597569207325
Twin-2K-500,B1 argmax,58,0.002176279255688972,0.9810362409029043
Twin-2K-500,B1 argmax,59,0.009170949877175481,0.992389622117408
Twin-2K-500,B2 argmax,0,0.046607400418657165,2.1518314761987885
Twin-2K-500,B2 argmax,1,0.05104377072108378,2.097367995708299
Twin-2K-500,B2 argmax,2,0.070600038042381,2.1057217557884034
Twin-2K-500,B2 argmax,3,0.02907682277161027,1.937651438082106
Twin-2K-500,B2 argmax,4,0.035597650921115324,1.8450157745948101
Twin-2K-500,B2 argmax,5,0.05695101280322799,2.1045925291929604
Twin-2K-500,B2 argmax,6,0.04399124143675336,1.7751756886277978
Twin-2K-500,B2 argmax,7,0.021754350492132247,1.8534320012884278
Twin-2K-500,B2 argmax,8,0.1084645788966556,2.3067827312080036
Twin-2K-500,B2 argmax,9,0.060502285871109486,2.1736894773083106
Twin-2K-500,B2 argmax,10,0.02202211489383997,1.7612482095388404
Twin-2K-500,B2 argmax,11,0.016985762598185496,2.311043966301265
Twin-2K-500,B2 argmax,12,0.020815209874152047,2.687569676063709
Twin-2K-500,B2 argmax,13,0.018703358572979625,2.6280972149013593
Twin-2K-500,B2 argmax,14,0.018386836990144737,2.340997551695686
Twin-2K-500,B2 argmax,15,0.004367794869199567,2.1199317725722557
Twin-2K-500,B2 argmax,16,0.020831690358841456,2.1407993382056354
Twin-2K-500,B2 argmax,17,0.02191041233741052,2.1048157193171066
Twin-2K-500,B2 argmax,18,0.00852506663744056,1.9142331273210715
Twin-2K-500,B2 argmax,19,0.009889870342058902,0.9573425734686967
Twin-2K-500,B2 argmax,20,0.011963337644952608,0.9911639398132197
Twin-2K-500,B2 argmax,21,0.002629992895904819,0.9908437246328534
Twin-2K-500,B2 argmax,22,0.004906458155565562,0.994947489007991
Twin-2K-500,B2 argmax,23,0.002385907778814199,0.9953060173280208
Twin-2K-500,B2 argmax,24,0.005536987892282185,0.9944502310277452
Twin-2K-500,B2 argmax,25,0.008353034590384832,0.9929693891278855
Twin-2K-500,B2 argmax,26,0.0009730820154067996,0.9939309930845985
Twin-2K-500,B2 argmax,27,0.004412908104385326,0.9884474381266917
Twin-2K-500,B2 argmax,28,0.005680930363688662,0.9855786450334957
Twin-2K-500,B2 argmax,29,0.004215138158750519,0.9935271307269335
Twin-2K-500,B2 argmax,30,0.006189777715047694,0.9906815461789256
Twin-2K-500,B2 argmax,31,0.00318189034321814,0.9891597569207325
Twin-2K-500,B2 argmax,32,0.0032978528327591836,0.9884474381266917
Twin-2K-500,B2 argmax,33,0.003602258483955677,0.9839207393294618
Twin-2K-500,B2 argmax,34,0.004357217540845503,0.992389622117408
Twin-2K-500,B2 argmax,35,0.0010364550807697701,0.9928265129423262
Twin-2K-500,B2 argmax,36,0.004234416051201339,0.9916339128800118
Twin-2K-500,B2 argmax,37,-0.0002974225687513167,0.9951878802971897
Twin-2K-500,B2 argmax,38,0.002038063432054259,0.9931108887286502
Twin-2K-500,B2 argmax,39,0.011209797698770172,0.9845528988319523
Twin-2K-500,B2 argmax,40,0.0036293192378173953,0.9947016065454062
Twin-2K-500,B2 argmax,41,0.0017258528274692862,0.993389759260429
Twin-2K-500,B2 argmax,42,0.0022885745391194577,0.9793851225722311
Twin-2K-500,B2 argmax,43,0.0007333083182052822,0.9928265129423262
Twin-2K-500,B2 argmax,44,0.0018556672378389192,0.9906815461789256
Twin-2K-500,B2 argmax,45,0.007504271351939095,0.9908437246328534
Twin-2K-500,B2 argmax,46,0.0014837526003477195,0.9873373931349485
Twin-2K-500,B2 argmax,47,0.004547375397434105,0.9851725220671761
Twin-2K-500,B2 argmax,48,0.002536125147410527,0.9898499326590742
Twin-2K-500,B2 argmax,49,0.0008450097446213154,0.9922412368194928
Twin-2K-500,B2 argmax,50,0.007983705785775229,0.9867636445765502
Twin-2K-500,B2 argmax,51,0.0011336117034588243,0.992536629715774
Twin-2K-500,B2 argmax,52,0.0052670833262629104,0.984760832284804
Twin-2K-500,B2 argmax,53,0.003663441162563562,0.9855786450334957
Twin-2K-500,B2 argmax,54,0.002990965006056666,0.9898499326590742
Twin-2K-500,B2 argmax,55,0.0029404908803780648,0.9845528988319523
Twin-2K-500,B2 argmax,56,0.0025217231006797723,0.9906815461789256
Twin-2K-500,B2 argmax,57,0.005988814483313786,0.9891597569207325
Twin-2K-500,B2 argmax,58,0.0024531763448425435,0.9810362409029043
Twin-2K-500,B2 argmax,59,0.004377730167729243,0.992389622117408
