condition,cellules,cellules_minoritaires,cellules_predites_minoritaires,minorites_justes,minorites_a_personne_majoritaire,minorites_mauvaise_modalite,taux_refus,rappel,precision,f1,taux_fausses_minorites,taux_mauvaise_minorite,masse_predite,masse_humaine,rappel_ic_bas,rappel_ic_haut,precision_ic_bas,precision_ic_haut,f1_ic_bas,f1_ic_haut,taux_fausses_minorites_ic_bas,taux_fausses_minorites_ic_haut,taux_mauvaise_minorite_ic_bas,taux_mauvaise_minorite_ic_haut,masse_predite_ic_bas,masse_predite_ic_haut,perimetre,seuil
agents demographiques (v6),22350,2414,1461,417,757,287,0.001879,0.172742,0.285421,0.215226,0.518138,0.196441,0.065369,0.108009,0.156835,0.189859,0.262877,0.309477,0.197592,0.232919,0.489791,0.545891,0.176014,0.217607,0.060358,0.070470,150,0.200000
agents v7,22350,2414,1457,293,928,236,0.000984,0.121375,0.201098,0.151382,0.636925,0.161977,0.065190,0.108009,0.104242,0.139759,0.175673,0.228618,0.131828,0.172416,0.603319,0.669064,0.141450,0.183311,0.059418,0.071499,150,0.200000
agents v8,22350,2414,2434,475,1653,306,0.000358,0.196769,0.195152,0.195957,0.679129,0.125719,0.108904,0.108009,0.166453,0.228886,0.169595,0.222279,0.170634,0.223132,0.649428,0.706588,0.109924,0.142861,0.096465,0.121611,150,0.200000
C2,22350,2414,2756,492,1835,429,0.000000,0.203811,0.178520,0.190329,0.665820,0.155660,0.123311,0.108009,0.180773,0.228943,0.159431,0.198559,0.171139,0.210023,0.639525,0.690453,0.141447,0.170714,0.113064,0.134720,150,0.200000
C3,22350,2414,2920,671,1821,428,0.000000,0.277962,0.229795,0.251594,0.623630,0.146575,0.130649,0.108009,0.251153,0.304249,0.205565,0.252612,0.227238,0.275353,0.600379,0.648721,0.132934,0.160449,0.124473,0.137136,150,0.200000
B0 mode,22350,2414,0,0,0,0,0.000000,0.000000,,0.000000,,,0.000000,0.108009,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,150,0.200000
B0 tirage,22350,2414,2481,277,1849,355,0.000000,0.114747,0.111649,0.113177,0.745264,0.143087,0.111007,0.108009,0.102740,0.127481,0.097871,0.125355,0.101010,0.125655,0.725940,0.765828,0.128380,0.157610,0.106980,0.114811,150,0.200000
B1 argmax,22350,2414,1058,317,546,195,0.000000,0.131317,0.299622,0.182604,0.516068,0.184310,0.047338,0.108009,0.113238,0.149679,0.267561,0.332436,0.159737,0.204503,0.480263,0.551308,0.161914,0.207726,0.042729,0.052394,150,0.200000
B2 argmax,22350,2414,473,242,126,105,0.000000,0.100249,0.511628,0.167648,0.266385,0.221987,0.021163,0.108009,0.082930,0.118510,0.462414,0.558095,0.140763,0.194302,0.226371,0.306696,0.183190,0.262657,0.017808,0.024653,150,0.200000
B3 foret,22350,2414,324,131,138,55,0.000000,0.054267,0.404321,0.095690,0.425926,0.169753,0.014497,0.108009,0.044011,0.064786,0.355556,0.460784,0.079077,0.112775,0.364777,0.481898,0.129332,0.210722,0.012036,0.017047,150,0.200000
