global_A,global_B,global_C,camp_A,camp_B,camp_C,polarisation,marginale1,marginale2,marginale3,source,camp,taux,tirage,mode
-0.091162840249294,0.051401338099407876,0.035518638000796944,-0.10483014486186448,0.06944512170960429,0.05202885422491945,0.5159380387390635,33.174904942965775,51.90114068441065,36.69201520912547,agents v8,droite,0.05,2,concentre
-0.09203763696235756,0.05071571809778201,0.03600197900898121,-0.10103785538360788,0.06626351851311489,0.053560870783325554,0.507418953743388,33.26996197718631,52.28136882129277,37.452471482889734,agents v8,droite,0.05,3,concentre
-0.09110874200426433,0.04949978981894877,0.03421489737664808,-0.0976093061713258,0.06268721832925306,0.047927309347248925,0.518398688550363,33.01617507136061,51.66508087535681,37.547528517110266,agents v8,droite,0.05,4,concentre
-0.09331004664437381,0.05050742854066659,0.034195575185716746,-0.09940873707941655,0.06657890074832327,0.04783978264058706,0.5120539994052766,33.26996197718631,51.99619771863118,38.11787072243346,agents v8,droite,0.05,5,concentre
-0.09295120886608255,0.05139506015769206,0.0337587268051103,-0.10584970050552955,0.06790714590343616,0.04644700471757947,0.5165764792124576,32.88973384030418,51.90114068441065,37.547528517110266,agents v8,droite,0.05,6,concentre
-0.094047942252104,0.05016412016083503,0.03481575852765521,-0.0989393248175181,0.06595387925049169,0.049817288930509185,0.5142934449352433,32.79467680608365,51.71102661596958,36.69201520912547,agents v8,droite,0.05,7,concentre
-0.0925587905041162,0.0502528893630772,0.03385785598947607,-0.10059104502997762,0.06428140589628942,0.04676007793878067,0.5145059907127676,32.414448669201526,51.71102661596958,37.26235741444867,agents v8,droite,0.05,8,concentre
-0.09513250751551072,0.05056484664990131,0.035015513363112795,-0.10317289940320284,0.0658915095982564,0.050460308688751156,0.5132611986851677,33.174904942965775,51.615969581749056,37.0722433460076,agents v8,droite,0.05,9,concentre
-0.12264241672989162,0.06040701119828962,0.04699682749102678,-0.1756858240932987,0.10397306656707542,0.0885949890655283,0.5764520461439402,32.06470028544244,51.379638439581356,36.40684410646388,agents v8,droite,0.1,0,concentre
-0.11759318275549935,0.059132637163481605,0.04533943842487892,-0.168059040590406,0.1002455131696999,0.08321683097160334,0.5776279014605364,32.50950570342205,50.950570342205324,34.98098859315589,agents v8,droite,0.1,1,concentre
-0.11713824636901538,0.05861373851076136,0.04672141898913647,-0.1658328977824236,0.0978450506820798,0.0877462374918935,0.5722214621599369,32.540437678401524,50.999048525214086,35.93155893536122,agents v8,droite,0.1,2,concentre
-0.11792773639367449,0.058114429817441415,0.04390816390670847,-0.16801037628782423,0.09746196191765505,0.07878821565249877,0.5708934586400852,32.25499524262607,51.47478591817317,34.88593155893536,agents v8,droite,0.1,3,concentre
-0.11872295474897165,0.058484554829368124,0.04714194263411332,-0.17152582507029757,0.0973075714069194,0.08894473885906673,0.5837503060793707,32.129277566539926,50.19011406844106,36.40684410646388,agents v8,droite,0.1,4,concentre
-0.11875862216471134,0.06046291844493934,0.045925305357644955,-0.17135369121587785,0.10497055741368538,0.08526808080214024,0.570092631442853,32.35014272121789,51.379638439581356,35.17110266159696,agents v8,droite,0.1,5,concentre
-0.11700244774995305,0.05873838353754643,0.04462480729385394,-0.16915659782155823,0.0991766585396463,0.08110594449054745,0.5762073954126589,32.25499524262607,51.094196003805905,36.12167300380228,agents v8,droite,0.1,6,concentre
-0.12244635744571508,0.060465697029563586,0.045632813543533136,-0.17493441626772954,0.10359984513665027,0.0841804395986955,0.5734893907814447,32.69961977186312,51.235741444866925,35.646387832699624,agents v8,droite,0.1,7,concentre
-0.11838912369228793,0.05891013946654569,0.0443282406725294,-0.1696266709899924,0.0993230796487923,0.08010615508195759,0.570447165263969,32.31939163498099,51.71102661596958,36.02661596958175,agents v8,droite,0.1,8,concentre
-0.11984530575616426,0.059336557300046,0.046099676180378094,-0.17074463386626637,0.10095244194642933,0.08563616289165396,0.5752858633132912,32.22433460076046,51.42585551330798,35.646387832699624,agents v8,droite,0.1,9,concentre
-0.1434890103658676,0.06474215685545466,0.07068536332771926,-0.27331082950583796,0.13933764036265628,0.16406180546592694,0.6918120911397696,31.08365019011407,49.71482889733841,33.26996197718631,agents v8,droite,0.2,0,concentre
-0.1459468010576509,0.06472325080752175,0.06717758826488125,-0.28034020281321537,0.13837514815985952,0.15315008656396809,0.6883293844679225,31.68411037107517,49.38154138915319,33.07984790874524,agents v8,droite,0.2,1,concentre
-0.14667087196007988,0.06638207919800602,0.07038330231705789,-0.2835401545305549,0.14596870682766364,0.1630137526781259,0.6921338238517665,31.4638783269962,50.28517110266159,32.88973384030418,agents v8,droite,0.2,2,concentre
-0.14985198275570955,0.06715857132425129,0.07147463111891329,-0.2900808947282697,0.14493696101861264,0.1664502700978841,0.688247115340354,30.988593155893536,49.619771863117876,31.653992395437264,agents v8,droite,0.2,3,concentre
-0.1437949624993624,0.06468684351799778,0.06963310696978026,-0.27592875692999097,0.1386475048201076,0.16087059881492463,0.6913346108147885,31.398667935299713,49.952426260704094,32.50950570342205,agents v8,droite,0.2,4,concentre
-0.14462184159033553,0.06580617310571597,0.07046841859159722,-0.2813186813186813,0.14042538944535923,0.16367066018759174,0.6943105190632036,31.303520456707894,49.762131303520455,32.31939163498099,agents v8,droite,0.2,5,concentre
-0.14645205168895936,0.06724586998499336,0.07093995198549738,-0.2798590980809452,0.1436123087555919,0.16493174548272113,0.6874859502761501,31.273764258555133,49.334600760456276,32.79467680608365,agents v8,droite,0.2,6,concentre
-0.1474497298454568,0.06523617901464399,0.0713362822474699,-0.28028335301062557,0.13883973938089772,0.16604808498522136,0.6932461504038582,31.55893536121673,50.0,33.65019011406844,agents v8,droite,0.2,7,concentre
