modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
gpt-oss-20b,oss20,centre,parsol,0.09999999999999998,0.07260726072607263
gpt-oss-20b,oss20,centre,kidssol,0.0,0.0627062706270627
gpt-oss-20b,oss20,centre,spanking,0.0,0.03960396039603961
gpt-oss-20b,oss20,centre,divlaw,0.0,0.016501650165016493
gpt-oss-20b,oss20,centre,sexeduc,0.0,0.029702970297029715
gpt-oss-20b,oss20,centre,pillok,0.030000000000000013,0.006600660066006583
gpt-oss-20b,oss20,centre,xmarsex,0.2,0.06930693069306927
gpt-oss-20b,oss20,centre,homosex,0.05000000000000002,0.03300330033003304
gpt-oss-20b,oss20,centre,marhomo,0.25,0.03630363036303631
gpt-oss-20b,oss20,centre,discaff,0.09999999999999998,0.02640264026402643
gpt-oss-20b,oss20,centre,abdefect,0.13,0.013201320132013222
gpt-oss-20b,oss20,centre,abnomore,0.0,0.08910891089108908
gpt-oss-20b,oss20,centre,abhlth,0.0,0.0
gpt-oss-20b,oss20,centre,abpoor,0.0,0.04950495049504955
gpt-oss-20b,oss20,centre,abrape,0.0,0.0033003300330033195
gpt-oss-20b,oss20,centre,absingle,0.0,0.0726072607260726
gpt-oss-20b,oss20,centre,abany,0.0,0.023102310231023077
gpt-oss-20b,oss20,centre,letdie1,0.07000000000000003,0.01980198019801982
gpt-oss-20b,oss20,centre,suicide1,0.0,0.013201320132013167
gpt-oss-20b,oss20,centre,suicide2,0.0,0.02640264026402639
gpt-oss-20b,oss20,centre,suicide3,0.1,0.023102310231023118
gpt-oss-20b,oss20,centre,suicide4,0.07000000000000003,0.019801980198019764
gpt-oss-20b,oss20,centre,pornlaw,0.0,0.03630363036303632
gpt-oss-20b,oss20,centre,fair,0.0,0.07590759075907594
gpt-oss-20b,oss20,centre,helpful,0.0,0.039603960396039584
gpt-oss-20b,oss20,centre,trust,0.2,0.04950495049504955
gpt-oss-20b,oss20,centre,tax,0.10000000000000002,0.016501650165016493
gpt-oss-20b,oss20,centre,vote16,0.0,0.03300330033003297
gpt-oss-20b,oss20,centre,pres16,0.6100000000000001,0.02970297029702971
gpt-oss-20b,oss20,centre,if16who,0.0,0.013201320132013222
gpt-oss-20b,oss20,centre,news,0.08,0.0363036303630363
gpt-oss-20b,oss20,centre,jew,0.26999999999999996,0.08580858085808578
gpt-oss-20b,oss20,centre,relig16*,0.10000000000000002,0.066006600660066
gpt-oss-20b,oss20,centre,jew16*,0.19999999999999996,0.05610561056105612
gpt-oss-20b,oss20,centre,attend,0.26,0.0495049504950495
gpt-oss-20b,oss20,centre,pray,0.04999999999999999,0.02310231023102309
gpt-oss-20b,oss20,centre,postlife,0.0,0.03630363036303631
gpt-oss-20b,oss20,centre,bible,0.19999999999999998,0.04290429042904287
gpt-oss-20b,oss20,centre,reborn,0.0,0.006600660066006597
gpt-oss-20b,oss20,centre,savesoul,0.060000000000000026,0.01650165016501648
gpt-oss-20b,oss20,centre,granborn,0.0,0.023102310231023142
gpt-oss-20b,oss20,centre,uscitzn*,0.010000000000000005,0.003300330033003265
gpt-oss-20b,oss20,centre,fucitzn,0.25,0.00990099009900996
gpt-oss-20b,oss20,centre,mnthsusa,0.0,0.006600660066006585
gpt-oss-20b,oss20,centre,income,0.0,0.0594059405940594
gpt-oss-20b,oss20,centre,othlang,0.20000000000000004,0.006600660066006583
gpt-oss-20b,oss20,centre,health,0.1,0.056105610561056105
gpt-oss-20b,oss20,centre,compuse*,0.0,0.026402640264026393
gpt-oss-20b,oss20,centre,webmob,0.14,0.01980198019801992
gpt-oss-20b,oss20,centre,xmovie,0.0,0.03300330033003304
gpt-oss-20b,oss20,centre,usewww*,0.0,0.003300330033003375
gpt-oss-20b,oss20,centre,life,0.16999999999999993,0.03960396039603964
gpt-oss-20b,oss20,centre,richwork,0.10000000000000003,0.01650165016501648
gpt-oss-20b,oss20,droite,natspac/y,0.0,0.021084337349397533
gpt-oss-20b,oss20,droite,natenvir/y,0.2,0.03313253012048198
gpt-oss-20b,oss20,droite,natheal/y,0.2,0.04819277108433733
gpt-oss-20b,oss20,droite,natcity/y,0.2,0.030120481927710815
gpt-oss-20b,oss20,droite,natdrug/y,0.2,0.04518072289156631
gpt-oss-20b,oss20,droite,nateduc/y,0.2,0.009036144578313282
gpt-oss-20b,oss20,droite,natrace/y,0.2,0.021084337349397575
gpt-oss-20b,oss20,droite,natarms/y,0.0,0.036144578313252976
gpt-oss-20b,oss20,droite,nataid/y,0.2,0.018072289156626453
