source,camp,mode,quantite,taux_total,valeur_humaine,valeur,ecart,facteur,ic_bas,ic_haut,n_tirages
IM m=10 mode des m,droite,concentre,marginale2,0.3,52.75665399239544,50.92205323193916,-1.8346007604562828,0.965225225225225,50.760456273764255,51.11929657794676,10
IM m=10 mode des m,droite,concentre,marginale3,0.02,38.68821292775665,38.72623574144486,0.038022813688208146,1.0009828009828008,38.35076045627377,39.23716730038023,10
IM m=10 mode des m,droite,concentre,marginale3,0.05,38.68821292775665,38.6977186311787,0.00950570342205026,1.0002457002457001,38.044201520912544,39.1421102661597,10
IM m=10 mode des m,droite,concentre,marginale3,0.1,38.68821292775665,38.81178707224334,0.12357414448668891,1.0031941031941032,37.94914448669201,39.61739543726236,10
IM m=10 mode des m,droite,concentre,marginale3,0.2,38.68821292775665,38.99239543726235,0.3041825095057007,1.0078624078624079,38.51948669201521,39.57461977186312,10
IM m=10 mode des m,droite,concentre,marginale3,0.3,38.68821292775665,38.75475285171102,0.06653992395436603,1.0017199017199014,38.51948669201521,38.97338403041825,10
IM m=10 mode des m,droite,uniforme,polarisation,0.02,0.4504530967379146,0.45171420441596866,0.001261107678054041,1.0027996425980568,0.45095209526027613,0.45267776766692236,10
IM m=10 mode des m,droite,uniforme,polarisation,0.05,0.4504530967379146,0.4539677197296287,0.003514622991714067,1.007802417204291,0.45147119578821665,0.4557210056867704,10
IM m=10 mode des m,droite,uniforme,polarisation,0.1,0.4504530967379146,0.45705592003208045,0.006602823294165838,1.014658181599776,0.4515959855785623,0.4604591151059524,10
IM m=10 mode des m,droite,uniforme,polarisation,0.2,0.4504530967379146,0.464008956402593,0.013555859664678371,1.0300938316616026,0.46037621979038923,0.4657688345869633,10
IM m=10 mode des m,droite,uniforme,polarisation,0.3,0.4504530967379146,0.47052737690576507,0.020074280167850456,1.0445646401661441,0.46671673025977817,0.4737040785466771,10
IM m=10 mode des m,droite,uniforme,marginale1,0.02,33.65019011406844,33.71673003802281,0.06653992395437314,1.0019774011299436,33.31273764258555,34.125475285171106,10
