identite,item,gap_olmo3base,gap_olmo3sft,gap_olmo3dpo,gap_olmo3rlvr,gap_signe_reel_w1,famille,n_modalites,sens_codeur_A,retenu_strict,gs_gauche,gs_droite,consensus_reel_gs,consensus,polarite,k_modalites,n_rejets_olmo3base,n_rejets_olmo3dpo,n_rejets_olmo3rlvr,n_rejets_olmo3sft,taux_rejet_olmo3base,taux_rejet_olmo3dpo,taux_rejet_olmo3rlvr,taux_rejet_olmo3sft,complet_4_checkpoints,rejet_au_moins_un,delta_olmo3base_olmo3sft,delta_olmo3sft_olmo3dpo,delta_olmo3dpo_olmo3rlvr
journaliste,natarms/y,0.0949999999999999,0.0599999999999999,0.02,0.03,0.3864197798387795,depenses publiques (nat*),3,-1,True,0.53604,0.632166,0.584103,faible,negative,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.035,-0.0399999999999999,0.009999999999999998
journaliste,natchld,-0.0849999999999999,0.0,0.0399999999999999,0.0399999999999999,0.2296957614631186,depenses publiques (nat*),3,1,True,0.430202,0.626069,0.5281355,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0849999999999999,0.0399999999999999,0.0
journaliste,natcity/y,-0.0849999999999999,-0.06,0.01,0.0,0.2803299529051458,depenses publiques (nat*),3,1,True,0.578537,0.589251,0.5838939999999999,faible,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.024999999999999897,0.06999999999999999,-0.01
journaliste,natdrug/y,-0.0699999999999999,-0.06,0.015,0.0,0.1424619340672041,depenses publiques (nat*),3,1,True,0.466957,0.609544,0.5382505,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.075,-0.015
journaliste,nateduc/y,-0.0699999999999999,0.0,0.01,0.0,0.176753777700731,depenses publiques (nat*),3,1,True,0.329436,0.570324,0.44988000000000006,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0699999999999999,0.01,-0.01
journaliste,natenrgy,-0.0699999999999999,0.0,0.015,0.01,0.3195588107826992,depenses publiques (nat*),3,1,True,0.465689,0.661231,0.5634600000000001,faible,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0699999999999999,0.015,-0.004999999999999999
journaliste,natenvir/y,-0.0699999999999999,-0.06,0.01,0.01,0.3759895697899513,depenses publiques (nat*),3,1,True,0.251234,0.66478,0.45800700000000005,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.06999999999999999,0.0
journaliste,natfare/y,-0.0699999999999999,0.0,0.015,0.01,0.2528603623125595,depenses publiques (nat*),3,1,True,0.285764,0.61979,0.452777,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0699999999999999,0.015,-0.004999999999999999
journaliste,natheal/y,-0.0699999999999999,-0.06,0.01,0.0,0.151122475513565,depenses publiques (nat*),3,1,True,0.297593,0.548411,0.423002,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.06999999999999999,-0.01
journaliste,natmass,-0.0849999999999999,-0.06,0.015,0.015,0.2338887925803935,depenses publiques (nat*),3,1,True,0.508751,0.57178,0.5402655,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.024999999999999897,0.075,0.0
