jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
Twin-2K-500,Q198_7,2,BAD camp inverse,0.5184108527131783,0.5184108527131783,-0.9999999999999999,0.5184108527131783
Twin-2K-500,Q198_8,2,BAD item permute,0.7294421090695414,0.7294421090695414,-0.9999999999999999,0.7294421090695414
Twin-2K-500,Q198_8,2,BAD camp inverse,0.6133720930232558,0.6133720930232558,-0.9999999999999999,0.6133720930232558
Twin-2K-500,Q198_9,2,BAD item permute,0.7497796460777002,0.7497796460777002,-0.9999999999999999,0.7497796460777002
Twin-2K-500,Q198_9,2,BAD camp inverse,0.6201550387596899,0.6201550387596899,-0.9999999999999999,0.6201550387596899
Twin-2K-500,Q198_10,2,BAD item permute,0.699346848373901,0.699346848373901,-0.9999999999999999,0.699346848373901
Twin-2K-500,Q198_10,2,BAD camp inverse,0.5998062015503876,0.5998062015503876,-0.9999999999999999,0.5998062015503876
Twin-2K-500,Q203_1,2,BAD item permute,0.6803118908382066,0.6803118908382066,0.9999999999999999,0.6803118908382066
Twin-2K-500,Q203_1,2,BAD camp inverse,0.08382066276803124,0.08382066276803124,-0.9999999999999999,0.08382066276803124
Twin-2K-500,Q203_2,2,BAD item permute,0.5689024147670765,0.5689024147670765,-0.9999999999999999,0.5689024147670765
Twin-2K-500,Q203_2,2,BAD camp inverse,0.27680311890838205,0.27680311890838205,-0.9999999999999999,0.27680311890838205
Twin-2K-500,Q203_3,2,BAD item permute,0.7803920231417546,0.7803920231417546,-0.9999999999999999,0.7803920231417547
Twin-2K-500,Q203_3,2,BAD camp inverse,0.6666666666666667,0.6666666666666667,-0.9999999999999999,0.6666666666666667
Twin-2K-500,Q203_4,2,BAD item permute,0.872858584338189,0.872858584338189,0.9999999999999999,0.872858584338189
Twin-2K-500,Q203_4,2,BAD camp inverse,0.3927875243664717,0.3927875243664717,-0.9999999999999999,0.3927875243664717
Twin-2K-500,Q203_5,2,BAD item permute,0.8038094101466818,0.8038094101466818,-0.9999999999999999,0.8038094101466818
Twin-2K-500,Q203_5,2,BAD camp inverse,0.732943469785575,0.732943469785575,-0.9999999999999999,0.732943469785575
Twin-2K-500,Q203_6,2,BAD item permute,0.824274404832944,0.824274404832944,-0.9999999999999999,0.824274404832944
Twin-2K-500,Q203_6,2,BAD camp inverse,0.8031189083820662,0.8031189083820662,-0.9999999999999999,0.8031189083820662
Twin-2K-500,Denominator neglect ,2,BAD item permute,0.8090379008746356,0.8090379008746356,-0.9999999999999999,
Twin-2K-500,Denominator neglect ,2,BAD camp inverse,0.739067055393586,0.739067055393586,-0.9999999999999999,
Twin-2K-500,1_Q295,2,BAD item permute,0.9606413994169096,0.9606413994169096,0.9999999999999999,
Twin-2K-500,1_Q295,2,BAD camp inverse,0.8765792031098153,0.8765792031098153,-0.9999999999999999,
Twin-2K-500,2_Q295,2,BAD item permute,0.9917395529640427,0.9917395529640427,0.9999999999999999,
Twin-2K-500,2_Q295,2,BAD camp inverse,0.8736637512147716,0.8736637512147716,-0.9999999999999999,
Twin-2K-500,3_Q295,2,BAD item permute,0.9727891156462585,0.9727891156462585,0.9999999999999999,
Twin-2K-500,3_Q295,2,BAD camp inverse,0.9086491739552964,0.9086491739552964,-0.9999999999999999,
Twin-2K-500,4_Q295,2,BAD item permute,0.9951409135082604,0.9951409135082604,0.9999999999999999,
Twin-2K-500,4_Q295,2,BAD camp inverse,0.8994169096209913,0.8994169096209913,-0.9999999999999999,
Twin-2K-500,5_Q295,2,BAD item permute,0.9771622934888241,0.9771622934888241,0.9999999999999999,
Twin-2K-500,5_Q295,2,BAD camp inverse,0.9057337220602527,0.9057337220602527,-0.9999999999999999,
Twin-2K-500,6_Q295,2,BAD item permute,0.5269848803308699,0.5269848803308699,-0.9999999999999999,
Twin-2K-500,6_Q295,2,BAD camp inverse,0.880466472303207,0.880466472303207,-0.9999999999999999,
Twin-2K-500,7_Q295,2,BAD item permute,0.8134110787172011,0.8134110787172011,-0.9999999999999999,
Twin-2K-500,7_Q295,2,BAD camp inverse,0.8984450923226434,0.8984450923226434,-0.9999999999999999,
Twin-2K-500,8_Q295,2,BAD item permute,0.7478755621850068,0.7478755621850068,-0.9999999999999999,
Twin-2K-500,8_Q295,2,BAD camp inverse,0.8751214771622935,0.8751214771622935,-0.9999999999999999,
Twin-2K-500,9_Q295,2,BAD item permute,0.9849368318756073,0.9849368318756073,0.9999999999999999,
Twin-2K-500,9_Q295,2,BAD camp inverse,0.8600583090379009,0.8600583090379009,-0.9999999999999999,
Twin-2K-500,10_Q295,2,BAD item permute,0.9786200194363459,0.9786200194363459,0.9999999999999999,
Twin-2K-500,10_Q295,2,BAD camp inverse,0.8965014577259476,0.8965014577259476,-0.9999999999999999,
Twin-2K-500,11_Q295,2,BAD item permute,0.989310009718173,0.989310009718173,0.9999999999999999,
Twin-2K-500,11_Q295,2,BAD camp inverse,0.8751214771622935,0.8751214771622935,-0.9999999999999999,
Twin-2K-500,12_Q295,2,BAD item permute,0.7323773363165864,0.7323773363165864,-0.9999999999999999,
Twin-2K-500,12_Q295,2,BAD camp inverse,0.8620019436345967,0.8620019436345967,-0.9999999999999999,
Twin-2K-500,13_Q295,2,BAD item permute,0.7308066083576288,0.7308066083576288,0.9999999999999999,
Twin-2K-500,13_Q295,2,BAD camp inverse,0.8654033041788143,0.8654033041788143,-0.9999999999999999,
Twin-2K-500,14_Q295,2,BAD item permute,0.9980563654033041,0.9980563654033041,0.9999999999999999,
