condition,axe_transport,variante,lambda,mesure,ratio_inter,ratio_intra,exactitude,diversite_conservee,accord_paires,part_changee
agents composite,profil croise,informee,0.9,variance_ordinale,1.8048,0.8009,0.6818,0.8931,0.5389,0.0123
agents composite,profil croise,naive,0.8,entropie,1.1411,0.8790,0.6714,0.8935,0.5385,0.0268
agents composite,profil croise,naive,0.8,gini_simpson,1.2491,0.8901,0.6714,0.8935,0.5385,0.0268
agents composite,profil croise,naive,0.8,variance_ordinale,1.4160,0.8441,0.6714,0.8935,0.5385,0.0268
agents composite,profil croise,informee,0.8,entropie,1.1411,0.8790,0.6776,0.8935,0.5385,0.0268
agents composite,profil croise,informee,0.8,gini_simpson,1.2491,0.8901,0.6776,0.8935,0.5385,0.0268
agents composite,profil croise,informee,0.8,variance_ordinale,1.4160,0.8441,0.6776,0.8935,0.5385,0.0268
agents composite,profil croise,naive,0.7,entropie,0.8444,0.8969,0.6652,0.8939,0.5382,0.0409
agents composite,profil croise,naive,0.7,gini_simpson,0.9378,0.9087,0.6652,0.8939,0.5382,0.0409
agents composite,profil croise,naive,0.7,variance_ordinale,1.0874,0.8799,0.6652,0.8939,0.5382,0.0409
agents composite,profil croise,informee,0.7,entropie,0.8444,0.8969,0.6735,0.8939,0.5382,0.0409
agents composite,profil croise,informee,0.7,gini_simpson,0.9378,0.9087,0.6735,0.8939,0.5382,0.0409
agents composite,profil croise,informee,0.7,variance_ordinale,1.0874,0.8799,0.6735,0.8939,0.5382,0.0409
agents composite,profil croise,naive,0.6,entropie,0.5971,0.9120,0.6581,0.8943,0.5379,0.0547
agents composite,profil croise,naive,0.6,gini_simpson,0.6700,0.9245,0.6581,0.8943,0.5379,0.0547
agents composite,profil croise,naive,0.6,variance_ordinale,0.8032,0.9108,0.6581,0.8943,0.5379,0.0547
agents composite,profil croise,informee,0.6,entropie,0.5971,0.9120,0.6689,0.8943,0.5379,0.0547
agents composite,profil croise,informee,0.6,gini_simpson,0.6700,0.9245,0.6689,0.8943,0.5379,0.0547
agents composite,profil croise,informee,0.6,variance_ordinale,0.8032,0.9108,0.6689,0.8943,0.5379,0.0547
agents composite,profil croise,naive,0.5,entropie,0.3912,0.9248,0.6520,0.8950,0.5374,0.0687
agents composite,profil croise,naive,0.5,gini_simpson,0.4417,0.9387,0.6520,0.8950,0.5374,0.0687
agents composite,profil croise,naive,0.5,variance_ordinale,0.5613,0.9376,0.6520,0.8950,0.5374,0.0687
agents composite,profil croise,informee,0.5,entropie,0.3912,0.9248,0.6640,0.8950,0.5374,0.0687
agents composite,profil croise,informee,0.5,gini_simpson,0.4417,0.9387,0.6640,0.8950,0.5374,0.0687
agents composite,profil croise,informee,0.5,variance_ordinale,0.5613,0.9376,0.6640,0.8950,0.5374,0.0687
agents composite,profil croise,naive,0.4,entropie,0.2215,0.9348,0.6455,0.8950,0.5372,0.0825
agents composite,profil croise,naive,0.4,gini_simpson,0.2547,0.9498,0.6455,0.8950,0.5372,0.0825
agents composite,profil croise,naive,0.4,variance_ordinale,0.3647,0.9589,0.6455,0.8950,0.5372,0.0825
agents composite,profil croise,informee,0.4,entropie,0.2215,0.9348,0.6587,0.8950,0.5372,0.0825
agents composite,profil croise,informee,0.4,gini_simpson,0.2547,0.9498,0.6587,0.8950,0.5372,0.0825
agents composite,profil croise,informee,0.4,variance_ordinale,0.3647,0.9589,0.6587,0.8950,0.5372,0.0825
agents composite,profil croise,naive,0.3,entropie,0.0913,0.9428,0.6380,0.8953,0.5369,0.0964
agents composite,profil croise,naive,0.3,gini_simpson,0.1084,0.9588,0.6380,0.8953,0.5369,0.0964
agents composite,profil croise,naive,0.3,variance_ordinale,0.2099,0.9775,0.6380,0.8953,0.5369,0.0964
agents composite,profil croise,informee,0.3,entropie,0.0913,0.9428,0.6530,0.8953,0.5369,0.0964
agents composite,profil croise,informee,0.3,gini_simpson,0.1084,0.9588,0.6530,0.8953,0.5369,0.0964
agents composite,profil croise,informee,0.3,variance_ordinale,0.2099,0.9775,0.6530,0.8953,0.5369,0.0964
agents composite,profil croise,naive,0.2,entropie,-0.0000,0.9488,0.6324,0.8959,0.5365,0.1102
agents composite,profil croise,naive,0.2,gini_simpson,0.0042,0.9656,0.6324,0.8959,0.5365,0.1102
agents composite,profil croise,naive,0.2,variance_ordinale,0.0986,0.9899,0.6324,0.8959,0.5365,0.1102
agents composite,profil croise,informee,0.2,entropie,-0.0000,0.9488,0.6476,0.8959,0.5365,0.1102
agents composite,profil croise,informee,0.2,gini_simpson,0.0042,0.9656,0.6476,0.8959,0.5365,0.1102
agents composite,profil croise,informee,0.2,variance_ordinale,0.0986,0.9899,0.6476,0.8959,0.5365,0.1102
agents composite,profil croise,naive,0.1,entropie,-0.0577,0.9528,0.6256,0.8964,0.5362,0.1241
agents composite,profil croise,naive,0.1,gini_simpson,-0.0591,0.9699,0.6256,0.8964,0.5362,0.1241
agents composite,profil croise,naive,0.1,variance_ordinale,0.0325,0.9977,0.6256,0.8964,0.5362,0.1241
agents composite,profil croise,informee,0.1,entropie,-0.0577,0.9528,0.6418,0.8964,0.5362,0.1241
agents composite,profil croise,informee,0.1,gini_simpson,-0.0591,0.9699,0.6418,0.8964,0.5362,0.1241
agents composite,profil croise,informee,0.1,variance_ordinale,0.0325,0.9977,0.6418,0.8964,0.5362,0.1241
agents composite,profil croise,naive,0.0,entropie,-0.0780,0.9543,0.6202,0.8968,0.5360,0.1380
agents composite,profil croise,naive,0.0,gini_simpson,-0.0813,0.9716,0.6202,0.8968,0.5360,0.1380
agents composite,profil croise,naive,0.0,variance_ordinale,0.0088,1.0009,0.6202,0.8968,0.5360,0.1380
agents composite,profil croise,informee,0.0,entropie,-0.0780,0.9543,0.6356,0.8968,0.5360,0.1380
agents composite,profil croise,informee,0.0,gini_simpson,-0.0813,0.9716,0.6356,0.8968,0.5360,0.1380
agents composite,profil croise,informee,0.0,variance_ordinale,0.0088,1.0009,0.6356,0.8968,0.5360,0.1380
agents enquete,political_ideology,naive,1.0,entropie,2.5207,0.7773,0.6510,0.8582,0.5544,0.0000
agents enquete,political_ideology,naive,1.0,gini_simpson,2.5185,0.7922,0.6510,0.8582,0.5544,0.0000
agents enquete,political_ideology,naive,1.0,variance_ordinale,2.6725,0.7037,0.6510,0.8582,0.5544,0.0000
agents enquete,political_ideology,informee,1.0,entropie,2.5207,0.7773,0.6510,0.8582,0.5544,0.0000
agents enquete,political_ideology,informee,1.0,gini_simpson,2.5185,0.7922,0.6510,0.8582,0.5544,0.0000
agents enquete,political_ideology,informee,1.0,variance_ordinale,2.6725,0.7037,0.6510,0.8582,0.5544,0.0000
agents enquete,political_ideology,naive,0.9,entropie,1.9581,0.8043,0.6457,0.8578,0.5545,0.0135
agents enquete,political_ideology,naive,0.9,gini_simpson,2.0203,0.8181,0.6457,0.8578,0.5545,0.0135
agents enquete,political_ideology,naive,0.9,variance_ordinale,2.1522,0.7544,0.6457,0.8578,0.5545,0.0135
agents enquete,political_ideology,informee,0.9,entropie,1.9581,0.8043,0.6499,0.8578,0.5545,0.0135
agents enquete,political_ideology,informee,0.9,gini_simpson,2.0203,0.8181,0.6499,0.8578,0.5545,0.0135
agents enquete,political_ideology,informee,0.9,variance_ordinale,2.1522,0.7544,0.6499,0.8578,0.5545,0.0135
agents enquete,political_ideology,naive,0.8,entropie,1.4931,0.8273,0.6400,0.8581,0.5543,0.0275
agents enquete,political_ideology,naive,0.8,gini_simpson,1.5757,0.8418,0.6400,0.8581,0.5543,0.0275
agents enquete,political_ideology,naive,0.8,variance_ordinale,1.6914,0.7994,0.6400,0.8581,0.5543,0.0275
agents enquete,political_ideology,informee,0.8,entropie,1.4931,0.8273,0.6476,0.8581,0.5543,0.0275
agents enquete,political_ideology,informee,0.8,gini_simpson,1.5757,0.8418,0.6476,0.8581,0.5543,0.0275
agents enquete,political_ideology,informee,0.8,variance_ordinale,1.6914,0.7994,0.6476,0.8581,0.5543,0.0275
agents enquete,political_ideology,naive,0.7,entropie,1.0962,0.8462,0.6335,0.8577,0.5545,0.0416
agents enquete,political_ideology,naive,0.7,gini_simpson,1.1808,0.8621,0.6335,0.8577,0.5545,0.0416
agents enquete,political_ideology,naive,0.7,variance_ordinale,1.2805,0.8394,0.6335,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,0.7,entropie,1.0962,0.8462,0.6446,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,0.7,gini_simpson,1.1808,0.8621,0.6446,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,0.7,variance_ordinale,1.2805,0.8394,0.6446,0.8577,0.5545,0.0416
agents enquete,political_ideology,naive,0.6,entropie,0.7677,0.8622,0.6290,0.8577,0.5545,0.0553
agents enquete,political_ideology,naive,0.6,gini_simpson,0.8443,0.8799,0.6290,0.8577,0.5545,0.0553
agents enquete,political_ideology,naive,0.6,variance_ordinale,0.9300,0.8735,0.6290,0.8577,0.5545,0.0553
agents enquete,political_ideology,informee,0.6,entropie,0.7677,0.8622,0.6410,0.8577,0.5545,0.0553
agents enquete,political_ideology,informee,0.6,gini_simpson,0.8443,0.8799,0.6410,0.8577,0.5545,0.0553
agents enquete,political_ideology,informee,0.6,variance_ordinale,0.9300,0.8735,0.6410,0.8577,0.5545,0.0553
agents enquete,political_ideology,naive,0.5,entropie,0.4924,0.8757,0.6232,0.8578,0.5544,0.0692
agents enquete,political_ideology,naive,0.5,gini_simpson,0.5546,0.8952,0.6232,0.8578,0.5544,0.0692
agents enquete,political_ideology,naive,0.5,variance_ordinale,0.6274,0.9023,0.6232,0.8578,0.5544,0.0692
agents enquete,political_ideology,informee,0.5,entropie,0.4924,0.8757,0.6372,0.8578,0.5544,0.0692
agents enquete,political_ideology,informee,0.5,gini_simpson,0.5546,0.8952,0.6372,0.8578,0.5544,0.0692
agents enquete,political_ideology,informee,0.5,variance_ordinale,0.6274,0.9023,0.6372,0.8578,0.5544,0.0692
agents enquete,political_ideology,naive,0.4,entropie,0.2687,0.8863,0.6177,0.8575,0.5545,0.0832
agents enquete,political_ideology,naive,0.4,gini_simpson,0.3181,0.9074,0.6177,0.8575,0.5545,0.0832
agents enquete,political_ideology,naive,0.4,variance_ordinale,0.3807,0.9265,0.6177,0.8575,0.5545,0.0832
agents enquete,political_ideology,informee,0.4,entropie,0.2687,0.8863,0.6330,0.8575,0.5545,0.0832
agents enquete,political_ideology,informee,0.4,gini_simpson,0.3181,0.9074,0.6330,0.8575,0.5545,0.0832
agents enquete,political_ideology,informee,0.4,variance_ordinale,0.3807,0.9265,0.6330,0.8575,0.5545,0.0832
agents enquete,political_ideology,naive,0.3,entropie,0.0909,0.8952,0.6135,0.8578,0.5544,0.0973
agents enquete,political_ideology,naive,0.3,gini_simpson,0.1340,0.9173,0.6135,0.8578,0.5544,0.0973
agents enquete,political_ideology,naive,0.3,variance_ordinale,0.1888,0.9453,0.6135,0.8578,0.5544,0.0973
agents enquete,political_ideology,informee,0.3,entropie,0.0909,0.8952,0.6287,0.8578,0.5544,0.0973
agents enquete,political_ideology,informee,0.3,gini_simpson,0.1340,0.9173,0.6287,0.8578,0.5544,0.0973
agents enquete,political_ideology,informee,0.3,variance_ordinale,0.1888,0.9453,0.6287,0.8578,0.5544,0.0973
agents enquete,political_ideology,naive,0.2,entropie,-0.0335,0.9009,0.6049,0.8574,0.5545,0.1112
agents enquete,political_ideology,naive,0.2,gini_simpson,0.0028,0.9239,0.6049,0.8574,0.5545,0.1112
agents enquete,political_ideology,naive,0.2,variance_ordinale,0.0531,0.9585,0.6049,0.8574,0.5545,0.1112
agents enquete,political_ideology,informee,0.2,entropie,-0.0335,0.9009,0.6238,0.8574,0.5545,0.1112
agents enquete,political_ideology,informee,0.2,gini_simpson,0.0028,0.9239,0.6238,0.8574,0.5545,0.1112
agents enquete,political_ideology,informee,0.2,variance_ordinale,0.0531,0.9585,0.6238,0.8574,0.5545,0.1112
agents enquete,political_ideology,naive,0.1,entropie,-0.1085,0.9046,0.6007,0.8574,0.5545,0.1251
agents enquete,political_ideology,naive,0.1,gini_simpson,-0.0751,0.9281,0.6007,0.8574,0.5545,0.1251
agents enquete,political_ideology,naive,0.1,variance_ordinale,-0.0293,0.9667,0.6007,0.8574,0.5545,0.1251
agents enquete,political_ideology,informee,0.1,entropie,-0.1085,0.9046,0.6186,0.8574,0.5545,0.1251
agents enquete,political_ideology,informee,0.1,gini_simpson,-0.0751,0.9281,0.6186,0.8574,0.5545,0.1251
agents enquete,political_ideology,informee,0.1,variance_ordinale,-0.0293,0.9667,0.6186,0.8574,0.5545,0.1251
agents enquete,political_ideology,naive,0.0,entropie,-0.1352,0.9058,0.5950,0.8574,0.5546,0.1391
agents enquete,political_ideology,naive,0.0,gini_simpson,-0.1009,0.9293,0.5950,0.8574,0.5546,0.1391
agents enquete,political_ideology,naive,0.0,variance_ordinale,-0.0565,0.9685,0.5950,0.8574,0.5546,0.1391
agents enquete,political_ideology,informee,0.0,entropie,-0.1352,0.9058,0.6134,0.8574,0.5546,0.1391
agents enquete,political_ideology,informee,0.0,gini_simpson,-0.1009,0.9293,0.6134,0.8574,0.5546,0.1391
agents enquete,political_ideology,informee,0.0,variance_ordinale,-0.0565,0.9685,0.6134,0.8574,0.5546,0.1391
agents enquete,profil croise,naive,1.0,entropie,2.0614,0.7873,0.6510,0.8582,0.5544,0.0000
agents enquete,profil croise,naive,1.0,gini_simpson,2.1730,0.8041,0.6510,0.8582,0.5544,0.0000
agents enquete,profil croise,naive,1.0,variance_ordinale,2.3599,0.7228,0.6510,0.8582,0.5544,0.0000
agents enquete,profil croise,informee,1.0,entropie,2.0614,0.7873,0.6510,0.8582,0.5544,0.0000
agents enquete,profil croise,informee,1.0,gini_simpson,2.1730,0.8041,0.6510,0.8582,0.5544,0.0000
agents enquete,profil croise,informee,1.0,variance_ordinale,2.3599,0.7228,0.6510,0.8582,0.5544,0.0000
agents enquete,profil croise,naive,0.9,entropie,1.6378,0.8121,0.6457,0.8580,0.5544,0.0127
agents enquete,profil croise,naive,0.9,gini_simpson,1.7647,0.8275,0.6457,0.8580,0.5544,0.0127
agents enquete,profil croise,naive,0.9,variance_ordinale,1.9280,0.7678,0.6457,0.8580,0.5544,0.0127
agents enquete,profil croise,informee,0.9,entropie,1.6378,0.8121,0.6499,0.8580,0.5544,0.0127
agents enquete,profil croise,informee,0.9,gini_simpson,1.7647,0.8275,0.6499,0.8580,0.5544,0.0127
agents enquete,profil croise,informee,0.9,variance_ordinale,1.9280,0.7678,0.6499,0.8580,0.5544,0.0127
agents enquete,profil croise,naive,0.8,entropie,1.2429,0.8358,0.6401,0.8584,0.5539,0.0273
agents enquete,profil croise,naive,0.8,gini_simpson,1.3773,0.8506,0.6401,0.8584,0.5539,0.0273
agents enquete,profil croise,naive,0.8,variance_ordinale,1.5241,0.8117,0.6401,0.8584,0.5539,0.0273
agents enquete,profil croise,informee,0.8,entropie,1.2429,0.8358,0.6473,0.8584,0.5539,0.0273
agents enquete,profil croise,informee,0.8,gini_simpson,1.3773,0.8506,0.6473,0.8584,0.5539,0.0273
agents enquete,profil croise,informee,0.8,variance_ordinale,1.5241,0.8117,0.6473,0.8584,0.5539,0.0273
agents enquete,profil croise,naive,0.7,entropie,0.9202,0.8556,0.6341,0.8591,0.5535,0.0417
agents enquete,profil croise,naive,0.7,gini_simpson,1.0404,0.8708,0.6341,0.8591,0.5535,0.0417
agents enquete,profil croise,naive,0.7,variance_ordinale,1.1693,0.8506,0.6341,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,0.7,entropie,0.9202,0.8556,0.6440,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,0.7,gini_simpson,1.0404,0.8708,0.6440,0.8591,0.5535,0.0417
agents enquete,profil croise,informee,0.7,variance_ordinale,1.1693,0.8506,0.6440,0.8591,0.5535,0.0417
agents enquete,profil croise,naive,0.6,entropie,0.6557,0.8714,0.6285,0.8593,0.5533,0.0559
agents enquete,profil croise,naive,0.6,gini_simpson,0.7503,0.8880,0.6285,0.8593,0.5533,0.0559
agents enquete,profil croise,naive,0.6,variance_ordinale,0.8677,0.8829,0.6285,0.8593,0.5533,0.0559
agents enquete,profil croise,informee,0.6,entropie,0.6557,0.8714,0.6407,0.8593,0.5533,0.0559
agents enquete,profil croise,informee,0.6,gini_simpson,0.7503,0.8880,0.6407,0.8593,0.5533,0.0559
agents enquete,profil croise,informee,0.6,variance_ordinale,0.8677,0.8829,0.6407,0.8593,0.5533,0.0559
agents enquete,profil croise,naive,0.5,entropie,0.4311,0.8851,0.6223,0.8597,0.5529,0.0701
agents enquete,profil croise,naive,0.5,gini_simpson,0.5041,0.9027,0.6223,0.8597,0.5529,0.0701
agents enquete,profil croise,naive,0.5,variance_ordinale,0.6086,0.9116,0.6223,0.8597,0.5529,0.0701
agents enquete,profil croise,informee,0.5,entropie,0.4311,0.8851,0.6370,0.8597,0.5529,0.0701
agents enquete,profil croise,informee,0.5,gini_simpson,0.5041,0.9027,0.6370,0.8597,0.5529,0.0701
agents enquete,profil croise,informee,0.5,variance_ordinale,0.6086,0.9116,0.6370,0.8597,0.5529,0.0701
agents enquete,profil croise,naive,0.4,entropie,0.2530,0.8968,0.6167,0.8609,0.5523,0.0843
agents enquete,profil croise,naive,0.4,gini_simpson,0.3037,0.9154,0.6167,0.8609,0.5523,0.0843
agents enquete,profil croise,naive,0.4,variance_ordinale,0.3996,0.9351,0.6167,0.8609,0.5523,0.0843
agents enquete,profil croise,informee,0.4,entropie,0.2530,0.8968,0.6329,0.8609,0.5523,0.0843
agents enquete,profil croise,informee,0.4,gini_simpson,0.3037,0.9154,0.6329,0.8609,0.5523,0.0843
agents enquete,profil croise,informee,0.4,variance_ordinale,0.3996,0.9351,0.6329,0.8609,0.5523,0.0843
agents enquete,profil croise,naive,0.3,entropie,0.1145,0.9044,0.6109,0.8603,0.5524,0.0986
agents enquete,profil croise,naive,0.3,gini_simpson,0.1465,0.9244,0.6109,0.8603,0.5524,0.0986
agents enquete,profil croise,naive,0.3,variance_ordinale,0.2340,0.9532,0.6109,0.8603,0.5524,0.0986
agents enquete,profil croise,informee,0.3,entropie,0.1145,0.9044,0.6278,0.8603,0.5524,0.0986
agents enquete,profil croise,informee,0.3,gini_simpson,0.1465,0.9244,0.6278,0.8603,0.5524,0.0986
agents enquete,profil croise,informee,0.3,variance_ordinale,0.2340,0.9532,0.6278,0.8603,0.5524,0.0986
agents enquete,profil croise,naive,0.2,entropie,0.0163,0.9107,0.6054,0.8607,0.5520,0.1127
agents enquete,profil croise,naive,0.2,gini_simpson,0.0331,0.9316,0.6054,0.8607,0.5520,0.1127
agents enquete,profil croise,naive,0.2,variance_ordinale,0.1157,0.9664,0.6054,0.8607,0.5520,0.1127
agents enquete,profil croise,informee,0.2,entropie,0.0163,0.9107,0.6227,0.8607,0.5520,0.1127
agents enquete,profil croise,informee,0.2,gini_simpson,0.0331,0.9316,0.6227,0.8607,0.5520,0.1127
agents enquete,profil croise,informee,0.2,variance_ordinale,0.1157,0.9664,0.6227,0.8607,0.5520,0.1127
agents enquete,profil croise,naive,0.1,entropie,-0.0448,0.9147,0.5991,0.8612,0.5516,0.1270
agents enquete,profil croise,naive,0.1,gini_simpson,-0.0354,0.9364,0.5991,0.8612,0.5516,0.1270
