configuration,ancrage,camp,n_personnes,effectif_suffisant,D_reel,D_reel_bas,D_reel_haut,D_endo,D_endo_bas,D_endo_haut,D_exo,D_exo_bas,D_exo_haut,plancher,plancher_bas,plancher_haut
llm_finetuning_500_training_samples__gpt41_mini,ideologie,droite,388,oui,25.246656247182234,18.670281175798742,31.16543166972238,11.511565664830268,6.15205146911762,17.028006850124545,14.121471425493066,9.807832003561181,18.64956242273712,16.10194003527337,15.555004409171074,16.63122134038801
llm_finetuning_500_training_samples__gpt41_mini,parti,gauche,659,oui,17.492580123313147,12.095835821863972,22.572705242946952,7.005782794939921,3.4426495011403278,10.941910662106554,8.318251840611477,5.640785990277077,11.099688768054854,14.954073199527746,14.389604486422666,15.439433293978746
llm_finetuning_500_training_samples__gpt41_mini,parti,centre,474,oui,19.995602219187855,13.936512037002865,25.544700366584244,8.547450686953088,4.575780071085615,12.600513500031171,,,,14.840886699507388,14.24364121510673,15.375541871921182
llm_finetuning_500_training_samples__gpt41_mini,parti,droite,372,oui,25.120810997209947,18.490955829336343,30.973220163641496,12.296075268817205,7.03429091995221,17.49751777180406,14.60148468344949,10.342973968846405,19.030851265059475,16.09722222222222,15.456842592592592,16.64574074074074
persona_summary__gpt41_mini,ideologie,gauche,909,oui,17.633109783281533,12.816689919720833,22.807254271345496,29.31705170517052,25.197469746974697,33.07502750275027,36.839401400457504,31.874838301290445,41.56906669635218,14.432563256325633,13.860371287128713,14.93444169416942
persona_summary__gpt41_mini,ideologie,centre,582,oui,10.42058649674892,7.456929458086618,13.289811885726309,15.687800687285222,9.330184707903781,21.67326890034364,,,,15.810481099656357,15.18865120274914,16.368045532646047
persona_summary__gpt41_mini,ideologie,droite,567,oui,27.577871360184286,19.990551776266063,35.58736052622107,17.59647266313933,10.439263668430335,24.709007936507934,17.38199311994692,10.149264279602567,24.82874430300173,16.10194003527337,15.54760582010582,16.62169312169312
persona_summary__gpt41_mini,parti,gauche,847,oui,17.471043057128398,12.858328434089097,22.52151499088419,28.866469893742618,24.797839433293976,32.570838252656436,35.551294109930474,30.565875798023516,40.235562551926186,14.954073199527746,14.372609208972847,15.44595041322314
persona_summary__gpt41_mini,parti,centre,609,oui,10.420679601890019,7.511384923427497,13.413667856305082,17.010837438423643,10.694187192118227,23.134593596059112,,,,14.840886699507388,14.246633825944173,15.365357142857144
persona_summary__gpt41_mini,parti,droite,540,oui,27.935058309037903,19.918056095454062,36.3317175521002,18.25962962962963,10.458629629629629,25.889694444444444,18.177324106869563,10.306206382001838,25.94485266627312,16.09722222222222,15.476106481481484,16.65185648148148
persona_summary__json_persona__gpt41_mini,ideologie,gauche,909,oui,11.442240696372844,6.460954112904,17.031726026101147,23.126182618261826,19.253831133113316,26.60855885588559,30.648532313548817,25.740854287809732,35.22921464368659,14.432563256325633,13.843773377337733,14.941254125412541
persona_summary__json_persona__gpt41_mini,ideologie,centre,582,oui,11.631020007413863,7.05389140192159,15.974789168244616,13.798453608247423,8.518307560137456,19.197482817869417,,,,15.810481099656357,15.203775773195877,16.384536082474227
persona_summary__json_persona__gpt41_mini,ideologie,droite,567,oui,28.870287585933845,20.282401468523922,37.32099431306914,20.636684303350968,13.892239858906525,27.643664021164025,19.648666771439046,11.936216669285974,26.650436769867458,16.10194003527337,15.54085978835979,16.63545414462081
persona_summary__json_persona__gpt41_mini,parti,gauche,847,oui,11.186155217695102,6.200274879727566,16.816529728774622,22.581582054309326,18.590398465171187,26.278515348288074,29.266406270497175,24.357658741090553,34.00609756110893,14.954073199527746,14.3664639905549,15.447272727272729
persona_summary__json_persona__gpt41_mini,parti,centre,609,oui,11.667085553433196,7.007001273415768,16.17599485607051,13.816091954022985,7.832877668308702,19.749474548440055,,,,14.840886699507388,14.270443349753696,15.365201149425289
persona_summary__json_persona__gpt41_mini,parti,droite,540,oui,28.21987312385272,19.426347438181622,36.741429894179895,20.712962962962965,14.002333333333333,27.692592592592593,19.80378044514408,12.085446893174169,26.8397635172067,16.09722222222222,15.477962962962966,16.650375
text_persona__gemini_flash25,ideologie,gauche,909,oui,11.178119036393436,6.739019619163082,16.146039267192027,9.765896589658965,6.457742024202421,13.531817931793176,14.606646061431542,8.964995197932492,20.601337026559797,14.432563256325633,13.85276127612761,14.932898789878989
text_persona__gemini_flash25,ideologie,centre,582,oui,13.8084322683418,8.993780244056387,18.806064290222718,8.413402061855669,4.2927147766323,13.31977233676976,,,,15.810481099656357,15.188818728522335,16.386602233676975
text_persona__gemini_flash25,ideologie,droite,567,oui,21.704556743332255,17.21808596983767,26.323672659540005,7.014991181657848,4.899638447971782,9.481851851851852,9.486791695042522,5.912175118305483,13.517786246878659,16.10194003527337,15.558553791887126,16.629466490299826
text_persona__gemini_flash25,parti,gauche,847,oui,11.299516500815201,6.847729220377644,16.235242512589448,9.55926800472255,6.058842975206612,13.556118654073193,13.671705146705147,8.125568225545498,19.704498163452705,14.954073199527746,14.370599173553716,15.445236127508855
text_persona__gemini_flash25,parti,centre,609,oui,13.594303139975201,8.781748517140851,18.457012164471703,8.651395730706076,4.663850574712641,12.935012315270937,,,,14.840886699507388,14.2398973727422,15.381449096880132
text_persona__gemini_flash25,parti,droite,540,oui,21.622149335924842,17.107295972357196,26.388435563114136,7.234814814814814,4.411851851851853,10.13910648148148,9.950803489439853,6.287723249814158,14.015368003629366,16.09722222222222,15.47498611111111,16.632976851851854
text_persona__gpt41_mini,ideologie,gauche,909,oui,8.522613194264034,5.398030145580155,12.030813022993263,16.15445544554455,12.64930418041804,19.771966446644658,22.241161576475108,15.923744914173957,27.85078539996857,14.432563256325633,13.832992299229922,14.932123212321233
text_persona__gpt41_mini,ideologie,centre,582,oui,18.91864937433,12.817773173334137,25.573593144179615,14.672164948453608,9.823006872852236,19.94036941580756,,,,15.810481099656357,15.168724226804123,16.378745704467352
text_persona__gpt41_mini,ideologie,droite,567,oui,39.183338732318326,29.68285282366916,48.23735062808193,25.249911816578482,16.7672442680776,33.28836860670194,28.05815391062916,20.269242321057504,36.01955676916898,16.10194003527337,15.541089065255731,16.62946208112875
text_persona__gpt41_mini,parti,gauche,847,oui,8.43412122818431,5.466494088780732,11.76158390156535,15.438016528925619,11.917804014167649,18.973592089728452,20.57348922121649,14.259253623901353,26.09333352464034,14.954073199527746,14.35935950413223,15.446874262101534
text_persona__gpt41_mini,parti,centre,609,oui,18.151191313964013,12.4416002312255,24.432949214168424,14.408538587848932,9.89966748768473,19.428669950738914,,,,14.840886699507388,14.239068144499177,15.36667487684729
text_persona__gpt41_mini,parti,droite,540,oui,39.20653979051938,29.62178649713854,48.62651499568081,26.355925925925924,18.358828703703704,34.27271296296296,28.687213476758927,20.760271317066774,37.21444913419912,16.09722222222222,15.475166666666668,16.645750000000003
text_persona_default_temperature__gpt41_mini,ideologie,gauche,909,oui,8.82622707988167,5.962876761151284,12.12287540991853,16.03603126832507,12.132316531212592,19.8638860689483,22.19831907636607,15.90486060124001,27.940971930867303,14.432563256325633,13.853336083608362,14.93081683168317
text_persona_default_temperature__gpt41_mini,ideologie,centre,582,oui,18.832910542714878,12.883552405498284,25.304968854257464,14.50876288659794,9.719166666666668,19.844944158075602,,,,15.810481099656357,15.188449312714777,16.38353092783505
text_persona_default_temperature__gpt41_mini,ideologie,droite,567,oui,37.80926465824425,28.68262318684087,46.59800750458914,23.87583774250441,15.83314814814815,31.572037037037042,26.68407983655509,19.248419115721095,34.3955964604397,16.10194003527337,15.560837742504408,16.617482363315695
text_persona_default_temperature__gpt41_mini,parti,gauche,847,oui,8.758580939974777,5.903501462895191,12.033891861202434,15.327155361294626,11.600451705504897,18.94152644153611,20.4626280535855,14.138160657998421,26.129995764381405,14.954073199527746,14.381331168831169,15.450180047225501
text_persona_default_temperature__gpt41_mini,parti,centre,609,oui,17.767447471599482,12.042641835059147,23.9508665929426,14.30952380952381,9.940213464696225,19.068555008210183,,,,14.840886699507388,14.23906814449918,15.391153530377666
text_persona_default_temperature__gpt41_mini,parti,droite,540,oui,38.00098423496383,28.376196334089194,47.04232051074398,25.15037037037037,17.513851851851857,32.69031481481481,27.48165792120338,19.87980925597971,35.21236620534348,16.09722222222222,15.471282407407408,16.653337962962958
text_persona_reasoning__gpt41_mini,ideologie,gauche,909,oui,10.86094473070375,5.921382683330066,15.926144322904783,12.963147527542167,8.1783315624837,17.40545074490911,18.4826868817681,11.54666188803914,25.40541751981939,14.432563256325633,13.834865236523651,14.933121562156215
text_persona_reasoning__gpt41_mini,ideologie,centre,582,oui,17.077412260927936,11.109289872060755,23.580698906956005,14.696219931271477,10.05477233676976,19.8208118556701,,,,15.810481099656357,15.18332474226804,16.3646176975945
text_persona_reasoning__gpt41_mini,ideologie,droite,567,oui,29.780693229672828,21.647721178418458,37.95903655112839,16.264902998236334,9.001366843033512,23.43827160493826,18.655508407983653,11.878323074370929,25.99943894389439,16.10194003527337,15.548844797178129,16.628403880070547
text_persona_reasoning__gpt41_mini,parti,gauche,847,oui,10.792636960109487,5.71488668552797,15.894417283396878,12.727765102030835,7.9607035621720925,17.026530815338507,17.327362480824018,10.515458853824235,24.027281256848564,14.954073199527746,14.381753246753245,15.45030106257379
text_persona_reasoning__gpt41_mini,parti,centre,609,oui,16.865805435474687,11.051391541838411,23.139583123889953,14.616748768472906,9.98256157635468,19.602627257799675,,,,14.840886699507388,14.252044334975366,15.372430213464696
text_persona_reasoning__gpt41_mini,parti,droite,540,oui,29.789687938667537,21.485695389266816,37.74984768113594,16.96462962962963,9.47973611111111,24.228560185185184,19.27036162490708,12.472201451746905,26.56025430167475,16.09722222222222,15.474046296296295,16.662236111111106
text_persona_repeating_questions__gpt41_mini,ideologie,gauche,909,oui,10.568578869548764,5.595145403753204,15.587910656954913,12.669636963696368,8.223528602860286,16.685632563256327,18.034353117851467,11.476029475963468,24.611351956624233,14.432563256325633,13.835313531353133,14.943028052805282
text_persona_repeating_questions__gpt41_mini,ideologie,centre,582,oui,19.631142646387296,14.07493106536935,25.66395787230555,14.410672735123114,9.2727510779495,20.03425773048009,,,,15.810481099656357,15.175257731958762,16.38265463917526
text_persona_repeating_questions__gpt41_mini,ideologie,droite,567,oui,32.50767735665695,22.859885181585867,41.191915199942414,18.574250440917105,11.745410052910053,25.345180776014107,21.382492534967785,14.387353842527112,28.718938524804862,16.10194003527337,15.561882716049382,16.63192680776014
text_persona_repeating_questions__gpt41_mini,parti,gauche,847,oui,10.484037298508543,5.382756005589958,15.518853255587953,12.466351829988193,8.054846517119245,16.482358323494687,16.927208229480957,10.382382701473608,23.390826085530627,14.954073199527746,14.357836481700117,15.450067886658793
text_persona_repeating_questions__gpt41_mini,parti,centre,609,oui,19.231768835353694,13.622907216222961,25.245381929792593,14.378604917466077,9.85264149733169,19.442124688067143,,,,14.840886699507388,14.241867816091954,15.37211001642036
text_persona_repeating_questions__gpt41_mini,parti,droite,540,oui,32.816964150739665,23.2417362595832,41.36721813249109,19.751481481481484,13.134763888888891,26.39109722222222,22.082769032314484,14.814689268223358,29.673186054265596,16.09722222222222,15.488509259259258,16.645379629629627
