volet,attaque,selection,k_items,cand_top1,cand_top1_bas,cand_top1_haut,cand_top10,base_top1,base_top1_bas,base_top1_haut,base_top10,hasard,n_bassin,ratio_cand_base,n_plis,controle
V3,hamming,n_modalites_hors_pli,50,0.33663751214771626,0.30864674441205053,0.36501943634596695,0.5691933916423713,0.05160349854227405,0.03906705539358595,0.06530855199222545,0.16248785228377066,0.0009718172983479,1029.0,6.554471544715447,2,
V3,hamming,n_modalites_hors_pli,55,0.2968901846452866,0.26929057337220597,0.3240087463556851,0.5341107871720117,0.0375121477162293,0.027113702623906652,0.048690476190476104,0.14382896015549068,0.0009718172983479,1029.0,8.063284390123862,2,
V3,hamming,n_modalites_hors_pli,60,0.25150631681243923,0.22594509232264331,0.27823372206025265,0.498153547133139,0.035762876579203046,0.0259450923226433,0.0472303206997084,0.1398445092322643,0.0009718172983479,1029.0,7.186554774051378,2,
V4,hamming,entropie_basse,45,0.3024295432458698,0.2826044703595724,0.3203134110787172,0.5268221574344023,0.0507288629737609,0.0414965986394557,0.0602526724975704,0.1458697764820214,0.0004859086491739,2058.0,5.96168582375479,1,
V4,A-LLR,entropie_basse,45,0.314868804664723,0.2954203109815354,0.3343051506316812,0.5481049562682215,0.0403304178814382,0.0325437317784256,0.0490767735665694,0.1292517006802721,0.0004859086491739,2058.0,7.807228915662651,1,
V4,hamming,aleatoire_commun,45,0.0879494655004859,0.0763824101068999,0.099905247813411,0.2795918367346939,0.0091350826044703,0.005634110787172,0.0129251700680272,0.0525753158406219,0.0004859086491739,2058.0,9.627659574468083,1,
V4,A-LLR,aleatoire_commun,45,0.1239067055393586,0.1103012633624878,0.1384839650145772,0.3080660835762877,0.0048590864917395,0.0019436345966958,0.0082604470359572,0.0281827016520894,0.0004859086491739,2058.0,25.5,1,
V4,hamming,tous_les_items,60,0.2061224489795918,0.1887244897959183,0.222162293488824,0.4277939747327502,0.02089407191448,0.0150631681243926,0.0268245869776481,0.0944606413994169,0.0004859086491739,2058.0,9.865116279069769,1,
V4,A-LLR,tous_les_items,60,0.2327502429543246,0.2137998056365403,0.250242954324587,0.4698736637512147,0.0082604470359572,0.0043731778425655,0.0121477162293488,0.0490767735665694,0.0004859086491739,2058.0,28.176470588235297,1,
V5,hamming,45_items_banals,45,0.3007045675413022,0.2819187317784257,0.320241739552964,,0.0502186588921282,0.0413745140913508,0.0593336977648201,,0.0004859086491739,2058.0,,1,PASSE
V5,hamming,60_items_reference,60,0.207312925170068,0.1913265306122449,0.2246853741496599,,0.0215257531584062,0.0158649173955296,0.0278923712342079,,0.0004859086491739,2058.0,,1,PASSE
