condition,item,classe_norc,seuil,n,masse_humaine,masse_predite,cellules_minoritaires,minorites_justes,cellules_predites_minoritaires,rappel_item,perimetre
agents composite,conclerg,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,coneduc,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,confed,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,confinan,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,conjudge,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,conlabor,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,conlegis,sensible,0.100000,150,0.093333,0.000000,14,0,0,0.000000,150
agents composite,conmedic,sensible,0.100000,150,0.086667,0.073333,13,4,11,0.307692,150
agents composite,conpress,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,consci,temoin,0.100000,150,0.086667,0.026667,13,2,4,0.153846,150
agents composite,contv,temoin,0.100000,150,0.066667,0.000000,10,0,0,0.000000,150
agents composite,joblose,non teste,0.100000,150,0.066667,0.046667,10,4,7,0.400000,150
agents composite,jobfind,temoin,0.100000,150,0.066667,0.013333,10,0,2,0.000000,150
agents composite,happy,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,hapmar,non teste,0.100000,150,0.053333,0.026667,8,4,4,0.500000,150
agents composite,satjob,temoin,0.100000,150,0.126667,0.100000,19,6,15,0.315789,150
agents composite,spdeg*,non teste,0.100000,150,0.153333,0.046667,23,3,7,0.130435,150
agents composite,spjew,non teste,0.100000,150,0.106667,0.000000,16,0,0,0.000000,150
agents composite,spfund,non teste,0.100000,150,0.066667,0.046667,10,2,7,0.200000,150
agents composite,unemp,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,union1,non teste,0.100000,150,0.046667,0.046667,7,6,7,0.857143,150
agents composite,spkath/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,colath,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,spkrac/y,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,colrac,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,librac/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,spkcom/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,colcom/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,libcom/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,spkhomo/y,non teste,0.100000,150,0.080000,0.100000,12,6,15,0.500000,150
agents composite,colhomo,non teste,0.100000,150,0.066667,0.240000,10,8,36,0.800000,150
agents composite,libhomo/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,cappun,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,polhitok/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,polabuse/y,sensible,0.100000,150,0.060000,0.200000,9,4,30,0.444444,150
agents composite,polattak/y,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,grass,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,gunlaw,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,owngun,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,hunt1,non teste,0.100000,150,0.080000,0.006667,12,1,1,0.083333,150
agents composite,class,non teste,0.100000,150,0.026667,0.006667,4,1,1,0.250000,150
agents composite,satfin,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,finalter,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,finrela,temoin,0.100000,150,0.040000,0.033333,6,3,5,0.500000,150
agents composite,racdif1,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,racdif2,temoin,0.100000,150,0.060000,0.053333,9,2,8,0.222222,150
agents composite,racdif3,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,racdif4,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,wlthwhts,non teste,0.100000,150,0.166667,0.026667,25,0,4,0.000000,150
agents composite,wlthblks,non teste,0.100000,150,0.040000,0.060000,6,0,9,0.000000,150
agents composite,wlthhsps,non teste,0.100000,150,0.146667,0.320000,22,4,48,0.181818,150
agents composite,racwork,temoin,0.100000,150,0.153333,0.266667,23,12,40,0.521739,150
agents composite,letin1a,temoin,0.100000,150,0.080000,0.006667,12,0,1,0.000000,150
agents composite,getahead,non teste,0.100000,150,0.060000,0.000000,9,0,0,0.000000,150
agents composite,aged,non teste,0.100000,150,0.073333,0.060000,11,1,9,0.090909,150
agents composite,parsol,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,kidssol,non teste,0.100000,150,0.120000,0.066667,18,2,10,0.111111,150
agents composite,spanking,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,divlaw,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,sexeduc,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,pillok,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,xmarsex,sensible,0.100000,150,0.040000,0.006667,6,0,1,0.000000,150
agents composite,homosex,temoin,0.100000,150,0.053333,0.060000,8,2,9,0.250000,150
agents composite,marhomo,temoin,0.100000,150,0.026667,0.153333,4,0,23,0.000000,150
agents composite,discaff,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,abdefect,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,abnomore,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,abhlth,temoin,0.100000,150,0.093333,0.106667,14,10,16,0.714286,150
agents composite,abpoor,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,abrape,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,absingle,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,abany,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,letdie1,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,suicide1,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,suicide2,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,suicide3,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,suicide4,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,pornlaw,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,fair,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,helpful,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,trust,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,tax,non teste,0.100000,150,0.033333,0.013333,5,0,2,0.000000,150
agents composite,vote16,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,pres16,temoin,0.100000,150,0.046667,0.013333,7,1,2,0.142857,150
agents composite,if16who,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,news,investiguer,0.100000,150,0.046667,0.006667,7,1,1,0.142857,150
agents composite,jew,non teste,0.100000,150,0.020000,0.000000,3,0,0,0.000000,150
agents composite,relig16*,non teste,0.100000,150,0.006667,0.013333,1,1,2,1.000000,150
agents composite,jew16*,non teste,0.100000,150,0.013333,0.013333,2,0,2,0.000000,150
agents composite,attend,sensible,0.100000,150,0.280000,0.200000,42,8,30,0.190476,150
agents composite,pray,investiguer,0.100000,150,0.033333,0.040000,5,0,6,0.000000,150
agents composite,postlife,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,bible,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,reborn,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,savesoul,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,granborn,non teste,0.100000,150,0.080000,0.026667,12,2,4,0.166667,150
agents composite,uscitzn*,non teste,0.100000,150,0.013333,0.013333,2,2,2,1.000000,150
agents composite,fucitzn,non teste,0.100000,150,0.026667,0.013333,4,2,2,0.500000,150
agents composite,mnthsusa,non teste,0.100000,150,0.013333,0.120000,2,0,18,0.000000,150
agents composite,income,non teste,0.100000,150,0.386667,0.286667,58,4,43,0.068966,150
agents composite,othlang,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,health,temoin,0.100000,150,0.060000,0.093333,9,4,14,0.444444,150
agents composite,compuse*,temoin,0.100000,150,0.026667,0.006667,4,0,1,0.000000,150
agents composite,webmob,non teste,0.100000,150,0.040000,0.006667,6,0,1,0.000000,150
agents composite,xmovie,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,usewww*,non teste,0.100000,150,0.013333,0.000000,2,0,0,0.000000,150
agents composite,life,temoin,0.100000,150,0.060000,0.080000,9,5,12,0.555556,150
agents composite,richwork,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),natspac/y,mixte,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),natenvir/y,temoin,0.100000,150,0.093333,0.313333,14,11,47,0.785714,150
agents entretien (v3),natheal/y,mixte,0.100000,150,0.046667,0.080000,7,1,12,0.142857,150
agents entretien (v3),natcity/y,mixte,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),natdrug/y,temoin,0.100000,150,0.093333,0.186667,14,8,28,0.571429,150
agents entretien (v3),nateduc/y,temoin,0.100000,150,0.060000,0.093333,9,2,14,0.222222,150
agents entretien (v3),natrace/y,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),natarms/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),nataid/y,temoin,0.100000,150,0.060000,0.086667,9,3,13,0.333333,150
agents entretien (v3),natfare/y,mixte,0.100000,150,0.066667,0.206667,10,7,31,0.700000,150
agents entretien (v3),natroad,sensible,0.100000,150,0.046667,0.046667,7,0,7,0.000000,150
agents entretien (v3),natsoc,temoin,0.100000,150,0.033333,0.020000,5,1,3,0.200000,150
agents entretien (v3),natmass,temoin,0.100000,150,0.066667,0.253333,10,5,38,0.500000,150
agents entretien (v3),natpark,temoin,0.100000,150,0.073333,0.180000,11,3,27,0.272727,150
agents entretien (v3),natchld,sensible,0.100000,150,0.080000,0.206667,12,4,31,0.333333,150
agents entretien (v3),natsci,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),natenrgy,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),uswary,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),prayer,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),courts,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),discaffw,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),discaffm,non teste,0.100000,150,0.080000,0.033333,12,0,5,0.000000,150
agents entretien (v3),fehire,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),fechld,temoin,0.100000,150,0.033333,0.013333,5,1,2,0.200000,150
agents entretien (v3),fepresch,investiguer,0.100000,150,0.053333,0.033333,8,1,5,0.125000,150
agents entretien (v3),fefam,investiguer,0.100000,150,0.086667,0.086667,13,4,13,0.307692,150
agents entretien (v3),fepol,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),mobile16,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),incom16,temoin,0.100000,150,0.086667,0.073333,13,3,11,0.230769,150
agents entretien (v3),dwelown16,non teste,0.100000,150,0.040000,0.040000,6,1,6,0.166667,150
agents entretien (v3),divorced,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),posslq/y,temoin,0.100000,150,0.053333,0.073333,8,6,11,0.750000,150
agents entretien (v3),wrkstat,temoin,0.100000,150,0.073333,0.100000,11,7,15,0.636364,150
agents entretien (v3),evwork,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),wrkgovt1,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),wrkgovt2,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),partfull,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),wksub1,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),wksup1,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),conarmy,investiguer,0.100000,150,0.066667,0.093333,10,6,14,0.600000,150
agents entretien (v3),conbus,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),conclerg,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),coneduc,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),confed,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),confinan,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),conjudge,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),conlabor,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),conlegis,sensible,0.100000,150,0.093333,0.000000,14,0,0,0.000000,150
agents entretien (v3),conmedic,sensible,0.100000,150,0.086667,0.060000,13,4,9,0.307692,150
agents entretien (v3),conpress,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),consci,temoin,0.100000,150,0.086667,0.046667,13,5,7,0.384615,150
agents entretien (v3),contv,temoin,0.100000,150,0.066667,0.000000,10,0,0,0.000000,150
agents entretien (v3),joblose,non teste,0.100000,150,0.066667,0.013333,10,1,2,0.100000,150
agents entretien (v3),jobfind,temoin,0.100000,150,0.066667,0.013333,10,0,2,0.000000,150
agents entretien (v3),happy,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),hapmar,non teste,0.100000,150,0.053333,0.040000,8,5,6,0.625000,150
agents entretien (v3),satjob,temoin,0.100000,150,0.126667,0.133333,19,8,20,0.421053,150
agents entretien (v3),spdeg*,non teste,0.100000,150,0.153333,0.066667,23,3,10,0.130435,150
agents entretien (v3),spjew,non teste,0.100000,150,0.106667,0.000000,16,0,0,0.000000,150
agents entretien (v3),spfund,non teste,0.100000,150,0.066667,0.053333,10,3,8,0.300000,150
agents entretien (v3),unemp,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),union1,non teste,0.100000,150,0.046667,0.053333,7,6,8,0.857143,150
agents entretien (v3),spkath/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),colath,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),spkrac/y,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),colrac,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),librac/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),spkcom/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),colcom/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),libcom/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),spkhomo/y,non teste,0.100000,150,0.080000,0.086667,12,7,13,0.583333,150
agents entretien (v3),colhomo,non teste,0.100000,150,0.066667,0.186667,10,7,28,0.700000,150
agents entretien (v3),libhomo/y,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),cappun,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),polhitok/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),polabuse/y,sensible,0.100000,150,0.060000,0.000000,9,0,0,0.000000,150
agents entretien (v3),polattak/y,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),grass,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),gunlaw,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),owngun,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),hunt1,non teste,0.100000,150,0.080000,0.013333,12,0,2,0.000000,150
agents entretien (v3),class,non teste,0.100000,150,0.026667,0.013333,4,2,2,0.500000,150
agents entretien (v3),satfin,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),finalter,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),finrela,temoin,0.100000,150,0.040000,0.026667,6,2,4,0.333333,150
agents entretien (v3),racdif1,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),racdif2,temoin,0.100000,150,0.060000,0.006667,9,0,1,0.000000,150
agents entretien (v3),racdif3,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),racdif4,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),wlthwhts,non teste,0.100000,150,0.166667,0.106667,25,2,16,0.080000,150
agents entretien (v3),wlthblks,non teste,0.100000,150,0.040000,0.080000,6,0,12,0.000000,150
agents entretien (v3),wlthhsps,non teste,0.100000,150,0.146667,0.400000,22,8,60,0.363636,150
agents entretien (v3),racwork,temoin,0.100000,150,0.153333,0.293333,23,12,44,0.521739,150
agents entretien (v3),letin1a,temoin,0.100000,150,0.080000,0.073333,12,1,11,0.083333,150
agents entretien (v3),getahead,non teste,0.100000,150,0.060000,0.066667,9,3,10,0.333333,150
agents entretien (v3),aged,non teste,0.100000,150,0.073333,0.020000,11,0,3,0.000000,150
agents entretien (v3),parsol,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),kidssol,non teste,0.100000,150,0.120000,0.113333,18,4,17,0.222222,150
agents entretien (v3),spanking,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),divlaw,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),sexeduc,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),pillok,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),xmarsex,sensible,0.100000,150,0.040000,0.020000,6,0,3,0.000000,150
agents entretien (v3),homosex,temoin,0.100000,150,0.053333,0.040000,8,1,6,0.125000,150
agents entretien (v3),marhomo,temoin,0.100000,150,0.026667,0.066667,4,1,10,0.250000,150
agents entretien (v3),discaff,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),abdefect,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),abnomore,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),abhlth,temoin,0.100000,150,0.093333,0.046667,14,4,7,0.285714,150
agents entretien (v3),abpoor,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),abrape,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),absingle,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),abany,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),letdie1,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),suicide1,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),suicide2,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),suicide3,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),suicide4,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),pornlaw,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),fair,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),helpful,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),trust,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),tax,non teste,0.100000,150,0.033333,0.053333,5,0,8,0.000000,150
agents entretien (v3),vote16,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),pres16,temoin,0.100000,150,0.046667,0.033333,7,1,5,0.142857,150
agents entretien (v3),if16who,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),news,investiguer,0.100000,150,0.046667,0.020000,7,0,3,0.000000,150
agents entretien (v3),jew,non teste,0.100000,150,0.020000,0.000000,3,0,0,0.000000,150
agents entretien (v3),relig16*,non teste,0.100000,150,0.006667,0.006667,1,0,1,0.000000,150
agents entretien (v3),jew16*,non teste,0.100000,150,0.013333,0.000000,2,0,0,0.000000,150
agents entretien (v3),attend,sensible,0.100000,150,0.280000,0.180000,42,7,27,0.166667,150
agents entretien (v3),pray,investiguer,0.100000,150,0.033333,0.006667,5,0,1,0.000000,150
agents entretien (v3),postlife,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),bible,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),reborn,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),savesoul,investiguer,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),granborn,non teste,0.100000,150,0.080000,0.020000,12,2,3,0.166667,150
agents entretien (v3),uscitzn*,non teste,0.100000,150,0.013333,0.013333,2,2,2,1.000000,150
agents entretien (v3),fucitzn,non teste,0.100000,150,0.026667,0.013333,4,2,2,0.500000,150
agents entretien (v3),mnthsusa,non teste,0.100000,150,0.013333,0.240000,2,0,36,0.000000,150
agents entretien (v3),income,non teste,0.100000,150,0.386667,0.280000,58,5,42,0.086207,150
agents entretien (v3),othlang,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),health,temoin,0.100000,150,0.060000,0.126667,9,5,19,0.555556,150
agents entretien (v3),compuse*,temoin,0.100000,150,0.026667,0.006667,4,0,1,0.000000,150
agents entretien (v3),webmob,non teste,0.100000,150,0.040000,0.006667,6,0,1,0.000000,150
agents entretien (v3),xmovie,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents entretien (v3),usewww*,non teste,0.100000,150,0.013333,0.013333,2,0,2,0.000000,150
agents entretien (v3),life,temoin,0.100000,150,0.060000,0.080000,9,4,12,0.444444,150
agents entretien (v3),richwork,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,natspac/y,mixte,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,natenvir/y,temoin,0.100000,150,0.093333,0.100000,14,5,15,0.357143,150
agents enquete,natheal/y,mixte,0.100000,150,0.046667,0.060000,7,4,9,0.571429,150
agents enquete,natcity/y,mixte,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,natdrug/y,temoin,0.100000,150,0.093333,0.073333,14,5,11,0.357143,150
agents enquete,nateduc/y,temoin,0.100000,150,0.060000,0.040000,9,2,6,0.222222,150
agents enquete,natrace/y,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,natarms/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,nataid/y,temoin,0.100000,150,0.060000,0.293333,9,6,44,0.666667,150
agents enquete,natfare/y,mixte,0.100000,150,0.066667,0.180000,10,6,27,0.600000,150
agents enquete,natroad,sensible,0.100000,150,0.046667,0.020000,7,1,3,0.142857,150
agents enquete,natsoc,temoin,0.100000,150,0.033333,0.086667,5,2,13,0.400000,150
agents enquete,natmass,temoin,0.100000,150,0.066667,0.060000,10,2,9,0.200000,150
agents enquete,natpark,temoin,0.100000,150,0.073333,0.066667,11,1,10,0.090909,150
agents enquete,natchld,sensible,0.100000,150,0.080000,0.080000,12,6,12,0.500000,150
agents enquete,natsci,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,natenrgy,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,uswary,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents enquete,prayer,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
