bloc,ancrage,plancher_moyen,ecart_humain_moyen,resolution,configuration,n_lignes,taux_non_parse,chute_critere_1,camp,soutien_simule_moyen,soutien_reel_moyen,soutien_reel_du_camp,n_personnes,moyenne,ic_bas,ic_haut,reel_moyen_4ou5,reel_moyen_3a5,plancher_groupe,erreur_type_moyenne_camp,plancher_individuel,ecart_humain_entre_camps
H5 premier ordre,ideologie,,,,persona_summary__gpt41_mini,,,,droite,39.31216931216932,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,persona_summary__gpt41_mini,,,,gauche,76.34002361275088,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,persona_summary__gpt41_mini,,,,droite,38.70370370370371,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,persona_summary__json_persona__gpt41_mini,2058.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,persona_summary__json_persona__gpt41_mini,,,,gauche,71.38613861386139,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,persona_summary__json_persona__gpt41_mini,,,,droite,27.17813051146385,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,persona_summary__json_persona__gpt41_mini,,,,gauche,71.59386068476978,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,persona_summary__json_persona__gpt41_mini,,,,droite,28.4074074074074,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,text_persona__gemini_flash25,2058.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona__gemini_flash25,,,,gauche,79.81298129812981,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona__gemini_flash25,,,,droite,21.516754850088184,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona__gemini_flash25,,,,gauche,78.20543093270366,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona__gemini_flash25,,,,droite,22.111111111111114,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,text_persona__gpt41_mini,2058.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona__gpt41_mini,,,,gauche,78.95489548954895,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona__gpt41_mini,,,,droite,17.566137566137566,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona__gpt41_mini,,,,gauche,78.90200708382527,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona__gpt41_mini,,,,droite,17.185185185185183,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,text_persona_default_temperature__gpt41_mini,2058.0,0.00048590864917395527,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona_default_temperature__gpt41_mini,,,,gauche,79.09790979097909,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona_default_temperature__gpt41_mini,,,,droite,19.25925925925926,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona_default_temperature__gpt41_mini,,,,gauche,78.93742621015349,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona_default_temperature__gpt41_mini,,,,droite,18.944444444444443,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,text_persona_reasoning__gpt41_mini,2058.0,0.0009718172983479105,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona_reasoning__gpt41_mini,,,,gauche,79.53795379537954,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona_reasoning__gpt41_mini,,,,droite,25.873015873015866,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona_reasoning__gpt41_mini,,,,gauche,79.25619834710743,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona_reasoning__gpt41_mini,,,,droite,26.74074074074074,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,text_persona_repeating_questions__gpt41_mini,2058.0,0.00048590864917395527,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona_repeating_questions__gpt41_mini,,,,gauche,79.1969196919692,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,text_persona_repeating_questions__gpt41_mini,,,,droite,18.377425044091712,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona_repeating_questions__gpt41_mini,,,,gauche,78.87839433293979,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,text_persona_repeating_questions__gpt41_mini,,,,droite,18.314814814814817,65.8600583090379,51.629629629629626,,,,,,,,,,
"bootstrap personnes, croyance humaine",ideologie,,,,,,,,gauche,,,,909.0,54.734873487348736,53.90647414741474,55.59356435643564,,,,,,
"bootstrap personnes, croyance humaine",ideologie,,,,,,,,droite,,,,567.0,51.92663139329806,50.805639329806,53.05730158730159,,,,,,
"bootstrap personnes, croyance humaine",parti,,,,,,,,gauche,,,,847.0,55.34073199527745,54.46679161747343,56.23734061393153,,,,,,
"bootstrap personnes, croyance humaine",parti,,,,,,,,droite,,,,540.0,53.00944444444445,51.83382407407407,54.186527777777776,,,,,,
sensibilite seuil de soutien,,,,,,,,,,,,,,,,,65.8600583090379,81.7930029154519,,,,
"exploratoire, plancher de groupe",ideologie,,,,,,,,gauche,,,,909.0,,,,,,1.2682068206820674,0.68077787734212,14.432563256325633,7.522349695286991
"exploratoire, plancher de groupe",ideologie,,,,,,,,centre,,,,582.0,,,,,,1.6180412371134025,0.8909420071322481,15.810481099656357,7.522349695286991
"exploratoire, plancher de groupe",ideologie,,,,,,,,droite,,,,567.0,,,,,,1.0892416225749557,0.9603612911378318,16.10194003527337,7.522349695286991
"exploratoire, plancher de groupe",parti,,,,,,,,gauche,,,,847.0,,,,,,1.2858323494687134,0.7229935143541691,14.954073199527746,6.684824216187853
"exploratoire, plancher de groupe",parti,,,,,,,,centre,,,,609.0,,,,,,1.079638752052545,0.8513100217515949,14.840886699507388,6.684824216187853
"exploratoire, plancher de groupe",parti,,,,,,,,droite,,,,540.0,,,,,,1.181666666666667,0.9813498046189334,16.09722222222222,6.684824216187853
