item,famille,retenu,n_gauche,n_centre,n_droite,gs_gauche,gs_centre,gs_droite,h_gauche,h_centre,h_droite,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,p_holm,p_bh
conpress,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.551282,0.565908,0.455811,1.346584,1.306708,1.055555,0.826820,0.735168,0.927903,0.000050,0.007450,0.000110
consci,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.388939,0.590825,0.625723,0.949351,1.385675,1.500989,1.608797,1.415413,1.838534,0.000050,0.007450,0.000110
contv,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.546924,0.572421,0.546846,1.301880,1.330433,1.271952,0.999857,0.925573,1.079423,0.992500,1.000000,0.999206
joblose,residu : economique,True,417.000000,303.000000,332.000000,0.649085,0.658033,0.640793,1.703380,1.776258,1.683396,0.987225,0.932041,1.040332,0.637818,1.000000,0.719961
jobfind,residu : economique,True,417.000000,303.000000,332.000000,0.701174,0.698883,0.706930,1.840455,1.860728,1.875197,1.008210,0.962984,1.048602,0.691065,1.000000,0.750269
happy,residu : hors axe,True,417.000000,303.000000,332.000000,0.568645,0.588202,0.584883,1.379596,1.427266,1.421039,1.028556,0.936820,1.124841,0.538473,1.000000,0.626816
hapmar,residu : hors axe,True,417.000000,303.000000,332.000000,0.530933,0.593775,0.660121,1.415934,1.577336,1.708547,1.243322,1.134565,1.375564,0.000050,0.007450,0.000110
satjob,residu : economique,True,417.000000,303.000000,332.000000,0.722618,0.687059,0.698722,2.020411,1.870367,1.890305,0.966932,0.923834,1.007829,0.126194,1.000000,0.172503
spdeg*,residu : hors axe,True,417.000000,303.000000,332.000000,0.620838,0.668962,0.732264,1.861202,1.998901,2.182982,1.179478,1.085144,1.283357,0.000300,0.020999,0.000552
spjew,residu : hors axe,True,417.000000,303.000000,332.000000,0.359908,0.441567,0.551669,1.004400,1.106641,1.425949,1.532804,1.305343,1.814203,0.000050,0.007450,0.000110
spfund,residu : hors axe,True,417.000000,303.000000,332.000000,0.407512,0.445195,0.554781,1.081952,1.063355,1.430988,1.361384,1.179559,1.595603,0.000250,0.017999,0.000471
unemp,residu : hors axe,True,417.000000,303.000000,332.000000,0.498063,0.479969,0.440287,0.997208,0.970967,0.912226,0.883998,0.801034,0.949980,0.000300,0.020999,0.000552
union1,residu : economique,True,417.000000,303.000000,332.000000,0.186877,0.167508,0.137735,0.590752,0.565312,0.486408,0.737035,0.446750,1.129691,0.197040,1.000000,0.257535
spkath/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.225996,0.356479,0.344101,0.557785,0.782171,0.762120,1.522599,1.198433,1.987903,0.001450,0.092795,0.002512
colath,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.289522,0.393023,0.446456,0.670880,0.839983,0.921469,1.542046,1.312656,1.881672,0.000050,0.007450,0.000110
spkrac/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.474082,0.499246,0.501511,0.962338,0.998913,1.002173,1.057855,1.013444,1.120233,0.004850,0.286136,0.007941
colrac,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.333794,0.450244,0.473829,0.745179,0.927136,0.961982,1.419523,1.235132,1.664184,0.000050,0.007450,0.000110
librac/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.489762,0.497060,0.477924,0.985202,0.995763,0.967976,0.975829,0.917191,1.028946,0.330383,1.000000,0.403501
spkcom/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.362963,0.452342,0.467859,0.792437,0.930261,0.953214,1.288998,1.130822,1.474831,0.000200,0.014999,0.000387
colcom/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.362963,0.458374,0.470917,0.792437,0.939218,0.957710,1.297422,1.144267,1.476297,0.000100,0.008100,0.000210
libcom/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.304856,0.405001,0.440287,0.696990,0.858550,0.912226,1.444245,1.213298,1.733572,0.000100,0.008100,0.000210
spkhomo/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.046924,0.151903,0.164889,0.164973,0.413337,0.439848,3.513963,1.956906,8.563450,0.000250,0.017999,0.000471
colhomo,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.056032,0.146351,0.184399,0.189951,0.401763,0.478761,3.290956,1.907736,7.153675,0.000100,0.008100,0.000210
libhomo/y,libertes civiles (spk/col/lib),True,417.000000,303.000000,332.000000,0.082803,0.253754,0.366906,0.258352,0.608492,0.798812,4.431067,2.992382,7.546100,0.000050,0.007450,0.000110
cappun,residu : social,True,417.000000,303.000000,332.000000,0.486672,0.421655,0.308430,0.980716,0.884075,0.703140,0.633753,0.528291,0.753915,0.000050,0.007450,0.000110
polhitok/y,residu : social,True,417.000000,303.000000,332.000000,0.478371,0.482635,0.350799,0.968617,0.974855,0.772975,0.733320,0.623972,0.831483,0.000050,0.007450,0.000110
polabuse/y,residu : social,True,417.000000,303.000000,332.000000,0.073972,0.117938,0.164889,0.236495,0.340476,0.439848,2.229088,1.355899,4.041225,0.004000,0.239988,0.006622
polattak/y,residu : social,True,417.000000,303.000000,332.000000,0.451739,0.462177,0.412332,0.929321,0.944844,0.869802,0.912767,0.805498,1.027918,0.096595,1.000000,0.135780
grass,residu : social,True,417.000000,303.000000,332.000000,0.240062,0.389920,0.456011,0.583577,0.835142,0.935702,1.899558,1.569174,2.356277,0.000050,0.007450,0.000110
gunlaw,residu : social,True,417.000000,303.000000,332.000000,0.280045,0.458374,0.501219,0.654529,0.939218,1.001754,1.789780,1.527592,2.181950,0.000050,0.007450,0.000110
owngun,residu : hors axe,True,417.000000,303.000000,332.000000,0.313780,0.402072,0.482874,0.711997,0.854027,0.975198,1.538895,1.333512,1.800804,0.000050,0.007450,0.000110
hunt1,residu : hors axe,True,417.000000,303.000000,332.000000,0.097249,0.190720,0.334073,0.354637,0.633719,0.988681,3.435232,2.306991,5.769678,0.000050,0.007450,0.000110
class,residu : economique,True,417.000000,303.000000,332.000000,0.654780,0.674491,0.636206,1.659292,1.701227,1.583479,0.971634,0.928232,1.019839,0.222939,1.000000,0.283914
satfin,residu : economique,True,417.000000,303.000000,332.000000,0.657120,0.659760,0.660558,1.564739,1.570543,1.571886,1.005231,0.976979,1.033013,0.697515,1.000000,0.750269
finalter,residu : economique,True,417.000000,303.000000,332.000000,0.662320,0.633401,0.658756,1.575899,1.516776,1.568176,0.994619,0.970255,1.017807,0.404580,1.000000,0.486148
finrela,residu : economique,True,417.000000,303.000000,332.000000,0.725800,0.695845,0.728060,2.000655,1.914767,2.020602,1.003114,0.961946,1.043748,0.873706,1.000000,0.885847
racdif1,residu : social,True,417.000000,303.000000,332.000000,0.307854,0.501388,0.330270,0.702046,1.001996,0.739490,1.072814,0.857654,1.354866,0.000050,0.007450,0.000110
racdif2,residu : social,True,417.000000,303.000000,332.000000,0.108744,0.135117,0.134532,0.319387,0.377960,0.376582,1.237147,0.732645,2.136397,0.366932,1.000000,0.444494
racdif3,residu : social,True,417.000000,303.000000,332.000000,0.404676,0.488536,0.387926,0.857964,0.983433,0.831994,0.958609,0.826486,1.107113,0.000050,0.007450,0.000110
racdif4,residu : social,True,417.000000,303.000000,332.000000,0.211562,0.429393,0.500855,0.530815,0.895821,1.001230,2.367422,1.946959,3.077711,0.000050,0.007450,0.000110
wlthwhts,residu : social,True,417.000000,303.000000,332.000000,0.653569,0.586169,0.518291,1.806986,1.675896,1.556913,0.793015,0.691825,0.886841,0.000050,0.007450,0.000110
wlthblks,residu : social,True,417.000000,303.000000,332.000000,0.631456,0.653837,0.658210,1.737850,1.796112,1.805823,1.042368,0.978538,1.123422,0.212739,1.000000,0.273260
wlthhsps,residu : social,True,417.000000,303.000000,332.000000,0.687823,0.636242,0.658210,1.927388,1.778051,1.818344,0.956947,0.906647,1.013433,0.120694,1.000000,0.166513
racwork,residu : hors axe,True,417.000000,303.000000,332.000000,0.740823,0.710620,0.734175,2.178999,2.054199,2.165868,0.991027,0.943616,1.034992,0.687916,1.000000,0.750269
letin1a,residu : social,True,417.000000,303.000000,332.000000,0.729282,0.706467,0.574164,2.095859,1.975082,1.605304,0.787300,0.712475,0.859726,0.000050,0.007450,0.000110
getahead,residu : economique,True,417.000000,303.000000,332.000000,0.542497,0.548467,0.484676,1.309661,1.258970,1.114777,0.893417,0.801468,0.990811,0.000150,0.011699,0.000302
aged,residu : social,True,417.000000,303.000000,332.000000,0.511714,0.516425,0.563462,1.198060,1.244110,1.343518,1.101128,1.008606,1.214680,0.038498,1.000000,0.057942
parsol,residu : economique,True,417.000000,303.000000,332.000000,0.781313,0.766289,0.782951,2.249286,2.202097,2.256835,1.002095,0.979362,1.021138,0.834958,1.000000,0.860546
kidssol,residu : economique,True,417.000000,303.000000,332.000000,0.766014,0.810767,0.811433,2.293744,2.468887,2.477450,1.059293,1.027856,1.095997,0.000150,0.011699,0.000302
spanking,residu : social,True,417.000000,303.000000,332.000000,0.688676,0.727187,0.710898,1.794711,1.936433,1.882774,1.032268,0.986771,1.078582,0.000950,0.063647,0.001705
divlaw,residu : social,True,417.000000,303.000000,332.000000,0.559802,0.614692,0.628690,1.284724,1.459503,1.506949,1.123057,1.062014,1.185966,0.000050,0.007450,0.000110
sexeduc,residu : social,True,417.000000,303.000000,332.000000,0.087184,0.229930,0.419812,0.268973,0.565314,0.881243,4.815240,3.342592,8.670811,0.000050,0.007450,0.000110
pillok,residu : social,True,417.000000,303.000000,332.000000,0.602068,0.695277,0.735650,1.527415,1.846433,1.957006,1.221871,1.161146,1.283630,0.000050,0.007450,0.000110
xmarsex,residu : social,True,417.000000,303.000000,332.000000,0.684537,0.555067,0.448968,1.738289,1.492114,1.238397,0.655871,0.565511,0.738095,0.000050,0.007450,0.000110
homosex,residu : social,True,417.000000,303.000000,332.000000,0.370054,0.598562,0.656972,1.072384,1.597260,1.715232,1.775342,1.535196,2.095904,0.000050,0.007450,0.000110
marhomo,residu : social,True,417.000000,303.000000,332.000000,0.387555,0.695758,0.776872,1.163719,1.976714,2.230207,2.004544,1.765413,2.334617,0.000050,0.007450,0.000110
discaff,residu : social,True,417.000000,303.000000,332.000000,0.450367,0.582126,0.648073,1.079075,1.361481,1.546534,1.438989,1.307155,1.589959,0.000050,0.007450,0.000110
abdefect,avortement (ab*),True,417.000000,303.000000,332.000000,0.112987,0.258387,0.446456,0.328984,0.616745,0.921469,3.951414,2.889665,5.948882,0.000050,0.007450,0.000110
abnomore,avortement (ab*),True,417.000000,303.000000,332.000000,0.222422,0.429393,0.446456,0.551156,0.895821,0.921469,2.007249,1.632570,2.614324,0.000050,0.007450,0.000110
abhlth,avortement (ab*),True,417.000000,303.000000,332.000000,0.069521,0.129434,0.207968,0.225235,0.365713,0.524217,2.991426,1.840057,5.718459,0.000150,0.011699,0.000302
abpoor,avortement (ab*),True,417.000000,303.000000,332.000000,0.189218,0.416279,0.454173,0.487970,0.875871,0.932971,2.400266,1.894266,3.237081,0.000050,0.007450,0.000110
abrape,avortement (ab*),True,417.000000,303.000000,332.000000,0.065048,0.168295,0.366906,0.213736,0.446842,0.798812,5.640539,3.658798,10.899473,0.000050,0.007450,0.000110
absingle,avortement (ab*),True,417.000000,303.000000,332.000000,0.222422,0.456407,0.438157,0.551156,0.936301,0.909026,1.969937,1.589761,2.511560,0.000050,0.007450,0.000110
abany,avortement (ab*),True,417.000000,303.000000,332.000000,0.240062,0.467554,0.409766,0.583577,0.952774,0.865861,1.706918,1.393556,2.214794,0.000050,0.007450,0.000110
letdie1,fin de vie (suicide/letdie),True,417.000000,303.000000,332.000000,0.240062,0.356479,0.472391,0.583577,0.782171,0.959874,1.967789,1.637519,2.496546,0.000050,0.007450,0.000110
suicide1,fin de vie (suicide/letdie),True,417.000000,303.000000,332.000000,0.250369,0.345595,0.459579,0.602190,0.764592,0.940990,1.835605,1.526171,2.259030,0.000050,0.007450,0.000110
suicide2,fin de vie (suicide/letdie),True,417.000000,303.000000,332.000000,0.456166,0.383581,0.230626,0.935905,0.825218,0.566509,0.505576,0.394922,0.624546,0.000050,0.007450,0.000110
suicide3,fin de vie (suicide/letdie),True,417.000000,303.000000,332.000000,0.442262,0.393023,0.248098,0.915155,0.839983,0.598277,0.560976,0.444338,0.688915,0.000050,0.007450,0.000110
suicide4,fin de vie (suicide/letdie),True,417.000000,303.000000,332.000000,0.501176,0.469259,0.350799,1.001693,0.955281,0.772975,0.699952,0.600361,0.796593,0.000050,0.007450,0.000110
pornlaw,residu : social,True,417.000000,303.000000,332.000000,0.397021,0.467423,0.500928,1.042279,1.108411,1.153042,1.261718,1.096121,1.487632,0.003000,0.182991,0.005022
fair,residu : social,True,417.000000,303.000000,332.000000,0.649407,0.639608,0.662924,1.549169,1.520658,1.577188,1.020813,0.991293,1.053148,0.017749,0.976201,0.027838
helpful,residu : social,True,417.000000,303.000000,332.000000,0.658781,0.659760,0.663033,1.568592,1.569315,1.577447,1.006454,0.981465,1.031882,0.317384,1.000000,0.390828
trust,residu : social,True,417.000000,303.000000,332.000000,0.636783,0.585798,0.572835,1.517185,1.402797,1.392384,0.899577,0.829239,0.964931,0.001500,0.094495,0.002569
tax,residu : economique,True,417.000000,303.000000,332.000000,0.532328,0.481455,0.412532,1.180652,1.066555,0.944605,0.774959,0.685338,0.860943,0.000050,0.007450,0.000110
vote16,residu : social,True,417.000000,303.000000,332.000000,0.457653,0.558433,0.353802,1.167130,1.319889,0.899720,0.773079,0.639972,0.931749,0.006750,0.391480,0.010932
pres16,residu : social,True,417.000000,303.000000,332.000000,0.531221,0.689529,0.488698,1.363007,1.804671,1.313669,0.919952,0.804667,1.042215,0.000050,0.007450,0.000110
if16who,residu : social,True,417.000000,303.000000,332.000000,0.295956,0.660416,0.312944,0.816472,1.571093,0.863086,1.057401,0.798694,1.381008,0.068297,1.000000,0.099767
news,residu : hors axe,True,417.000000,303.000000,332.000000,0.765299,0.719581,0.754650,2.190500,2.069275,2.175354,0.986085,0.947997,1.023903,0.439878,1.000000,0.520173
jew,residu : hors axe,True,417.000000,303.000000,332.000000,0.355297,0.503836,0.533851,1.030519,1.345601,1.442944,1.502552,1.254836,1.808530,0.000050,0.007450,0.000110
relig16*,residu : hors axe,True,417.000000,303.000000,332.000000,0.762117,0.767097,0.731336,2.160787,2.156258,2.043314,0.959611,0.925782,0.993702,0.012199,0.683166,0.019337
jew16*,residu : hors axe,True,417.000000,303.000000,332.000000,0.338602,0.469762,0.476522,1.018451,1.295189,1.342423,1.407322,1.144876,1.727367,0.001200,0.077996,0.002103
attend,residu : social,True,417.000000,303.000000,332.000000,0.667912,0.699495,0.814964,2.216718,2.309788,2.737038,1.220167,1.144176,1.312684,0.000050,0.007450,0.000110
pray,residu : social,True,417.000000,303.000000,332.000000,0.730527,0.805827,0.773214,2.218113,2.450620,2.350180,1.058433,1.001733,1.117553,0.001000,0.065997,0.001774
postlife,residu : social,True,417.000000,303.000000,332.000000,0.489762,0.407886,0.281294,0.985202,0.862996,0.656837,0.574349,0.464703,0.687031,0.000050,0.007450,0.000110
bible,residu : social,True,417.000000,303.000000,332.000000,0.566431,0.643936,0.632712,1.336077,1.536263,1.506735,1.117014,1.058920,1.185606,0.000050,0.007450,0.000110
reborn,residu : social,True,417.000000,303.000000,332.000000,0.626626,0.650362,0.624377,1.488622,1.551165,1.482906,0.996411,0.950039,1.044428,0.675766,1.000000,0.750269
savesoul,residu : social,True,417.000000,303.000000,332.000000,0.319614,0.421655,0.501219,0.721735,0.884075,1.001754,1.568205,1.381537,1.853321,0.000050,0.007450,0.000110
granborn,residu : hors axe,True,417.000000,303.000000,332.000000,0.647055,0.596660,0.590198,1.818159,1.649567,1.641270,0.912128,0.823703,0.995086,0.051297,1.000000,0.076433
uscitzn*,residu : hors axe,True,417.000000,303.000000,332.000000,0.014319,0.000000,0.012012,0.063287,0.000000,0.055265,0.838851,0.000000,4.554915,1.000000,1.000000,1.000000
fucitzn,residu : hors axe,True,417.000000,303.000000,332.000000,0.028569,0.000000,0.023969,0.136645,0.000000,0.118675,0.838973,0.125670,2.905164,0.837444,1.000000,0.860546
mnthsusa,residu : hors axe,True,417.000000,303.000000,332.000000,0.033089,0.038948,0.035599,0.124726,0.142708,0.132648,1.075846,0.282341,3.694769,0.785196,1.000000,0.818142
income,residu : economique,True,417.000000,303.000000,332.000000,0.708714,0.710402,0.695155,2.529883,2.591628,2.590055,0.980869,0.883602,1.075076,0.693865,1.000000,0.750269
othlang,residu : hors axe,True,417.000000,303.000000,332.000000,0.360427,0.360020,0.344101,0.788376,0.787853,0.762120,0.954705,0.778709,1.151783,0.599670,1.000000,0.682067
health,residu : hors axe,True,417.000000,303.000000,332.000000,0.602022,0.605993,0.615896,1.589186,1.596625,1.580535,1.023045,0.940547,1.112807,0.599670,1.000000,0.682067
compuse*,residu : hors axe,True,417.000000,303.000000,332.000000,0.037724,0.082399,0.029756,0.138568,0.257834,0.114897,0.788802,0.159256,2.710430,0.783485,1.000000,0.818142
webmob,residu : hors axe,True,417.000000,303.000000,332.000000,0.023750,0.032566,0.058603,0.095447,0.123700,0.197168,2.467469,0.896751,8.694422,0.067107,1.000000,0.098999
xmovie,residu : hors axe,True,417.000000,303.000000,332.000000,0.493106,0.469259,0.433790,0.990046,0.955281,0.902446,0.879709,0.797856,0.951111,0.000450,0.030598,0.000818
usewww*,residu : hors axe,True,417.000000,303.000000,332.000000,0.028431,0.032566,0.012012,0.110380,0.123700,0.055265,0.422487,0.000000,1.877163,0.141718,1.000000,0.191963
life,residu : hors axe,True,417.000000,303.000000,332.000000,0.524972,0.520272,0.542915,1.252839,1.242948,1.274231,1.034178,0.945702,1.137970,0.461977,1.000000,0.542004
richwork,residu : economique,True,417.000000,303.000000,332.000000,0.463083,0.472537,0.494940,0.946151,0.960096,0.992702,1.068793,1.008527,1.144317,0.031098,1.000000,0.047770
