A,B,C,R1,R1_brut,R1_nul,n_triplets,R2,R2_p10,se_nul_A,se_nul_B,se_nul_C,se_nul_R1,se_nul_R2,source,taux,tirage
-0.06360302184884503,0.026544826521128474,0.062452471482889724,0.0042911466831962244,0.038981515914201736,0.03469036923100551,19579,0.35014162860132186,0.28859060402684567,0.001488188902006021,0.00013139895764689027,0.0,5.225112908704948e-05,0.0,A* deux cibles,0.5,14
-0.04484175201064633,0.03452752579601421,0.03422053231939163,0.003134128637611866,0.03792932257056236,0.0347951939329505,20000,0.3425625845305841,0.2818791946308725,0.0012794852969678922,0.00011969764238593634,0.0,6.812094207625817e-05,0.0,A* trois cibles,0.05,0
-0.045461102722665236,0.034113399261916214,0.0344106463878327,0.0027560150871674197,0.03763854503631592,0.0348825299491485,20000,0.3434429785388012,0.2818791946308725,0.001054526513155646,0.00011396470699939055,0.0,5.994872783693876e-05,0.0,A* trois cibles,0.05,1
-0.04376224689745267,0.03339443687084728,0.03403041825095057,0.002637415503462158,0.03754805400967598,0.03491063850621382,20000,0.34332814453772936,0.2818791946308725,0.0017962046219432886,0.00012310059492798736,0.0,5.486293822701563e-05,0.0,A* trois cibles,0.05,2
-0.04764833644069433,0.03375800887029884,0.0344106463878327,0.0028692148625850677,0.03774097189307213,0.03487175703048706,20000,0.343710924541302,0.2818791946308725,0.001017316197461968,0.00011787665483389947,0.0,7.441261585651382e-05,0.0,A* trois cibles,0.05,3
-0.04592376155783218,0.03390578506393284,0.03479087452471483,0.0029422196870048864,0.03777656704187393,0.034834347354869045,20000,0.34306019853522857,0.2818791946308725,0.0015635439750085612,8.120013169557413e-05,0.0,6.735472126116426e-05,0.0,A* trois cibles,0.05,4
-0.04286839728685887,0.03412750394818229,0.034125475285171104,0.0027827133114139216,0.03766043856739998,0.03487772525598606,20000,0.343468497205706,0.2818791946308725,0.000975977662767872,7.758011737009922e-05,0.0,0.0001012525926619696,0.0,A* trois cibles,0.05,5
-0.047026279391424564,0.03449329927858771,0.0349809885931559,0.0030144229531288147,0.03785157576203346,0.03483715280890465,20000,0.3433281445377293,0.2818791946308725,0.0014634547643826877,9.151462264446205e-05,0.0,6.43356710623867e-05,0.0,A* trois cibles,0.05,6
-0.04380081105494793,0.034094475831420064,0.03450570342205324,0.0030554005255301817,0.03787240758538246,0.03481700705985228,20000,0.34363436854058743,0.2818791946308725,0.0010516158705602262,0.00011221174337114299,0.0,8.29832678336761e-05,0.0,A* trois cibles,0.05,7
-0.04299166409385602,0.033946923171242975,0.03450570342205324,0.0029788504665096624,0.037748850882053375,0.03477000041554371,20000,0.34303467986832364,0.2818791946308725,0.0015934062620042403,0.00011707768602516359,0.0,6.398208172039292e-05,0.0,A* trois cibles,0.05,8
