condition,axe_transport,variante,axe_mesure,ratio_inter_avant,ratio_inter_apres,ratio_intra_avant,ratio_intra_apres
agents demographiques (v8),profil croise,informee,political_ideology,8.3190,2.8596,0.4360,0.7055
agents demographiques (v8),profil croise,informee,age,3.2153,2.7233,0.7513,0.7651
agents demographiques (v8),profil croise,informee,education,0.4165,0.2457,0.8062,0.8114
agents demographiques (v8),profil croise,informee,profil croise,6.2563,1.0673,0.4803,0.7901
agents demographiques (v8),profil croise,dilatation,gender,0.9871,0.1212,0.8012,1.0459
agents demographiques (v8),profil croise,dilatation,race,4.0623,0.9360,0.7849,1.0418
agents demographiques (v8),profil croise,dilatation,political_ideology,8.3190,3.9815,0.4360,0.8980
agents demographiques (v8),profil croise,dilatation,age,3.2153,3.0557,0.7513,0.9988
agents demographiques (v8),profil croise,dilatation,education,0.4165,0.2680,0.8062,1.0493
agents demographiques (v8),profil croise,dilatation,profil croise,6.2563,1.7948,0.4803,0.9968
