perimetre,condition,famille_condition,variante,r,r_ic_bas,r_ic_haut,r2,r2_ic_bas,r2_ic_haut,p_bilateral,n_cellules
1052,agents entretien (v3),riche,moyenne d'item et de segment 18,0.314302,0.303481,0.325737,0.098786,0.092101,0.106105,0.000500,74507
1052,agents entretien (v3),riche,moyenne d'item et de segment 42,0.327274,0.316304,0.339002,0.107108,0.100048,0.114923,0.000500,71319
1052,agents enquete,riche,moyenne d'item,0.365736,0.352811,0.379486,0.133763,0.124476,0.144009,0.000500,74586
1052,agents enquete,riche,moyenne d'item et de segment 18,0.289836,0.277450,0.302962,0.084005,0.076978,0.091786,0.000500,74586
1052,agents enquete,riche,moyenne d'item et de segment 42,0.301874,0.289328,0.315059,0.091128,0.083711,0.099262,0.000500,71398
1052,agents demographiques (v6),etiquette,moyenne d'item,0.128113,0.117062,0.140654,0.016413,0.013703,0.019783,0.000500,74500
1052,agents demographiques (v6),etiquette,moyenne d'item et de segment 18,0.104584,0.094052,0.115740,0.010938,0.008846,0.013396,0.000500,74500
1052,agents demographiques (v6),etiquette,moyenne d'item et de segment 42,0.121425,0.110882,0.133159,0.014744,0.012295,0.017731,0.000500,71310
1052,agents v7,riche,moyenne d'item,0.105114,0.090731,0.118653,0.011049,0.008232,0.014078,0.000500,74611
1052,agents v7,riche,moyenne d'item et de segment 18,0.086057,0.072961,0.099306,0.007406,0.005323,0.009862,0.000500,74611
1052,agents v7,riche,moyenne d'item et de segment 42,0.102742,0.089971,0.115829,0.010556,0.008095,0.013416,0.000500,71419
1052,agents v8,etiquette,moyenne d'item,0.233848,0.218050,0.249683,0.054685,0.047546,0.062342,0.000500,74549
1052,agents v8,etiquette,moyenne d'item et de segment 18,0.065209,0.051427,0.078800,0.004252,0.002645,0.006209,0.000500,74549
1052,agents v8,etiquette,moyenne d'item et de segment 42,0.082854,0.068248,0.096886,0.006865,0.004658,0.009387,0.000500,71359
1052,PMM k=5,imputation par tirage,moyenne d'item,0.379315,0.366602,0.391352,0.143880,0.134397,0.153156,0.000500,74692
1052,PMM k=5,imputation par tirage,moyenne d'item et de segment 18,0.310334,0.299035,0.321097,0.096307,0.089422,0.103103,0.000500,74692
1052,PMM k=5,imputation par tirage,moyenne d'item et de segment 42,0.319957,0.308089,0.330938,0.102372,0.094919,0.109520,0.000500,71497
1052,PMM k=10,imputation par tirage,moyenne d'item,0.379256,0.367243,0.391274,0.143835,0.134867,0.153095,0.000500,74692
1052,PMM k=10,imputation par tirage,moyenne d'item et de segment 18,0.309872,0.298509,0.321034,0.096021,0.089107,0.103063,0.000500,74692
1052,PMM k=10,imputation par tirage,moyenne d'item et de segment 42,0.319379,0.307686,0.330846,0.102003,0.094671,0.109459,0.000500,71497
1052,IM m=10 mode des m,imputation multiple,moyenne d'item,0.389240,0.377266,0.401268,0.151508,0.142330,0.161016,0.000500,74692
1052,IM m=10 mode des m,imputation multiple,moyenne d'item et de segment 18,0.320274,0.309030,0.331033,0.102575,0.095499,0.109583,0.000500,74692
1052,IM m=10 mode des m,imputation multiple,moyenne d'item et de segment 42,0.330651,0.318774,0.342016,0.109330,0.101617,0.116975,0.000500,71497
1052,B0 mode,aveugle,moyenne d'item,-0.001137,-0.010963,0.008611,0.000001,0.000000,0.000129,0.830000,74692
1052,B0 mode,aveugle,moyenne d'item et de segment 18,0.022243,0.009987,0.034262,0.000495,0.000100,0.001174,0.000500,74692
1052,B0 mode,aveugle,moyenne d'item et de segment 42,0.044815,0.032527,0.057214,0.002008,0.001058,0.003273,0.000500,71497
1052,B1 argmax,statistique,moyenne d'item,0.246544,0.233140,0.259518,0.060784,0.054354,0.067349,0.000500,74692
1052,B1 argmax,statistique,moyenne d'item et de segment 18,0.120520,0.109732,0.131258,0.014525,0.012041,0.017229,0.000500,74692
1052,B1 argmax,statistique,moyenne d'item et de segment 42,0.129519,0.118779,0.140614,0.016775,0.014108,0.019772,0.000500,71497
1052,B2 argmax,statistique,moyenne d'item,0.327953,0.314832,0.341422,0.107553,0.099119,0.116569,0.000500,74692
1052,B2 argmax,statistique,moyenne d'item et de segment 18,0.248152,0.236180,0.260309,0.061579,0.055781,0.067761,0.000500,74692
1052,B2 argmax,statistique,moyenne d'item et de segment 42,0.263016,0.251228,0.275385,0.069177,0.063116,0.075837,0.000500,71497
1052,B3 foret,statistique,moyenne d'item,0.225410,0.213006,0.237805,0.050810,0.045372,0.056551,0.000500,74692
1052,B3 foret,statistique,moyenne d'item et de segment 18,0.107526,0.097701,0.118350,0.011562,0.009545,0.014007,0.000500,74692
1052,B3 foret,statistique,moyenne d'item et de segment 42,0.121004,0.110761,0.132031,0.014642,0.012268,0.017432,0.000500,71497
1052,humains vague 2,plancher,moyenne d'item,0.665821,0.654083,0.677465,0.443317,0.427824,0.458959,0.000500,74692
1052,humains vague 2,plancher,moyenne d'item et de segment 18,0.633486,0.622653,0.644933,0.401304,0.387697,0.415939,0.000500,74692
1052,humains vague 2,plancher,moyenne d'item et de segment 42,0.638368,0.627489,0.649913,0.407513,0.393742,0.422387,0.000500,71497
