condition,perimetre,segmentation,n_cellules,exactitude_vraie,exactitude_permutee,permutee_bas,permutee_haut,chute,chute_relative,exactitude_reassignation_optimale,gain_hongrois_absolu,part_recuperee_par_reassignation,permutations,plancher_humain_chute_relative,part_du_plancher_humain
agents entretien (v3),1052,S_gra,38,0.6564932247939368,0.5162316584581621,0.5125958544925613,0.5203350281981269,0.1402615663357747,0.21365272486978165,0.6580243448082274,0.14179268635006526,1.0109161765000199,200,0.34859250491513866,0.6129010861027929
agents enquete,1052,S_ideo,7,0.6509875724092173,0.5291643593538674,0.5266923660907954,0.5316212966034655,0.12182321305534993,0.18713600415519244,0.6568185877969733,0.12765422844310592,1.0478645673637477,200,0.3472745656622397,0.5388704577265284
agents enquete,1052,S_fin,42,0.6509875724092173,0.5351981843468497,0.532088128716156,0.5383098986908924,0.1157893880623676,0.17786727883889805,0.6529397504274377,0.11774156608058794,1.016859731715387,200,0.3247824098222526,0.5476505914721229
agents enquete,1052,S_gra,38,0.6509875724092173,0.510641252200985,0.5070354964656646,0.5143789713425371,0.14034632020823234,0.21558986093825033,0.6526590450914845,0.14201779289049954,1.0119096295491554,200,0.34859250491513866,0.6184581076714014
agents demographiques (v6),1052,S_ideo,7,0.581787327430015,0.5342351417561947,0.5318382052721566,0.5363475132059102,0.04755218567382036,0.08173465359563122,0.6250606068338991,0.09082546507770439,1.910016622594657,200,0.3472745656622397,0.23536032199699472
agents demographiques (v6),1052,S_fin,42,0.581787327430015,0.5385162490111517,0.5361087541786816,0.540798606680787,0.04327107841886335,0.07437611027041245,0.6072294383341414,0.06871318932298975,1.587970344946044,200,0.3247824098222526,0.229002889384056
agents demographiques (v6),1052,S_gra,38,0.581787327430015,0.5339476739735116,0.5314094916681552,0.5364310868400235,0.04783965345650343,0.08222876505033225,0.6137622170617809,0.0798145430882693,1.6683762803766533,200,0.34859250491513866,0.23588793187148419
agents v7,1052,S_ideo,7,0.5640135759307934,0.5333891022532983,0.5311860438410697,0.5358481447929161,0.0306244736774951,0.054297405212198016,0.6249330134993747,0.09154391124607641,2.9892403118538806,200,0.3472745656622397,0.15635295694245527
agents v7,1052,S_fin,42,0.5640135759307934,0.5389609436803021,0.5363440043892107,0.5415195090208487,0.025052632250491258,0.044418491539227264,0.6065850919947943,0.06762414831449215,2.6992831586854953,200,0.3247824098222526,0.1367638461810068
agents v7,1052,S_gra,38,0.5640135759307934,0.5346136792813944,0.5323189131599765,0.5373671434404267,0.029399896649399015,0.052126221608904136,0.61307321305535,0.07845953377395565,2.668701006320017,200,0.34859250491513866,0.14953339751694816
agents v8,1052,S_ideo,7,0.559145890218695,0.5452296042054763,0.5434954512976241,0.5472425485492638,0.013916286013218704,0.02488847053454282,0.6139344680633884,0.06870486385791208,4.937011483714203,200,0.3472745656622397,0.07166799125378338
agents v8,1052,S_fin,42,0.559145890218695,0.549195683517493,0.5472851328246613,0.5512607816367674,0.009950206701201947,0.01779536767642196,0.5990060479240564,0.04981036440656339,5.0059627807075096,200,0.3247824098222526,0.05479166093434997
agents v8,1052,S_gra,38,0.559145890218695,0.5071757215403067,0.5028084887845459,0.5114806887488198,0.05197016867838833,0.09294563295110975,0.6061385153239592,0.09896279378365258,1.9042230629666212,200,0.34859250491513866,0.2666311858131787
C2,150,S_ideo,7,0.5263087248322148,0.5135910514541386,0.5098747203579419,0.5174093959731544,0.012717673378076166,0.024163903766046272,0.5529306487695751,0.03933959731543646,3.0933014354066906,200,0.3332430751837197,0.07251134551775609
C2,150,S_fin,39,0.5263087248322148,0.5167702460850111,0.5127460850111857,0.5214362416107382,0.009538478747203705,0.01812335288616873,0.5439077417525285,0.02713749566751744,2.8450548967751335,200,0.24653052572074619,0.07351362608416977
C2,150,S_gra,34,0.5263087248322148,0.4991979865771812,0.4910324384787472,0.5065413870246086,0.02711073825503363,0.051511094108645884,0.5495147506156149,0.05031676403843377,1.8559717395040505,200,0.27775918598078014,0.18545235120400394
C3,150,S_ideo,7,0.5817002237136465,0.49489038031319915,0.4879093959731543,0.5023724832214765,0.08680984340044734,0.14923467425582634,0.585413870246085,0.09052348993288589,1.042779094938667,200,0.3332430751837197,0.447825282411501
C3,150,S_fin,39,0.5817002237136465,0.5164666666666666,0.509469798657718,0.5251946308724832,0.06523355704697986,0.11214291208368588,0.5846488325928727,0.06818216592620607,1.0452007986794694,200,0.24653052572074619,0.45488448846579793
C3,150,S_gra,34,0.5817002237136465,0.5077492170022372,0.4995894854586129,0.5158400447427293,0.0739510067114093,0.1271290669948464,0.5835063492829896,0.07575713228075243,1.0244232722401123,200,0.27775918598078014,0.4576952749409456
B1 argmax,1052,S_ideo,7,0.6208564064613266,0.5830704379003241,0.5807633909204584,0.5853475004465767,0.03778596856100247,0.06086104317803504,0.6844106463878327,0.10134020848750858,2.681953443218024,200,0.3472745656622397,0.1752533850614003
B1 argmax,1052,S_fin,42,0.6208564064613266,0.597263792839462,0.5947884502513587,0.5995011100620103,0.0235926136218646,0.038000113031505287,0.6688378799091536,0.0715740870696916,3.0337498090232726,200,0.3247824098222526,0.1170017583535452
B1 argmax,1052,S_gra,38,0.6208564064613266,0.5714830173271749,0.5677711996325312,0.5741904202924439,0.04937338913415168,0.07952465114367338,0.6710197259295174,0.09953670860234254,2.015999111016926,200,0.34859250491513866,0.2281306970814902
B2 argmax,1052,S_ideo,7,0.6717087299359481,0.5884899647842396,0.5857870594840126,0.5915069091790645,0.08321876515170845,0.12389114722335665,0.6931954474698242,0.10470548268558455,1.2581955823870452,200,0.3472745656622397,0.3567527238486378
B2 argmax,1052,S_fin,42,0.6717087299359481,0.5958751626815015,0.5934721655140736,0.5988634623727255,0.07583356725444657,0.11289650390829042,0.6818396406971702,0.08596447801566864,1.1335940155265218,200,0.3247824098222526,0.3476065836511177
B2 argmax,1052,S_gra,38,0.6717087299359481,0.572311704136576,0.5684936968892745,0.5760736979100212,0.09939702579937215,0.147976379298882,0.6832623063771148,0.11095060224053888,1.1162366413708096,200,0.34859250491513866,0.4244967324667676
PMM k=10,1052,S_ideo,7,0.6684040625717712,0.5303194937096487,0.5278909459769822,0.5334106336284992,0.1380845688621225,0.206588464365139,0.6766529716487611,0.14633347793911244,1.0597380948860873,200,0.3472745656622397,0.5948850989740135
PMM k=10,1052,S_fin,42,0.6684040625717712,0.5439553614719166,0.5404451731441549,0.5473584989920127,0.12444870109985462,0.1861878286930545,0.6718746012708295,0.12791923979891295,1.0278873035104936,200,0.3247824098222526,0.5732694353581269
PMM k=10,1052,S_gra,38,0.6684040625717712,0.5227776749942583,0.5179139446755301,0.5265268137392503,0.1456263875775129,0.21787178704030688,0.6724615306096409,0.14968385561538256,1.0278621759789928,200,0.34859250491513866,0.6250042211703478
B0 mode,1052,S_ideo,7,0.5933855615382653,0.5944666598616888,0.5940616467195753,0.5949428381861331,-0.0010810983234235128,-0.0018219154517695433,0.6032868042973434,0.008820144435654598,-8.158503481648049,200,0.3472745656622397,-0.005246325622192395
B0 mode,1052,S_fin,42,0.5933855615382653,0.59435070941894,0.5939849312271928,0.594795786868094,-0.0009651478806746994,-0.001626510557777467,0.6024893459565672,0.008138636537627253,-8.432528010047363,200,0.3247824098222526,-0.00500800076786063
B0 mode,1052,S_gra,38,0.5933855615382653,0.5944262446729783,0.5940040702273715,0.5948664416770867,-0.0010406831347130607,-0.0017538059605212535,0.6030698956286524,0.008643650955674098,-8.305747126436659,200,0.34859250491513866,-0.005031106337034412
B0 tirage,1052,S_ideo,7,0.4918276469237247,0.492936177814071,0.49113098731722266,0.49488079592722073,-0.0011085308903462932,-0.0022539011323985413,0.5749100466991603,0.08197386888508934,-73.94820441988908,200,0.3472745656622397,-0.006490256860880196
B0 tirage,1052,S_fin,42,0.4918276469237247,0.4931008370122745,0.4911246076504963,0.4949954704366244,-0.0012731900885497582,-0.0025886915802990867,0.5515732258146835,0.058472388802409014,-45.925890664930215,200,0.3247824098222526,-0.007970541205466853
B0 tirage,1052,S_gra,38,0.4918276469237247,0.4931454308826907,0.4914193482532473,0.49503964962870345,-0.001317783958965979,-0.002679361290908374,0.5580741062086916,0.06492867532600088,-49.27110766847416,200,0.34859250491513866,-0.007686227480882406
B3 foret,1052,S_ideo,7,0.633979380917141,0.6055026858396917,0.6036947839844846,0.6071784010003317,0.02847669507744932,0.044917383647799,0.6842256360527728,0.07872295021308107,2.7644693318158864,200,0.3472745656622397,0.1293425666292123
B3 foret,1052,S_fin,42,0.633979380917141,0.617086820884477,0.6151362377829381,0.6189940222522776,0.01689256003266404,0.02664528301886815,0.6739479929568479,0.05686117207237096,3.366048246235161,200,0.3247824098222526,0.08204041294431745
B3 foret,1052,S_gra,38,0.633979380917141,0.5926196825477837,0.5899206050475923,0.5955484280501188,0.04135969836935727,0.06523823899371081,0.6755875673054837,0.0829678847577,2.0060079746415553,200,0.34859250491513866,0.18714756649628025
humains vague 1 (150),150,S_ideo,7,1.0,0.5384800894854587,0.5201744966442954,0.5599843400447427,0.46151991051454133,0.46151991051454133,1.0,0.46151991051454133,1.0,200,0.3332430751837197,1.384934736483576
humains vague 1 (150),150,S_fin,39,1.0,0.6516380313199105,0.6120369127516779,0.6860469798657719,0.3483619686800895,0.3483619686800895,1.0,0.3483619686800895,1.0,200,0.24653052572074619,1.4130581503512931
humains vague 1 (150),150,S_gra,34,1.0,0.6242910514541387,0.5900570469798658,0.6553635346756151,0.37570894854586134,0.37570894854586134,1.0,0.37570894854586134,1.0,200,0.27775918598078014,1.352642747778858
humains vague 2 (150),150,S_ideo,7,0.7914988814317674,0.5277373601789709,0.5167785234899329,0.543692393736018,0.2637615212527965,0.3332430751837197,0.7914988814317674,0.2637615212527965,1.0,200,0.3332430751837197,1.0
humains vague 2 (150),150,S_fin,39,0.7914988814317674,0.5963702460850112,0.5758836689038032,0.6181845637583893,0.19512863534675617,0.24653052572074619,0.7917572549390304,0.19538700885401916,1.0013241188655055,200,0.24653052572074619,1.0
humains vague 2 (150),150,S_gra,34,0.7914988814317674,0.5716527964205816,0.5522058165548098,0.5916241610738255,0.21984608501118574,0.27775918598078014,0.7960986915165853,0.22444589509600366,1.0209228655792706,200,0.27775918598078014,1.0
