condition,classe_norc,n_items,cellules,cellules_minoritaires,rappel,precision,f1,taux_fausses_minorites,taux_mauvaise_minorite,masse_predite,masse_humaine,rappel_ic_bas,rappel_ic_haut,precision_ic_bas,precision_ic_haut,f1_ic_bas,f1_ic_haut,taux_fausses_minorites_ic_bas,taux_fausses_minorites_ic_haut,taux_mauvaise_minorite_ic_bas,taux_mauvaise_minorite_ic_haut,masse_predite_ic_bas,masse_predite_ic_haut,perimetre,rappel_humain_de_la_classe,rappel_normalise
agents v8,sensible,12,1800,103,0.106796,0.118280,0.112245,0.817204,0.064516,0.051667,0.057222,0.048077,0.174770,0.053763,0.195876,0.051813,0.181016,0.730337,0.893204,0.019417,0.117021,0.042222,0.060556,150,0.456311,0.234043
agents v8,temoin,65,9750,266,0.195489,0.144444,0.166134,0.850000,0.005556,0.036923,0.027282,0.139519,0.253393,0.100608,0.190890,0.117455,0.212178,0.804212,0.894264,0.000000,0.014928,0.030972,0.042769,150,0.481203,0.406250
C2,sensible,12,1800,103,0.126214,0.094891,0.108333,0.832117,0.072993,0.076111,0.057222,0.065217,0.189189,0.047287,0.147657,0.055040,0.163934,0.768653,0.890514,0.035971,0.116570,0.062222,0.090000,150,0.456311,0.276596
C2,temoin,65,9750,266,0.157895,0.154982,0.156425,0.822878,0.022140,0.027795,0.027282,0.107437,0.209623,0.104000,0.207855,0.107784,0.203390,0.762950,0.877329,0.006642,0.042259,0.022664,0.033128,150,0.481203,0.328125
C3,sensible,12,1800,103,0.203883,0.096774,0.131250,0.783410,0.119816,0.120556,0.057222,0.130950,0.278266,0.058529,0.139138,0.081081,0.181832,0.726842,0.834863,0.080569,0.162810,0.110556,0.131111,150,0.456311,0.446809
C3,temoin,65,9750,266,0.274436,0.190104,0.224615,0.781250,0.028646,0.039385,0.027282,0.222222,0.325679,0.151057,0.229168,0.180350,0.267058,0.738035,0.824025,0.012343,0.048652,0.035590,0.043282,150,0.481203,0.570313
B0 mode,sensible,12,1800,103,0.000000,,0.000000,,,0.000000,0.057222,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,150,0.456311,0.000000
B0 mode,temoin,65,9750,266,0.000000,,0.000000,,,0.000000,0.027282,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,150,0.481203,0.000000
B0 tirage,sensible,12,1800,103,0.048544,0.047170,0.047847,0.905660,0.047170,0.058889,0.057222,0.010870,0.098044,0.010750,0.091856,0.010582,0.092789,0.848485,0.954128,0.010204,0.091852,0.048333,0.070000,150,0.456311,0.106383
B0 tirage,temoin,65,9750,266,0.097744,0.086667,0.091873,0.893333,0.020000,0.030769,0.027282,0.063197,0.134921,0.055015,0.121326,0.059589,0.125929,0.859473,0.925929,0.006514,0.034367,0.027385,0.034256,150,0.481203,0.203125
B1 argmax,sensible,12,1800,103,0.029126,0.136364,0.048000,0.681818,0.181818,0.012222,0.057222,0.000000,0.064516,0.000000,0.300000,0.000000,0.101918,0.500000,0.857305,0.041667,0.357143,0.007778,0.017778,150,0.456311,0.063830
B1 argmax,temoin,65,9750,266,0.041353,0.139241,0.063768,0.848101,0.012658,0.008103,0.027282,0.016524,0.068969,0.056338,0.228269,0.025235,0.103636,0.753425,0.937519,0.000000,0.040541,0.006154,0.009949,150,0.481203,0.085938
B2 argmax,sensible,12,1800,103,0.009709,0.500000,0.019048,0.500000,0.000000,0.001111,0.057222,0.000000,0.033613,0.000000,1.000000,0.000000,0.064516,0.000000,1.000000,0.000000,0.000000,0.000000,0.002778,150,0.456311,0.021277
B2 argmax,temoin,65,9750,266,0.048872,0.565217,0.089965,0.391304,0.043478,0.002359,0.027282,0.023620,0.078176,0.333333,0.800192,0.044610,0.141034,0.173732,0.600000,0.000000,0.130435,0.001333,0.003590,150,0.481203,0.101562
B3 foret,sensible,12,1800,103,0.000000,,0.000000,,,0.000000,0.057222,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,150,0.456311,0.000000
B3 foret,temoin,65,9750,266,0.007519,0.200000,0.014493,0.800000,0.000000,0.001026,0.027282,0.000000,0.018250,0.000000,0.500000,0.000000,0.035088,0.500000,1.000000,0.000000,0.000000,0.000513,0.001641,150,0.481203,0.015625
humains vague 2,sensible,12,1800,103,0.456311,0.489583,0.472362,0.385417,0.125000,0.053333,0.057222,0.360000,0.556704,0.385542,0.591837,0.378698,0.559671,0.287234,0.489362,0.061209,0.191500,0.043333,0.064444,150,0.456311,1.000000
humains vague 2,temoin,65,9750,266,0.481203,0.479401,0.480300,0.498127,0.022472,0.027385,0.027282,0.426151,0.536845,0.417543,0.540654,0.428305,0.529089,0.431225,0.565404,0.007435,0.040984,0.023077,0.031897,150,0.481203,1.000000
agents composite,sensible,12,12624,724,0.371547,0.292709,0.327450,0.587595,0.119695,0.072798,0.057351,0.336043,0.407048,0.264511,0.321388,0.299061,0.356571,0.556931,0.617748,0.100222,0.140643,0.067728,0.077788,1052,0.548343,0.677582
agents composite,temoin,65,68380,2153,0.392940,0.345447,0.367666,0.620661,0.033891,0.035815,0.031486,0.369564,0.416220,0.324519,0.366254,0.347399,0.387084,0.599142,0.641247,0.027336,0.041140,0.033767,0.037760,1052,0.557362,0.705000
agents entretien (v3),sensible,12,12624,724,0.339779,0.326260,0.332882,0.543767,0.129973,0.059728,0.057351,0.306473,0.374484,0.294261,0.360054,0.301676,0.364117,0.509904,0.577075,0.106867,0.154857,0.055923,0.063530,1052,0.548343,0.619647
agents entretien (v3),temoin,65,68380,2153,0.377148,0.308745,0.339536,0.660456,0.030798,0.038462,0.031486,0.353981,0.399621,0.288307,0.329297,0.319484,0.358892,0.639324,0.681616,0.024150,0.037442,0.036502,0.040436,1052,0.557362,0.676667
agents enquete,sensible,12,12624,724,0.169890,0.313776,0.220430,0.525510,0.160714,0.031052,0.057351,0.140825,0.198360,0.268227,0.358406,0.186257,0.253276,0.478906,0.571765,0.126607,0.197503,0.027408,0.034696,1052,0.548343,0.309824
agents enquete,temoin,65,68380,2153,0.271249,0.269000,0.270120,0.684477,0.046522,0.031749,0.031486,0.248142,0.294199,0.247346,0.289849,0.248608,0.290585,0.663119,0.706040,0.038187,0.055345,0.030097,0.033445,1052,0.557362,0.486667
agents demographiques (v6),sensible,12,12624,724,0.088398,0.200000,0.122605,0.587500,0.212500,0.025349,0.057351,0.068313,0.110273,0.156916,0.244198,0.095607,0.150321,0.533109,0.641696,0.168314,0.256667,0.022893,0.027883,1052,0.548343,0.161209
agents demographiques (v6),temoin,65,68380,2153,0.069670,0.175850,0.099800,0.740914,0.083236,0.012474,0.031486,0.059582,0.080059,0.152826,0.200930,0.086296,0.114060,0.711617,0.768803,0.066658,0.102017,0.011597,0.013366,1052,0.557362,0.125000
agents v7,sensible,12,12624,724,0.089779,0.288889,0.136986,0.626667,0.084444,0.017823,0.057351,0.070081,0.110947,0.231995,0.347467,0.108342,0.166320,0.564847,0.692677,0.051163,0.121757,0.015445,0.020358,1052,0.548343,0.163728
agents v7,temoin,65,68380,2153,0.084069,0.137957,0.104473,0.823171,0.038872,0.019187,0.031486,0.070454,0.098862,0.116920,0.159941,0.088075,0.122039,0.800150,0.846861,0.028146,0.049729,0.017885,0.020576,1052,0.557362,0.150833
agents v8,sensible,12,12624,724,0.204420,0.209040,0.206704,0.731638,0.059322,0.056084,0.057351,0.176544,0.233200,0.182197,0.237010,0.179985,0.233358,0.701205,0.761197,0.042707,0.076079,0.051965,0.060520,1052,0.548343,0.372796
agents v8,temoin,65,68380,2153,0.191825,0.149097,0.167784,0.835740,0.015162,0.040509,0.031486,0.171046,0.212879,0.132320,0.165586,0.149916,0.185293,0.819097,0.852574,0.010873,0.019972,0.038461,0.042644,1052,0.557362,0.344167
B0 mode,sensible,12,12624,724,0.000000,,0.000000,,,0.000000,0.057351,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,1052,0.548343,0.000000
B0 mode,temoin,65,68380,2153,0.000000,,0.000000,,,0.000000,0.031486,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,1052,0.557362,0.000000
B0 tirage,sensible,12,12624,724,0.067680,0.069111,0.068388,0.851904,0.078984,0.056163,0.057351,0.050209,0.086097,0.051428,0.089071,0.050957,0.086540,0.825832,0.876034,0.060220,0.097856,0.052440,0.059967,1052,0.548343,0.123426
B0 tirage,temoin,65,68380,2153,0.064097,0.064758,0.064426,0.915063,0.020178,0.031164,0.031486,0.053646,0.074919,0.054017,0.075310,0.053852,0.075082,0.903162,0.927821,0.014620,0.025876,0.029877,0.032407,1052,0.557362,0.115000
B1 argmax,sensible,12,12624,724,0.100829,0.295547,0.150360,0.578947,0.125506,0.019566,0.057351,0.079318,0.122759,0.239374,0.352679,0.119912,0.180703,0.518687,0.638889,0.085969,0.168677,0.017348,0.022022,1052,0.548343,0.183879
B1 argmax,temoin,65,68380,2153,0.047376,0.194656,0.076205,0.746183,0.059160,0.007663,0.031486,0.038460,0.056759,0.161046,0.229009,0.062452,0.090713,0.707556,0.787451,0.039355,0.079460,0.006961,0.008395,1052,0.557362,0.085000
B2 argmax,sensible,12,12624,724,0.085635,0.452555,0.144019,0.306569,0.240876,0.010852,0.057351,0.065641,0.106929,0.368421,0.536232,0.111888,0.176885,0.233070,0.382353,0.169935,0.316906,0.009189,0.012595,1052,0.548343,0.156171
B2 argmax,temoin,65,68380,2153,0.036229,0.500000,0.067562,0.326923,0.173077,0.002281,0.031486,0.027567,0.045088,0.415380,0.584418,0.051753,0.083448,0.253247,0.405077,0.114075,0.234851,0.001901,0.002662,1052,0.557362,0.065000
B3 foret,sensible,12,12624,724,0.055249,0.615385,0.101394,0.384615,0.000000,0.005149,0.057351,0.039270,0.072604,0.492953,0.724667,0.073105,0.130941,0.275333,0.507047,0.000000,0.000000,0.003881,0.006416,1052,0.548343,0.100756
B3 foret,temoin,65,68380,2153,0.005574,0.292683,0.010939,0.512195,0.195122,0.000600,0.031486,0.002784,0.008879,0.166667,0.441860,0.005464,0.017352,0.342838,0.666667,0.076923,0.326701,0.000424,0.000790,1052,0.557362,0.010000
humains vague 2,sensible,12,12624,724,0.548343,0.573699,0.560734,0.320809,0.105491,0.054816,0.057351,0.512960,0.588565,0.537327,0.609929,0.529121,0.593664,0.285285,0.355366,0.083851,0.126985,0.051014,0.058777,1052,0.548343,1.000000
humains vague 2,temoin,65,68380,2153,0.557362,0.550964,0.554145,0.423324,0.025712,0.031851,0.031486,0.536267,0.579923,0.526781,0.577034,0.534716,0.575041,0.398567,0.447393,0.019263,0.032380,0.030272,0.033387,1052,0.557362,1.000000
