source,famille,statistique,taille,taux,taux_realise_moyen,valeur_moyenne,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,tau_etoile_holm27,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2
C2,modele a etiquette,A,300,0.05,0.053333333333333316,-0.04799459533515974,-0.01094697931789261,0.0050623540495576625,-2.1624286272211903,0.030585152974011095,0.3333333333333333,12,0.0664,0.07605,0.0601,-0.13386567608844543,-1.701478205388133,1.0
C2,modele a etiquette,A,300,0.1,0.10388888888888886,-0.06744896567999302,-0.03040134966272589,0.0050623540495576625,-6.00537800499795,1.9088664850255105e-09,1.0,12,0.0664,0.07605,0.0601,-0.13386567608844543,-1.701478205388133,1.0
C2,modele a etiquette,B,300,0.05,0.053333333333333316,0.03481781952890305,0.0010688190818414073,0.0020730142359473513,0.5155869474060631,0.6061429285587285,0.0,12,0.10735,0.11750000000000001,0.10065,-0.014498416982061,0.7174959723777823,1.0
C2,modele a etiquette,B,300,0.1,0.10388888888888886,0.03947411847263337,0.0057251180255717266,0.0020730142359473513,2.7617359911449872,0.0057494948997422295,0.5,12,0.10735,0.11750000000000001,0.10065,-0.014498416982061,0.7174959723777823,1.0
C2,modele a etiquette,C,300,0.05,0.053333333333333316,0.04970833333333329,0.00449166666666663,0.00169280352145932,2.653389250274294,0.007968791621857825,0.4166666666666667,12,0.0568,0.06445000000000001,0.051800000000000006,0.04086111111111019,0.9794444444444474,1.0
C2,modele a etiquette,C,300,0.1,0.10388888888888886,0.05909722222222216,0.0138805555555555,0.00169280352145932,8.199744022028883,2.408994413820992e-16,1.0,12,0.0568,0.06445000000000001,0.051800000000000006,0.04086111111111019,0.9794444444444474,1.0
C2,modele a etiquette,A,500,0.05,0.05300000000000001,-0.06331512683310096,-0.013603075308588806,0.004675325411364339,-2.909546205174027,0.0036195388010283242,0.75,12,0.0545,0.06395,0.0485,-0.21004521655613928,-1.2403257923127335,1.0
C2,modele a etiquette,A,500,0.1,0.10216666666666668,-0.08311983110325344,-0.03340777957874128,0.004675325411364339,-7.145551729412634,8.963512719017671e-13,1.0,12,0.0545,0.06395,0.0485,-0.21004521655613928,-1.2403257923127335,1.0
C2,modele a etiquette,B,500,0.05,0.05300000000000001,0.0388164840448234,0.0015757522224115125,0.001734040458621174,0.9087171032125024,0.36349947376141206,0.08333333333333333,12,0.0969,0.10740000000000001,0.08995,0.0033372440476447905,0.5635560080117089,1.0
C2,modele a etiquette,B,500,0.1,0.10216666666666668,0.04321001630729346,0.005969284484881571,0.001734040458621174,3.4424136156708016,0.000576547971579819,0.9166666666666666,12,0.0969,0.10740000000000001,0.08995,0.0033372440476447905,0.5635560080117089,1.0
C2,modele a etiquette,C,500,0.05,0.05300000000000001,0.040375,0.004550666666666661,0.0013037422640499435,3.4904649424576264,0.00048218087094826665,0.9166666666666666,12,0.047850000000000004,0.0538,0.04395,0.025769999999999894,1.304866666666666,1.0
C2,modele a etiquette,C,500,0.1,0.10216666666666668,0.051449999999999996,0.015625666666666656,0.0013037422640499435,11.985242096951819,4.246020631656597e-33,1.0,12,0.047850000000000004,0.0538,0.04395,0.025769999999999894,1.304866666666666,1.0
C2,modele a etiquette,A,750,0.05,0.05055555555555553,-0.07491866821374425,-0.01453659130496441,0.004493340965043854,-3.2351409381243195,0.0012158269987792296,1.0,12,0.050050000000000004,0.059550000000000006,0.04405,-0.24984240791972978,-0.8177883635911637,1.0
C2,modele a etiquette,A,750,0.1,0.09966666666666664,-0.09354420133666448,-0.03316212442788464,0.004493340965043854,-7.380282218925931,1.5795435112664237e-13,1.0,12,0.050050000000000004,0.059550000000000006,0.04405,-0.24984240791972978,-0.8177883635911637,1.0
