perimetre,seuil,condition,reference,cellules,valeur,ic_bas,ic_haut
150,0.100000,humains vague 2,profil croise,133,0.496241,0.415247,0.582106
150,0.100000,humains vague 2,population entiere,188,0.585106,0.502674,0.670219
150,0.200000,agents composite,gender,471,0.562633,0.523529,0.602853
150,0.200000,agents composite,race,471,0.626327,0.585317,0.669567
150,0.200000,agents composite,political_ideology,456,0.607456,0.566372,0.648022
150,0.200000,agents composite,age,464,0.575431,0.532751,0.618711
150,0.200000,agents composite,education,462,0.549784,0.502074,0.600905
150,0.200000,agents composite,profil croise,410,0.548780,0.496350,0.597990
150,0.200000,agents composite,population entiere,471,0.670913,0.630704,0.712330
150,0.200000,agents entretien (v3),gender,598,0.526756,0.492634,0.562714
150,0.200000,agents entretien (v3),race,598,0.596990,0.560763,0.633931
150,0.200000,agents entretien (v3),political_ideology,580,0.600000,0.565061,0.636052
150,0.200000,agents entretien (v3),age,593,0.546374,0.504934,0.586274
150,0.200000,agents entretien (v3),education,591,0.527919,0.485464,0.569494
150,0.200000,agents entretien (v3),profil croise,521,0.525912,0.480074,0.570329
150,0.200000,agents entretien (v3),population entiere,598,0.640468,0.608316,0.673575
150,0.200000,agents enquete,gender,577,0.436742,0.400356,0.471700
150,0.200000,agents enquete,race,571,0.562172,0.526502,0.598150
150,0.200000,agents enquete,political_ideology,541,0.574861,0.533211,0.613971
150,0.200000,agents enquete,age,538,0.535316,0.493357,0.576701
150,0.200000,agents enquete,education,568,0.494718,0.456375,0.534486
150,0.200000,agents enquete,profil croise,478,0.489540,0.443316,0.534979
150,0.200000,agents enquete,population entiere,577,0.571924,0.533330,0.609542
150,0.200000,agents demographiques (v6),gender,558,0.575269,0.544014,0.606644
150,0.200000,agents demographiques (v6),race,558,0.625448,0.592531,0.659130
150,0.200000,agents demographiques (v6),political_ideology,539,0.653061,0.614260,0.692157
150,0.200000,agents demographiques (v6),age,553,0.589512,0.551537,0.628733
150,0.200000,agents demographiques (v6),education,552,0.570652,0.534785,0.604098
150,0.200000,agents demographiques (v6),profil croise,487,0.583162,0.544689,0.620484
150,0.200000,agents demographiques (v6),population entiere,558,0.670251,0.635859,0.705325
150,0.200000,agents v7,gender,583,0.526587,0.486534,0.565744
150,0.200000,agents v7,race,583,0.620926,0.580537,0.660178
150,0.200000,agents v7,political_ideology,562,0.604982,0.570205,0.638938
150,0.200000,agents v7,age,565,0.596460,0.555349,0.636201
150,0.200000,agents v7,education,579,0.512953,0.471971,0.554786
150,0.200000,agents v7,profil croise,496,0.520161,0.470466,0.571731
150,0.200000,agents v7,population entiere,583,0.650086,0.612069,0.689787
150,0.200000,agents v8,gender,852,0.516432,0.484671,0.548157
150,0.200000,agents v8,race,850,0.571765,0.546965,0.597223
150,0.200000,agents v8,political_ideology,816,0.633578,0.605363,0.661598
150,0.200000,agents v8,age,823,0.554070,0.522935,0.585785
150,0.200000,agents v8,education,848,0.511792,0.480589,0.543900
150,0.200000,agents v8,profil croise,746,0.571046,0.534297,0.607903
150,0.200000,agents v8,population entiere,852,0.610329,0.584099,0.637148
150,0.200000,C2,gender,1246,0.586677,0.555647,0.617752
150,0.200000,C2,race,1222,0.573650,0.544151,0.605177
150,0.200000,C2,political_ideology,1149,0.531767,0.497777,0.567945
150,0.200000,C2,age,1147,0.498692,0.464225,0.532822
150,0.200000,C2,education,1232,0.524351,0.487006,0.563532
150,0.200000,C2,profil croise,1042,0.556622,0.530346,0.583417
150,0.200000,C2,population entiere,1246,0.635634,0.606014,0.667240
150,0.200000,C3,gender,808,0.508663,0.480667,0.538097
150,0.200000,C3,race,808,0.483911,0.454875,0.514067
150,0.200000,C3,political_ideology,780,0.475641,0.441557,0.509537
150,0.200000,C3,age,798,0.378446,0.346649,0.408408
150,0.200000,C3,education,804,0.441542,0.403545,0.478981
150,0.200000,C3,profil croise,695,0.421583,0.389920,0.454414
150,0.200000,C3,population entiere,808,0.498762,0.467718,0.529041
150,0.200000,B0 mode,gender,0,,,
150,0.200000,B0 mode,race,0,,,
150,0.200000,B0 mode,political_ideology,0,,,
150,0.200000,B0 mode,age,0,,,
150,0.200000,B0 mode,education,0,,,
150,0.200000,B0 mode,profil croise,0,,,
150,0.200000,B0 mode,population entiere,0,,,
150,0.200000,B0 tirage,gender,1056,0.500947,0.469292,0.532702
150,0.200000,B0 tirage,race,1052,0.512357,0.482917,0.542275
150,0.200000,B0 tirage,political_ideology,1031,0.485936,0.455237,0.517275
150,0.200000,B0 tirage,age,1032,0.465116,0.435668,0.495549
150,0.200000,B0 tirage,education,1048,0.472328,0.444233,0.499044
150,0.200000,B0 tirage,profil croise,910,0.451648,0.420466,0.482838
150,0.200000,B0 tirage,population entiere,1056,0.527462,0.497616,0.556878
150,0.200000,B1 argmax,gender,346,0.664740,0.616071,0.715134
150,0.200000,B1 argmax,race,346,0.595376,0.547468,0.646865
150,0.200000,B1 argmax,political_ideology,344,0.633721,0.579264,0.687500
150,0.200000,B1 argmax,age,345,0.605797,0.559229,0.655690
150,0.200000,B1 argmax,education,340,0.594118,0.542587,0.648811
150,0.200000,B1 argmax,profil croise,315,0.580952,0.521875,0.639576
150,0.200000,B1 argmax,population entiere,346,0.592486,0.544153,0.644379
150,0.200000,B2 argmax,gender,74,0.608108,0.500000,0.716216
150,0.200000,B2 argmax,race,74,0.581081,0.477612,0.685714
150,0.200000,B2 argmax,political_ideology,74,0.581081,0.464273,0.696980
150,0.200000,B2 argmax,age,73,0.575342,0.447761,0.693571
150,0.200000,B2 argmax,education,72,0.750000,0.638528,0.857193
150,0.200000,B2 argmax,profil croise,69,0.608696,0.493827,0.716418
150,0.200000,B2 argmax,population entiere,74,0.635135,0.537495,0.734375
150,0.200000,B3 foret,gender,90,0.733333,0.632905,0.831815
150,0.200000,B3 foret,race,90,0.644444,0.528302,0.760428
150,0.200000,B3 foret,political_ideology,90,0.711111,0.621352,0.800000
150,0.200000,B3 foret,age,89,0.640449,0.539197,0.741935
150,0.200000,B3 foret,education,87,0.701149,0.602410,0.802822
150,0.200000,B3 foret,profil croise,86,0.674419,0.562500,0.774657
150,0.200000,B3 foret,population entiere,90,0.622222,0.509425,0.737500
150,0.200000,humains vague 2,gender,416,0.524038,0.469081,0.579331
150,0.200000,humains vague 2,race,415,0.561446,0.494502,0.622115
150,0.200000,humains vague 2,political_ideology,401,0.523691,0.467247,0.579488
150,0.200000,humains vague 2,age,406,0.544335,0.484693,0.603355
150,0.200000,humains vague 2,education,410,0.500000,0.440384,0.558336
150,0.200000,humains vague 2,profil croise,373,0.525469,0.479040,0.577026
150,0.200000,humains vague 2,population entiere,416,0.574519,0.505307,0.638127
1052,0.100000,agents composite,gender,715,0.486713,0.452954,0.522208
1052,0.100000,agents composite,race,715,0.478322,0.443977,0.513709
1052,0.100000,agents composite,political_ideology,714,0.518207,0.484093,0.555229
1052,0.100000,agents composite,age,713,0.483871,0.449273,0.520425
1052,0.100000,agents composite,education,714,0.543417,0.507080,0.579799
1052,0.100000,agents composite,profil croise,697,0.517934,0.481893,0.553044
1052,0.100000,agents composite,population entiere,715,0.489510,0.456114,0.524029
1052,0.100000,agents entretien (v3),gender,864,0.540509,0.507335,0.573172
1052,0.100000,agents entretien (v3),race,864,0.545139,0.513189,0.578825
1052,0.100000,agents entretien (v3),political_ideology,864,0.540509,0.508891,0.574076
1052,0.100000,agents entretien (v3),age,863,0.530707,0.498258,0.563352
1052,0.100000,agents entretien (v3),education,864,0.582176,0.550052,0.614239
1052,0.100000,agents entretien (v3),profil croise,842,0.533254,0.500000,0.566017
1052,0.100000,agents entretien (v3),population entiere,864,0.545139,0.512539,0.578710
1052,0.100000,agents enquete,gender,1210,0.447934,0.420099,0.475086
1052,0.100000,agents enquete,race,1210,0.418182,0.391304,0.445479
1052,0.100000,agents enquete,political_ideology,1119,0.504915,0.474425,0.534300
1052,0.100000,agents enquete,age,1139,0.523266,0.495203,0.552704
1052,0.100000,agents enquete,education,1160,0.525862,0.497937,0.553935
1052,0.100000,agents enquete,profil croise,1038,0.493256,0.463167,0.522991
1052,0.100000,agents enquete,population entiere,1210,0.424793,0.397697,0.451267
1052,0.100000,agents demographiques (v6),gender,695,0.684892,0.650723,0.719160
1052,0.100000,agents demographiques (v6),race,695,0.676259,0.642413,0.709490
1052,0.100000,agents demographiques (v6),political_ideology,694,0.595101,0.559523,0.631042
1052,0.100000,agents demographiques (v6),age,687,0.687045,0.652693,0.721089
1052,0.100000,agents demographiques (v6),education,695,0.717986,0.684707,0.750000
1052,0.100000,agents demographiques (v6),profil croise,680,0.585294,0.550292,0.622288
1052,0.100000,agents demographiques (v6),population entiere,695,0.683453,0.648648,0.717007
1052,0.100000,agents v7,gender,880,0.601136,0.570615,0.631451
1052,0.100000,agents v7,race,880,0.602273,0.571938,0.633295
1052,0.100000,agents v7,political_ideology,861,0.607433,0.574884,0.639775
1052,0.100000,agents v7,age,865,0.552601,0.520373,0.585650
1052,0.100000,agents v7,education,871,0.625718,0.594410,0.655544
1052,0.100000,agents v7,profil croise,830,0.587952,0.553696,0.621751
1052,0.100000,agents v7,population entiere,880,0.609091,0.577855,0.639549
1052,0.100000,agents v8,gender,1199,0.565471,0.539933,0.591104
1052,0.100000,agents v8,race,1199,0.565471,0.539200,0.592118
1052,0.100000,agents v8,political_ideology,1194,0.684255,0.656225,0.711475
1052,0.100000,agents v8,age,1184,0.563345,0.537531,0.590036
1052,0.100000,agents v8,education,1196,0.555184,0.528971,0.581037
1052,0.100000,agents v8,profil croise,1172,0.688567,0.660777,0.716012
1052,0.100000,agents v8,population entiere,1199,0.577148,0.550718,0.603423
1052,0.100000,B0 mode,gender,0,,,
1052,0.100000,B0 mode,race,0,,,
1052,0.100000,B0 mode,political_ideology,0,,,
1052,0.100000,B0 mode,age,0,,,
1052,0.100000,B0 mode,education,0,,,
1052,0.100000,B0 mode,profil croise,0,,,
1052,0.100000,B0 mode,population entiere,0,,,
1052,0.100000,B0 tirage,gender,2108,0.529886,0.509091,0.551147
1052,0.100000,B0 tirage,race,2108,0.533681,0.513655,0.554484
1052,0.100000,B0 tirage,political_ideology,2094,0.496180,0.475649,0.517194
1052,0.100000,B0 tirage,age,2090,0.531100,0.510716,0.551874
1052,0.100000,B0 tirage,education,2107,0.537257,0.517146,0.557402
1052,0.100000,B0 tirage,profil croise,2035,0.476167,0.455601,0.496481
1052,0.100000,B0 tirage,population entiere,2108,0.541746,0.521717,0.562922
1052,0.100000,B1 argmax,gender,489,0.595092,0.551019,0.637134
1052,0.100000,B1 argmax,race,489,0.599182,0.556540,0.639764
1052,0.100000,B1 argmax,political_ideology,489,0.687117,0.646186,0.725809
1052,0.100000,B1 argmax,age,489,0.640082,0.599620,0.680810
1052,0.100000,B1 argmax,education,489,0.685072,0.643999,0.724347
1052,0.100000,B1 argmax,profil croise,482,0.653527,0.611217,0.695178
1052,0.100000,B1 argmax,population entiere,489,0.586912,0.543747,0.629101
1052,0.100000,B2 argmax,gender,64,0.890625,0.812500,0.960791
1052,0.100000,B2 argmax,race,64,0.859375,0.764706,0.945455
1052,0.100000,B2 argmax,political_ideology,64,0.843750,0.750000,0.926471
1052,0.100000,B2 argmax,age,64,0.921875,0.851336,0.982759
1052,0.100000,B2 argmax,education,64,0.890625,0.808816,0.960784
1052,0.100000,B2 argmax,profil croise,63,0.761905,0.654528,0.862069
1052,0.100000,B2 argmax,population entiere,64,0.890625,0.812500,0.960791
1052,0.100000,B3 foret,gender,37,0.486486,0.333333,0.642915
1052,0.100000,B3 foret,race,37,0.513514,0.350000,0.675696
1052,0.100000,B3 foret,political_ideology,37,0.459459,0.312500,0.615385
1052,0.100000,B3 foret,age,37,0.648649,0.500000,0.794118
1052,0.100000,B3 foret,education,37,0.675676,0.531250,0.815789
1052,0.100000,B3 foret,profil croise,37,0.513514,0.340720,0.685759
1052,0.100000,B3 foret,population entiere,37,0.486486,0.333333,0.642915
1052,0.100000,humains vague 2,gender,921,0.547231,0.512367,0.581779
1052,0.100000,humains vague 2,race,921,0.517915,0.483313,0.553328
1052,0.100000,humains vague 2,political_ideology,913,0.543264,0.511430,0.575889
1052,0.100000,humains vague 2,age,918,0.525054,0.490604,0.560261
1052,0.100000,humains vague 2,education,917,0.535442,0.502090,0.570354
1052,0.100000,humains vague 2,profil croise,888,0.543919,0.510428,0.579068
1052,0.100000,humains vague 2,population entiere,921,0.535288,0.500548,0.570507
1052,0.200000,agents composite,gender,3311,0.619450,0.603458,0.635081
1052,0.200000,agents composite,race,3311,0.608577,0.592115,0.624735
1052,0.200000,agents composite,political_ideology,3310,0.648338,0.632988,0.664247
1052,0.200000,agents composite,age,3311,0.552099,0.535616,0.567560
1052,0.200000,agents composite,education,3310,0.581873,0.564884,0.598179
1052,0.200000,agents composite,profil croise,3300,0.613030,0.596129,0.629430
1052,0.200000,agents composite,population entiere,3311,0.587436,0.571174,0.604217
1052,0.200000,agents entretien (v3),gender,4236,0.611190,0.597987,0.625495
1052,0.200000,agents entretien (v3),race,4236,0.613787,0.599763,0.628579
1052,0.200000,agents entretien (v3),political_ideology,4236,0.663834,0.650487,0.677336
1052,0.200000,agents entretien (v3),age,4236,0.591596,0.577480,0.605402
1052,0.200000,agents entretien (v3),education,4236,0.609537,0.595094,0.624031
1052,0.200000,agents entretien (v3),profil croise,4218,0.629208,0.614787,0.643094
1052,0.200000,agents entretien (v3),population entiere,4236,0.612842,0.599379,0.626643
1052,0.200000,agents enquete,gender,4474,0.605945,0.592525,0.619327
1052,0.200000,agents enquete,race,4474,0.615557,0.602877,0.628851
1052,0.200000,agents enquete,political_ideology,4386,0.672595,0.658248,0.687112
1052,0.200000,agents enquete,age,4415,0.589128,0.574629,0.602614
1052,0.200000,agents enquete,education,4424,0.608273,0.594082,0.621862
1052,0.200000,agents enquete,profil croise,4304,0.618959,0.604032,0.634277
1052,0.200000,agents enquete,population entiere,4474,0.584041,0.570822,0.596861
1052,0.200000,agents demographiques (v6),gender,4194,0.704340,0.691509,0.718221
1052,0.200000,agents demographiques (v6),race,4194,0.717930,0.703992,0.731153
1052,0.200000,agents demographiques (v6),political_ideology,4193,0.677081,0.663208,0.691178
1052,0.200000,agents demographiques (v6),age,4193,0.643453,0.629831,0.656802
1052,0.200000,agents demographiques (v6),education,4194,0.680019,0.666430,0.693185
1052,0.200000,agents demographiques (v6),profil croise,4172,0.647411,0.632700,0.662485
1052,0.200000,agents demographiques (v6),population entiere,4194,0.649261,0.636319,0.662195
1052,0.200000,agents v7,gender,4603,0.650011,0.636363,0.663645
1052,0.200000,agents v7,race,4603,0.663480,0.649721,0.676973
1052,0.200000,agents v7,political_ideology,4585,0.642530,0.628356,0.656217
1052,0.200000,agents v7,age,4593,0.625299,0.612762,0.637535
1052,0.200000,agents v7,education,4594,0.638441,0.624725,0.651814
1052,0.200000,agents v7,profil croise,4562,0.622096,0.607732,0.636179
1052,0.200000,agents v7,population entiere,4603,0.627634,0.614633,0.640612
1052,0.200000,agents v8,gender,6722,0.602053,0.591665,0.612957
1052,0.200000,agents v8,race,6722,0.583904,0.572926,0.595323
1052,0.200000,agents v8,political_ideology,6718,0.711968,0.701786,0.721875
1052,0.200000,agents v8,age,6707,0.595646,0.584750,0.606885
1052,0.200000,agents v8,education,6719,0.592052,0.581178,0.603136
1052,0.200000,agents v8,profil croise,6691,0.640114,0.628614,0.651540
1052,0.200000,agents v8,population entiere,6722,0.590747,0.580345,0.601421
1052,0.200000,B0 mode,gender,0,,,
1052,0.200000,B0 mode,race,0,,,
1052,0.200000,B0 mode,political_ideology,0,,,
1052,0.200000,B0 mode,age,0,,,
1052,0.200000,B0 mode,education,0,,,
1052,0.200000,B0 mode,profil croise,0,,,
1052,0.200000,B0 mode,population entiere,0,,,
1052,0.200000,B0 tirage,gender,7522,0.519543,0.508532,0.530750
1052,0.200000,B0 tirage,race,7522,0.524329,0.513499,0.535044
1052,0.200000,B0 tirage,political_ideology,7518,0.506651,0.495690,0.517918
1052,0.200000,B0 tirage,age,7513,0.513244,0.502170,0.524488
1052,0.200000,B0 tirage,education,7521,0.513097,0.501900,0.523709
1052,0.200000,B0 tirage,profil croise,7485,0.485237,0.474270,0.495768
1052,0.200000,B0 tirage,population entiere,7522,0.534034,0.522982,0.544964
1052,0.200000,B1 argmax,gender,2622,0.615942,0.597610,0.634055
1052,0.200000,B1 argmax,race,2622,0.596873,0.577777,0.616199
1052,0.200000,B1 argmax,political_ideology,2622,0.662853,0.644476,0.681270
1052,0.200000,B1 argmax,age,2622,0.611365,0.592983,0.629980
1052,0.200000,B1 argmax,education,2622,0.626621,0.608426,0.645286
1052,0.200000,B1 argmax,profil croise,2616,0.661697,0.643175,0.680031
1052,0.200000,B1 argmax,population entiere,2622,0.563310,0.544932,0.582039
1052,0.200000,B2 argmax,gender,656,0.628049,0.590976,0.665692
1052,0.200000,B2 argmax,race,656,0.655488,0.618905,0.691459
1052,0.200000,B2 argmax,political_ideology,656,0.699695,0.664556,0.733835
1052,0.200000,B2 argmax,age,656,0.623476,0.586781,0.659092
1052,0.200000,B2 argmax,education,656,0.640244,0.604198,0.676613
1052,0.200000,B2 argmax,profil croise,652,0.684049,0.647589,0.720127
1052,0.200000,B2 argmax,population entiere,656,0.618902,0.582515,0.654960
1052,0.200000,B3 foret,gender,619,0.659128,0.620801,0.696403
1052,0.200000,B3 foret,race,619,0.581583,0.540749,0.621851
1052,0.200000,B3 foret,political_ideology,619,0.720517,0.684630,0.754159
1052,0.200000,B3 foret,age,619,0.621971,0.586093,0.659051
1052,0.200000,B3 foret,education,619,0.639742,0.599665,0.678401
1052,0.200000,B3 foret,profil croise,619,0.752827,0.718607,0.784734
1052,0.200000,B3 foret,population entiere,619,0.533118,0.495507,0.570748
1052,0.200000,humains vague 2,gender,2889,0.598131,0.577046,0.618714
1052,0.200000,humains vague 2,race,2889,0.582901,0.561736,0.603814
1052,0.200000,humains vague 2,political_ideology,2886,0.597367,0.576627,0.617213
1052,0.200000,humains vague 2,age,2886,0.576230,0.555855,0.596752
1052,0.200000,humains vague 2,education,2885,0.597574,0.577246,0.618041
1052,0.200000,humains vague 2,profil croise,2870,0.566899,0.546812,0.586927
1052,0.200000,humains vague 2,population entiere,2889,0.590516,0.569713,0.611208
