bloc,code,famille,reglage,colonnes_couvertes,n,n_pool,top1_naif,top1_naif_bas,top1_naif_haut,top1_adaptatif,top1_adaptatif_bas,top1_adaptatif_haut,strategie_adaptative,strategies_mesurees,erreur_distribution,erreur_groupes,erreur_correlations,utilite_globale,plancher_correlations,passe_P,passe_P1pct,seuil_P_borne_basse_baseline_demo,tA_signe,tA_signif,tA_preservee,tB_coefs_changes_sur_4,tB_preservee,tC_delta_pc1_pc2_points,tC_pct_charges_axe1_inversees,tC_preservee,n_taches_preservees,utilisable,nature_de_la_protection,borne_garantie,taux_conditionnel_exposes,epsilon,replicat,tA_replicats_preserves,tB_replicats_preserves,tC_replicats_preserves
candidat,E3a(k=2),agregation,"mode par item sur groupes de taille ~2 formes intra-segment (1021 groupes, taille mediane 2)",60 items,2058,2058,0.0354956268221574,0.028254980563654,0.0433187560738581,0.0354956268221574,0.028254980563654,0.0433187560738581,N naif (Hamming),N naif (Hamming) = 3.550 % | L A-LLR recalibre sur la defense (hors pli) = 1.312 %,23.40986394557823,6.812556787945775,2.227389038034735,10.816603257186246,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,2.0,False,0.2543112035879175,0.0,True,2,False,"GARANTI (combinatoire) : les |g| lignes publiees d'un groupe sont identiques, un seul humain peut etre classe premier",top-1 <= 1/2 = 50.00 % (combinatoire),,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E3b(k=2),agregation,"ligne d'un membre tire par groupe de taille ~2 intra-segment (1021 groupes, 1021 personnes republiees verbatim)",60 items,2058,2058,0.1043245869776482,0.0923712342079689,0.117201166180758,0.1043245869776482,0.0923712342079689,0.117201166180758,N naif (Hamming),N naif (Hamming) = 10.432 % | L A-LLR recalibre sur la defense (hors pli) = 5.296 % | C lien par le contenu (membre republie verbatim) = 10.418 %,1.0191933916423712,6.276915395800872,1.7282099898985337,3.008106259113926,4.317365833832603,False,False,0.0158649173955296,-1.0,False,False,1.0,True,0.7657641145816629,0.0,True,2,False,GARANTI en moyenne (combinatoire) — mais 1 personne sur 2 est republiee VERBATIM : divulgation d'attribut totale pour celle-la,"top-1 <= top-1(A0)/2 (combinatoire, par symetrie d'echange)",0.2099902056807052,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E3a(k=5),agregation,"mode par item sur groupes de taille ~5 formes intra-segment (402 groupes, taille mediane 5)",60 items,2058,2058,0.0051992225461613,0.0026718901846452,0.0082853498542274,0.0051992225461613,0.0026718901846452,0.0082853498542274,N naif (Hamming),N naif (Hamming) = 0.520 % | L A-LLR recalibre sur la defense (hors pli) = 0.292 %,4.375607385811469,13.229907215162989,4.031357786460512,7.212290795811655,4.317365833832603,True,True,0.0158649173955296,1.0,False,True,3.0,False,0.3402259248253131,0.0,True,2,True,"GARANTI (combinatoire) : les |g| lignes publiees d'un groupe sont identiques, un seul humain peut etre classe premier",top-1 <= 1/5 = 20.00 % (combinatoire),,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E3b(k=5),agregation,"ligne d'un membre tire par groupe de taille ~5 intra-segment (402 groupes, 402 personnes republiees verbatim)",60 items,2058,2058,0.040427599611273,0.0325315840621963,0.0491520894071914,0.040427599611273,0.0325315840621963,0.0491520894071914,N naif (Hamming),N naif (Hamming) = 4.043 % | L A-LLR recalibre sur la defense (hors pli) = 0.389 % | C lien par le contenu (membre republie verbatim) = 4.028 %,1.908406219630709,13.113171479813326,3.650141776828785,6.22390649209094,4.317365833832603,False,False,0.0158649173955296,-1.0,False,False,1.0,True,0.7829494951124629,0.0,True,2,False,GARANTI en moyenne (combinatoire) — mais 1 personne sur 5 est republiee VERBATIM : divulgation d'attribut totale pour celle-la,"top-1 <= top-1(A0)/5 (combinatoire, par symetrie d'echange)",0.2062189054726368,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E3a(k=10),agregation,"mode par item sur groupes de taille ~10 formes intra-segment (197 groupes, taille mediane 10)",60 items,2058,2058,0.0021865889212827,0.0007045675413022,0.0039601554907677,0.0021865889212827,0.0007045675413022,0.0039601554907677,N naif (Hamming),N naif (Hamming) = 0.219 % | L A-LLR recalibre sur la defense (hors pli) = 0.049 %,5.817541302235181,19.81373623265849,6.015028128425797,10.548768554439825,4.317365833832603,True,True,0.0158649173955296,1.0,False,True,3.0,False,3.532761565143601,2.5,True,2,True,"GARANTI (combinatoire) : les |g| lignes publiees d'un groupe sont identiques, un seul humain peut etre classe premier",top-1 <= 1/10 = 10.00 % (combinatoire),,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E3b(k=10),agregation,"ligne d'un membre tire par groupe de taille ~10 intra-segment (197 groupes, 197 personnes republiees verbatim)",60 items,2058,2058,0.0254373177842565,0.0190233236151603,0.0319758260447035,0.0254373177842565,0.0190233236151603,0.0319758260447035,N naif (Hamming),N naif (Hamming) = 2.544 % | L A-LLR recalibre sur la defense (hors pli) = 0.146 % | C lien par le contenu (membre republie verbatim) = 2.483 %,2.345724003887269,20.942945236508898,5.465193653107734,9.5846209645013,4.317365833832603,False,False,0.0158649173955296,-1.0,True,False,2.0,False,2.3062803381078636,0.0,True,1,False,GARANTI en moyenne (combinatoire) — mais 1 personne sur 10 est republiee VERBATIM : divulgation d'attribut totale pour celle-la,"top-1 <= top-1(A0)/10 (combinatoire, par symetrie d'echange)",0.2593908629441624,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E3a(k=25),agregation,"mode par item sur groupes de taille ~25 formes intra-segment (83 groupes, taille mediane 27)",60 items,2058,2058,0.0012633624878522,0.0002429543245869,0.0025753158406219,0.0012633624878522,0.0002429543245869,0.0025753158406219,N naif (Hamming),N naif (Hamming) = 0.126 % | L A-LLR recalibre sur la defense (hors pli) = 0.097 %,18.422011661807577,25.330113192229824,10.476892114296136,18.076338989444512,4.317365833832603,True,True,0.0158649173955296,1.0,True,False,1.0,True,7.188067167783223,15.0,False,1,True,"GARANTI (combinatoire) : les |g| lignes publiees d'un groupe sont identiques, un seul humain peut etre classe premier",top-1 <= 1/25 = 4.00 % (combinatoire),,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E3b(k=25),agregation,"ligne d'un membre tire par groupe de taille ~25 intra-segment (83 groupes, 83 personnes republiees verbatim)",60 items,2058,2058,0.0121720116618075,0.0076044703595724,0.0167887512147716,0.0121720116618075,0.0076044703595724,0.0167887512147716,N naif (Hamming),N naif (Hamming) = 1.217 % | L A-LLR recalibre sur la defense (hors pli) = 0.049 % | C lien par le contenu (membre republie verbatim) = 1.193 %,5.069241982507289,29.966686807116716,9.15381518539853,14.729914658340844,4.317365833832603,False,False,0.0158649173955296,-1.0,True,False,3.0,False,3.5164810753920457,22.5,False,0,False,GARANTI en moyenne (combinatoire) — mais 1 personne sur 25 est republiee VERBATIM : divulgation d'attribut totale pour celle-la,"top-1 <= top-1(A0)/25 (combinatoire, par symetrie d'echange)",0.2957831325301204,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,"E5(marg, eps=1)",confidentialite differentielle,marginales d'item (architecture c7_dp_zcdp) ; rho=0.0175 ; sigma=58.606,60 items,2058,2058,0.0007774538386783285,0.0,0.003401360544217687,0.0007774538386783285,0.0,0.003401360544217687,N naif (Hamming),"N = 0.078 % ; adaptatif (max N,L) = 0.078 %",1.8224003887269198,2.5339664976294833,4.495234582956526,2.9505338231043092,4.317365833832603,True,True,0.01586491739552964,0.6,False,False,2.6,False,3.4926034358579736,46.0,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=1, delta=1e-6)-DP",,eps=1,"5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",3/5,0/5,0/5
candidat,"E5(marg, eps=3)",confidentialite differentielle,marginales d'item (architecture c7_dp_zcdp) ; rho=0.1473 ; sigma=20.185,60 items,2058,2058,0.0007653061224489796,0.0,0.0025024295432458698,0.0007653061224489796,0.0,0.0025024295432458698,N naif (Hamming),"N = 0.077 % ; adaptatif (max N,L) = 0.077 %",0.9637998056365407,2.5185605695155586,4.544270212764554,2.6755435293055507,4.317365833832603,True,True,0.01586491739552964,-0.2,False,False,2.2,False,3.459475193663489,50.0,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=3, delta=1e-6)-DP",,eps=3,"5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",2/5,0/5,0/5
candidat,"E5(marg, eps=10)",confidentialite differentielle,marginales d'item (architecture c7_dp_zcdp) ; rho=1.3530 ; sigma=6.659,60 items,2058,2058,0.0005223517978620019,0.0,0.0020165208940719145,0.0009718172983479105,0.0,0.003401360544217687,L A-LLR recalibre sur la defense (hors pli),"N = 0.052 % ; adaptatif (max N,L) = 0.097 %",0.8503401360544218,2.4250637446780297,4.5160232302431575,2.5971423703252032,4.317365833832603,True,True,0.01586491739552964,0.6,False,False,3.4,False,3.5173032324526146,50.0,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=10, delta=1e-6)-DP",,eps=10,"5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",3/5,0/5,0/5
candidat,"E5(marg, eps=infini (temoin, aucun bruit))",confidentialite differentielle,marginales d'item (architecture c7_dp_zcdp) ; rho=inf ; sigma=0.000,60 items,2058,2058,0.0013848396501457726,0.0,0.004421768707482993,0.0013848396501457726,0.0,0.004421768707482993,N naif (Hamming),"N = 0.138 % ; adaptatif (max N,L) = 0.138 %",0.873906705539358,2.7824132165745143,4.5657401798611845,2.7406867006583524,4.317365833832603,True,True,0.01586491739552964,0.2,False,False,2.4,False,3.4998277985999877,50.0,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=infini (temoin, aucun bruit), delta=1e-6)-DP",,"eps=infini (temoin, aucun bruit)","5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",3/5,1/5,0/5
candidat,"E5(seg, eps=1)",confidentialite differentielle,marginales conditionnees au segment ; rho=0.0175 ; sigma=58.606,60 items,2058,2058,0.0007045675413022352,0.0,0.0022351797862001943,0.0007045675413022352,0.0,0.0022351797862001943,N naif (Hamming),"N = 0.070 % ; adaptatif (max N,L) = 0.070 %",5.085034013605442,22.725075341618926,6.9240516383251745,11.578053664516514,4.317365833832603,True,True,0.01586491739552964,-0.2,True,False,2.4,False,1.7170673439219162,39.0,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=1, delta=1e-6)-DP",,eps=1,"5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",0/5,1/5,0/5
candidat,"E5(seg, eps=3)",confidentialite differentielle,marginales conditionnees au segment ; rho=0.1473 ; sigma=20.185,60 items,2058,2058,0.0004737609329446064,0.0,0.0017012876579203078,0.0004737609329446064,0.0,0.0017012876579203078,N naif (Hamming),"N = 0.047 % ; adaptatif (max N,L) = 0.047 %",2.7917881438289593,19.596917825854035,5.047575030893855,9.145427000192281,4.317365833832603,True,True,0.01586491739552964,0.2,False,False,3.0,False,1.6102735164284876,38.5,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=3, delta=1e-6)-DP",,eps=3,"5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",1/5,0/5,0/5
candidat,"E5(seg, eps=10)",confidentialite differentielle,marginales conditionnees au segment ; rho=1.3530 ; sigma=6.659,60 items,2058,2058,0.0011661807580174927,0.0,0.0033527696793002916,0.0011661807580174927,0.0,0.0033527696793002916,N naif (Hamming),"N = 0.117 % ; adaptatif (max N,L) = 0.117 %",1.26287657920311,12.41441575845564,4.498873483588855,6.058721940415868,4.317365833832603,True,True,0.01586491739552964,0.2,False,False,2.2,False,3.1100999848649793,38.0,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=10, delta=1e-6)-DP",,eps=10,"5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",2/5,1/5,0/5
candidat,"E5(seg, eps=infini (temoin, aucun bruit))",confidentialite differentielle,marginales conditionnees au segment ; rho=inf ; sigma=0.000,60 items,2058,2058,0.000935374149659864,0.0,0.0025996112730806605,0.000935374149659864,0.0,0.0025996112730806605,N naif (Hamming),"N = 0.094 % ; adaptatif (max N,L) = 0.094 %",0.7667638483965016,4.234351456206159,4.399496949616213,3.1335374180729576,4.317365833832603,True,True,0.01586491739552964,0.2,False,False,2.4,False,3.466431295682123,41.5,False,0,False,"GARANTI (formel) : (eps, delta)-DP, delta = 1e-6, sous remplacement d'une ligne, avec immunite au post-traitement. SEULE garantie formelle de cette table. AUCUNE comparaison de cout avec un mecanisme empirique n'est faite ni permise, dans aucun sens.","(eps=infini (temoin, aucun bruit), delta=1e-6)-DP",,"eps=infini (temoin, aucun bruit)","5 replicats (utilite), 2 (risque) — reductions declarees §8 ; bornes = etendue sur replicats, PAS un IC",3/5,1/5,0/5
reference,baseline Demographics Only - GPT4.1-mini,controle,recalculee par c7_controle_interpretabilite sur le bassin exactement attaque,60 items,2058,2058,0.02152575315840622,0.01586491739552964,0.02789237123420796,,,,SANS OBJET,SANS OBJET,,,,,4.317365833832603,False,False,0.01586491739552964,0.0,False,False,0.0,False,,,False,0,False,SANS OBJET — c'est le seuil du critere P,SANS OBJET,,SANS OBJET,SANS OBJET,SANS OBJET,SANS OBJET,SANS OBJET
