configuration,statistique,taille,taux,valeur_moyenne,reference_humaine,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm39,tau_etoile_holm3,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2,p_holm
JSON Persona (Predicted Output) - GPT4.1,B,2058,0.25,0.032823720164897784,0.02599133484088814,0.006832385324009642,0.0011037801961247676,6.189987234774895,6.01690875065546e-10,1.0,12,0.19970000000000002,0.1675,0.1495,0.01545808539086053,0.03501126137133109,0.9941426251695683,
JSON Persona (Predicted Output) - GPT4.1,B,2058,0.5,0.042317371903639565,0.02599133484088814,0.016326037062751424,0.0011037801961247676,14.791021908229618,1.6739288405374137e-49,1.0,12,0.19970000000000002,0.1675,0.1495,0.01545808539086053,0.03501126137133109,0.9941426251695683,
JSON Persona (Predicted Output) - GPT4.1,C,2058,0.05,0.008622222993880747,0.008527696793002915,9.452620087783276e-05,0.00037086482275518526,0.254880471476345,0.7988154197497704,0.0,12,0.16055,0.13520000000000001,0.12095,0.0061702814247837105,0.020027993863504935,0.9982693462481325,1.0
JSON Persona (Predicted Output) - GPT4.1,C,2058,0.1,0.009198317511172461,0.008527696793002915,0.0006706207181695466,0.00037086482275518526,1.808261870693074,0.07056575323303561,0.08333333333333333,12,0.16055,0.13520000000000001,0.12095,0.0061702814247837105,0.020027993863504935,0.9982693462481325,
JSON Persona (Predicted Output) - GPT4.1,C,2058,0.25,0.01151095750575922,0.008527696793002915,0.002983260712756305,0.00037086482275518526,8.044064925310025,8.690643881942558e-16,1.0,12,0.16055,0.13520000000000001,0.12095,0.0061702814247837105,0.020027993863504935,0.9982693462481325,
JSON Persona (Predicted Output) - GPT4.1,C,2058,0.5,0.016581108859316126,0.008527696793002915,0.008053412066313211,0.00037086482275518526,21.71522229173355,1.473286605990655e-104,1.0,12,0.16055,0.13520000000000001,0.12095,0.0061702814247837105,0.020027993863504935,0.9982693462481325,
JSON Persona (Predicted Output) - GPT4.1-mini,A,1052,0.05,-0.030860461895954133,-0.02779075930803467,-0.0030697025879194637,0.0029442185715039555,-1.042620482606157,0.2971240989994008,0.0,12,0.08585000000000001,0.07,0.0614,-0.12223502528127253,-0.19899071390668638,0.9964786275296755,
JSON Persona (Predicted Output) - GPT4.1-mini,A,1052,0.1,-0.03749577200925413,-0.02779075930803467,-0.00970501270121946,0.0029442185715039555,-3.296294913411262,0.000979691143066569,0.5833333333333334,12,0.08585000000000001,0.07,0.0614,-0.12223502528127253,-0.19899071390668638,0.9964786275296755,
JSON Persona (Predicted Output) - GPT4.1-mini,A,1052,0.25,-0.07494603847167239,-0.02779075930803467,-0.04715527916363772,0.0029442185715039555,-16.01622910066423,9.844206952288713e-58,1.0,12,0.08585000000000001,0.07,0.0614,-0.12223502528127253,-0.19899071390668638,0.9964786275296755,
JSON Persona (Predicted Output) - GPT4.1-mini,A,1052,0.5,-0.13783178075255267,-0.02779075930803467,-0.11004102144451801,0.0029442185715039555,-37.37528949432149,9.849201107900209e-306,1.0,12,0.08585000000000001,0.07,0.0614,-0.12223502528127253,-0.19899071390668638,0.9964786275296755,
JSON Persona (Predicted Output) - GPT4.1-mini,B,1052,0.05,0.025628421522755226,0.022669280812239557,0.0029591407105156696,0.0013101984300480014,2.258543929416292,0.023911769025744274,0.0,12,0.05485,0.04395,0.038200000000000005,0.09429807449711591,0.04967378435170819,0.9958775651663077,
JSON Persona (Predicted Output) - GPT4.1-mini,B,1052,0.1,0.02974734725565632,0.022669280812239557,0.0070780664434167626,0.0013101984300480014,5.402285853111154,6.57969856080399e-08,1.0,12,0.05485,0.04395,0.038200000000000005,0.09429807449711591,0.04967378435170819,0.9958775651663077,
JSON Persona (Predicted Output) - GPT4.1-mini,B,1052,0.25,0.051848218513458895,0.022669280812239557,0.029178937701219338,0.0013101984300480014,22.27062483974303,7.12015017920832e-110,1.0,12,0.05485,0.04395,0.038200000000000005,0.09429807449711591,0.04967378435170819,0.9958775651663077,
JSON Persona (Predicted Output) - GPT4.1-mini,B,1052,0.5,0.08174455088872956,0.022669280812239557,0.05907527007649001,0.0013101984300480014,45.088796262964294,0.0,1.0,12,0.05485,0.04395,0.038200000000000005,0.09429807449711591,0.04967378435170819,0.9958775651663077,
JSON Persona (Predicted Output) - GPT4.1-mini,C,1052,0.05,0.011599038452523773,0.011455798479087452,0.000143239973436321,0.0005300355271454298,0.27024598559979013,0.7869710169391679,0.0,12,0.12350000000000001,0.1048,0.09425,0.010359071989192345,0.05733924043016942,0.9979104508124111,
JSON Persona (Predicted Output) - GPT4.1-mini,C,1052,0.1,0.012509005382212073,0.011455798479087452,0.0010532069031246212,0.0005300355271454298,1.9870496394775532,0.04691689622336719,0.08333333333333333,12,0.12350000000000001,0.1048,0.09425,0.010359071989192345,0.05733924043016942,0.9979104508124111,
JSON Persona (Predicted Output) - GPT4.1-mini,C,1052,0.25,0.0181716705530883,0.011455798479087452,0.00671587207400085,0.0005300355271454298,12.67060740280937,8.604553211208703e-37,1.0,12,0.12350000000000001,0.1048,0.09425,0.010359071989192345,0.05733924043016942,0.9979104508124111,
