item,cible,predicteur,n_personnes,n_changeurs,taux_de_base,auc,rappel,auc_permutee,auc_permutee_p2_5,auc_permutee_p97_5,auc_permutee_ecart_type,z_permutation,chute,p_permutation,p_permutation_normale,p_holm,p_bh,p_holm_normale,p_bh_normale
absingle,mono,T1 temoin de segment,2915,281,0.09639794168096055,0.5768441432458651,0.099644128113879,0.6222306742921068,0.6124160985416548,0.6322416517373411,0.005912265611818382,-7.676673212298823,-0.045386531046241685,1.0,0.9999999999999918,1.0,1.0,1.0,1.0
abany,mono,P position initiale seule,2897,159,0.05488436313427684,0.7096409259846281,0.06289308176100629,0.5048009840539163,0.4653964584166012,0.5444442530240592,0.021007048324079187,9.75101017385272,0.20483994193071187,0.004975124378109453,9.132084346252488e-23,0.5870646766169154,0.005644852659778033,4.1094379558136194e-21,1.456197233591613e-22
abany,mono,L1 logistique resumee,2897,159,0.05488436313427684,0.9282724846212862,0.4088050314465409,0.5220572561342577,0.48178483812726547,0.5607911710792893,0.022802185341629762,17.814749875986873,0.4062152284870285,0.004975124378109453,2.7150034911660943e-71,0.5870646766169154,0.005241648898365316,2.0362526183745707e-69,7.281145726309072e-71
abany,mono,L2 logistique complete,2897,159,0.05488436313427684,0.890658378929669,0.3584905660377358,0.5190220102815717,0.46886884334615087,0.5615725682337105,0.024116636622891076,15.409958463915604,0.37163636864809735,0.004975124378109453,7.015099725701578e-54,0.5870646766169154,0.0054865857627749105,5.3314757915331995e-52,1.9250738782157819e-53
abany,mono,V voisins k=25,2897,159,0.05488436313427684,0.648331656490759,0.12578616352201258,0.5230756278971476,0.4693457385228165,0.5612361660487616,0.02362025458770736,5.302907643459446,0.1252560285936114,0.004975124378109453,5.6986295179080774e-08,0.5870646766169154,0.012762275578628596,5.641643222728997e-06,3.3621914155657655e-07
abany,mono,F foret,2897,159,0.05488436313427684,0.8423676098331886,0.20754716981132076,0.5366376320226397,0.49662058795154157,0.5731265304059797,0.019994356945272584,15.290813235323126,0.3057299778105489,0.004975124378109453,4.402190641614671e-53,0.5870646766169154,0.005149690145762416,2.7733801042172423e-51,9.276044566259485e-53
abany,mono,T0 nul avec derive,2897,159,0.05488436313427684,0.44302755075320094,0.06289308176100629,0.5049401160466944,0.4695485388499157,0.5441323430773967,0.020064827148704455,-3.085626645803976,-0.06191256529349348,1.0,0.998984381499733,1.0,1.0,1.0,0.9998362572761497
abany,mono,T0b nul a taux commun,2897,159,0.05488436313427684,0.5,0.10062893081761007,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
abany,mono,T1 temoin de segment,2897,159,0.05488436313427684,0.5737512116910383,0.1069182389937107,0.6438180154912689,0.6281281727928846,0.6620338435069439,0.009203206822020431,-7.6133031839056855,-0.07006680380023067,1.0,0.9999999999999867,1.0,1.0,1.0,1.0
letdie1,mono,P position initiale seule,2242,241,0.10749330954504906,0.613161261692805,0.1825726141078838,0.5047335927471949,0.46840135430210206,0.540595884630299,0.019786935847563403,5.479760473320691,0.10842766894561018,0.004975124378109453,2.1295100952325974e-08,0.5870646766169154,0.005644852659778033,5.110824228558234e-07,2.645075697236279e-08
letdie1,mono,L1 logistique resumee,2242,241,0.10749330954504906,0.6482567844708351,0.17012448132780084,0.517780788029222,0.4848114842993441,0.5527740797650967,0.01735239065685316,7.5191942725242225,0.13047599644161312,0.004975124378109453,2.755741886929165e-14,0.5870646766169154,0.005241648898365316,4.960335396472497e-13,3.219579630273678e-14
letdie1,mono,L2 logistique complete,2242,241,0.10749330954504906,0.5623287941091695,0.14107883817427386,0.5179940009248488,0.47891064841023473,0.5540971215636995,0.020600986071337528,2.15207141205752,0.04433479318432065,0.01990049751243781,0.015695865172647056,0.5870646766169154,0.020966595593461264,0.1098710562085294,0.01653671509261029
letdie1,mono,V voisins k=25,2242,241,0.10749330954504906,0.6096806368599932,0.17842323651452283,0.5188565157255397,0.4836892238528039,0.5587188252346855,0.018884527026438953,4.8094464323780395,0.09082412113445348,0.004975124378109453,7.567442359392397e-07,0.5870646766169154,0.012762275578628596,7.340419088610626e-05,4.0589009018559226e-06
letdie1,mono,F foret,2242,241,0.10749330954504906,0.7003324064109024,0.21991701244813278,0.5282531555798863,0.492322459102399,0.5685834468657788,0.019725318883426893,8.723775359373086,0.17207925083101616,0.004975124378109453,1.3453832598640563e-18,0.5870646766169154,0.005149690145762416,3.094381497687329e-17,1.6537002569162357e-18
letdie1,mono,T0 nul avec derive,2242,241,0.10749330954504906,0.47180662780642874,0.08713692946058091,0.5009542116908351,0.4696722955949411,0.5385589103788355,0.018792123909661857,-1.5510531978463755,-0.02914758388440636,0.9601990049751243,0.93955553208607,1.0,1.0,1.0,0.9998362572761497
letdie1,mono,T0b nul a taux commun,2242,241,0.10749330954504906,0.5,0.1078838174273859,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
letdie1,mono,T1 temoin de segment,2242,241,0.10749330954504906,0.5114558903121054,0.11618257261410789,0.5964967879130973,0.5785124035492627,0.6133699747636555,0.009687796529925805,-8.778146541197358,-0.08504089760099198,1.0,1.0,1.0,1.0,1.0,1.0
suicide1,mono,P position initiale seule,2900,324,0.11172413793103449,0.6812253182271298,0.16666666666666666,0.49889423560789053,0.47298987328425734,0.5306790093503182,0.01513625100668395,12.045986984407469,0.1823310826192393,0.004975124378109453,1.0181223599741249e-33,0.5870646766169154,0.005644852659778033,5.803297451852512e-32,1.9377167496281733e-33
suicide1,mono,L1 logistique resumee,2900,324,0.11172413793103449,0.8130870907139023,0.3487654320987654,0.5070087728126677,0.4797515108599801,0.5373983674085576,0.015166600459311154,20.181076090345975,0.30607831790123463,0.004975124378109453,7.179308454213041e-91,0.5870646766169154,0.005241648898365316,6.461377608791738e-89,2.9212358537832375e-90
suicide1,mono,L2 logistique complete,2900,324,0.11172413793103449,0.7905380147227973,0.3425925925925926,0.5081956126351507,0.47652131378920326,0.5429510773713672,0.017492469718552825,16.140796961802895,0.2823424020876466,0.004975124378109453,6.591404083478164e-59,0.5870646766169154,0.0054865857627749105,5.536779430121657e-57,2.222244805286924e-58
suicide1,mono,V voisins k=25,2900,324,0.11172413793103449,0.6075478299210183,0.18518518518518517,0.5145058972663139,0.4764377582000997,0.5444807332403574,0.017049352000269573,5.45721225376972,0.0930419326547044,0.004975124378109453,2.4183403004080543e-08,0.5870646766169154,0.012762275578628596,2.418340300408054e-06,1.5019166076218442e-07
suicide1,mono,F foret,2900,324,0.11172413793103449,0.8211841499884979,0.3549382716049383,0.5102901486178207,0.4800920833812591,0.5390206847634385,0.015962347023956422,19.47670984123355,0.31089400137067713,0.004975124378109453,8.652453100132363e-85,0.5870646766169154,0.005149690145762416,7.787207790119127e-83,3.5206533303986857e-84
suicide1,mono,T0 nul avec derive,2900,324,0.11172413793103449,0.45714177881297446,0.10493827160493827,0.5027893698240166,0.4745841690389924,0.5354835830266084,0.015451362413752221,-2.9542761206878585,-0.0456475910110421,1.0,0.9984329827203381,1.0,1.0,1.0,0.9998362572761497
suicide1,mono,T0b nul a taux commun,2900,324,0.11172413793103449,0.5,0.14506172839506173,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
suicide1,mono,T1 temoin de segment,2900,324,0.11172413793103449,0.5112014511923932,0.09876543209876543,0.5834044162401273,0.5686116442853308,0.5955163492782378,0.007155098091199619,-10.091121620895702,-0.07220296504773405,1.0,1.0,1.0,1.0,1.0,1.0
suicide2,mono,P position initiale seule,3025,206,0.06809917355371901,0.5122693787303216,0.06310679611650485,0.4912504218944265,0.45574620208915234,0.5276399828487001,0.0189769007270422,1.1076074612090354,0.02101895683589511,0.13930348258706468,0.13401568986690127,1.0,0.14808838689435705,1.0,0.14246712976841755
suicide2,mono,L1 logistique resumee,3025,206,0.06809917355371901,0.680524320061166,0.1650485436893204,0.5287001260517225,0.492028046508264,0.5691484965060254,0.02021058353518027,7.512113331372418,0.15182419400944358,0.004975124378109453,2.909019306167463e-14,0.5870646766169154,0.005241648898365316,4.960335396472497e-13,3.365336060076085e-14
suicide2,mono,L2 logistique complete,3025,206,0.06809917355371901,0.6652706840200168,0.15048543689320387,0.5268980427542646,0.4860978898390602,0.5610997840589343,0.01946192685458415,7.109914773580567,0.13837264126575222,0.004975124378109453,5.805731722952549e-13,0.5870646766169154,0.0054865857627749105,1.7417195168857648e-11,7.697487003465178e-13
suicide2,mono,V voisins k=25,3025,206,0.06809917355371901,0.5957200962952504,0.11650485436893204,0.5307737802085019,0.4959759451296163,0.5706347487747842,0.018853298179202133,3.4448251690196847,0.0649463160867485,0.004975124378109453,0.0002857144313401526,0.5870646766169154,0.012762275578628596,0.02285715450721221,0.0008644693050804617
suicide2,mono,F foret,3025,206,0.06809917355371901,0.7277300013431741,0.22815533980582525,0.5439216722861856,0.5063377152953088,0.5821487858050607,0.01898111606638121,9.683747173462807,0.18380832905698852,0.004975124378109453,1.7675801629859207e-22,0.5870646766169154,0.005149690145762416,4.949224456360578e-21,2.292027024531194e-22
suicide2,mono,T0 nul avec derive,3025,206,0.06809917355371901,0.44921252113777177,0.06310679611650485,0.5024844501768513,0.46691387671039447,0.538215692234043,0.01997711061952095,-2.666648348386478,-0.05327192903907951,0.9950248756218906,0.9961694106724465,1.0,1.0,1.0,0.9998362572761497
suicide2,mono,T0b nul a taux commun,3025,206,0.06809917355371901,0.5,0.05825242718446602,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
suicide2,mono,T1 temoin de segment,3025,206,0.06809917355371901,0.527872584439156,0.11165048543689321,0.6186029525721785,0.5987423456296903,0.6393395458005146,0.010112808319701573,-8.97182713888321,-0.09073036813302249,1.0,1.0,1.0,1.0,1.0,1.0
suicide3,mono,P position initiale seule,3013,197,0.06538333886491869,0.5177124192431933,0.06091370558375635,0.49163530730849103,0.4530176322032187,0.5295481584563914,0.020423426409212256,1.276823556058149,0.0260771119347023,0.1044776119402985,0.10083227358687419,1.0,0.11207598371777475,1.0,0.10915787415826747
suicide3,mono,L1 logistique resumee,3013,197,0.06538333886491869,0.6908348234886941,0.15228426395939088,0.5392297819566221,0.5053057943008767,0.5819170548281034,0.019457020374676306,7.791791271873721,0.151605041532072,0.004975124378109453,3.303290396030042e-15,0.5870646766169154,0.005241648898365316,6.606580792060085e-14,3.937255219510555e-15
suicide3,mono,L2 logistique complete,3013,197,0.06538333886491869,0.6626204141670512,0.13705583756345177,0.5247795861934702,0.48277671824526996,0.5642798043089525,0.020777002782644417,6.634297998396723,0.137840827973581,0.004975124378109453,1.6302526249558567e-11,0.5870646766169154,0.0054865857627749105,3.7495810373984705e-10,2.003852184841574e-11
suicide3,mono,V voisins k=25,3013,197,0.06538333886491869,0.5830974922127365,0.1116751269035533,0.5274460885224389,0.48812879448834795,0.5658588432308491,0.020476320478673767,2.7178419945252847,0.05565140369029764,0.004975124378109453,0.0032854604447030726,0.5870646766169154,0.012762275578628596,0.2398386124633243,0.00842792027119484
suicide3,mono,F foret,3013,197,0.06538333886491869,0.707768516382095,0.18781725888324874,0.550325568902861,0.5067755501557453,0.5915021937730734,0.020930518964219158,7.5221712251083535,0.15744294747923404,0.004975124378109453,2.6936981894215006e-14,0.5870646766169154,0.005149690145762416,5.118026559900851e-13,3.178563863517371e-14
suicide3,mono,T0 nul avec derive,3013,197,0.06538333886491869,0.4582209708121827,0.050761421319796954,0.5010070581088487,0.4625382152745731,0.5399270304568528,0.019795020253464777,-2.161457111375121,-0.042786087296666,0.9800995024875622,0.9846699767337103,1.0,1.0,1.0,0.9998362572761497
suicide3,mono,T0b nul a taux commun,3013,197,0.06538333886491869,0.5,0.05583756345177665,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
suicide3,mono,T1 temoin de segment,3013,197,0.06538333886491869,0.5623422718620212,0.1116751269035533,0.6303234733718851,0.6144334991131173,0.6473873235247463,0.008782610848348433,-7.7404319380321525,-0.06798120150986386,1.0,0.999999999999995,1.0,1.0,1.0,1.0
