reel,nul,rapport,ic_bas,ic_haut,n_personnes,perimetre,delai,variante,quantite,decoupe,cle
0.5007947320617621,0.8015020435967305,0.624820280949568,0.6165520743178117,0.6327144088835086,1494,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,camp,droite
0.49918573212958717,0.7887621547267073,0.6328723166269895,0.6233427116092327,0.6421089753379247,1334,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,camp,gauche
0.3102872484393417,0.5205854978827442,0.5960351367859853,0.5925637030594367,0.5999441590258604,5682,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,ensemble,tout
0.3123269252317001,0.5184706993421162,0.6024003393596002,0.5944166994286494,0.6101602180403385,1536,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,panel,2006-2010
0.3079951927638445,0.5220253644960308,0.5900004362071306,0.582613454620758,0.5968859453308234,1581,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,panel,2008-2012
0.30595464497466957,0.5231601489460319,0.5848202421209862,0.5778483744789417,0.5927249073585049,1551,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,panel,2010-2014
0.31736380130436914,0.5176423282498896,0.6130947644435351,0.6043201208510232,0.6229788365895762,1014,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,panel,2016-2020
0.3176598218673955,0.5168432409105618,0.6146154128043742,0.6082726504362855,0.6201838615332899,2072,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,camp,centre
0.30981532978752124,0.5254983935851395,0.589564751423595,0.5832978760426311,0.5958890825764238,1828,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,camp,droite
0.29682661044306974,0.517464377563078,0.5736174765129357,0.5668226989122057,0.5816414871259157,1590,2ans,deux ans,"N1, remelange dans le panel",nombre d'items changes,camp,gauche
0.4790481761742117,0.846008793614253,0.5662449135163943,0.5623242698461702,0.5702925491172032,5682,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,ensemble,tout
0.4876111374341537,0.8400267565985665,0.5804709595306071,0.572393536417725,0.5886416375766741,1536,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,panel,2006-2010
0.47528641571194763,0.8450070921985816,0.5624644101806574,0.5538787224320845,0.5692481548143291,1581,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,panel,2008-2012
0.47345418562141806,0.8560289165899312,0.5530820004392676,0.545037924951295,0.5611185026492503,1551,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,panel,2010-2014
0.4804990875525188,0.8412052794635657,0.5712031287522729,0.561662409341009,0.5821052788135307,1014,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,panel,2016-2020
0.487373396353815,0.8356567807614398,0.5832219729130022,0.5763540237257442,0.5895141346172073,2072,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,camp,centre
0.4727675707203266,0.8487078448527255,0.5570439505037978,0.5504822623140718,0.5642640829259237,1828,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,camp,droite
0.46576712310502527,0.8497788029492949,0.5481039553922799,0.5399131740991815,0.5568407155211694,1590,2ans,deux ans,"N1, remelange dans le panel",distance ordinale,camp,gauche
0.3102872484393417,0.4915056969485299,0.6312993936097443,0.627761430357536,0.6354832156057751,5682,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,ensemble,tout
0.3123269252317001,0.4926504249835925,0.6339727104510302,0.6257777257714225,0.6419863268510547,1536,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,panel,2006-2010
0.3079951927638445,0.4938375660204309,0.6236771237267564,0.6162352554307351,0.6303670257294536,1581,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,panel,2008-2012
0.30595464497466957,0.4947720262733126,0.6183749863127062,0.6112043264759567,0.6263254103722433,1551,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,panel,2010-2014
0.31736380130436914,0.48112563134408937,0.6596277159829763,0.6511559638045101,0.6685228693859406,1014,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,panel,2016-2020
0.3176598218673955,0.4975899353879716,0.6383967988012371,0.6317478074659316,0.6443265542770522,2072,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,camp,centre
0.30981532978752124,0.5001262183104304,0.6194742815806902,0.6131230449019962,0.6255409697896167,1828,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,camp,droite
0.29682661044306974,0.4746261671416331,0.6253903197766459,0.6186476614201301,0.6331471274064965,1590,2ans,deux ans,"N2, remelange dans le segment",nombre d'items changes,camp,gauche
0.4790481761742117,0.7961937614401917,0.601672858259637,0.5975280696241426,0.6061127387862699,5682,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,ensemble,tout
0.4876111374341537,0.7965372502020689,0.612163633666165,0.6027324353473267,0.6206536953902669,1536,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,panel,2006-2010
0.47528641571194763,0.7988516093835243,0.5949620807282685,0.5859168011643111,0.6019859214389846,1581,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,panel,2008-2012
0.47345418562141806,0.8073171066917716,0.586453800739515,0.5781146649098242,0.5952434024429226,1551,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,panel,2010-2014
0.4804990875525188,0.7743614989602351,0.620510043691097,0.610867562069642,0.6315676350402408,1014,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,panel,2016-2020
0.487373396353815,0.7995416818158206,0.6095659643996952,0.6026450043797084,0.6159697696995248,2072,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,camp,centre
0.4727675707203266,0.7995903178769325,0.5912622503679338,0.5843546239202468,0.5984531072656718,1828,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,camp,droite
0.46576712310502527,0.7865948454020619,0.5921309119016054,0.5845416408569053,0.600736392075322,1590,2ans,deux ans,"N2, remelange dans le segment",distance ordinale,camp,gauche
