perimetre,condition,metrique,ordinaux_difference,ordinaux_ic_bas,ordinaux_ic_haut,ordinaux_p,ordinaux_n_sensibles,stratifie_difference,stratifie_n_sensibles,residualise_difference,residualise_ic_bas,residualise_ic_haut,residualise_p,litterature_difference,litterature_ic_bas,litterature_ic_haut,litterature_p,litterature_n_sensibles
150,C2,ecart_desirabilite,-0.116664,-0.203455,-0.028460,0.064100,8,-0.148819,8,-0.212626,-0.339383,-0.094584,0.003800,-0.046895,-0.148380,0.048032,0.371600,23
150,C2,exactitude,-0.046078,-0.124560,0.025785,0.288300,8,-0.065333,10,-0.073008,-0.141838,-0.005732,0.090500,-0.008314,-0.085761,0.068932,0.829400,39
150,C3,distance,0.021522,-0.056942,0.102967,0.672600,8,0.026976,10,0.049159,-0.044380,0.152388,0.352600,-0.001037,-0.060347,0.059490,0.974400,39
150,C3,ecart_desirabilite,-0.067671,-0.232188,0.087548,0.405600,8,-0.098055,8,-0.136262,-0.316273,0.038487,0.126400,-0.162311,-0.281151,-0.044428,0.008500,23
150,C3,exactitude,0.003039,-0.072010,0.074123,0.950900,8,-0.029987,10,-0.052419,-0.142864,0.029532,0.268400,-0.064820,-0.140965,0.013528,0.098100,39
150,agents composite,distance,0.036497,-0.001682,0.072279,0.035000,8,0.068441,10,0.059950,0.011809,0.116096,0.002600,-0.003907,-0.026528,0.018073,0.770200,39
150,agents composite,ecart_desirabilite,-0.009244,-0.075286,0.066918,0.764700,8,-0.028616,8,-0.027105,-0.083203,0.033046,0.350900,0.027912,-0.012089,0.067271,0.193600,23
150,agents composite,exactitude,-0.026177,-0.061471,0.009511,0.397100,8,-0.081260,10,-0.065154,-0.115514,-0.022581,0.007200,-0.036676,-0.095730,0.020436,0.227200,39
150,agents demographiques (v6),distance,0.029586,-0.020458,0.078370,0.256700,8,0.076706,10,0.049671,-0.017202,0.121483,0.117500,0.011366,-0.030122,0.052594,0.575800,39
150,agents demographiques (v6),ecart_desirabilite,-0.018836,-0.131774,0.094514,0.697000,8,-0.023460,8,-0.027852,-0.120029,0.067018,0.603200,0.044765,-0.029316,0.124796,0.219200,23
150,agents demographiques (v6),exactitude,-0.013245,-0.058241,0.035866,0.730400,8,-0.038737,10,-0.024845,-0.080178,0.034768,0.526800,-0.054990,-0.126602,0.018796,0.143500,39
150,agents enquete,distance,0.017073,-0.013346,0.050711,0.392700,8,0.058353,10,0.054590,0.008458,0.108771,0.009300,-0.015961,-0.040685,0.009141,0.320300,39
150,agents enquete,ecart_desirabilite,-0.014629,-0.083770,0.055095,0.712600,8,-0.009024,8,-0.016997,-0.071261,0.037657,0.609400,-0.058017,-0.104876,-0.012175,0.024500,23
150,agents enquete,exactitude,0.006150,-0.041509,0.058167,0.858200,8,-0.017127,10,-0.007466,-0.054360,0.040517,0.784100,-0.034852,-0.100456,0.029798,0.273800,39
150,agents entretien (v3),distance,0.034285,-0.010503,0.077050,0.113300,8,0.088972,10,0.078899,0.017733,0.147906,0.001600,-0.003982,-0.034284,0.027770,0.803600,39
150,agents entretien (v3),ecart_desirabilite,-0.008785,-0.087513,0.077646,0.804600,8,0.003239,8,-0.003228,-0.070212,0.064260,0.923000,0.056827,0.008974,0.107090,0.040200,23
150,agents entretien (v3),exactitude,-0.027338,-0.077340,0.017172,0.371100,8,-0.053296,10,-0.041669,-0.091043,0.007353,0.080900,-0.034590,-0.099817,0.028677,0.279700,39
150,agents v7,distance,0.018132,-0.031734,0.074094,0.475000,8,0.051071,10,0.043059,-0.019582,0.112140,0.129500,0.023426,-0.015405,0.064081,0.213000,39
150,agents v7,ecart_desirabilite,-0.077860,-0.188960,0.048429,0.107600,8,-0.052684,8,-0.077883,-0.179753,0.029436,0.115000,0.005159,-0.077886,0.085891,0.883300,23
150,agents v7,exactitude,-0.008074,-0.059352,0.043427,0.820600,8,-0.022350,10,-0.012637,-0.063889,0.047382,0.697500,-0.052038,-0.119650,0.016345,0.128200,39
150,agents v8,distance,0.005922,-0.039822,0.055173,0.831100,8,0.080072,10,0.063552,-0.003056,0.139691,0.039100,-0.014934,-0.050385,0.021968,0.484800,39
150,agents v8,ecart_desirabilite,-0.087398,-0.146300,-0.024119,0.022100,8,-0.064732,8,-0.059610,-0.134183,0.023856,0.135700,0.003062,-0.055422,0.062169,0.915500,23
150,agents v8,exactitude,-0.035147,-0.082500,0.011667,0.303100,8,-0.038443,10,-0.023664,-0.074980,0.035978,0.459700,-0.025035,-0.092217,0.042968,0.471900,39
150,humains vague 2,distance,-0.002314,-0.008409,0.004083,0.623700,8,-0.002480,10,0.000000,0.000000,0.000000,1.000000,-0.009789,-0.015831,-0.003300,0.011900,39
150,humains vague 2,ecart_desirabilite,0.001701,-0.013431,0.016586,0.870000,8,0.001076,8,0.000000,0.000000,0.000000,1.000000,0.000574,-0.012935,0.013165,0.933300,23
150,humains vague 2,exactitude,0.000245,-0.026421,0.028434,0.996800,8,-0.011533,10,0.000000,0.000000,0.000000,1.000000,-0.012566,-0.053837,0.028411,0.545500,39
1052,B0 mode,distance,-0.000174,-0.031472,0.029306,0.992500,8,0.001197,10,-0.027691,-0.086530,0.027933,0.474500,0.000920,-0.052849,0.055982,0.973400,39
1052,B0 mode,ecart_desirabilite,-0.032950,-0.185450,0.123308,0.633900,8,0.007273,8,-0.021246,-0.166502,0.118393,0.775700,0.000760,-0.119047,0.116277,0.990100,23
1052,B0 mode,exactitude,-0.023890,-0.084220,0.034549,0.551900,8,-0.028497,10,0.005206,-0.056649,0.067967,0.886100,-0.044716,-0.109467,0.020492,0.178500,39
1052,B0 tirage,distance,-0.003027,-0.006135,0.000412,0.080300,8,-0.002533,10,-0.004504,-0.009640,0.000390,0.195900,-0.000893,-0.003499,0.001760,0.553400,39
1052,B0 tirage,ecart_desirabilite,-0.003308,-0.008923,0.002071,0.367900,8,-0.002218,8,-0.009645,-0.017457,-0.002098,0.113800,0.001500,-0.003233,0.006209,0.538800,23
1052,B0 tirage,exactitude,-0.007311,-0.053805,0.035598,0.810900,8,-0.001151,10,0.018113,-0.039382,0.079888,0.603900,-0.047763,-0.112572,0.021587,0.167800,39
1052,B1 argmax,distance,0.009080,-0.022208,0.039649,0.529900,8,0.001224,10,-0.001052,-0.029627,0.028709,0.940900,-0.018130,-0.035161,-0.000794,0.069300,39
1052,B1 argmax,ecart_desirabilite,0.005634,-0.056868,0.062740,0.831900,8,0.025468,8,-0.004844,-0.060918,0.045983,0.870400,-0.003795,-0.041456,0.031489,0.853300,23
1052,B1 argmax,exactitude,-0.012420,-0.056093,0.027476,0.702900,8,-0.024701,10,-0.001454,-0.043924,0.044677,0.953600,-0.015071,-0.074040,0.044231,0.623600,39
1052,B2 argmax,distance,0.006546,-0.021191,0.034591,0.619200,8,0.000331,10,0.003087,-0.036561,0.046295,0.882800,-0.008873,-0.033483,0.016150,0.547600,39
1052,B2 argmax,ecart_desirabilite,0.013594,-0.069350,0.089809,0.712500,8,0.033686,8,0.018064,-0.062279,0.097192,0.655900,0.012128,-0.046562,0.071213,0.700200,23
1052,B2 argmax,exactitude,-0.008311,-0.050083,0.033649,0.803200,8,-0.017915,10,-0.008561,-0.048193,0.031743,0.703800,-0.032912,-0.084632,0.019525,0.239800,39
1052,agents composite,distance,0.026892,-0.007395,0.060201,0.095100,8,0.074412,10,0.058395,-0.000174,0.137636,0.011700,-0.001522,-0.022175,0.018348,0.914900,39
1052,agents composite,ecart_desirabilite,0.003008,-0.062188,0.074507,0.919900,8,-0.024743,8,-0.023843,-0.082374,0.040662,0.400700,0.031184,-0.008622,0.070604,0.118700,23
1052,agents composite,exactitude,-0.011903,-0.049842,0.027281,0.694800,8,-0.072136,10,-0.050281,-0.102925,-0.004992,0.031200,-0.032136,-0.091194,0.026300,0.282000,39
1052,agents demographiques (v6),distance,0.023585,-0.023140,0.065411,0.321100,8,0.065802,10,0.031962,-0.031040,0.096520,0.325800,0.011668,-0.028150,0.053753,0.554900,39
1052,agents demographiques (v6),ecart_desirabilite,0.000333,-0.108088,0.113423,0.993900,8,-0.010159,8,-0.015101,-0.105430,0.076516,0.775100,0.039543,-0.038307,0.123061,0.271700,23
1052,agents demographiques (v6),exactitude,-0.000215,-0.050373,0.051691,0.995400,8,-0.016484,10,0.005331,-0.053329,0.069199,0.888500,-0.048544,-0.119697,0.025748,0.191600,39
1052,agents enquete,distance,0.006499,-0.022919,0.036455,0.722300,8,0.048402,10,0.038832,-0.001665,0.086741,0.040900,-0.017729,-0.041494,0.006213,0.253000,39
1052,agents enquete,ecart_desirabilite,-0.000178,-0.064074,0.062792,0.996300,8,0.000242,8,-0.007218,-0.057764,0.042980,0.808900,-0.055103,-0.103468,-0.008742,0.034800,23
1052,agents enquete,exactitude,0.018015,-0.026308,0.062277,0.595600,8,-0.004765,10,0.010424,-0.029983,0.049690,0.687100,-0.030017,-0.093423,0.031853,0.352500,39
1052,agents entretien (v3),distance,0.035832,-0.006868,0.077565,0.079000,8,0.085554,10,0.069139,0.011433,0.136721,0.003200,-0.003327,-0.032394,0.028996,0.827200,39
1052,agents entretien (v3),ecart_desirabilite,-0.004322,-0.082665,0.081764,0.896800,8,0.004918,8,-0.001647,-0.072535,0.072324,0.956800,0.052337,0.007730,0.100394,0.039200,23
1052,agents entretien (v3),exactitude,-0.008146,-0.054615,0.035376,0.783600,8,-0.032168,10,-0.014230,-0.056877,0.029758,0.518700,-0.038658,-0.102315,0.022777,0.222900,39
1052,agents v7,distance,0.004517,-0.044739,0.063804,0.862700,8,0.034486,10,0.015396,-0.045162,0.081165,0.612900,0.017466,-0.019964,0.056862,0.344600,39
1052,agents v7,ecart_desirabilite,-0.062746,-0.169004,0.058359,0.193600,8,-0.041037,8,-0.070866,-0.163798,0.030385,0.144900,0.014778,-0.067656,0.095987,0.682100,23
1052,agents v7,exactitude,-0.005298,-0.054282,0.043513,0.881200,8,-0.008500,10,0.012215,-0.044165,0.074084,0.705000,-0.048381,-0.115343,0.019904,0.149800,39
1052,agents v8,distance,-0.007771,-0.054301,0.041374,0.770300,8,0.062489,10,0.037908,-0.024470,0.107759,0.172900,-0.020219,-0.053642,0.015308,0.334400,39
1052,agents v8,ecart_desirabilite,-0.070196,-0.128845,-0.010286,0.077800,8,-0.053372,8,-0.045535,-0.114797,0.030419,0.267800,0.011304,-0.049025,0.070311,0.705800,23
1052,agents v8,exactitude,-0.004664,-0.059123,0.043446,0.885300,8,-0.003522,10,0.014559,-0.045218,0.074312,0.644800,-0.029122,-0.096757,0.035218,0.400800,39
1052,humains vague 2,distance,-0.001773,-0.006460,0.002530,0.634700,8,0.001896,10,0.000000,0.000000,0.000000,1.000000,-0.002615,-0.005896,0.000748,0.188800,39
1052,humains vague 2,ecart_desirabilite,0.003959,-0.002591,0.011079,0.442900,8,0.003134,8,0.000000,0.000000,0.000000,1.000000,-0.000415,-0.007328,0.006816,0.921900,23
1052,humains vague 2,exactitude,-0.004802,-0.029447,0.020221,0.810000,8,-0.023566,10,0.000000,0.000000,0.000000,1.000000,-0.018434,-0.061419,0.023489,0.355400,39
