modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
Olmo-3-1025-7B,olmo3base,gauche,jew,0.0,0.021582733812949624
Olmo-3-1025-7B,olmo3base,gauche,relig16*,0.07,0.033573141486810475
Olmo-3-1025-7B,olmo3base,gauche,jew16*,0.75,0.023980815347721826
Olmo-3-1025-7B,olmo3base,gauche,postlife,0.23,0.014388489208633143
Olmo-3-1025-7B,olmo3base,gauche,bible,0.0,0.009592326139088683
Olmo-3-1025-7B,olmo3base,gauche,reborn,0.0,0.004796163069544404
Olmo-3-1025-7B,olmo3base,gauche,savesoul,0.0,0.0383693045563549
Olmo-3-1025-7B,olmo3base,gauche,granborn,0.0,0.028776978417266286
Olmo-3-1025-7B,olmo3base,gauche,uscitzn*,0.010000000000000005,0.002398081534772295
Olmo-3-1025-7B,olmo3base,gauche,fucitzn,0.14,0.007194244604316462
Olmo-3-1025-7B,olmo3base,gauche,othlang,0.45999999999999996,0.0
Olmo-3-1025-7B,olmo3base,gauche,health,0.09999999999999998,0.047961630695443555
Olmo-3-1025-7B,olmo3base,gauche,compuse*,0.0,0.004796163069544366
Olmo-3-1025-7B,olmo3base,gauche,webmob,0.0,0.007194244604316502
Olmo-3-1025-7B,olmo3base,gauche,xmovie,0.17999999999999997,0.009592326139088753
Olmo-3-1025-7B,olmo3base,gauche,usewww*,0.0,0.004796163069544373
Olmo-3-1025-7B,olmo3base,gauche,life,0.009999999999999981,0.021582733812949603
Olmo-3-1025-7B,olmo3base,gauche,richwork,0.22,0.05515587529976021
Olmo-3-1025-7B,olmo3base,centre,natspac/y,0.07999999999999999,0.04620462046204621
Olmo-3-1025-7B,olmo3base,centre,natenvir/y,0.039999999999999994,0.033003300330032986
Olmo-3-1025-7B,olmo3base,centre,natheal/y,0.039999999999999994,0.06600660066006604
Olmo-3-1025-7B,olmo3base,centre,natcity/y,0.039999999999999994,0.05280528052805285
Olmo-3-1025-7B,olmo3base,centre,natdrug/y,0.039999999999999994,0.0033003300330033195
Olmo-3-1025-7B,olmo3base,centre,nateduc/y,0.09999999999999999,0.013201320132013167
Olmo-3-1025-7B,olmo3base,centre,natrace/y,0.04000000000000001,0.019801980198019806
Olmo-3-1025-7B,olmo3base,centre,natarms/y,0.039999999999999994,0.006600660066006611
Olmo-3-1025-7B,olmo3base,centre,nataid/y,0.039999999999999994,0.01650165016501648
Olmo-3-1025-7B,olmo3base,centre,natfare/y,0.039999999999999994,0.00990099009900991
Olmo-3-1025-7B,olmo3base,centre,natroad,0.039999999999999994,0.046204620462046195
Olmo-3-1025-7B,olmo3base,centre,natsoc,0.039999999999999994,0.03630363036303631
Olmo-3-1025-7B,olmo3base,centre,natmass,0.039999999999999994,0.046204620462046195
Olmo-3-1025-7B,olmo3base,centre,natpark,0.07999999999999999,0.05940594059405936
Olmo-3-1025-7B,olmo3base,centre,natchld,0.039999999999999994,0.0363036303630363
Olmo-3-1025-7B,olmo3base,centre,natsci,0.07999999999999999,0.03630363036303631
Olmo-3-1025-7B,olmo3base,centre,natenrgy,0.039999999999999994,0.029702970297029722
Olmo-3-1025-7B,olmo3base,centre,uswary,0.0,0.02640264026402639
Olmo-3-1025-7B,olmo3base,centre,prayer,0.0,0.01980198019801982
Olmo-3-1025-7B,olmo3base,centre,courts,0.01999999999999999,0.016501650165016507
Olmo-3-1025-7B,olmo3base,centre,discaffw,0.23000000000000004,0.03300330033003298
Olmo-3-1025-7B,olmo3base,centre,discaffm,0.23000000000000004,0.036303630363036306
Olmo-3-1025-7B,olmo3base,centre,fechld,0.22000000000000003,0.0396039603960396
Olmo-3-1025-7B,olmo3base,centre,fepresch,0.15000000000000002,0.0627062706270627
Olmo-3-1025-7B,olmo3base,centre,fefam,0.15000000000000002,0.033003300330032986
Olmo-3-1025-7B,olmo3base,centre,fepol,0.0,0.05280528052805278
Olmo-3-1025-7B,olmo3base,centre,mobile16,0.08000000000000002,0.016501650165016507
Olmo-3-1025-7B,olmo3base,centre,incom16,0.0,0.029702970297029736
Olmo-3-1025-7B,olmo3base,centre,dwelown16,0.07999999999999999,0.013201320132013201
Olmo-3-1025-7B,olmo3base,centre,divorced,0.0,0.003300330033003257
Olmo-3-1025-7B,olmo3base,centre,posslq/y,0.0,0.0231023102310231
Olmo-3-1025-7B,olmo3base,centre,evwork,0.03999999999999995,0.00660066006600659
Olmo-3-1025-7B,olmo3base,centre,wrkgovt1,0.14,0.0
Olmo-3-1025-7B,olmo3base,centre,wrkgovt2,0.13999999999999996,0.009900990099009882
Olmo-3-1025-7B,olmo3base,centre,partfull,0.04,0.029702970297029715
Olmo-3-1025-7B,olmo3base,centre,wksub1,0.0,0.04620462046204621
Olmo-3-1025-7B,olmo3base,centre,wksup1,0.0,0.009900990099009868
Olmo-3-1025-7B,olmo3base,centre,conarmy,0.10000000000000002,0.04290429042904289
Olmo-3-1025-7B,olmo3base,centre,conbus,0.10000000000000002,0.029702970297029695
Olmo-3-1025-7B,olmo3base,centre,conclerg,0.10000000000000002,0.08250825082508254
Olmo-3-1025-7B,olmo3base,centre,coneduc,0.07999999999999999,0.009900990099009896
Olmo-3-1025-7B,olmo3base,centre,confed,0.10000000000000002,0.026402640264026396
Olmo-3-1025-7B,olmo3base,centre,confinan,0.07999999999999999,0.009900990099009882
Olmo-3-1025-7B,olmo3base,centre,conjudge,0.04000000000000001,0.019801980198019764
Olmo-3-1025-7B,olmo3base,centre,conlabor,0.10000000000000002,0.026402640264026403
Olmo-3-1025-7B,olmo3base,centre,conlegis,0.10000000000000002,0.06930693069306929
Olmo-3-1025-7B,olmo3base,centre,conmedic,0.07999999999999999,0.05280528052805284
Olmo-3-1025-7B,olmo3base,centre,conpress,0.10000000000000002,0.016501650165016493
Olmo-3-1025-7B,olmo3base,centre,consci,0.10000000000000002,0.033003300330033
Olmo-3-1025-7B,olmo3base,centre,contv,0.10000000000000002,0.01650165016501655
Olmo-3-1025-7B,olmo3base,centre,joblose,0.38,0.013201320132013201
Olmo-3-1025-7B,olmo3base,centre,jobfind,0.19,0.013201320132013195
Olmo-3-1025-7B,olmo3base,centre,happy,0.009999999999999981,0.04620462046204621
Olmo-3-1025-7B,olmo3base,centre,hapmar,0.07999999999999999,0.02640264026402642
Olmo-3-1025-7B,olmo3base,centre,satjob,0.33,0.059405940594059424
Olmo-3-1025-7B,olmo3base,centre,spdeg*,0.16999999999999998,0.026402640264026365
Olmo-3-1025-7B,olmo3base,centre,spjew,0.4,0.052805280528052834
Olmo-3-1025-7B,olmo3base,centre,spfund,0.0,0.016501650165016545
Olmo-3-1025-7B,olmo3base,centre,unemp,0.0,0.03960396039603961
Olmo-3-1025-7B,olmo3base,centre,union1,0.18000000000000002,0.01980198019801975
Olmo-3-1025-7B,olmo3base,centre,spkath/y,0.0,0.01980198019801982
Olmo-3-1025-7B,olmo3base,centre,colath,0.0,0.0363036303630363
Olmo-3-1025-7B,olmo3base,centre,spkrac/y,0.0,0.013201320132013222
Olmo-3-1025-7B,olmo3base,centre,colrac,0.0,0.0033003300330033125
Olmo-3-1025-7B,olmo3base,centre,librac/y,0.05000000000000002,0.0066006600660065695
Olmo-3-1025-7B,olmo3base,centre,spkcom/y,0.0,0.023102310231023132
Olmo-3-1025-7B,olmo3base,centre,colcom/y,0.0,0.019801980198019792
Olmo-3-1025-7B,olmo3base,centre,libcom/y,0.0,0.023102310231023132
Olmo-3-1025-7B,olmo3base,centre,spkhomo/y,0.0,0.009900990099009965
Olmo-3-1025-7B,olmo3base,centre,colhomo,0.04999999999999996,0.009900990099009965
Olmo-3-1025-7B,olmo3base,centre,libhomo/y,0.0,0.03300330033003297
Olmo-3-1025-7B,olmo3base,centre,cappun,0.0,0.0033003300330033125
Olmo-3-1025-7B,olmo3base,centre,polhitok/y,0.020000000000000018,0.006600660066006597
Olmo-3-1025-7B,olmo3base,centre,polabuse/y,0.05000000000000002,0.013201320132013222
Olmo-3-1025-7B,olmo3base,centre,polattak/y,0.010000000000000009,0.01980198019801982
Olmo-3-1025-7B,olmo3base,centre,grass,0.0,0.016501650165016493
Olmo-3-1025-7B,olmo3base,centre,gunlaw,0.0,0.016501650165016535
Olmo-3-1025-7B,olmo3base,centre,owngun,0.060000000000000026,0.013201320132013167
Olmo-3-1025-7B,olmo3base,centre,hunt1,0.0,0.016501650165016493
Olmo-3-1025-7B,olmo3base,centre,class,0.23000000000000004,0.0627062706270627
