perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,rappel_ic_bas,rappel_ic_haut,precision,precision_ic_bas,precision_ic_haut,f1,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
1052,0.100000,D_logit regression,T3 deductible,agents v8,1903,3218,0.338939,0.307168,0.370223,0.200435,0.180279,0.221072,0.251904,0.166992,0.073029,0.310909,0.143917
1052,0.100000,D_logit regression,ensemble,agents v8,5709,6609,0.171659,0.155230,0.188575,0.148283,0.135493,0.161915,0.159117,0.092714,0.062262,0.152327,0.059613
1052,0.100000,D_seg segment,T1 non deductible,B0 mode,1866,0,0.000000,0.000000,0.000000,,,,0.000000,0.000000,0.051687,0.000000,0.000000
1052,0.100000,D_seg segment,T2 intermediaire,B0 mode,1562,0,0.000000,0.000000,0.000000,,,,0.000000,0.065695,0.062409,0.000000,-0.065695
1052,0.100000,D_seg segment,T3 deductible,B0 mode,1686,0,0.000000,0.000000,0.000000,,,,0.000000,0.220358,0.073437,0.000000,-0.220358
1052,0.100000,D_seg segment,ensemble,B0 mode,5709,0,0.000000,0.000000,0.000000,,,,0.000000,0.092714,0.062262,0.000000,-0.092714
1052,0.100000,D_logit regression,T1 non deductible,B0 mode,1903,0,0.000000,0.000000,0.000000,,,,0.000000,0.038846,0.049497,0.000000,-0.038846
1052,0.100000,D_logit regression,T2 intermediaire,B0 mode,1903,0,0.000000,0.000000,0.000000,,,,0.000000,0.075884,0.064260,0.000000,-0.075884
1052,0.100000,D_logit regression,T3 deductible,B0 mode,1903,0,0.000000,0.000000,0.000000,,,,0.000000,0.166992,0.073029,0.000000,-0.166992
1052,0.100000,D_logit regression,ensemble,B0 mode,5709,0,0.000000,0.000000,0.000000,,,,0.000000,0.092714,0.062262,0.000000,-0.092714
1052,0.100000,D_seg segment,T1 non deductible,B0 tirage,1866,2344,0.047160,0.038034,0.057048,0.037543,0.029896,0.045835,0.041805,0.000000,0.051687,0.047160,0.047160
1052,0.100000,D_seg segment,T2 intermediaire,B0 tirage,1562,1670,0.056338,0.044900,0.068006,0.052695,0.041912,0.064034,0.054455,0.065695,0.062409,0.056338,-0.009357
1052,0.100000,D_seg segment,T3 deductible,B0 tirage,1686,1132,0.081257,0.067767,0.094410,0.121025,0.101054,0.140906,0.097232,0.220358,0.073437,0.081257,-0.139100
1052,0.100000,D_seg segment,ensemble,B0 tirage,5709,5699,0.061657,0.055565,0.067826,0.061765,0.055408,0.068434,0.061711,0.092714,0.062262,0.061205,-0.031509
1052,0.100000,D_logit regression,T1 non deductible,B0 tirage,1903,2887,0.047294,0.037938,0.057289,0.031174,0.024922,0.038002,0.037578,0.038846,0.049497,0.046686,0.007840
1052,0.100000,D_logit regression,T2 intermediaire,B0 tirage,1903,1765,0.069890,0.058677,0.081443,0.075354,0.063067,0.088024,0.072519,0.075884,0.064260,0.069983,-0.005902
1052,0.100000,D_logit regression,T3 deductible,B0 tirage,1903,1047,0.067788,0.056604,0.079572,0.123209,0.102856,0.144362,0.087458,0.166992,0.073029,0.067273,-0.099720
