t,mois,variables,n,n_items,gini_inter,gini_intra,part_inter
111,2022-04,fin_avant et fin_apres,1269,2,0.02623974243530336,1.388689919759276,0.018544909430059642
112,2022-05,fin_avant et fin_apres,1215,2,0.033078193064522976,1.3946616543599328,0.02316822152452616
113,2022-06,fin_avant et fin_apres,1217,2,0.020572201111322297,1.421720105250309,0.014263544928155606
114,2022-07,fin_avant et fin_apres,1305,2,0.026851913996708054,1.3969980730751959,0.018858667865656303
115,2022-08,fin_avant et fin_apres,1300,2,0.017239275566713896,1.3985133264436147,0.012176757112955055
116,2022-09,fin_avant et fin_apres,1271,2,0.02092017499716281,1.378247127671564,0.014951875274143657
117,2022-10,fin_avant et fin_apres,1181,2,0.01940843804576242,1.3889956964548917,0.013780446656132282
118,2022-11,fin_avant et fin_apres,1184,2,0.020846163461293532,1.3916272150409799,0.014758623970242834
119,2022-12,fin_avant et fin_apres,1158,2,0.0174079611583422,1.3700952732052185,0.012546249066098305
120,2023-01,fin_avant et fin_apres,1178,2,0.02966761969741638,1.3719693755262048,0.021166407421119134
121,2023-02,fin_avant et fin_apres,1208,2,0.03183663128098102,1.3566308977568091,0.022929330801883318
122,2023-03,fin_avant et fin_apres,1254,2,0.01992645661014092,1.3782470173902115,0.01425177703674265
123,2023-04,fin_avant et fin_apres,1255,2,0.02478640289952705,1.3662375629982184,0.017818818012621578
124,2023-05,fin_avant et fin_apres,1215,2,0.026143873283139607,1.3683346696068934,0.018748135936862014
125,2023-06,fin_avant et fin_apres,1159,2,0.016851288773981787,1.3708645447123589,0.012143184049177065
126,2023-07,fin_avant et fin_apres,1130,2,0.016424604116410002,1.3673404279377688,0.011869503662791594
127,2023-08,fin_avant et fin_apres,1130,2,0.018252269274995347,1.3581810209756102,0.013260554946089817
128,2023-09,fin_avant et fin_apres,1112,2,0.01823853069761827,1.379363279843148,0.013049876266660914
129,2023-10,fin_avant et fin_apres,1124,2,0.02851498427019239,1.3793049880947361,0.020254709288071437
130,2023-11,fin_avant et fin_apres,1098,2,0.01964684489896018,1.3906027120602533,0.0139314668116775
131,2023-12,fin_avant et fin_apres,1120,2,0.014310202332254773,1.3826612822382074,0.010243732596055705
132,2024-01,fin_avant et fin_apres,1128,2,0.01455475928626293,1.3899794829066945,0.010362694513974955
133,2024-02,fin_avant et fin_apres,1129,2,0.010744912753097857,1.3817492294300933,0.0077163073276930874
134,2024-03,fin_avant et fin_apres,1120,2,0.02259813797786725,1.3654061387998682,0.01628102906882177
135,2024-04,fin_avant et fin_apres,1082,2,0.010322970292663047,1.3791175593736793,0.007429587716965465
136,2024-05,fin_avant et fin_apres,1092,2,0.012158957741423837,1.3727397538237964,0.008779672939172364
137,2024-06,fin_avant et fin_apres,1086,2,0.015279093400705213,1.3589229417173876,0.011118520428760824
138,2024-07,fin_avant et fin_apres,1099,2,0.014935458361329257,1.3664147009986454,0.01081221749614113
139,2024-08,fin_avant et fin_apres,1108,2,0.019490746386609414,1.3775037650747508,0.013951913358786674
140,2024-09,fin_avant et fin_apres,1089,2,0.01622338422782743,1.374820274209997,0.011662742667650475
141,2024-10,fin_avant et fin_apres,1076,2,0.017176493632841794,1.3699746066998384,0.012382568581549883
142,2024-11,fin_avant et fin_apres,1037,2,0.008055723670722825,1.3887883253472393,0.005767088800203806
143,2024-12,fin_avant et fin_apres,976,2,0.00821039882658825,1.3798595370382452,0.005914974897480783
144,2025-01,fin_avant et fin_apres,999,2,0.019104028733048395,1.3673338419933594,0.013779217328389238
145,2025-02,fin_avant et fin_apres,989,2,0.009136789761214015,1.41633488224994,0.0064096607043219594
146,2025-03,fin_avant et fin_apres,1080,2,0.013295413803521283,1.3948868915879948,0.009441543010885062
147,2025-04,fin_avant et fin_apres,1099,2,0.019615506611005973,1.4204682653217369,0.013621087184865582
148,2025-05,fin_avant et fin_apres,1096,2,0.01687336302133713,1.3954886415218917,0.01194691089611557
149,2025-06,fin_avant et fin_apres,1097,2,0.011389278145972348,1.384082378286931,0.008161597617170925
150,2025-07,fin_avant et fin_apres,1078,2,0.015674363245246292,1.3868908950715908,0.011175496578359907
151,2025-08,fin_avant et fin_apres,1031,2,0.01048221006604999,1.3938296395004062,0.00746430365113425
152,2025-09,fin_avant et fin_apres,1046,2,0.00626467738796177,1.4074555524106491,0.004431341686929241
153,2025-10,fin_avant et fin_apres,1044,2,0.01479598939283111,1.4115414579394807,0.010373414384165645
