item,panel,n_personnes,part_stable,part_aller_retour,part_persistant,part_erratique,part_monotone_persistant
colath,2006-2010,815,0.6245398773006134,0.11288343558282209,0.2625766871165644,0.0,0.13374233128834356
spkrac/y,2006-2010,846,0.5768321513002365,0.1111111111111111,0.3120567375886525,0.0,0.18085106382978725
colrac,2006-2010,813,0.5252152521525215,0.12915129151291513,0.3456334563345633,0.0,0.1906519065190652
librac/y,2006-2010,833,0.5942376950780313,0.13805522208883553,0.26770708283313327,0.0,0.148859543817527
spkcom/y,2006-2010,836,0.7380382775119617,0.08014354066985646,0.18181818181818182,0.0,0.10645933014354067
colcom/y,2006-2010,784,0.6020408163265306,0.11862244897959184,0.27933673469387754,0.0,0.15178571428571427
libcom/y,2006-2010,829,0.6718938480096501,0.09167671893848009,0.23642943305186973,0.0,0.12907117008443908
spkhomo/y,2006-2010,837,0.7933094384707288,0.05137395459976105,0.15531660692951016,0.0,0.09438470728793309
colhomo,2006-2010,823,0.7703523693803159,0.06439854191980558,0.1652490886998785,0.0,0.09842041312272175
libhomo/y,2006-2010,833,0.7130852340936374,0.07202881152460984,0.2148859543817527,0.0,0.10804321728691477
cappun,2006-2010,1109,0.7736699729486023,0.0703336339044184,0.15599639314697927,0.0,0.08746618575293057
polhitok/y,2006-2010,755,0.7059602649006622,0.09668874172185431,0.19735099337748344,0.0,0.11125827814569536
polabuse/y,2006-2010,793,0.8575031525851198,0.04665825977301387,0.09583858764186633,0.0,0.04918032786885246
polattak/y,2006-2010,802,0.830423940149626,0.05610972568578554,0.11346633416458853,0.0,0.05860349127182045
grass,2006-2010,696,0.757183908045977,0.05747126436781609,0.1853448275862069,0.0,0.1221264367816092
gunlaw,2006-2010,836,0.7344497607655502,0.08133971291866028,0.18421052631578946,0.0,0.11363636363636363
owngun,2006-2010,864,0.8321759259259259,0.037037037037037035,0.1284722222222222,0.0023148148148148147,0.06597222222222222
class,2006-2010,1257,0.5672235481304694,0.12092283214001591,0.27844073190135243,0.03341288782816229,0.03341288782816229
satfin,2006-2010,1267,0.3835832675611681,0.15943172849250198,0.3898973954222573,0.06708760852407261,0.11838989739542226
finalter,2006-2010,1266,0.28278041074249605,0.16113744075829384,0.4486571879936809,0.10742496050552923,0.19984202211690363
finrela,2006-2010,1248,0.3894230769230769,0.1674679487179487,0.37099358974358976,0.07211538461538461,0.0889423076923077
racdif1,2006-2010,757,0.6367239101717305,0.10171730515191546,0.261558784676354,0.0,0.166446499339498
racdif2,2006-2010,795,0.8616352201257862,0.03773584905660377,0.10062893081761007,0.0,0.055345911949685536
racdif3,2006-2010,790,0.5835443037974684,0.1240506329113924,0.29240506329113924,0.0,0.1670886075949367
racdif4,2006-2010,743,0.5989232839838493,0.1224764468371467,0.27860026917900405,0.0,0.14535666218034993
wlthwhts,2006-2010,799,0.27784730913642053,0.15894868585732166,0.3904881101376721,0.17271589486858574,0.18898623279098872
wlthblks,2006-2010,794,0.21788413098236775,0.18639798488664988,0.4181360201511335,0.17758186397984888,0.1297229219143577
racwork,2006-2010,378,0.43386243386243384,0.11904761904761904,0.3835978835978836,0.06349206349206349,0.10582010582010581
getahead,2006-2010,863,0.45770567786790267,0.15063731170336037,0.31170336037079954,0.07995365005793743,0.07415990730011587
aged,2006-2010,820,0.38414634146341464,0.15121951219512195,0.38658536585365855,0.07804878048780488,0.1878048780487805
parsol,2006-2010,819,0.3137973137973138,0.14652014652014653,0.40293040293040294,0.13675213675213677,0.09157509157509157
kidssol,2006-2010,790,0.2848101265822785,0.1379746835443038,0.38354430379746834,0.19367088607594937,0.09367088607594937
spanking,2006-2010,822,0.35036496350364965,0.17883211678832117,0.4148418491484185,0.05596107055961071,0.010948905109489052
divlaw,2006-2010,747,0.5207496653279786,0.14190093708165996,0.2838018741633199,0.0535475234270415,0.12449799196787148
sexeduc,2006-2010,808,0.8972772277227723,0.03094059405940594,0.07178217821782178,0.0,0.04084158415841584
pillok,2006-2010,809,0.2546353522867738,0.1841779975278121,0.4388133498145859,0.12237330037082818,0.11372064276885044
xmarsex,2006-2010,845,0.7065088757396449,0.07218934911242604,0.18461538461538463,0.036686390532544376,0.04378698224852071
homosex,2006-2010,772,0.6787564766839378,0.07512953367875648,0.2033678756476684,0.042746113989637305,0.06865284974093264
discaff,2006-2010,803,0.31133250311332505,0.16936488169364883,0.44707347447073476,0.0722291407222914,0.1643835616438356
abdefect,2006-2010,789,0.8048162230671736,0.06590621039290241,0.12927756653992395,0.0,0.06590621039290241
abnomore,2006-2010,810,0.7209876543209877,0.08888888888888889,0.19012345679012346,0.0,0.0
abhlth,2006-2010,794,0.871536523929471,0.04408060453400504,0.08438287153652393,0.0,0.04534005037783375
abpoor,2006-2010,807,0.724907063197026,0.07311028500619579,0.20198265179677818,0.0,0.10161090458488228
abrape,2006-2010,785,0.8038216560509555,0.0535031847133758,0.14267515923566879,0.0,0.07388535031847134
absingle,2006-2010,814,0.7395577395577395,0.07985257985257985,0.18058968058968058,0.0,0.09336609336609336
abany,2006-2010,816,0.7267156862745098,0.10049019607843138,0.17279411764705882,0.0,0.08700980392156862
letdie1,2006-2010,772,0.7150259067357513,0.08808290155440414,0.19689119170984457,0.0,0.10880829015544041
suicide1,2006-2010,770,0.7051948051948052,0.08051948051948052,0.21428571428571427,0.0,0.13766233766233765
suicide2,2006-2010,815,0.8539877300613496,0.044171779141104296,0.10184049079754601,0.0,0.05521472392638037
suicide3,2006-2010,811,0.8483353884093712,0.051787916152897656,0.0998766954377312,0.0,0.05795314426633785
suicide4,2006-2010,790,0.7848101265822784,0.06835443037974684,0.1468354430379747,0.0,0.07721518987341772
pornlaw,2006-2010,829,0.6501809408926418,0.11097708082026538,0.23642943305186973,0.0024125452352231603,0.11218335343787696
fair,2006-2010,829,0.5355850422195416,0.11700844390832328,0.2943305186972256,0.05307599517490953,0.15319662243667068
helpful,2006-2010,829,0.5211097708082026,0.12665862484921592,0.29794933655006034,0.054282267792521106,0.15560916767189384
trust,2006-2010,836,0.583732057416268,0.09330143540669857,0.284688995215311,0.03827751196172249,0.14114832535885166
tax,2006-2010,817,0.5752753977968176,0.13219094247246022,0.2876376988984088,0.004895960832313341,0.17503059975520197
news,2006-2010,840,0.3476190476190476,0.1392857142857143,0.3738095238095238,0.1392857142857143,0.07023809523809524
attend,2006-2010,1270,0.2889763779527559,0.131496062992126,0.3401574803149606,0.23937007874015748,0.09685039370078741
pray,2006-2010,1253,0.35913806863527536,0.160415003990423,0.34716679968076614,0.1332801276935355,0.1372705506783719
postlife,2006-2010,998,0.872745490981964,0.03707414829659319,0.09018036072144289,0.0,0.0
bible,2006-2010,1238,0.5872374798061389,0.1098546042003231,0.2754442649434572,0.027463651050080775,0.01050080775444265
reborn,2006-2010,1243,0.7996781979082864,0.04827031375703942,0.15205148833467416,0.0,0.08688656476267095
savesoul,2006-2010,1259,0.749801429706116,0.07069102462271644,0.17950754567116758,0.0,0.09531374106433678
income,2006-2010,1004,0.6653386454183267,0.05677290836653386,0.1693227091633466,0.10856573705179283,0.0199203187250996
health,2006-2010,869,0.43383199079401613,0.16340621403912542,0.3693901035673188,0.0333716915995397,0.1093210586881473
xmovie,2006-2010,833,0.7755102040816326,0.07322929171668667,0.15126050420168066,0.0,0.08643457382953182
life,2006-2010,853,0.5650644783118406,0.1336459554513482,0.28722157092614303,0.01406799531066823,0.1324736225087925
richwork,2006-2010,453,0.6357615894039735,0.11699779249448124,0.24724061810154527,0.0,0.1456953642384106
natspac/y,2008-2012,1157,0.46326707000864303,0.11927398444252377,0.3681936041486603,0.049265341400172864,0.13828867761452032
natenvir/y,2008-2012,596,0.5167785234899329,0.12583892617449666,0.313758389261745,0.0436241610738255,0.1929530201342282
natheal/y,2008-2012,1223,0.5110384300899428,0.15372035977105478,0.294358135731807,0.04088307440719542,0.17988552739165986
natcity/y,2008-2012,989,0.3690596562184024,0.1961577350859454,0.37714863498483314,0.057633973710819006,0.11526794742163801
natdrug/y,2008-2012,1155,0.4458874458874459,0.15757575757575756,0.3385281385281385,0.05800865800865801,0.15411255411255412
nateduc/y,2008-2012,1260,0.6507936507936508,0.09761904761904762,0.22857142857142856,0.023015873015873017,0.10555555555555556
natrace/y,2008-2012,979,0.4821246169560776,0.15321756894790603,0.33094994892747703,0.033707865168539325,0.12870275791624106
natarms/y,2008-2012,1194,0.40954773869346733,0.15996649916247907,0.3768844221105528,0.05360134003350084,0.15829145728643215
nataid/y,2008-2012,1171,0.569598633646456,0.10503842869342442,0.2886421861656704,0.036720751494449186,0.14517506404782238
natfare/y,2008-2012,1193,0.5238893545683152,0.12238055322715842,0.3101424979044426,0.04358759430008382,0.1181894383906119
natroad,2008-2012,1220,0.47295081967213115,0.13852459016393442,0.3360655737704918,0.05245901639344262,0.04918032786885246
natsoc,2008-2012,1173,0.5421994884910486,0.14066496163682865,0.2830349531116795,0.03410059676044331,0.15430520034100598
natmass,2008-2012,1127,0.47471162377994675,0.13575865128660158,0.3442768411712511,0.04525288376220053,0.18278615794143743
natpark,2008-2012,1231,0.5101543460601138,0.15353371242891958,0.31112916328188467,0.025182778229082048,0.036555645816409424
natchld,2008-2012,1091,0.4747937671860678,0.14940421631530706,0.3464711274060495,0.02933088909257562,0.18056828597616864
natsci,2008-2012,1124,0.3932384341637011,0.16903914590747332,0.38523131672597866,0.05249110320284697,0.18594306049822065
uswary,2008-2012,373,0.6112600536193029,0.128686327077748,0.26005361930294907,0.0,0.14745308310991956
prayer,2008-2012,780,0.6384615384615384,0.09871794871794871,0.26282051282051283,0.0,0.0
courts,2008-2012,1078,0.5946196660482375,0.12059369202226346,0.2532467532467532,0.03153988868274583,0.09647495361781076
discaffw,2008-2012,439,0.33029612756264237,0.19362186788154898,0.3530751708428246,0.12300683371298406,0.17995444191343962
discaffm,2008-2012,372,0.21236559139784947,0.1881720430107527,0.41397849462365593,0.18548387096774194,0.1586021505376344
fehire,2008-2012,450,0.29333333333333333,0.19777777777777777,0.36666666666666664,0.14222222222222222,0.11333333333333333
fechld,2008-2012,835,0.3269461077844311,0.18203592814371258,0.40119760479041916,0.08982035928143713,0.15568862275449102
fepresch,2008-2012,823,0.38031591737545567,0.19441069258809235,0.35479951397326853,0.07047387606318348,0.07776427703523693
