perimetre,condition,item,classe_norc,type,n_cellules,exactitude,distance,desirabilite_simulee,desirabilite_humaine,ecart_desirabilite,masse_sans_score_simulee
1052,agents composite,natdrug/y,temoin,ordinal,1052,0.583650,0.057034,0.765209,0.750000,0.015209,0.000000
1052,agents composite,nateduc/y,temoin,ordinal,1052,0.676806,0.022814,0.786597,0.809411,-0.022814,-0.000000
1052,agents composite,natrace/y,sensible,ordinal,1052,0.637833,0.092585,0.547098,0.568916,-0.021818,-0.000000
1052,agents composite,natarms/y,temoin,ordinal,1052,0.562738,0.041825,0.430608,0.424905,0.005703,-0.000000
1052,agents composite,nataid/y,temoin,ordinal,1052,0.672053,0.048954,0.230989,0.182034,0.048954,-0.000000
1052,agents composite,natfare/y,mixte,ordinal,1052,0.656844,0.131654,0.676806,0.808460,-0.131654,0.000000
1052,agents composite,natroad,sensible,ordinal,1052,0.516160,0.063688,0.672053,0.719582,-0.047529,-0.000000
1052,agents composite,natsoc,temoin,ordinal,1052,0.591255,0.084601,0.735741,0.820342,-0.084601,-0.000000
1052,agents composite,natmass,temoin,ordinal,1052,0.534221,0.103137,0.652567,0.657795,-0.005228,0.000000
1052,agents composite,natpark,temoin,ordinal,1052,0.580799,0.063688,0.604563,0.604563,-0.000000,0.000000
1052,agents composite,natchld,sensible,ordinal,1052,0.608365,0.065589,0.710076,0.732890,-0.022814,-0.000000
1052,agents composite,natsci,temoin,ordinal,1052,0.528517,0.135456,0.681084,0.618821,0.062262,0.000000
1052,agents composite,natenrgy,temoin,ordinal,1052,0.600760,0.097909,0.740494,0.679658,0.060837,0.000000
1052,agents composite,uswary,non teste,nominal,1052,0.499049,0.432509,,,,1.000000
1052,agents composite,prayer,non teste,nominal,1052,0.770913,0.111217,,,,1.000000
1052,agents composite,courts,non teste,ordinal,1052,0.574144,0.034696,,,,1.000000
1052,agents composite,discaffw,non teste,ordinal,1052,0.400190,0.122624,,,,1.000000
1052,agents composite,discaffm,non teste,ordinal,1052,0.425856,0.107731,,,,1.000000
1052,agents composite,fehire,non teste,ordinal,1052,0.351711,0.071530,,,,1.000000
1052,agents composite,fechld,temoin,ordinal,1052,0.492395,0.025349,0.701521,0.726869,-0.025349,-0.000000
1052,agents composite,fepresch,investiguer,ordinal,1052,0.498099,0.011724,0.648923,0.655577,-0.006654,0.000000
1052,agents composite,fefam,investiguer,ordinal,1052,0.530418,0.019645,0.660330,0.640684,0.019645,0.000000
1052,agents composite,fepol,non teste,nominal,1052,0.801331,0.038973,0.803232,0.764259,0.038973,-0.000000
1052,agents composite,mobile16,non teste,ordinal,1052,0.736692,0.073194,,,,1.000000
1052,agents composite,incom16,temoin,ordinal,1052,0.546578,0.026854,0.445342,0.447481,-0.002139,-0.000000
1052,agents composite,dwelown16,non teste,nominal,1052,0.750000,0.072243,,,,1.000000
1052,agents composite,divorced,temoin,nominal,1052,0.948669,0.017110,0.726236,0.709125,0.017110,0.000000
1052,agents composite,posslq/y,temoin,nominal,1052,0.957224,0.019011,,,,1.000000
1052,agents composite,wrkstat,temoin,nominal,1052,0.777567,0.073573,,,,1.000000
1052,agents composite,evwork,temoin,nominal,1052,0.953422,0.002852,,,,1.000000
1052,agents composite,wrkgovt1,non teste,nominal,1052,0.876426,0.017110,,,,1.000000
1052,agents composite,wrkgovt2,non teste,nominal,1052,0.696768,0.021863,,,,1.000000
1052,agents composite,partfull,non teste,nominal,1052,0.831749,0.073194,,,,1.000000
1052,agents composite,wksub1,non teste,nominal,1052,0.812738,0.061787,,,,1.000000
1052,agents composite,wksup1,non teste,nominal,1052,0.827947,0.066540,,,,1.000000
1052,agents composite,conarmy,investiguer,ordinal,1052,0.514259,0.089354,0.609316,0.674905,-0.065589,0.000000
1052,agents composite,conbus,temoin,ordinal,1052,0.639734,0.065589,0.354087,0.402567,-0.048479,0.000000
1052,agents composite,conclerg,temoin,ordinal,1052,0.641635,0.040264,0.358230,0.317966,0.040264,0.000000
1052,agents composite,coneduc,sensible,ordinal,1052,0.604563,0.149715,0.455798,0.543726,-0.087928,0.000000
1052,agents composite,confed,temoin,ordinal,1052,0.569392,0.106226,0.250714,0.356939,-0.106226,0.000000
1052,agents composite,confinan,temoin,ordinal,1052,0.585551,0.116920,0.344582,0.461502,-0.116920,0.000000
1052,agents composite,conjudge,temoin,ordinal,1052,0.539924,0.134981,0.373574,0.400190,-0.026616,-0.000000
1052,agents composite,conlabor,temoin,ordinal,1052,0.530418,0.171103,0.333175,0.504278,-0.171103,-0.000000
1052,agents composite,conlegis,sensible,ordinal,1052,0.590304,0.162072,0.117395,0.279468,-0.162072,-0.000000
1052,agents composite,conmedic,sensible,ordinal,1052,0.581749,0.128189,0.567555,0.666350,-0.098795,0.000000
1052,agents composite,conpress,temoin,ordinal,1052,0.636882,0.087452,0.237643,0.325095,-0.087452,0.000000
1052,agents composite,consci,temoin,ordinal,1052,0.645437,0.081749,0.686787,0.699144,-0.012357,0.000000
1052,agents composite,contv,temoin,ordinal,1052,0.591255,0.126426,0.201521,0.327947,-0.126426,0.000000
1052,agents composite,joblose,non teste,nominal,1052,0.761407,0.106739,,,,1.000000
1052,agents composite,jobfind,temoin,nominal,1052,0.626426,0.120317,,,,1.000000
1052,agents composite,happy,temoin,ordinal,1052,0.703422,0.070342,0.444392,0.475760,-0.031369,0.000000
1052,agents composite,hapmar,non teste,nominal,1052,0.812738,0.065589,0.759901,0.684444,0.075457,0.615970
1052,agents composite,satjob,temoin,nominal,1052,0.697719,0.060837,0.708754,0.709071,-0.000317,0.435361
1052,agents composite,spdeg*,non teste,nominal,1052,0.683460,0.124525,,,,1.000000
1052,agents composite,spjew,non teste,nominal,1052,0.716730,0.272814,,,,1.000000
1052,agents composite,spfund,non teste,nominal,1052,0.758555,0.092205,,,,1.000000
1052,agents composite,unemp,temoin,nominal,1052,0.740494,0.153042,0.753802,0.600760,0.153042,-0.000000
1052,agents composite,union1,non teste,nominal,1052,0.941065,0.040875,,,,1.000000
1052,agents composite,spkath/y,temoin,nominal,1052,0.828897,0.036122,0.776616,0.812738,-0.036122,-0.000000
1052,agents composite,colath,temoin,nominal,1052,0.765209,0.027567,0.720532,0.748099,-0.027567,0.000000
1052,agents composite,spkrac/y,sensible,nominal,1052,0.707224,0.017110,,,,1.000000
1052,agents composite,colrac,temoin,nominal,1052,0.703422,0.115970,,,,1.000000
1052,agents composite,librac/y,non teste,nominal,1052,0.660646,0.156844,,,,1.000000
1052,agents composite,spkcom/y,non teste,nominal,1052,0.791825,0.096008,0.786122,0.690114,0.096008,0.000000
1052,agents composite,colcom/y,non teste,nominal,1052,0.764259,0.119772,0.805133,0.685361,0.119772,-0.000000
1052,agents composite,libcom/y,temoin,nominal,1052,0.820342,0.057985,0.800380,0.742395,0.057985,0.000000
1052,agents composite,spkhomo/y,non teste,nominal,1052,0.912548,0.041825,0.896388,0.938213,-0.041825,0.000000
1052,agents composite,colhomo,non teste,nominal,1052,0.821293,0.152091,0.781369,0.933460,-0.152091,0.000000
1052,agents composite,libhomo/y,non teste,nominal,1052,0.865019,0.053232,0.810837,0.864068,-0.053232,0.000000
1052,agents composite,cappun,temoin,nominal,1052,0.694867,0.069392,,,,1.000000
1052,agents composite,polhitok/y,temoin,nominal,1052,0.722433,0.064639,0.278517,0.343156,-0.064639,0.000000
1052,agents composite,polabuse/y,sensible,nominal,1052,0.766160,0.165399,0.772814,0.938213,-0.165399,0.000000
1052,agents composite,polattak/y,sensible,nominal,1052,0.404943,0.507605,,,,1.000000
1052,agents composite,grass,non teste,nominal,1052,0.733840,0.091255,,,,1.000000
1052,agents composite,gunlaw,temoin,nominal,1052,0.681559,0.103612,,,,1.000000
1052,agents composite,owngun,temoin,nominal,1052,0.763308,0.014259,,,,1.000000
1052,agents composite,hunt1,non teste,nominal,1052,0.893536,0.102662,,,,1.000000
1052,agents composite,class,non teste,ordinal,1052,0.624525,0.049430,,,,1.000000
1052,agents composite,satfin,temoin,ordinal,1052,0.686312,0.046334,0.540631,0.494297,0.046334,0.000000
