type,construction,configuration,replicats,n_couverts,fidelite_chute,fidelite_boot_bas,fidelite_boot_haut,top1,top1_boot_bas,top1_boot_haut,bits,bits_bas,bits_haut,bits_replicats,exactitude_contre_verite,a_vraie_personne,c_candidat_hasard,delta_identification,ecart_exactitude_moyen,ecart_exactitude_max,z_exactitude_max,masque_identique,rho_moyen,rho_median,rho_p5,rho_p95,rho_min,rho_max,rho_boot_personnes_bas,rho_boot_personnes_haut,replicats_axe_degenere,replicats_rho_non_defini,rho_reel_depasse_p95,replicat,rho,distinct_fidelite,distinct_fuite
configuration,reel,B2 argmax,1.0,2058.0,0.03429887431162948,0.031183177437641728,0.03741217707321025,0.0008098477486232588,0.0,0.0021056041464204726,0.07947437722605066,0.06201279489941243,0.10488630107840792,1.0,0.5106737933268546,0.5106737933268546,0.4719191510654889,0.03875464226136564,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,PMM k=10,1.0,2058.0,0.03336613216715262,0.030425721776805983,0.03655530753968256,0.0021056041464204726,0.00048590864917395527,0.00421525753158404,0.1863301540479636,0.1596089486309181,0.22340023753731408,1.0,0.47470035633300944,0.4747003563330094,0.4353240870599709,0.039376269273038465,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,humains vagues 1-3 (retest),1.0,2058.0,0.30271541950113373,0.299276375728863,0.3063490545027535,0.8150307742144478,0.7978620019436345,0.8310698088759313,9.152416746927276,9.00653513447221,9.310747989891546,1.0,0.7446631033365727,0.7446631033365726,0.43133787320287,0.31332523013370284,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,Demographics Only - GPT4.1-mini,100.0,2058.0,0.0894627733236152,0.08649836005830906,0.09626181365403307,0.14828798185941042,0.12941367022999675,0.1589002267573696,2.046624395321018,1.9083399125274445,2.1966224164965076,3.0,0.49426490119857464,0.49621801101392937,0.4018809756768642,0.0943370353370651,0.05012852283770651,0.30000000000000004,4.743416490252569,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,JSON Persona - GPT4.1,100.0,2058.0,0.17615666099773247,0.1702737994007127,0.18020521541950113,0.4117687074829932,0.3875931324910917,0.4280895691609977,5.2202914655651,5.032262207154124,5.427633824255222,3.0,0.5904924684159378,0.5893666990605767,0.40931839624646194,0.18004830281411469,0.04946072238419177,0.2833333333333333,4.47213595499958,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,JSON Persona - GPT4.1-mini,100.0,1000.0,0.13956919583333333,0.13254563541666667,0.14631502083333334,0.28289666666666663,0.2566583333333333,0.312,3.817145965815621,3.5648860555426203,4.081801511904588,3.0,0.5505488333333334,0.551633666899161,0.40527981562561916,0.14635385127354195,0.05002985734463276,0.35,4.330655695686135,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,Text Persona (Default Temperature) - GPT4.1-mini,100.0,2058.0,0.13981741172659543,0.13378178146258504,0.14297583616780052,0.2771898283122773,0.2518626498218335,0.2879818594104308,3.826920637322106,3.647464264440653,4.020485063257238,3.0,0.5518315516682865,0.5502105604146421,0.4080187676903331,0.14219179272430887,0.04993310657596372,0.31666666666666665,4.949976004329608,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,Text Persona (Reasoning) - GPT4.1-mini,100.0,2058.0,0.13615420310981535,0.13039027069161,0.13965442278101717,0.25642695173307417,0.23226433430515064,0.269359410430839,3.4828379890847896,3.3120851600239916,3.6720432368078306,3.0,0.5456147554259799,0.5445173307418205,0.40574580681455785,0.1387715239272626,0.05017630385487528,0.2833333333333333,4.58391883670564,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,Text Persona (Repeating Questions) - GPT4.1-mini,100.0,2058.0,0.14448504616132168,0.1405105432053774,0.14990571853741497,0.2851797862001943,0.26724975704567544,0.3057985098801425,3.8509497824454644,3.6753788412227517,4.035258645185267,3.0,0.5566499028182702,0.5571914480077745,0.4083099429785335,0.1488815050292411,0.04997772918691286,0.2833333333333334,4.451644960814245,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,Text Persona - GPT4.1-mini,100.0,2058.0,0.14543656462585036,0.1379563087139618,0.1475138129656625,0.2981616456106252,0.2636864269517331,0.3032110463232912,3.9380732168625117,3.757329534134256,4.1249657487530165,3.0,0.5581080336896664,0.5546485260770975,0.40788165236014345,0.14676687371695402,0.04987755102040816,0.2833333333333333,4.479893351905204,True,,,,,,,,,,,,,,,
