item,position_initiale,n_porteurs,n_autres,taux_changement_porteurs,taux_changement_autres,taux_monotone_porteurs,taux_monotone_autres
wlthwhts,modalite majoritaire,1406,1338,0.3705547652916074,0.7070254110612855,0.17994310099573257,0.21599402092675635
wlthblks,"modalite rare, moins de 10 pour cent",315,2405,0.8476190476190476,0.5471933471933472,0.19365079365079366,0.1496881496881497
wlthblks,modalite majoritaire,1151,1569,0.5030408340573415,0.6398980242192479,0.1902693310165074,0.12874442319949012
racwork,"modalite rare, moins de 10 pour cent",93,1345,0.6451612903225806,0.40817843866171005,0.3333333333333333,0.10408921933085502
racwork,modalite majoritaire,700,738,0.3457142857142857,0.497289972899729,0.12,0.11788617886178862
getahead,modalite majoritaire,2057,1007,0.21973748176956734,0.6683217477656405,0.045697617890131256,0.2333664349553128
aged,modalite majoritaire,1588,1532,0.3022670025188917,0.5776762402088773,0.0535264483627204,0.31592689295039167
parsol,"modalite rare, moins de 10 pour cent",128,2987,0.703125,0.5122196183461667,0.40625,0.14663542015400066
parsol,modalite majoritaire,961,2154,0.445369406867846,0.5533890436397401,0.32778355879292403,0.08124419684308264
kidssol,"modalite rare, moins de 10 pour cent",128,2910,0.765625,0.5604810996563574,0.296875,0.14742268041237114
kidssol,modalite majoritaire,835,2203,0.6095808383233533,0.5537902859736723,0.10179640718562874,0.17339990921470722
spanking,"modalite rare, moins de 10 pour cent",213,2820,0.5868544600938967,0.4574468085106383,0.0,0.10815602836879433
spanking,modalite majoritaire,1413,1620,0.39561217268223636,0.528395061728395,0.04670912951167728,0.14753086419753086
divlaw,modalite majoritaire,1239,1588,0.2824858757062147,0.4269521410579345,0.08878127522195318,0.21158690176322417
sexeduc,"modalite rare, moins de 10 pour cent",234,2793,0.44017094017094016,0.04618689581095596,0.32051282051282054,0.023630504833512353
sexeduc,modalite majoritaire,2793,234,0.04618689581095596,0.44017094017094016,0.023630504833512353,0.32051282051282054
pillok,modalite majoritaire,812,1744,0.5233990147783252,0.5607798165137615,0.0,0.2190366972477064
xmarsex,"modalite rare, moins de 10 pour cent",266,2750,0.7105263157894737,0.1938181818181818,0.23684210526315788,0.07636363636363637
xmarsex,modalite majoritaire,2351,665,0.13611229264142918,0.6045112781954888,0.0893236920459379,0.09473684210526316
homosex,"modalite rare, moins de 10 pour cent",309,2536,0.7896440129449838,0.17981072555205047,0.31715210355987056,0.0749211356466877
homosex,modalite majoritaire,1312,1533,0.18902439024390244,0.2948467058056099,0.1448170731707317,0.0639269406392694
discaff,modalite majoritaire,1342,1574,0.4433681073025335,0.4733163913595934,0.19523099850968703,0.08640406607369759
abdefect,modalite majoritaire,2193,664,0.09211126310989512,0.30120481927710846,0.04514363885088919,0.1852409638554217
abnomore,modalite majoritaire,1516,1371,0.1932717678100264,0.18964259664478483,0.14116094986807387,0.0
abhlth,modalite majoritaire,2574,297,0.05672105672105672,0.4175084175084175,0.043900543900543904,0.12121212121212122
abpoor,modalite majoritaire,1556,1331,0.19408740359897173,0.18181818181818182,0.19408740359897173,0.0
abrape,modalite majoritaire,2322,565,0.07579672695951765,0.30619469026548674,0.04478897502153316,0.05309734513274336
absingle,modalite majoritaire,1630,1285,0.17239263803680982,0.19299610894941635,0.17239263803680982,0.0
abany,modalite majoritaire,1580,1317,0.1810126582278481,0.19817767653758542,0.10063291139240506,0.0
letdie1,modalite majoritaire,1574,668,0.144853875476493,0.32335329341317365,0.0698856416772554,0.19610778443113772
suicide1,modalite majoritaire,1848,1052,0.17532467532467533,0.22718631178707224,0.17532467532467533,0.0
suicide2,modalite majoritaire,2708,317,0.07607090103397342,0.4921135646687697,0.07607090103397342,0.0
suicide3,modalite majoritaire,2706,307,0.07280118255728012,0.46579804560260585,0.07280118255728012,0.0
suicide4,modalite majoritaire,2435,533,0.1055441478439425,0.3921200750469043,0.1055441478439425,0.0
pornlaw,"modalite rare, moins de 10 pour cent",97,3039,0.8144329896907216,0.23132609410990457,0.2268041237113402,0.10036196117143797
pornlaw,modalite majoritaire,2001,1135,0.18190904547726136,0.3682819383259912,0.050974512743628186,0.19823788546255505
fair,"modalite rare, moins de 10 pour cent",273,2868,0.8827838827838828,0.27475592747559274,0.6153846153846154,0.10390516039051603
fair,modalite majoritaire,1648,1493,0.23179611650485438,0.4333556597454789,0.05339805825242718,0.2531815137307435
helpful,"modalite rare, moins de 10 pour cent",290,2854,0.9,0.29782761037140854,0.5620689655172414,0.12053258584442887
helpful,modalite majoritaire,1482,1662,0.23954116059379219,0.4548736462093863,0.0,0.30505415162454874
trust,"modalite rare, moins de 10 pour cent",181,3194,0.9281767955801105,0.23450219160926739,0.3812154696132597,0.07357545397620538
trust,modalite majoritaire,2002,1373,0.2137862137862138,0.35615440640932267,0.11738261738261738,0.050254916241806266
