modele,cle_modele,camp,identite,n_items,gs_decrit_moyen,gs_reel_moyen,ratio,ic_bas,ic_haut,ratio_plancher_w2_w1,part_items_sous_1,p,p_holm,perimetre_analyse,famille,perimetre,ecart_decrit_moyen,ecart_reel_moyen,facteur,facteur_plancher_w2_w1,hypothese,tv_entre_identites_moyenne,plancher_humain_moyen,rapport_au_plancher,part_items_identiques,part_items_au_dessus_du_plancher
gpt-oss-20b,oss20,,adversaire,79,,,,0.3782249271368004,0.887156283082945,,,0.009249537523123843,0.009249537523123843,"principal, critere 2 applique",H2,79 items orientes,0.1522573839662447,0.24057928432303727,0.6328781981153516,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,journaliste,79,,,,1.0860126768161291,1.4607789813418663,,,0.0038998050097495125,0.007799610019499025,"principal, critere 2 applique",H2,79 items orientes,0.3051734641350211,0.24057928432303727,1.2684943551717036,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,adversaire,79,,,,1.1606876945014746,1.5745366711523636,,,0.000599970001499925,0.0023998800059997,"principal, critere 2 applique",H2,79 items orientes,0.3287341772151898,0.24057928432303727,1.3664276130017197,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-4B-Instruct-2507,q4,,journaliste,79,,,,0.0620437836566933,0.4360034108726205,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H2,79 items orientes,0.05885021097046415,0.24057928432303727,0.2446187797759144,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
Qwen3-4B-Instruct-2507,q4,,adversaire,79,,,,0.060140893917816796,0.3945077282971843,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H2,79 items orientes,0.053069620253164564,0.24057928432303727,0.22059098065112479,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
gpt-oss-20b,oss20,gauche,,149,,,,3.1340863013917697,5.637411745760854,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H3,,,,,,,0.10281879194630873,0.024286610979672635,4.233558648111333,0.3959731543624161,0.5906040268456376
gpt-oss-20b,oss20,droite,,149,,,,2.8645199048376875,4.6225323755748144,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H3,,,,,,,0.10058691610738256,0.027654241125576136,3.6373052383040934,0.40268456375838924,0.5704697986577181
Qwen3-30B-A3B-Instruct-2507,q30,gauche,,148,,,,2.375835136234927,3.8468057929421753,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H3,,,,,,,0.07330057432432432,0.024126644630241754,3.038158660174614,0.23648648648648649,0.7094594594594594
Qwen3-30B-A3B-Instruct-2507,q30,droite,,149,,,,2.1283069247375623,3.519130297942979,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H3,,,,,,,0.07563758389261745,0.027654241125576136,2.7351169590643267,0.30201342281879195,0.610738255033557
Qwen3-4B-Instruct-2507,q4,gauche,,147,,,,2.3859361572035596,3.8298955991436254,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H3,,,,,,,0.0733679693877551,0.023866620988923146,3.0740828130553655,0.3469387755102041,0.6190476190476191
Qwen3-4B-Instruct-2507,q4,droite,,147,,,,2.4744166736045905,3.786966309909602,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H3,,,,,,,0.0837428299319728,0.027087943611179412,3.09151669591528,0.272108843537415,0.6666666666666666
gpt-oss-20b,oss20,gauche,journaliste,149,0.4967275167785234,0.45266808136224834,1.097332763740893,1.0429807542198362,1.1558016823429522,1.0046638983403173,0.3087248322147651,9.99950002499875e-05,0.001399930003499825,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
gpt-oss-20b,oss20,gauche,adversaire,149,0.4799959731543624,0.45266808136224834,1.0603707063017878,1.0070677123473466,1.1143099184245384,1.0046638983403173,0.3691275167785235,0.06944652767361632,0.13889305534723265,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
gpt-oss-20b,oss20,centre,journaliste,149,0.551938255033557,0.5022784024697905,1.098869177570806,1.0542054984067217,1.1485978310954634,1.0082579700180676,0.2550335570469799,0.000199990000499975,0.002199890005499725,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
