famille,methode,n_items,exactitude,ic_bas,ic_haut,part_diversite_humaine,accord_par_paires,plancher_uniforme,n_personnes
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, resume plus persona JSON",10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, affine sur 500 exemples",10,0.768662,0.755156,0.783439,0.000000,1.000000,0.500000,1558.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, demographies seules",10,0.772287,0.758915,0.784886,0.004439,0.999419,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1, persona JSON",10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1, persona JSON, sortie predite",10,0.771887,0.759628,0.785019,0.000000,1.000000,0.500000,2050.000000
Probability matching vs. maximizing - Problem 1,"Gemini-Flash-2.5, persona texte",10,0.769380,0.756199,0.782171,0.106234,0.979177,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,humains retest vagues 1 a 3,10,0.733624,0.717733,0.749031,1.013375,0.652473,0.500000,
autres experiences (blocs a 1 a 6 items),B2 contexte complet (a2),38,0.521498,0.516059,0.527118,0.419643,0.726647,0.288221,
autres experiences (blocs a 1 a 6 items),B2 contexte complet (tirage),38,0.434729,0.429473,0.439810,0.962528,0.428546,0.288221,
autres experiences (blocs a 1 a 6 items),B2 contexte demographies seules,38,0.512582,0.507111,0.518159,0.436182,0.720515,0.288221,
autres experiences (blocs a 1 a 6 items),B1 argmax,38,0.493065,0.487761,0.498474,0.709770,0.576697,0.288221,
autres experiences (blocs a 1 a 6 items),B0 mode,38,0.521713,0.516458,0.527551,0.026972,0.978947,0.288221,
autres experiences (blocs a 1 a 6 items),B0 tirage,38,0.415230,0.409964,0.420329,0.998289,0.407147,0.288221,
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, persona texte",38,0.461634,0.456153,0.466997,0.413849,0.730680,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, persona texte, temperature par defaut",38,0.459500,0.454186,0.464818,0.493455,0.685912,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, persona texte, raisonnement",38,0.460690,0.455296,0.466123,0.526842,0.663918,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, persona texte, questions repetees",38,0.446349,0.440951,0.451632,0.529444,0.660889,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, persona JSON",38,0.444886,0.436542,0.452452,0.492589,0.673032,0.288221,1000.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, persona JSON, sortie predite",38,0.388640,0.383000,0.394465,0.220994,0.853708,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, resume de persona",38,0.437564,0.432191,0.443139,0.442685,0.709777,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, resume plus persona JSON",38,0.434746,0.429630,0.440113,0.416827,0.740577,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, affine sur 500 exemples",38,0.412122,0.405795,0.418513,0.487327,0.680124,0.288221,1558.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1-mini, demographies seules",38,0.429686,0.424322,0.435090,0.372997,0.755904,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1, persona JSON",38,0.447591,0.441999,0.453197,0.562871,0.646791,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),"GPT-4.1, persona JSON, sortie predite",38,0.466906,0.461421,0.472680,0.456606,0.699457,0.288221,2050.000000
autres experiences (blocs a 1 a 6 items),"Gemini-Flash-2.5, persona texte",38,0.445134,0.439945,0.450323,0.698490,0.586087,0.288221,2058.000000
autres experiences (blocs a 1 a 6 items),humains retest vagues 1 a 3,38,0.584156,0.578030,0.590241,1.018140,0.397494,0.288221,
tous les items,B2 contexte complet (a2),108,0.530079,0.526455,0.533664,0.535233,0.689629,0.368937,
tous les items,B2 contexte complet (tirage),108,0.462406,0.459985,0.464871,0.967516,0.462078,0.368937,
tous les items,B2 contexte demographies seules,108,0.519164,0.515694,0.522932,0.582968,0.660971,0.368937,
tous les items,B1 argmax,108,0.518434,0.514897,0.522132,0.762768,0.575086,0.368937,
tous les items,B0 mode,108,0.521584,0.516985,0.526022,0.011199,0.992593,0.368937,
tous les items,B0 tirage,108,0.443149,0.440691,0.445501,0.999485,0.443484,0.368937,
tous les items,"GPT-4.1-mini, persona texte",108,0.552971,0.549506,0.556476,0.585572,0.656885,0.368937,2058.000000
tous les items,"GPT-4.1-mini, persona texte, temperature par defaut",108,0.547756,0.544415,0.551150,0.645978,0.626984,0.368937,2058.000000
tous les items,"GPT-4.1-mini, persona texte, raisonnement",108,0.543506,0.540547,0.546772,0.678877,0.594187,0.368937,2058.000000
tous les items,"GPT-4.1-mini, persona texte, questions repetees",108,0.548860,0.545439,0.552281,0.658201,0.612132,0.368937,2058.000000
tous les items,"GPT-4.1-mini, persona JSON",108,0.543860,0.539106,0.548810,0.625660,0.618125,0.368937,1000.000000
tous les items,"GPT-4.1-mini, persona JSON, sortie predite",108,0.462476,0.456967,0.467976,0.472575,0.713411,0.368937,2058.000000
tous les items,"GPT-4.1-mini, resume de persona",108,0.520901,0.517572,0.524444,0.600326,0.638965,0.368937,2058.000000
tous les items,"GPT-4.1-mini, resume plus persona JSON",108,0.474173,0.470531,0.477943,0.593205,0.668810,0.368937,2058.000000
tous les items,"GPT-4.1-mini, affine sur 500 exemples",108,0.461928,0.457226,0.466627,0.555600,0.664654,0.368937,1558.000000
tous les items,"GPT-4.1-mini, demographies seules",108,0.499588,0.496027,0.503066,0.511263,0.688952,0.368937,2058.000000
tous les items,"GPT-4.1, persona JSON",108,0.573820,0.570193,0.577413,0.660345,0.604475,0.368937,2058.000000
tous les items,"GPT-4.1, persona JSON, sortie predite",108,0.564637,0.561129,0.568144,0.603465,0.629222,0.368937,2050.000000
tous les items,"Gemini-Flash-2.5, persona texte",108,0.550473,0.547229,0.553964,0.770638,0.564956,0.368937,2058.000000
tous les items,humains retest vagues 1 a 3,108,0.711851,0.708214,0.715539,1.008995,0.440140,0.368937,
