jeu,predicteur,fpr,tpr
Stanford,démographique,0.3754752851711027,0.011406844106463879
Stanford,démographique,0.5304182509505704,0.013307984790874524
Stanford,démographique,0.5370722433460076,0.013307984790874524
Stanford,démographique,0.5380228136882129,0.013307984790874524
Stanford,démographique,0.5465779467680608,0.013307984790874524
Stanford,démographique,0.5541825095057035,0.013307984790874524
Stanford,démographique,0.5608365019011406,0.013307984790874524
Stanford,démographique,0.5636882129277566,0.014258555133079848
Stanford,démographique,0.6825095057034221,0.017110266159695818
Stanford,démographique,0.8127376425855514,0.019011406844106463
Stanford,démographique,1.0,0.02376425855513308
Stanford,Meilleur agent (composite),0.0,0.0009505703422053232
Stanford,Meilleur agent (composite),0.0,0.06844106463878327
Stanford,Meilleur agent (composite),0.0,0.05418250950570342
Stanford,Meilleur agent (composite),0.0,0.04467680608365019
Stanford,Meilleur agent (composite),0.0,0.039923954372623575
Stanford,Meilleur agent (composite),0.0,0.03897338403041825
Stanford,Meilleur agent (composite),0.0,0.028517110266159697
Stanford,Meilleur agent (composite),0.0,0.02091254752851711
Stanford,Meilleur agent (composite),0.0,0.019011406844106463
Stanford,Meilleur agent (composite),0.0,0.025665399239543727
Stanford,Meilleur agent (composite),0.0,0.014258555133079848
Stanford,Meilleur agent (composite),0.0,0.012357414448669201
Stanford,Meilleur agent (composite),0.0,0.010456273764258554
Stanford,Meilleur agent (composite),0.0,0.0076045627376425855
Stanford,Meilleur agent (composite),0.0,0.006653992395437262
Stanford,Meilleur agent (composite),0.0,0.005703422053231939
Stanford,Meilleur agent (composite),0.0,0.0038022813688212928
Stanford,Meilleur agent (composite),0.0,0.0028517110266159697
Stanford,Meilleur agent (composite),0.0,0.015209125475285171
Stanford,Meilleur agent (composite),0.0,0.0019011406844106464
Stanford,Meilleur agent (composite),0.0009505703422053232,0.07604562737642585
Stanford,Meilleur agent (composite),0.0009505703422053232,0.08365019011406843
Stanford,Meilleur agent (composite),0.0019011406844106464,0.10456273764258556
Stanford,Meilleur agent (composite),0.0028517110266159697,0.12262357414448669
Stanford,Meilleur agent (composite),0.0028517110266159697,0.11596958174904944
Stanford,Meilleur agent (composite),0.0028517110266159697,0.13783269961977188
Stanford,Meilleur agent (composite),0.004752851711026616,0.16539923954372623
Stanford,Meilleur agent (composite),0.004752851711026616,0.15114068441064638
Stanford,Meilleur agent (composite),0.005703422053231939,0.17300380228136883
Stanford,Meilleur agent (composite),0.009505703422053232,0.20152091254752852
Stanford,Meilleur agent (composite),0.015209125475285171,0.22908745247148288
Stanford,Meilleur agent (composite),0.019011406844106463,0.24429657794676807
Stanford,Meilleur agent (composite),0.021863117870722433,0.25665399239543724
Stanford,Meilleur agent (composite),0.029467680608365018,0.2870722433460076
Stanford,Meilleur agent (composite),0.04277566539923954,0.314638783269962
Stanford,Meilleur agent (composite),0.04467680608365019,0.32604562737642584
Stanford,Meilleur agent (composite),0.051330798479087454,0.34220532319391633
Stanford,Meilleur agent (composite),0.07224334600760456,0.37832699619771865
Stanford,Meilleur agent (composite),0.0979087452471483,0.4134980988593156
Stanford,Meilleur agent (composite),0.10361216730038023,0.4211026615969582
Stanford,Meilleur agent (composite),0.12357414448669202,0.4372623574144487
Stanford,Meilleur agent (composite),0.16730038022813687,0.4610266159695818
Stanford,Meilleur agent (composite),0.23859315589353614,0.49714828897338403
Stanford,Meilleur agent (composite),0.25,0.502851711026616
Stanford,Meilleur agent (composite),0.29372623574144485,0.532319391634981
Stanford,Meilleur agent (composite),0.37072243346007605,0.5560836501901141
Stanford,Meilleur agent (composite),0.5370722433460076,0.594106463878327
Stanford,Meilleur agent (composite),0.5532319391634981,0.5979087452471483
Stanford,Meilleur agent (composite),0.6720532319391636,0.6178707224334601
Stanford,Meilleur agent (composite),0.8108365019011406,0.6387832699619772
Stanford,Meilleur agent (composite),1.0,0.655893536121673
Stanford,PMM k=10,0.0009505703422053232,0.0
Stanford,PMM k=10,0.0038022813688212928,0.0
Stanford,PMM k=10,0.005703422053231939,0.0
Stanford,PMM k=10,0.006653992395437262,0.0
Stanford,PMM k=10,0.0076045627376425855,0.0
Stanford,PMM k=10,0.017110266159695818,0.0
Stanford,PMM k=10,0.02091254752851711,0.0
Stanford,PMM k=10,0.024714828897338403,0.0
Stanford,PMM k=10,0.028517110266159697,0.0
Stanford,PMM k=10,0.039923954372623575,0.0
Stanford,PMM k=10,0.060836501901140684,0.0
Stanford,PMM k=10,0.07224334600760456,0.0
Stanford,PMM k=10,0.08935361216730038,0.0
Stanford,PMM k=10,0.12832699619771862,0.0
Stanford,PMM k=10,0.19296577946768062,0.0
Stanford,PMM k=10,0.21007604562737642,0.0
Stanford,PMM k=10,0.25665399239543724,0.0
Stanford,PMM k=10,0.3365019011406844,0.0
Stanford,PMM k=10,0.5123574144486692,0.0009505703422053232
Stanford,PMM k=10,0.5256653992395437,0.0009505703422053232
Stanford,PMM k=10,0.6596958174904943,0.0038022813688212928
Stanford,PMM k=10,0.8184410646387833,0.004752851711026616
Stanford,PMM k=10,1.0,0.004752851711026616
Stanford,Retest humain (plafond),0.0,0.0009505703422053232
Stanford,Retest humain (plafond),0.0,0.15494296577946767
Stanford,Retest humain (plafond),0.0,0.1634980988593156
Stanford,Retest humain (plafond),0.0,0.18155893536121673
Stanford,Retest humain (plafond),0.0,0.21007604562737642
Stanford,Retest humain (plafond),0.0,0.21197718631178708
Stanford,Retest humain (plafond),0.0,0.22813688212927757
Stanford,Retest humain (plafond),0.0,0.24809885931558937
Stanford,Retest humain (plafond),0.0,0.28422053231939165
Stanford,Retest humain (plafond),0.0,0.12357414448669202
Stanford,Retest humain (plafond),0.0,0.3051330798479088
Stanford,Retest humain (plafond),0.0,0.32984790874524716
Stanford,Retest humain (plafond),0.0,0.37072243346007605
