item,n,C2,C3,C3F,humains vague 2,agents composite,agents entretien (v3),agents enquete,agents demographiques (v6),agents v7,agents v8,B0 mode,B0 tirage,B1 argmax,B2 argmax,famille
libcom/y,150,0.766667,0.793333,1.000000,0.853333,0.820000,0.806667,0.813333,0.753333,0.773333,0.746667,0.780000,0.666667,0.760000,0.800000,libertes civiles (spk/col/lib)
spkhomo/y,150,0.920000,0.946667,1.000000,0.880000,0.900000,0.926667,0.873333,0.880000,0.880000,0.826667,0.920000,0.873333,0.913333,0.920000,libertes civiles (spk/col/lib)
colhomo,150,0.833333,0.900000,0.900000,0.960000,0.800000,0.840000,0.833333,0.873333,0.886667,0.773333,0.933333,0.880000,0.933333,0.933333,libertes civiles (spk/col/lib)
libhomo/y,150,0.853333,0.873333,1.000000,0.900000,0.866667,0.900000,0.846667,0.820000,0.833333,0.780000,0.860000,0.773333,0.840000,0.866667,libertes civiles (spk/col/lib)
cappun,150,0.566667,0.553333,,0.853333,0.693333,0.700000,0.646667,0.553333,0.560000,0.693333,0.520000,0.526667,0.640000,0.653333,hors famille
polhitok/y,150,0.366667,0.373333,,0.833333,0.766667,0.626667,0.640000,0.660000,0.613333,0.626667,0.633333,0.546667,0.693333,0.653333,hors famille
polabuse/y,150,0.546667,0.660000,,0.940000,0.793333,0.940000,0.913333,0.926667,0.926667,0.933333,0.940000,0.886667,0.940000,0.940000,hors famille
polattak/y,150,0.540000,0.433333,,0.813333,0.453333,0.606667,0.600000,0.600000,0.600000,0.606667,0.600000,0.593333,0.586667,0.646667,hors famille
grass,150,0.713333,0.700000,,0.973333,0.713333,0.693333,0.686667,0.660000,0.693333,0.653333,0.733333,0.566667,0.740000,0.766667,hors famille
gunlaw,150,0.333333,0.333333,,0.853333,0.673333,0.706667,0.746667,0.673333,0.666667,0.700000,0.660000,0.540000,0.720000,0.660000,hors famille
owngun,150,0.666667,0.773333,,0.946667,0.786667,0.793333,0.726667,0.773333,0.746667,0.633333,0.780000,0.593333,0.713333,0.773333,hors famille
hunt1,150,0.653333,0.913333,,0.940000,0.926667,0.913333,0.920000,0.920000,0.886667,0.766667,0.920000,0.846667,0.913333,0.920000,hors famille
class,150,0.433333,0.466667,,0.773333,0.620000,0.646667,0.493333,0.486667,0.446667,0.340000,0.440000,0.286667,0.600000,0.620000,hors famille
satfin,150,0.360000,0.546667,,0.766667,0.700000,0.646667,0.626667,0.420000,0.506667,0.406667,0.433333,0.373333,0.533333,0.500000,hors famille
finalter,150,0.453333,0.520000,,0.720000,0.653333,0.606667,0.573333,0.420000,0.420000,0.426667,0.393333,0.346667,0.480000,0.506667,hors famille
finrela,150,0.306667,0.420000,,0.700000,0.526667,0.506667,0.480000,0.306667,0.400000,0.313333,0.386667,0.266667,0.513333,0.446667,hors famille
